River,TransectPair,Site,HeightClass,HeightCm,Bank,Origin,Richness,RichnessPerArea,Individuals,IndivsPerArea,Cover
Ballston,B1A,B1,high,77,Greenline,I,2,0.2,79,7.9,0.03825
Ballston,B1B,B1,low,17,Greenline,I,7,0.7,56,5.6,0.069
Ballston,B2A,B2,high,82,Greenline,I,0,0,0,0,0
Ballston,B2B,B2,low,19,Greenline,I,5,0.42,46,4.52,0.048
Ballston,B1A,B1,high,177,Upslope,I,1,0.041666667,3,0.125,0
Ballston,B1B,B1,low,117,Upslope,I,0,0,0,0,0
Ballston,B2A,B2,high,182,Upslope,I,0,0,0,0,0
Ballston,B2B,B2,low,119,Upslope,I,4,0.319230769,19,1.738461538,0.01425
Indian,I1A,I1,high,65,Greenline,I,6,0.381081081,90,7.175675676,0.02325
Indian,I1B,I1,low,30,Greenline,I,5,0.235135135,192,18.76216216,0.10825
Indian,I2A,I2,high,99,Greenline,I,0,0,0,0,0
Indian,I2B,I2,low,13,Greenline,I,6,0.6,31,3.1,0.0405
Indian,I1A,I1,high,165,Upslope,I,6,0.271428571,117,8.660714286,0.05
Indian,I1B,I1,low,130,Upslope,I,4,0.327777778,10,0.783333333,0.0045
Indian,I2A,I2,high,199,Upslope,I,0,0,0,0,0
Indian,I2B,I2,low,113,Upslope,I,4,0.4,9,0.9,0.006
Kayaderosseras,K1A,K1,high,196,Greenline,I,3,0.3,144,14.4,0.2475
Kayaderosseras,K1B,K1,low,29,Greenline,I,8,0.8,123,12.3,0.11075
Kayaderosseras,K2A,K2,high,126,Greenline,I,12,0.948387097,72,6.780645161,0.112
Kayaderosseras,K2B,K2,low,34,Greenline,I,5,0.415384615,40,3.830769231,0.0965
Kayaderosseras,K1A,K1,high,296,Upslope,I,4,0.4,65,6.5,0.30075
Kayaderosseras,K1B,K1,low,129,Upslope,I,7,0.7,69,6.9,0.215
Kayaderosseras,K2A,K2,high,226,Upslope,I,7,0.54,148,14.48,0.1115
Kayaderosseras,K2B,K2,low,134,Upslope,I,5,0.246875,53,2.009375,0.0555
Ballston,B1A,B1,high,77,Greenline,N,26,2.016666667,197,17.71666667,0.396
Ballston,B1B,B1,low,17,Greenline,N,21,1.865217391,410,40.06086957,0.54
Ballston,B2A,B2,high,82,Greenline,N,19,1.13255814,176,12.22790698,0.02525
Ballston,B2B,B2,low,19,Greenline,N,34,2.84,247,22.94,0.43875
Ballston,B1A,B1,high,177,Upslope,N,17,1.175,114,9.65,0.21125
Ballston,B1B,B1,low,117,Upslope,N,14,0.669811321,75,4.09245283,0.02475
Ballston,B2A,B2,high,182,Upslope,N,15,0.833333333,92,6.2,0.02325
Ballston,B2B,B2,low,119,Upslope,N,26,1.307692308,126,5.330769231,0.0615
Indian,I1A,I1,high,65,Greenline,N,42,3.47027027,627,58.97837838,0.37425
Indian,I1B,I1,low,30,Greenline,N,25,2.062162162,243,23.4972973,0.125
Indian,I2A,I2,high,99,Greenline,N,31,2.713636364,319,30.97272727,0.4465
Indian,I2B,I2,low,13,Greenline,N,28,2.566666667,299,32.033333,0.31
Indian,I1A,I1,high,165,Upslope,N,39,2.667857143,299,20.125,0.258
Indian,I1B,I1,low,130,Upslope,N,24,1.388888889,105,6.527777778,0.07025
Indian,I2A,I2,high,199,Upslope,N,14,1.086956522,86,7.739130435,0.231
Indian,I2B,I2,low,113,Upslope,N,32,2.733333333,281,26.77777778,0.4105
Kayaderosseras,K1A,K1,high,196,Greenline,N,9,0.9,160,16,1.029
Kayaderosseras,K1B,K1,low,29,Greenline,N,21,1.774074074,1042,35.83703704,0.30525
Kayaderosseras,K2A,K2,high,126,Greenline,N,32,2.277419355,246,21.66451613,0.37775
Kayaderosseras,K2B,K2,low,34,Greenline,N,12,0.692307692,126,10.4,0.08975
Kayaderosseras,K1A,K1,high,296,Upslope,N,7,0.62,132,12.88,0.3945
Kayaderosseras,K1B,K1,low,129,Upslope,N,21,1.856603774,214,20.83207547,0.34925
Kayaderosseras,K2A,K2,high,226,Upslope,N,18,1.24,102,7.88,0.273
Kayaderosseras,K2B,K2,low,134,Upslope,N,19,1.39375,142,13.609375,0.2245
