River,TransectPair,Site,HeightClass,HeightCm,Bank,CountSp,CountSpPerM,CountInd,CountIndPerM,ShanDiv,CountInvSp,CountInvSpPerM,CountNatSp,CountNatSpPerM,CountInvInd,CountInvIndPerM,CountNatInd,CountNatIndPerM,InvHerbCov,NatHerbCov,SQRTCountInd,SQRTShanDiv,SQRTCountInvInd,SQRTCountInvIndPerM,SQRTCounNattInd,SQRTCountNatIndPerM,SQRTASINInvHerbCov,SQRTASINNatHerbCov
Ballston,B1A,B1,high,77,Greenline,29,2.3,278,25.8,2.51,2,0.2,26,2.016666667,79,7.9,197,17.71666667,0.03825,0.396,16.673332,1.584297952,8.888194417,2.810693865,14.03566885,4.209117089,0.195599931,0.638088256
Ballston,B1B,B1,low,17,Greenline,30,2.8,467,45.8,2.46,7,0.7,21,1.865217391,56,5.6,410,40.06086957,0.069,0.54,21.61018278,1.568438714,7.483314774,2.366431913,20.24845673,6.329365653,0.262782931,0.755272871
Ballston,B2A,B2,high,82,Greenline,21,1.3,178,12.4,1.56,0,0,19,1.13255814,0,0,176,12.22790698,0,0.02525,13.34166406,1.2489996,0,0,13.26649916,3.49684243,0,0.158910931
Ballston,B2B,B2,low,19,Greenline,44,3.8,309,29.1,3.05,5,0.42,34,2.84,46,4.52,247,22.94,0.048,0.43875,17.57839583,1.74642492,6.782329983,2.126029163,15.71623365,4.789572006,0.219131127,0.673948931
Ballston,B1A,B1,high,177,Upslope,19,1.3,122,10.3,1.23,1,0.041666667,17,1.175,3,0.125,114,9.65,0,0.21125,11.04536102,1.109053651,1.732050808,0.353553391,10.67707825,3.106444913,0,0.461360645
Ballston,B1B,B1,low,117,Upslope,15,0.8,95,6.1,1.03,0,0,14,0.669811321,0,0,75,4.09245283,0,0.02475,9.746794345,1.014889157,0,0,8.660254038,2.022981174,0,0.157329362
Ballston,B2A,B2,high,182,Upslope,15,0.8,92,6.2,0.95,0,0,15,0.833333333,0,0,92,6.2,0,0.02325,9.591663047,0.974679434,0,0,9.591663047,2.48997992,0,0.152486376
Ballston,B2B,B2,low,119,Upslope,32,1.8,151,7.7,1.87,4,0.319230769,26,1.307692308,19,1.738461538,126,5.330769231,0.01425,0.0615,12.28820573,1.367479433,4.358898944,1.318507314,11.22497216,2.308845866,0.119375383,0.24807022
Indian,I1A,I1,high,65,Greenline,51,4.2,744,68.9,5.12,6,0.381081081,42,3.47027027,90,7.175675676,627,58.97837838,0.02325,0.37425,27.27636339,2.2627417,9.486832981,2.678745168,25.03996805,7.679738171,0.152486376,0.619344708
Indian,I1B,I1,low,30,Greenline,33,2.5,452,44,2.09,5,0.235135135,25,2.062162162,192,18.76216216,243,23.4972973,0.10825,0.125,21.26029163,1.445683229,13.85640646,4.331531157,15.58845727,4.847401087,0.329336509,0.35401671
Indian,I2A,I2,high,99,Greenline,35,3.1,356,34.7,2.67,0,0,31,2.713636364,0,0,319,30.97272727,0,0.4465,18.86796226,1.634013464,0,0,17.8605711,5.56531466,0,0.680330761
Indian,I2B,I2,low,13,Greenline,38,3.6,340,33.5,1.88,6,0.6,28,2.566666667,31,3.1,299,32.033333,0.0405,0.31,18.43908891,1.37113092,5.567764363,1.760681686,17.29161647,5.659799731,0.201273645,0.561420548
