River,TransectPair,Site,Code,Length,HeightClass,HeightCm,Bank,Origin,HerbInd,WoodInd,IndPerM,SpRich,SpPerM,Indivs,Cover,,,,,,,,,,,,
Ballston,B1A,B1,BIGH,24,high,77,Greenline,I,79,0,7.9,2,0.2,79,0.03825,,,,,,,,,,,,
Ballston,B1B,B1,BIGL,46,low,17,Greenline,I,56,0,5.6,7,0.7,56,0.069,,,,,,,,,,,,
Ballston,B2A,B2,B2GH,43,high,82,Greenline,I,0,0,0,0,0,0,0,,,,,,,,,,,,
Ballston,B2B,B2,B2GL,50,low,19,Greenline,I,45,1,4.52,5,0.42,46,0.048,,,,,,,,,,,,
Ballston,B1A,B1,B1UH,24,high,177,Upslope,I,0,3,0.125,1,0.041666667,3,0,,,,,,,,,,,,
Ballston,B1B,B1,B1UL,36,low,117,Upslope,I,0,0,0,0,0,0,0,,,,,,,,,,,,
Ballston,B2A,B2,B2UH,30,high,182,Upslope,I,0,0,0,0,0,0,0,,,,,,,,,,,,
Ballston,B2B,B2,B2UL,52,low,119,Upslope,I,17,2,1.738461538,4,0.319230769,19,0.01425,,,,,,,,,,,,
Indian,I1A,I1,I1GH,37,high,65,Greenline,I,65,25,7.175675676,6,0.381081081,90,0.02325,,,,,,,,,,,,
Indian,I1B,I1,I1GL,37,low,30,Greenline,I,186,5,18.73513514,5,0.235135135,191,0.10825,,,,,,,,,,,,
Indian,I2A,I2,I2GH,44,high,99,Greenline,I,0,0,0,0,0,0,0,,,,,,,,,,,,
Indian,I2B,I2,I2GL,45,low,13,Greenline,I,31,0,3.1,6,0.6,31,0.0405,,,,,,,,,,,,
Indian,I1A,I1,I1UH,56,high,165,Upslope,I,80,37,8.660714286,6,0.271428571,117,0.05,,,,,,,,,,,,
Indian,I1B,I1,I1UL,36,low,130,Upslope,I,7,3,0.783333333,4,0.327777778,10,0.0045,,,,,,,,,,,,
Indian,I2A,I2,I2UH,46,high,199,Upslope,I,0,0,0,0,0,0,0,,,,,,,,,,,,
Indian,I2B,I2,I2UL,45,low,113,Upslope,I,9,0,0.9,4,0.4,9,0.006,,,,,,,,,,,,
Kayaderosseras,K1A,K1,K1GH,50,high,196,Greenline,I,144,0,14.4,3,0.3,144,0.2475,,,,,,,,,,,,
Kayaderosseras,K1B,K1,K1GL,54,low,29,Greenline,I,89,0,8.9,8,0.8,89,0.11075,,,,,,,,,,,,
Kayaderosseras,K2A,K2,K2GH,62,high,126,Greenline,I,67,5,6.780645161,12,0.948387097,72,0.112,,,,,,,,,,,,
Kayaderosseras,K2B,K2,K2GL,65,low,34,Greenline,I,38,2,3.830769231,5,0.415384615,40,0.0965,,,,,,,,,,,,
Kayaderosseras,K1A,K1,K1UH,50,high,296,Upslope,I,65,0,6.5,4,0.4,65,0.30075,,,,,,,,,,,,
Kayaderosseras,K1B,K1,K1UL,53,low,129,Upslope,I,69,0,6.9,7,0.7,69,0.215,,,,,,,,,,,,
Kayaderosseras,K2A,K2,K2UH,50,high,226,Upslope,I,144,4,14.48,7,0.54,148,0.1115,,,,,,,,,,,,
Kayaderosseras,K2B,K2,K2UL,64,low,134,Upslope,I,14,39,2.009375,5,0.246875,53,0.0555,,,,,,,,,,,,
Ballston,B1A,B1,BIGH,24,high,77,Greenline,N,166,31,17.89166667,26,2.016666667,197,0.396,,,,,,,,,,,,
Ballston,B1B,B1,BIGL,46,low,17,Greenline,N,398,12,40.06086957,21,1.865217391,410,0.54,,,,,,,,,,,,
Ballston,B2A,B2,B2GH,43,high,82,Greenline,N,56,120,8.390697674,19,1.13255814,176,0.02525,,,,,,,,,,,,
Ballston,B2B,B2,B2GL,50,low,19,Greenline,N,225,22,22.94,34,2.84,247,0.43875,,,,,,,,,,,,
Ballston,B1A,B1,B1UH,24,high,177,Upslope,N,103,11,10.75833333,17,1.175,114,0.21125,,,,,,,,,,,,
Ballston,B1B,B1,B1UL,36,low,117,Upslope,N,33,42,4.466666667,14,0.669811321,75,0.02475,,,,,,,,,,,,
Ballston,B2A,B2,B2UH,30,high,182,Upslope,N,19,73,4.333333333,15,0.833333333,92,0.02325,,,,,,,,,,,,
Ballston,B2B,B2,B2UL,52,low,119,Upslope,N,35,91,5.25,26,1.307692308,126,0.0615,,,,,,,,,,,,
Indian,I1A,I1,I1GH,37,high,65,Greenline,N,589,38,59.92702703,42,3.47027027,627,0.37425,,,,,,,,,,,,
Indian,I1B,I1,I1GL,37,low,30,Greenline,N,232,11,23.4972973,25,2.062162162,243,0.125,,,,,,,,,,,,
Indian,I2A,I2,I2GH,44,high,99,Greenline,N,307,12,30.97272727,31,2.713636364,319,0.4465,,,,,,,,,,,,
Indian,I2B,I2,I2GL,45,low,13,Greenline,N,299,6,30.03333333,28,2.566666667,305,0.31,,,,,,,,,,,,
Indian,I1A,I1,I1UH,56,high,165,Upslope,N,187,112,20.7,39,2.667857143,299,0.258,,,,,,,,,,,,
Indian,I1B,I1,I1UL,36,low,130,Upslope,N,52,53,6.672222222,24,1.388888889,105,0.07025,,,,,,,,,,,,
Indian,I2A,I2,I2UH,46,high,199,Upslope,N,75,13,7.782608696,14,1.086956522,88,0.231,,,,,,,,,,,,
Indian,I2B,I2,I2UL,45,low,113,Upslope,N,264,17,26.77777778,32,2.733333333,281,0.4105,,,,,,,,,,,,
Kayaderosseras,K1A,K1,K1GH,50,high,196,Greenline,N,160,0,16,9,0.9,160,1.029,,,,,,,,,,,,
Kayaderosseras,K1B,K1,K1GL,54,low,29,Greenline,N,203,839,35.83703704,21,1.774074074,1042,0.30525,,,,,,,,,,,,
Kayaderosseras,K2A,K2,K2GH,62,high,126,Greenline,N,211,35,21.66451613,32,2.277419355,246,0.37775,,,,,,,,,,,,
Kayaderosseras,K2B,K2,K2GL,65,low,34,Greenline,N,100,26,10.4,12,0.692307692,126,0.08975,,,,,,,,,,,,
Kayaderosseras,K1A,K1,K1UH,50,high,296,Upslope,N,128,4,12.88,7,0.62,132,0.3945,,,,,,,,,,,,
Kayaderosseras,K1B,K1,K1UL,53,low,129,Upslope,N,207,7,20.83207547,21,1.856603774,214,0.34925,,,,,,,,,,,,
Kayaderosseras,K2A,K2,K2UH,50,high,226,Upslope,N,74,28,7.96,18,1.24,102,0.273,,,,,,,,,,,,
Kayaderosseras,K2B,K2,K2UL,64,low,134,Upslope,N,135,7,13.609375,19,1.39375,142,0.2245,,,,,,,,,,,,
