River,TransectPair,Site,Code,Length,HeightClass,HeightCm,Bank,Origin,Area,Rich,Indiv,Cover
Ballston,B1A,B1,BIGH,24,high,77,Greenline,N,24,26,197,0.396
Ballston,B1B,B1,BIGL,46,low,17,Greenline,N,46,21,410,0.54
Ballston,B2A,B2,B2GH,43,high,82,Greenline,N,43,19,176,0.02525
Ballston,B2B,B2,B2GL,50,low,19,Greenline,N,50,34,247,0.43875
Ballston,B1A,B1,B1UH,24,high,177,Upslope,N,24,17,114,0.21125
Ballston,B1B,B1,B1UL,36,low,117,Upslope,N,36,14,75,0.02475
Ballston,B2A,B2,B2UH,30,high,182,Upslope,N,30,15,92,0.02325
Ballston,B2B,B2,B2UL,52,low,119,Upslope,N,52,26,126,0.0615
Indian,I1A,I1,I1GH,37,high,65,Greenline,N,37,42,627,0.37425
Indian,I1B,I1,I1GL,37,low,30,Greenline,N,37,25,243,0.125
Indian,I2A,I2,I2GH,44,high,99,Greenline,N,44,31,319,0.4465
Indian,I2B,I2,I2GL,45,low,13,Greenline,N,45,28,305,0.31
Indian,I1A,I1,I1UH,56,high,165,Upslope,N,56,39,299,0.258
Indian,I1B,I1,I1UL,36,low,130,Upslope,N,36,24,105,0.07025
Indian,I2A,I2,I2UH,46,high,199,Upslope,N,46,14,88,0.231
Indian,I2B,I2,I2UL,45,low,113,Upslope,N,45,32,281,0.4105
Kayaderosseras,K1A,K1,K1GH,50,high,196,Greenline,N,50,9,160,1.029
Kayaderosseras,K1B,K1,K1GL,54,low,29,Greenline,N,54,21,1042,0.30525
Kayaderosseras,K2A,K2,K2GH,62,high,126,Greenline,N,62,32,246,0.37775
Kayaderosseras,K2B,K2,K2GL,65,low,34,Greenline,N,65,12,126,0.08975
Kayaderosseras,K1A,K1,K1UH,50,high,296,Upslope,N,50,7,132,0.3945
Kayaderosseras,K1B,K1,K1UL,53,low,129,Upslope,N,53,21,214,0.34925
Kayaderosseras,K2A,K2,K2UH,50,high,226,Upslope,N,50,18,102,0.273
Kayaderosseras,K2B,K2,K2UL,64,low,134,Upslope,N,64,19,142,0.2245
Ballston,B1A,B1,BIGH,24,high,77,Greenline,I,24,2,79,0.03825
Ballston,B1B,B1,BIGL,46,low,17,Greenline,I,46,7,56,0.069
Ballston,B2A,B2,B2GH,43,high,82,Greenline,I,43,0,0,0
Ballston,B2B,B2,B2GL,50,low,19,Greenline,I,50,5,46,0.048
Ballston,B1A,B1,B1UH,24,high,177,Upslope,I,24,1,3,0
Ballston,B1B,B1,B1UL,36,low,117,Upslope,I,36,0,0,0
Ballston,B2A,B2,B2UH,30,high,182,Upslope,I,30,0,0,0
Ballston,B2B,B2,B2UL,52,low,119,Upslope,I,52,4,19,0.01425
Indian,I1A,I1,I1GH,37,high,65,Greenline,I,37,6,90,0.02325
Indian,I1B,I1,I1GL,37,low,30,Greenline,I,37,5,191,0.10825
Indian,I2A,I2,I2GH,44,high,99,Greenline,I,44,0,0,0
Indian,I2B,I2,I2GL,45,low,13,Greenline,I,45,6,31,0.0405
Indian,I1A,I1,I1UH,56,high,165,Upslope,I,56,6,117,0.05
Indian,I1B,I1,I1UL,36,low,130,Upslope,I,36,4,10,0.0045
Indian,I2A,I2,I2UH,46,high,199,Upslope,I,46,0,0,0
Indian,I2B,I2,I2UL,45,low,113,Upslope,I,45,4,9,0.006
Kayaderosseras,K1A,K1,K1GH,50,high,196,Greenline,I,50,3,144,0.2475
Kayaderosseras,K1B,K1,K1GL,54,low,29,Greenline,I,54,8,89,0.11075
Kayaderosseras,K2A,K2,K2GH,62,high,126,Greenline,I,62,12,72,0.112
Kayaderosseras,K2B,K2,K2GL,65,low,34,Greenline,I,65,5,40,0.0965
Kayaderosseras,K1A,K1,K1UH,50,high,296,Upslope,I,50,4,65,0.30075
Kayaderosseras,K1B,K1,K1UL,53,low,129,Upslope,I,53,7,69,0.215
Kayaderosseras,K2A,K2,K2UH,50,high,226,Upslope,I,50,7,148,0.1115
Kayaderosseras,K2B,K2,K2UL,64,low,134,Upslope,I,64,5,53,0.0555
