"Acalypha.rhomboidea","Acer.saccharum","Adiantum.pedatum","Ageratina.altissima","Agrimonia.gryposepala","Agrostis.perennans","Agrostis.scabra","Alisma.subcordatum","Alliaria.petiolata","Ambrosia.artemisiifolia","Ambrosia.trifida","Amphicarpaea.bracteata","Anemone.canadensis","Apios.americana","Arctium.lappa","Arisaema.triphyllum","Asarum.canadense","Athyrium.filix.femina","Bidens.connata","Bidens.frondosa","Boehmeria.cylindrica","Brassica.nigra","Bromus.ciliatus","Calystegia.sepium","Carex.bullata","Caulophyllum.thalictroides","Chamaesyce.maculata","Chelone.glabra","Cicuta.maculata","Cinna.arundinacea","Circaea.lutetiana","Clematis.virginiana","Cryptotaenia.canadensis","Cynodon.dactylon","Cyperus.compressus","Cyperus.strigosus","Dactylis.glomerata","Daucus.carota","Decodon.verticillatus","Dichanthelium.clandestinum","Didiplis.diandra","Digitaria.cognata","Digitaria.sanguinalis","Dryopteris.camyloptera","Dryopteris.carthusiana","Dryopteris.marginalis","Echinochloa.muricata","Echinocystis.lobata","Eleocharis.intermedia","Elymus.canadensis","Elymus.virginicus","Epilobium.hirsutum","Eupatorium.purpureum","Eurybia.divaricata","Eutrochium.purpureum","Fallopia.japonica","Fragaria.vesca","Galium.aparine","Galium.asprellum","Galium.boreale","Galium.palustre","Galium.triflorum","Geranium.maculatum","Geum.laciniatum","Glechoma.hederacea","Glyceria.borealis","Halenia.deflexa","Helianthus.giganteus","Helianthus.strumosus","Heliopsis.helianthoides","Hemerocallis.fulva","Hieracium.paniculatum","Hydrocotyle.americana","Hylotelephium.telephium","Hypericum.mutilum","Impatiens.capensis","Impatiens.pallida","Lactuca.canadensis","Laportea.canadensis","Leersia.oryzoides","Lobelia.cardinalis","Ludwigia.palustris","Lycopus.uniflorus","Lysimachia.ciliata","Lysimachia.nummularia","Lysimachia.vulgaris","Lythrum.salicaria","Maianthemum.canadense","Maianthemum.racemosum","Marrubium.vulgare","Matteuccia.struthiopteris","Menispermum.canadense","Mimulus.ringens","Mitchella.repens","Mollugo.verticillata","Muhlenbergia.mexicana","Muhlenbergia.schreberi","Muhlenbergia.sobolifera","Myosotis.laxa","Myosoton.aquaticum","Oenothera.biennis","Onoclea.sensibilis","Oxalis.grandis","Oxalis.stricta","Panicum.capillare","Panicum.dichotomiflorum","Parthenocissus.quinquefolia","Paspalum.setaceum","Pastinaca.sativa","Peltandra.virginica","Penthorum.sedoides","Petasites.frigidus","Phytolacca.americana","Pilea.pumila","Plantago.major","Polygonum.arifolium","Polygonum.cespitosum","Polygonum.hydropiper","Polygonum.hydropiperoides","Polygonum.lapathifolium","Polygonum.persicaria","Polygonum.sagittatum","Polygonum.virginianum","Polystichum.acrostichoides","Potentilla.simplex","Prunella.vulgaris","Ranunculus.recurvatus","Rhamnus.cathartica","Rubus.allegheniensis","Rubus.hispidus","Rubus.occidentalis","Rubus.odoratus","Rubus.pubescens","Rumex.obtusifolius","Rumex.triangulivalvis","Sanicula.odorata","Scirpus.polyphyllus","Scutellaria.lateriflora","Sinapis.arvensis","Smilax.glauca","Solanum.dulcamara","Solanum.ptycanthum","Solidago.altissima","Solidago.canadensis","Solidago.flexicaulis","Solidago.gigantea","Stellaria.pubera","Symphyotrichum.dumosum","Symphyotrichum.lateriflorum","Teucrium.canadense","Thalictrum.pubescens","Thalictrum.thalictroides","Thelypteris.noveboracensis","Thelypteris.palustris","Toxicodendron.radicans","Trifolium.arvense","Trifolium.campestre","Trifolium.pratense","Trifolium.repens","Urtica.dioica","Veronica.americana","Viola.fimbriatula","Viola.pubescens","Vitis.riparia","Xanthium.strumarium"
"Acalypha.rhomboidea",0,6882.83581713417,NA,4.61376202247147,534088.023720829,22784004.522199,8543998.10627506,7048797.10908434,15.1015266198487,28.1097723220947,92.4973845468076,248.003948742564,16.8886474060923,NA,96.3678182434364,235153.624681064,70.0323507019674,NA,185133.224674308,65317.6220085165,555355.629683617,5.05723650339928,504121.596664858,234.408626429689,NA,1691.07194129197,5.38272235955004,1.70880074906351,11.2140049157293,1.68032073942711,12.7353122530679,273423.057588229,13.015365702519,842645.888157021,2.90496127340796,2.84088124531808,41012.5437420413,3.48661075848965,0.256320112359526,2990395.33005851,NA,1.28160056179763,1.55500868164779,NA,NA,NA,NA,2022.79288670393,4.61376202247147,88573.8848118769,106831.478070247,4.9860364750363,2.13600093632938,NA,NA,11.705285131085,61.4617043606509,185807.11066987,4271995.89185614,413392.792441799,2.04279362196737,0.512640224719052,45.8813001123551,3417595.51732439,0.524845940693504,3.16128138576749,NA,21.6163294756534,39.0460971161011,82913.7535429149,232.396901872637,3.24672142322066,NA,NA,NA,996834.613253493,5980796.64091965,NA,13.1008057399722,51.7125826685344,24121335.9372586,5.63904247190957,4.12248180711571,4.69920205992464,3.58848157303336,3.63120159175995,2.90902984255144,72.3066831258792,243.012826526194,1.18761652059914,NA,581.334014831405,4.91280215355758,24.0940905617954,5.39981036704068,1281597.41760425,6407996.82818553,NA,4.42152193820182,4.2564673188411,534386.042416267,NA,NA,4.06694578277114,10.0534444098383,669847.432959816,17626.9157764049,NA,23.8621818899288,NA,76896029.5212959,5.83128255617922,61986.1384120118,3.8163216757565,718330.029687026,NA,NA,97911.4206800842,178112.987008463,70.9102052040924,136594.19471692,118679.116983734,39.4163372755502,NA,NA,126854.796331754,0.598080262172227,198.682263093614,319801.327880674,18.7754482303353,572451.68562578,842439.008520414,NA,6.90782702808922,NA,NA,NA,3.16128138576749,NA,NA,281.061748436857,NA,5.22893029213433,1708795.45519879,1993597.34238588,854395.321607938,NA,NA,NA,NA,8.28768363295801,NA,11320798.9817431,NA,136.293947745305,NA,NA,47463.1421946935,114311.460546264,4.76328208801452,640794.72729638,NA,NA,31472.2649960644,1542.05597196989
"Acer.saccharum",6882.83581713417,0,8081.70265782812,6887.44957915664,152995.32194801,9298720.99241532,2204274.06589024,2661608.23900442,14311.7118567066,8585.20533814753,14935.331935933,6634.83186839161,7534.13780841503,20406.6355588589,91015.2197093946,61248.0665239699,4825.24702909243,183532.309527619,56430.2783634638,18335.2493466458,223913.153719624,24526.2871166968,120615.632724361,14934.5623715501,NA,16214.4949364864,6888.21853949372,6884.54461788323,3511.73525897005,46897.8892432197,58383.953440695,100851.584692553,4857.95711783368,284144.580721249,24040.4061390399,11993.3225182933,6445.57768443368,3523.74732453035,3388.10358415604,1218013.89222929,NA,4867.86972236781,2792.1011304706,NA,64250.7875869426,722.198843098784,NA,3445.96889246152,6887.44957915664,21837.1741223795,31615.9211157566,4747.16048883947,4476.66262144921,NA,NA,69240.7570321295,6142.63011023078,39054.6817280074,1741225.12416499,104969.50853063,2266.75717091783,4385.90162537888,8838.55693764029,1392417.63824676,5195.47699986672,12072.3077440735,NA,6861.21948765852,6843.78972001807,28740.1973725998,4710.44706070056,6886.08253855739,NA,NA,18837.0674181696,247499.561890147,1542460.8188909,NA,5381.95034615004,28822.4883017281,7270799.41705174,17914.2880808606,6886.95829894129,3768.79657412022,3844.22656552554,10489.5238250511,3391.53970409494,3235.94656544217,2760.28472220467,3217.96844296761,118907.766788537,6301.50180230276,2070.62039967242,3890.6619854187,4870.75599325533,520400.087300336,2420933.76364096,NA,2412.4142423664,4407.461071196,118026.585400713,256.407962593994,NA,2607.89010955541,1749.71757236024,270654.233136628,29693.9878739602,NA,51937.5368019342,41305.6010237273,20549488.8506514,3845.6357949808,19491.3097052716,6879.01949545841,136407.608375023,NA,NA,25276.4356390141,76576.7648782159,9772.97706157561,33513.5421038019,29897.3795921846,6843.41947985862,607.709192911529,897.477093407147,24551.845869506,6883.43389739634,2303.54300852672,87026.9787224766,4890.22257157938,178991.586370004,264261.228168773,10950.3508699625,42022.5545649964,NA,NA,NA,2451.65842125043,NA,NA,3551.46436246168,NA,3977.09540049062,380792.629143688,750927.60266729,235064.124941197,NA,NA,NA,NA,6874.54813350121,NA,4000124.34213476,41511.7256130132,3394.63736142863,NA,NA,8038.90937482323,20477.9515843927,13103.3051186578,240785.031294157,NA,NA,7213.80271489131,10483.2860285369
"Adiantum.pedatum",NA,8081.70265782812,0,NA,12446.8062561819,88.123436156337,325.872081242523,872.446263865766,100.124838790958,172.138952457383,99.5863277364059,NA,NA,11685.8078854402,48.7676082860739,15830.0992744383,11.0217648314596,2584.6213549858,233.513519649719,20743.2453014919,55.3005650965702,318.585985221825,304.780016306024,27917.6145038776,NA,15830.7839292626,NA,NA,NA,41857.0279327389,143071.836709879,3662.86114123918,NA,262480.002591253,17093.7290083357,3924.54479547204,332.80495135963,262.769940171368,5408.3771479992,107.601033916966,NA,NA,130.11400764714,NA,174.762847267598,136.70405992508,NA,18.7968082396986,NA,964.690164513907,1327.38053009175,165.89577617987,NA,NA,NA,129696.536020562,106.26157304027,188.422485638061,94.1834486520854,92.8343328047666,646.729227619306,NA,5.98080262172227,124.982158726756,14922.7278921018,4012.22257343109,NA,NA,NA,186.019755088897,6.5788828838945,NA,NA,NA,10116.2846568458,1449.30414901422,2735.47517829039,NA,NA,39340.4272013614,12360.2650499205,14209.3459073663,NA,NA,33.4039466863744,24038.2464000176,669.604705819252,1495.98897670052,170.509834772534,78.5232773012245,638.713555910486,NA,2443.3165450847,NA,NA,69.7213740541593,84537.0147900808,NA,246.331036818343,228.565023182126,495.532878440372,440.157604867293,NA,2243.90510122869,1139.1863423185,39.4488783110496,25352.1866928778,NA,45.7088673423708,41703.5035040273,1524.93110858737,131.408037039041,469.419874632508,NA,37137.6479423225,NA,NA,702.496795963227,195.565904812163,324.10629549713,257.970385692547,1953.37784644559,NA,251.193710112335,2465.79948089864,300.379296455797,NA,132.233604727474,93.5894190166663,1357.4336579527,114.348358463658,7150.61861225747,NA,198.916008142509,NA,NA,NA,3150.70818113266,NA,NA,4375.06705287068,NA,NA,14211.4104216672,2794.20153480083,88.0428113665922,NA,NA,NA,NA,NA,NA,13501.9319063183,32.303191235542,190.076922981197,NA,NA,247.34202334274,182.058257080516,42074.8862865008,17091.6444461907,NA,NA,8931.59582725774,18797.9687329635
"Ageratina.altissima",4.61376202247147,6887.44957915664,NA,0,534092.637482851,22784009.135961,8544002.72003708,7048801.72284636,19.7152886423202,32.7235343445661,97.1111465692791,252.617710765035,21.5024094285638,NA,100.981580265908,235158.238443086,74.6461127244388,NA,185137.838436331,65322.235770539,555360.243445639,9.67099852587075,504126.21042688,239.02238845216,NA,1695.68570331444,0.768960337078578,2.90496127340796,15.8277669382007,2.93344128304435,17.3490742755393,273427.671350252,17.6291277249905,842650.501919043,1.70880074906351,1.77288077715339,41017.1575040638,8.10037278096112,4.87008213483099,2990399.94382054,NA,3.33216146067384,3.05875334082368,NA,NA,NA,NA,2027.4066487264,0,88578.4985738994,106836.09183227,0.372274452564837,2.47776108614208,NA,NA,16.3190471535565,66.0754663831223,185811.724431893,4272000.50561817,413397.406203821,6.65655564443884,5.12640224719052,50.4950621348266,3417600.13108641,4.08891608177796,1.45248063670398,NA,26.2300914981248,43.6598591385726,82918.3673049374,237.010663895108,1.36704059925081,NA,NA,NA,996839.227015516,5980801.25468167,NA,17.7145677624437,56.3263446910058,24121340.5510206,1.0252804494381,0.491280215355758,9.31296408239611,1.0252804494381,0.982560430711516,1.70473217992002,76.9204451483507,247.626588548665,5.8013785430706,NA,585.947776853876,9.52656417602905,28.7078525842669,0.786048344569213,1281602.03136627,6408001.44194755,NA,0.192240084269644,0.35729470363037,534390.65617829,NA,NA,0.546816239700322,14.6672064323098,669852.046721838,17631.5295384274,NA,28.4759439124003,NA,76896034.135058,10.4450445786507,61990.7521740343,8.43008369822797,718334.643449048,NA,NA,97916.0344421067,178117.600770485,75.5239672265638,136598.808478943,118683.730745756,44.0300992980217,NA,NA,126859.410093777,4.01568176029924,203.296025116085,319805.941642697,23.3892102528067,572456.299387803,842443.622282436,NA,11.5215890505607,NA,NA,NA,1.45248063670398,NA,NA,285.675510459329,NA,0.615168269662862,1708800.06896081,1993601.9561479,854399.935369961,NA,NA,NA,NA,12.9014456554295,NA,11320803.5955051,NA,140.907709767777,NA,NA,47467.755956716,114316.074308287,0.149520065543057,640799.341058403,NA,NA,31476.8787580869,1546.66973399236
"Agrimonia.gryposepala",534088.023720829,152995.32194801,12446.8062561819,534092.637482851,0,9083490.37354532,3027461.45690223,2462356.03112285,218917.23886633,218425.563972758,202610.13896693,533840.019772086,534071.135073423,1745.68047763616,218741.589236929,94574.7494617835,377607.744650125,183997.312861246,110383.76493007,142539.72746653,8682.5684104074,203133.660292362,9484.69275547106,218778.728520145,NA,188257.507445233,534093.406443188,534089.732521578,377649.336192537,203575.423131597,233016.680151371,99784.7590616436,534075.008355126,220099.120070462,201895.966587547,202059.090599205,142339.816709347,201865.916882154,202618.032284551,1002783.26107743,NA,534089.305321391,218044.841800645,NA,70514.3111617894,1406.34301647927,NA,376226.933035801,534092.637482851,148504.968234018,161489.081801309,201960.977388802,534090.159721765,NA,NA,325738.254448124,218063.075146513,105012.197794983,1525994.49753237,38179.6005630482,218040.294286548,534087.511080604,377624.821702625,1177187.00676273,218190.845086151,202055.710743374,NA,534066.407391353,534048.977623713,159515.252317672,377492.935292407,534091.270442252,NA,NA,3314.53611089345,139524.770525554,1722401.27219407,NA,534074.922915089,190479.778047001,8339351.4769981,161044.208395044,534092.146202636,534083.324518769,218046.079283208,218527.659570645,188831.331157139,201839.121737342,266923.44810327,201872.230424815,168279.542121557,533506.689705997,238849.571472115,534063.929630267,377661.0822276,305169.43291554,2221104.70081215,NA,218045.016162983,218070.902584381,5458.34644083648,624.002761188682,NA,201868.823254847,201863.058822139,55423.5646307766,163676.753090635,NA,207515.031613191,28274.3991749014,24147766.1784205,267042.050884543,166913.29054614,534084.207399153,54481.079876056,NA,NA,137938.973899708,159196.906214675,202405.661221692,119857.173265329,131367.920772161,534048.607383553,1291.85336629201,433.293092259731,117560.743898281,534088.621801091,201800.162651796,81941.476139578,189258.4455466,19100.5843252706,118092.872743373,NA,213958.73235403,NA,NA,NA,238853.925698887,NA,NA,201818.430207002,NA,534093.252651121,325808.191315866,551847.019704895,101303.486494382,NA,NA,NA,NA,534079.736037196,NA,3813678.4046831,41644.627515763,308278.307903652,NA,NA,140477.42449253,126568.347346068,203072.978855901,40473.6418684752,NA,NA,146007.850639118,201823.866246573
"Agrostis.perennans",22784004.522199,9298720.99241532,88.123436156337,22784009.135961,9083490.37354532,0,5813458.27588519,6423871.5267318,16110713.4218511,16110704.2236272,16110658.6947107,22783756.5182503,22783987.6335516,58.8932296618211,16110655.9579008,9205529.83165278,16110674.5798956,114.599656283671,9225950.57455658,9274865.08885423,9074807.90978377,16110720.5271175,9095724.11782613,16110558.3483089,NA,9300840.51893085,22784009.9049214,22784006.2309998,22783993.3081941,9301531.58217262,16110715.0950178,9189906.40065144,22783991.5068333,8957522.15393892,9301532.08404746,9301532.05602447,9284787.60015461,16110721.6367494,9301530.79168329,8080707.11488553,NA,22784005.8037996,16110725.1998015,NA,228.039459962525,NA,NA,16109293.7696648,22784009.135961,9265370.75932154,9257917.12792883,16110727.6258962,22784006.6582,NA,NA,16110715.8233458,16110680.6402545,9225675.46115614,7557495.87643645,9132763.99583003,16110722.6564214,22784004.0095588,16110691.657263,7906303.36875533,16110724.4721165,9301532.18673761,NA,22783982.9058695,22783965.4761019,9267681.49856261,16110559.7708166,22784007.7689204,NA,NA,57.734963410398,8894574.87613386,6859880.89258586,NA,22783991.4213933,9301509.78468704,545963.264450794,9301533.19826297,22784008.6446808,22783999.822997,16110726.6376821,16110726.6683977,16110726.1588014,16110672.9717347,22783761.5093725,16110723.2604714,650.825245264841,22783423.1881842,22783999.6093969,22783980.4281085,22784009.9220094,8778320.94143444,6685477.14577104,NA,16110727.2267324,16110727.1100202,9083368.71037773,485.299412734036,NA,16110726.9761347,16110716.9923985,9028066.82688731,9294334.73799024,NA,16110707.2271308,33.8352257270437,22091141.6994355,13154347.7779047,9276225.16118535,22784000.7058773,9008273.88983759,NA,NA,9261558.73097725,10109662.0333484,16110673.9601868,9245766.55071658,9253080.35413389,22783965.1058617,NA,NA,9249742.64402728,22784005.1202793,16110583.6106636,9170972.55074535,9301523.23113667,9067828.47418564,8957606.61131302,NA,16110719.2161595,NA,NA,NA,22784007.6834804,NA,NA,16110525.3604567,NA,22784009.7511293,8603918.07746011,8487648.18945638,8952725.46684153,NA,NA,NA,NA,22783996.2345154,NA,4679834.06521313,25.2048110486867,16110627.7266527,NA,NA,9282154.15017253,9254863.438366,16110727.4756077,9039927.54428865,NA,NA,9288682.39930676,16109633.7020074
"Agrostis.scabra",8543998.10627506,2204274.06589024,325.872081242523,8544002.72003708,3027461.45690223,5813458.27588519,0,610413.252373289,3488066.46593877,2283472.09409579,2701820.19220761,8543750.10232632,6041507.05738606,126.428883171528,3488033.29687474,2627487.58293675,6041469.47906076,395.482218915902,2786288.30420401,2119707.31919313,3261349.6343696,3820989.87684913,2320912.54271968,3488012.68778704,NA,2369209.94205717,4932882.71433778,8543999.81507581,6041511.06996106,3488073.30753017,3021595.30701657,3376448.12515776,6041509.79650761,2322045.09756608,3488073.8157761,3488073.78052695,2062277.2225441,2701848.3845024,3229327.64691445,2267248.84106674,NA,6041519.90568616,3229328.33758204,NA,459.91438101595,654.470686891323,16.8586298641024,3820087.49664937,8544002.72003708,2673839.95925283,3188949.37391654,3488074.66357346,6041520.50983268,NA,NA,3230060.95471963,3020737.79853926,2233820.73102068,1744037.60205174,2347103.6252468,3488071.7879699,6041518.63694927,4932853.11708459,2092845.09558081,2576120.01595622,3488073.91175922,NA,8543976.48994558,8543959.06017794,3197989.30864164,4271882.85469916,8544001.35299648,NA,NA,126.930083116651,2386622.81339445,854402.758371864,NA,6041509.73577632,2013827.6978346,5887680.30335414,2848001.25977711,8544002.22875687,6041515.6766212,3488074.09888774,3229353.50577272,2576113.57880532,4271962.95118365,4271877.64847353,3488072.14684147,279.80354109311,8543416.77226023,3488071.18790413,6041501.96236038,6041522.81767645,2964862.66597092,872018.872092169,NA,3488074.43039081,3820994.02234806,2312176.3449423,377.093949896659,NA,4932882.14643288,2466437.0792582,2624716.89122549,3222665.39497138,NA,3488062.89158967,73.7546410969054,21614810.2677052,2701847.81467174,2827337.32532831,8543994.28995338,1898003.5347996,NA,NA,2986142.60964808,3741337.56654979,2847976.08201703,2972466.16721051,2978800.43181495,8543958.68993778,539.981036704068,1674.62473408224,2104286.10148788,8543998.70435532,2466382.59572323,3108454.20197923,2576106.76226705,3012961.34304842,2435446.82847091,34.3041750374499,2466437.95772533,NA,NA,NA,3820994.2101848,NA,NA,3020660.73228524,NA,8544003.33520535,2060891.16691328,2674189.91653679,2318502.48888012,NA,NA,NA,NA,8543989.81859143,NA,1049532.12720709,373.119444658142,4932800.93480267,NA,NA,2124133.98541521,2044499.50565734,2576174.84073654,3226469.26877892,NA,NA,3009632.39030149,2701374.52961183
"Alisma.subcordatum",7048797.10908434,2661608.23900442,872.446263865766,7048801.72284636,2462356.03112285,6423871.5267318,610413.252373289,0,4984241.55664985,4984232.35843289,4984186.82951506,7048549.1051356,7048780.22043694,10813.55929156,4984184.09270511,2575358.95306095,4984202.71469247,3663.44121139538,2802079.05315162,2850993.56476873,2650936.38341637,4984248.66952575,2671852.59954322,4984086.48311384,NA,2663598.0488956,7048802.4918067,7048798.81788509,7048785.89507943,2664465.719067,4984243.22981615,2560854.12449655,7048784.09371864,2360254.85994212,2664238.31093934,2664197.4572605,2860916.08625506,4984249.77679148,2664201.13122925,1656835.59001861,NA,7048798.3906849,4984253.33459921,NA,253.671471198478,NA,NA,4982821.90450751,7048801.72284636,2841499.23318918,2834045.60281652,4984255.76070619,7048799.24508528,NA,NA,4984243.95817598,4984208.77518792,2801803.93712179,1133624.35175031,2708892.47033597,4984250.79327482,7048796.59644412,4984219.79206327,1482431.84484023,4984252.60923141,2664197.66553485,NA,7048775.49275487,7048758.06298723,2843809.97588308,4984087.90561643,7048800.35580576,NA,NA,9244.01019516602,2470703.37093168,436009.392898632,NA,7048784.0082786,2664453.88169307,6452823.44016073,2664230.72398627,7048801.23156615,7048792.40988228,4984254.77248133,4984254.8048681,4984254.29797881,4984201.10683035,7048554.09625782,4984251.39527006,676.457256500793,7048215.77506951,7048792.19628219,7048773.01499378,7048802.50889471,2354449.41529557,254284.422405073,NA,4984255.36153016,4984255.24481868,2659497.1916748,510.931423969988,NA,4984255.11152767,4984245.13019093,2604195.30031893,2657645.8652714,NA,4984235.36193108,40831.448856983,28515013.2260035,4069621.54342285,2852353.63478886,7048793.29276267,2392967.45015668,NA,NA,2837687.22001599,3072663.35334483,4984202.0980215,2821895.0294796,2829208.84002953,7048757.69274707,NA,NA,2825871.12227,7048797.7071646,4984111.74557825,2543321.47330093,2664188.62127395,2447828.61961732,2345794.62774342,NA,4984247.35257718,NA,NA,NA,7048800.27036573,NA,NA,4984053.49791002,NA,7048802.33801463,2018375.42133639,1910688.92768298,2528853.94120026,NA,NA,NA,NA,7048788.82140071,NA,1614714.8380043,0.427200187265877,4984155.86385349,NA,NA,2858282.62646243,2830991.91485456,4984255.62833758,2422043.79383757,NA,NA,2652317.36468872,4983161.83680692
"Alliaria.petiolata",15.1015266198487,14311.7118567066,100.124838790958,19.7152886423202,218917.23886633,16110713.4218511,3488066.46593877,4984241.55664985,0,78103.2069049269,114993.079621837,232.902422122715,1495.25353684799,5.38272235955005,99706.8339332761,84829.5653948796,38.9028034615801,4890712.1608043,131424.309261514,59416.4068437374,392685.053906651,99242.2743540156,160250.563035905,89548.1585531419,NA,1467.77459038919,17.4133232337101,16.8103273689122,4488.94857558677,29.8299857592158,110009.570031212,193328.639966354,2.0861609173297,212042.792467934,13.2892307198348,21.2906047354226,92897.5271585711,32130.4528475402,5161.25228832076,2114518.13794401,NA,119.820994938804,107804.522186102,NA,34658.626608554,4.67072207592027,17.9559646543055,670.877819481995,19.7152886423202,45079.0779128652,61696.391326743,800148.16919438,2353.65308568835,NA,NA,58431.843417848,84474.2691098102,105633.856588339,3020746.58612543,154520.575133117,111661.964861581,2495.8880057492,3628.47652559532,2416594.28731723,12543.5941822369,30.2618229478166,NA,6.51480285580462,23.9445704962524,47861.7279196116,89.4206737899109,18.3482480430694,NA,NA,19.0531283520581,287528.529558358,1993659.56135457,NA,1073.72511434597,649.920787712887,13926451.1205518,68133.699772218,19.2240084269644,2780.65880808313,81324.7325162342,50105.6780012663,477767.257040487,15241.111289202,24043.0648309655,14089.929494761,109791.38569221,566.232488211556,21563.9669709836,7051.72432316926,114.502019236016,906215.546486552,4531127.33267225,NA,121243.887128117,1473624.97364947,240565.055467149,18007.3606415525,NA,57474.9967827552,14436.0749463781,299558.125775259,165062.208950767,NA,67108.2629287866,230.992499959413,34388949.8731797,9593.62808414088,18687.4179321247,11.2852049440922,173975.542700933,NA,NA,97077.8577967523,178097.885481843,105015.207159058,116558.653056918,45308.1491292764,24.3148106557015,109.818928111335,24126.4986835229,92659.9480865117,15.699606882021,11863.4764021038,143013.924684936,7457.34472231086,256004.93967263,297957.69807937,4930.88034440352,74859.1802962226,NA,NA,NA,24132.5361370936,NA,NA,53567.6845208716,NA,20.3304569119831,449491.532121388,1409675.5214542,1959852.77809297,NA,NA,NA,NA,6.81384298689073,NA,6536057.6214919,15007.4688408199,163.047125141926,NA,NA,88643.7936688071,63171.5950693837,76379.5983344686,453099.618635423,NA,NA,19099.7288865437,116522.269575159
"Ambrosia.artemisiifolia",28.1097723220947,8585.20533814753,172.138952457383,32.7235343445661,218425.563972758,16110704.2236272,2283472.09409579,4984232.35843289,78103.2069049269,0,30429.9207976873,219.894176420469,53.7542260867949,1.79424078651668,51116.6382409021,83907.7343123618,30.5173932210516,4976244.81949779,67311.9047253403,22485.7290360138,392675.855445089,31599.3120486253,152302.840534097,38454.9252692424,NA,1874.58213409883,20.5568090909071,29.8185730711582,53.8430230217899,30.671036374845,58789.4905674132,193319.439494896,84.0534386899105,239660.351738179,21.9673962954193,24.9702849027599,140867.097108288,36945.8089306609,54.2374452446524,2114508.93970772,NA,56.0156054149199,165613.867866031,NA,39682.6257516961,106.735966788379,10.6299190573902,690.128310115026,32.7235343445661,35621.6950733253,61687.2033500537,1042202.25987829,55.07125747611,NA,NA,61058.3918043943,17311.6963123363,49635.2217801157,3020737.38785482,108703.791152048,37047.2602856551,51.8896028557607,41.5052775760706,2416585.08906917,64677.866648653,31.3994753140877,NA,6.49344284644133,10.9363247940064,47854.4075383695,84.8333525212814,31.3564937453153,NA,NA,11.8761652059914,303317.361052589,2114552.90506074,NA,50.2510834602761,1327.18874488025,13926443.6057346,12569.5021506912,32.2322541292104,54.8183240349429,19898.7736105225,20705.038504598,583613.416077363,12202.2932195228,13148.3417707952,7948.470212877,114586.277428263,553.22424250931,11655.3375471853,51.5520363322342,52.0451814868581,906206.348193034,4531118.1344372,NA,36843.8946440821,1743880.05118009,302978.51292632,12961.1752595352,NA,150808.885373897,7616.36715123219,273452.593820539,55510.1748993752,NA,130277.134447096,47.2826278880521,27186844.5395073,1532.73342020416,25296.9326996379,24.2934506463382,209925.977647112,NA,NA,34413.5203319585,178084.877236141,12245.512083318,58639.2279555104,46506.5470232405,11.3065649534555,7.75368339887565,16189.1257428721,33617.951454018,28.7078525842669,6352.53895228413,184621.158159705,555.110570818652,330488.908841506,280803.63392347,68.0529898314541,34984.3557229572,NA,NA,NA,12480.3535220888,NA,NA,9068.73188914633,NA,33.338702614229,441544.533255689,1409666.32318739,1962654.67385981,NA,NA,NA,NA,19.8220886891367,NA,6536050.11236829,20308.1462137189,173.187633862092,NA,NA,32575.6274677942,26199.2695244562,17695.4500457316,453090.420415999,NA,NA,16955.6337979353,32585.4855593158
