,Acalypha.rhomboidea,Acer.saccharum,Adiantum.pedatum,Ageratina.altissima,Agrimonia.gryposepala,Agrostis.perennans,Agrostis.scabra,Alisma.subcordatum,Alliaria.petiolata,Ambrosia.artemisiifolia,Ambrosia.trifida,Amphicarpaea.bracteata,Anemone.canadensis,Apios.americana,Arctium.lappa,Arisaema.triphyllum,Asarum.canadense,Athyrium.filix.femina,Bidens.connata,Bidens.frondosa,Boehmeria.cylindrica,Brassica.nigra,Bromus.ciliatus,Calystegia.sepium,Caulophyllum.thalictroides,Chamaesyce.maculata,Chelone.glabra,Cicuta.maculata,Cinna.arundinacea,Circaea.lutetiana,Clematis.virginiana,Cryptotaenia.canadensis,Cynodon.dactylon,Cyperus.compressus,Cyperus.strigosus,Dactylis.glomerata,Daucus.carota,Decodon.verticillatus,Dichanthelium.clandestinum,Digitaria.cognata,Digitaria.sanguinalis,Dryopteris.carthusiana,Echinocystis.lobata,Eleocharis.intermedia,Elymus.canadensis,Elymus.virginicus,Epilobium.hirsutum,Eupatorium.purpureum,Fallopia.japonica,Fragaria.vesca,Galium.aparine,Galium.asprellum,Galium.boreale,Galium.palustre,Galium.triflorum,Geranium.maculatum,Geum.laciniatum,Glechoma.hederacea,Glyceria.borealis,Helianthus.giganteus,Helianthus.strumosus,Heliopsis.helianthoides,Hemerocallis.fulva,Hieracium.paniculatum,Hypericum.mutilum,Impatiens.capensis,Impatiens.pallida,Laportea.canadensis,Leersia.oryzoides,Lobelia.cardinalis,Ludwigia.palustris,Lycopus.uniflorus,Lysimachia.ciliata,Lysimachia.nummularia,Lysimachia.vulgaris,Lythrum.salicaria,Maianthemum.canadense,Maianthemum.racemosum,Marrubium.vulgare,Matteuccia.struthiopteris,Menispermum.canadense,Mimulus.ringens,Mitchella.repens,Mollugo.verticillata,Muhlenbergia.mexicana,Muhlenbergia.schreberi,Myosotis.laxa,Myosoton.aquaticum,Oenothera.biennis,Onoclea.sensibilis,Oxalis.stricta,Panicum.capillare,Panicum.dichotomiflorum,Parthenocissus.quinquefolia,Pastinaca.sativa,Peltandra.virginica,Penthorum.sedoides,Petasites.frigidus,Phytolacca.americana,Pilea.pumila,Plantago.major,Polygonum.hydropiper,Polygonum.hydropiperoides,Polygonum.lapathifolium,Polygonum.persicaria,Polygonum.sagittatum,Polygonum.virginianum,Prunella.vulgaris,Ranunculus.recurvatus,Rhamnus.cathartica,Rubus.allegheniensis,Rubus.hispidus,Rubus.occidentalis,Rubus.odoratus,Rumex.obtusifolius,Scutellaria.lateriflora,Solanum.dulcamara,Solidago.altissima,Solidago.canadensis,Solidago.flexicaulis,Solidago.gigantea,Thalictrum.pubescens,Thelypteris.noveboracensis,Thelypteris.palustris,Toxicodendron.radicans,Trifolium.pratense,Trifolium.repens,Urtica.dioica,Veronica.americana,Vitis.riparia,Xanthium.strumarium
Acalypha.rhomboidea,0,6882.835817,NA,4.613762022,534088.0237,22784004.52,8543998.106,7048797.109,15.10152662,28.10977232,92.49738455,248.0039487,16.88864741,NA,96.36781824,235153.6247,70.0323507,NA,185133.2247,65317.62201,555355.6297,5.057236503,504121.5967,234.4086264,1691.071941,5.38272236,1.708800749,11.21400492,1.680320739,12.73531225,273423.0576,13.0153657,842645.8882,2.904961273,2.840881245,41012.54374,3.486610758,0.256320112,2990395.33,1.281600562,1.555008682,NA,2022.792887,4.613762022,88573.88481,106831.4781,4.986036475,2.136000936,11.70528513,61.46170436,185807.1107,4271995.892,413392.7924,2.042793622,0.512640225,45.88130011,3417595.517,0.524845941,3.161281386,21.61632948,39.04609712,82913.75354,232.3969019,3.246721423,NA,996834.6133,5980796.641,13.10080574,51.71258267,24121335.94,5.639042472,4.122481807,4.69920206,3.588481573,3.631201592,2.909029843,72.30668313,243.0128265,1.187616521,NA,581.3340148,4.912802154,24.09409056,5.399810367,1281597.418,6407996.828,4.421521938,4.256467319,534386.0424,NA,4.066945783,10.05344441,669847.433,17626.91578,23.86218189,NA,76896029.52,5.831282556,61986.13841,3.816321676,718330.0297,97911.42068,178112.987,70.9102052,136594.1947,118679.117,39.41633728,126854.7963,0.598080262,198.6822631,319801.3279,18.77544823,572451.6856,842439.0085,6.907827028,3.161281386,281.0617484,5.228930292,1708795.455,1993597.342,854395.3216,8.287683633,11320798.98,NA,136.2939477,47463.14219,114311.4605,4.763282088,640794.7273,31472.265,1542.055972
Acer.saccharum,6882.835817,0,8081.702658,6887.449579,152995.3219,9298720.992,2204274.066,2661608.239,14311.71186,8585.205338,14935.33194,6634.831868,7534.137808,20406.63556,91015.21971,61248.06652,4825.247029,183532.3095,56430.27836,18335.24935,223913.1537,24526.28712,120615.6327,14934.56237,16214.49494,6888.218539,6884.544618,3511.735259,46897.88924,58383.95344,100851.5847,4857.957118,284144.5807,24040.40614,11993.32252,6445.577684,3523.747325,3388.103584,1218013.892,4867.869722,2792.10113,64250.78759,3445.968892,6887.449579,21837.17412,31615.92112,4747.160489,4476.662621,69240.75703,6142.63011,39054.68173,1741225.124,104969.5085,2266.757171,4385.901625,8838.556938,1392417.638,5195.477,12072.30774,6861.219488,6843.78972,28740.19737,4710.447061,6886.082539,18837.06742,247499.5619,1542460.819,5381.950346,28822.4883,7270799.417,17914.28808,6886.958299,3768.796574,3844.226566,10489.52383,3391.539704,3235.946565,2760.284722,3217.968443,118907.7668,6301.501802,2070.6204,3890.661985,4870.755993,520400.0873,2420933.764,2412.414242,4407.461071,118026.5854,256.4079626,2607.89011,1749.717572,270654.2331,29693.98787,51937.5368,41305.60102,20549488.85,3845.635795,19491.30971,6879.019495,136407.6084,25276.43564,76576.76488,9772.977062,33513.5421,29897.37959,6843.41948,24551.84587,6883.433897,2303.543009,87026.97872,4890.222572,178991.5864,264261.2282,42022.55456,2451.658421,3551.464362,3977.0954,380792.6291,750927.6027,235064.1249,6874.548134,4000124.342,41511.72561,3394.637361,8038.909375,20477.95158,13103.30512,240785.0313,7213.802715,10483.28603
Adiantum.pedatum,NA,8081.702658,0,NA,12446.80626,88.12343616,325.8720812,872.4462639,100.1248388,172.1389525,99.58632774,NA,NA,11685.80789,48.76760829,15830.09927,11.02176483,2584.621355,233.5135196,20743.2453,55.3005651,318.5859852,304.7800163,27917.6145,15830.78393,NA,NA,NA,41857.02793,143071.8367,3662.861141,NA,262480.0026,17093.72901,3924.544795,332.8049514,262.7699402,5408.377148,107.6010339,NA,130.1140076,174.7628473,18.79680824,NA,964.6901645,1327.38053,165.8957762,NA,129696.536,106.261573,188.4224856,94.18344865,92.8343328,646.7292276,NA,5.980802622,124.9821587,14922.72789,4012.222573,NA,NA,186.0197551,6.578882884,NA,10116.28466,1449.304149,2735.475178,NA,39340.4272,12360.26505,14209.34591,NA,NA,33.40394669,24038.2464,669.6047058,1495.988977,170.5098348,78.5232773,638.7135559,NA,2443.316545,NA,NA,69.72137405,84537.01479,246.3310368,228.5650232,495.5328784,440.1576049,2243.905101,1139.186342,39.44887831,25352.18669,45.70886734,41703.5035,1524.931109,131.408037,469.4198746,NA,37137.64794,702.496796,195.5659048,324.1062955,257.9703857,1953.377846,NA,300.3792965,NA,132.2336047,93.58941902,1357.433658,114.3483585,7150.618612,198.9160081,3150.708181,4375.067053,NA,14211.41042,2794.201535,88.04281137,NA,13501.93191,32.30319124,190.076923,247.3420233,182.0582571,42074.88629,17091.64445,8931.595827,18797.96873
Ageratina.altissima,4.613762022,6887.449579,NA,0,534092.6375,22784009.14,8544002.72,7048801.723,19.71528864,32.72353434,97.11114657,252.6177108,21.50240943,NA,100.9815803,235158.2384,74.64611272,NA,185137.8384,65322.23577,555360.2434,9.670998526,504126.2104,239.0223885,1695.685703,0.768960337,2.904961273,15.82776694,2.933441283,17.34907428,273427.6714,17.62912772,842650.5019,1.708800749,1.772880777,41017.1575,8.100372781,4.870082135,2990399.944,3.332161461,3.058753341,NA,2027.406649,0,88578.49857,106836.0918,0.372274453,2.477761086,16.31904715,66.07546638,185811.7244,4272000.506,413397.4062,6.656555644,5.126402247,50.49506213,3417600.131,4.088916082,1.452480637,26.2300915,43.65985914,82918.3673,237.0106639,1.367040599,NA,996839.227,5980801.255,17.71456776,56.32634469,24121340.55,1.025280449,0.491280215,9.312964082,1.025280449,0.982560431,1.70473218,76.92044515,247.6265885,5.801378543,NA,585.9477769,9.526564176,28.70785258,0.786048345,1281602.031,6408001.442,0.192240084,0.357294704,534390.6562,NA,0.54681624,14.66720643,669852.0467,17631.52954,28.47594391,NA,76896034.14,10.44504458,61990.75217,8.430083698,718334.6434,97916.03444,178117.6008,75.52396723,136598.8085,118683.7307,44.0300993,126859.4101,4.01568176,203.2960251,319805.9416,23.38921025,572456.2994,842443.6223,11.52158905,1.452480637,285.6755105,0.61516827,1708800.069,1993601.956,854399.9354,12.90144566,11320803.6,NA,140.9077098,47467.75596,114316.0743,0.149520066,640799.3411,31476.87876,1546.669734
Agrimonia.gryposepala,534088.0237,152995.3219,12446.80626,534092.6375,0,9083490.374,3027461.457,2462356.031,218917.2389,218425.564,202610.139,533840.0198,534071.1351,1745.680478,218741.5892,94574.74946,377607.7447,183997.3129,110383.7649,142539.7275,8682.56841,203133.6603,9484.692755,218778.7285,188257.5074,534093.4064,534089.7325,377649.3362,203575.4231,233016.6802,99784.75906,534075.0084,220099.1201,201895.9666,202059.0906,142339.8167,201865.9169,202618.0323,1002783.261,534089.3053,218044.8418,70514.31116,376226.933,534092.6375,148504.9682,161489.0818,201960.9774,534090.1597,325738.2544,218063.0751,105012.1978,1525994.498,38179.60056,218040.2943,534087.5111,377624.8217,1177187.007,218190.8451,202055.7107,534066.4074,534048.9776,159515.2523,377492.9353,534091.2704,3314.536111,139524.7705,1722401.272,534074.9229,190479.778,8339351.477,161044.2084,534092.1462,534083.3245,218046.0793,218527.6596,188831.3312,201839.1217,266923.4481,201872.2304,168279.5421,533506.6897,238849.5715,534063.9296,377661.0822,305169.4329,2221104.701,218045.0162,218070.9026,5458.346441,624.0027612,201868.8233,201863.0588,55423.56463,163676.7531,207515.0316,28274.39917,24147766.18,267042.0509,166913.2905,534084.2074,54481.07988,137938.9739,159196.9062,202405.6612,119857.1733,131367.9208,534048.6074,117560.7439,534088.6218,201800.1627,81941.47614,189258.4455,19100.58433,118092.8727,213958.7324,238853.9257,201818.4302,534093.2527,325808.1913,551847.0197,101303.4865,534079.736,3813678.405,41644.62752,308278.3079,140477.4245,126568.3473,203072.9789,40473.64187,146007.8506,201823.8662
Agrostis.perennans,22784004.52,9298720.992,88.12343616,22784009.14,9083490.374,0,5813458.276,6423871.527,16110713.42,16110704.22,16110658.69,22783756.52,22783987.63,58.89322966,16110655.96,9205529.832,16110674.58,114.5996563,9225950.575,9274865.089,9074807.91,16110720.53,9095724.118,16110558.35,9300840.519,22784009.9,22784006.23,22783993.31,9301531.582,16110715.1,9189906.401,22783991.51,8957522.154,9301532.084,9301532.056,9284787.6,16110721.64,9301530.792,8080707.115,22784005.8,16110725.2,228.03946,16109293.77,22784009.14,9265370.759,9257917.128,16110727.63,22784006.66,16110715.82,16110680.64,9225675.461,7557495.876,9132763.996,16110722.66,22784004.01,16110691.66,7906303.369,16110724.47,9301532.187,22783982.91,22783965.48,9267681.499,16110559.77,22784007.77,57.73496341,8894574.876,6859880.893,22783991.42,9301509.785,545963.2645,9301533.198,22784008.64,22783999.82,16110726.64,16110726.67,16110726.16,16110672.97,22783761.51,16110723.26,650.8252453,22783423.19,22783999.61,22783980.43,22784009.92,8778320.941,6685477.146,16110727.23,16110727.11,9083368.71,485.2994127,16110726.98,16110716.99,9028066.827,9294334.738,16110707.23,33.83522573,22091141.7,13154347.78,9276225.161,22784000.71,9008273.89,9261558.731,10109662.03,16110673.96,9245766.551,9253080.354,22783965.11,9249742.644,22784005.12,16110583.61,9170972.551,9301523.231,9067828.474,8957606.611,16110719.22,22784007.68,16110525.36,22784009.75,8603918.077,8487648.189,8952725.467,22783996.23,4679834.065,25.20481105,16110627.73,9282154.15,9254863.438,16110727.48,9039927.544,9288682.399,16109633.7
Agrostis.scabra,8543998.106,2204274.066,325.8720812,8544002.72,3027461.457,5813458.276,0,610413.2524,3488066.466,2283472.094,2701820.192,8543750.102,6041507.057,126.4288832,3488033.297,2627487.583,6041469.479,395.4822189,2786288.304,2119707.319,3261349.634,3820989.877,2320912.543,3488012.688,2369209.942,4932882.714,8543999.815,6041511.07,3488073.308,3021595.307,3376448.125,6041509.797,2322045.098,3488073.816,3488073.781,2062277.223,2701848.385,3229327.647,2267248.841,6041519.906,3229328.338,459.914381,3820087.497,8544002.72,2673839.959,3188949.374,3488074.664,6041520.51,3230060.955,3020737.799,2233820.731,1744037.602,2347103.625,3488071.788,6041518.637,4932853.117,2092845.096,2576120.016,3488073.912,8543976.49,8543959.06,3197989.309,4271882.855,8544001.353,126.9300831,2386622.813,854402.7584,6041509.736,2013827.698,5887680.303,2848001.26,8544002.229,6041515.677,3488074.099,3229353.506,2576113.579,4271962.951,4271877.648,3488072.147,279.8035411,8543416.772,3488071.188,6041501.962,6041522.818,2964862.666,872018.8721,3488074.43,3820994.022,2312176.345,377.0939499,4932882.146,2466437.079,2624716.891,3222665.395,3488062.892,73.7546411,21614810.27,2701847.815,2827337.325,8543994.29,1898003.535,2986142.61,3741337.567,2847976.082,2972466.167,2978800.432,8543958.69,2104286.101,8543998.704,2466382.596,3108454.202,2576106.762,3012961.343,2435446.828,2466437.958,3820994.21,3020660.732,8544003.335,2060891.167,2674189.917,2318502.489,8543989.819,1049532.127,373.1194447,4932800.935,2124133.985,2044499.506,2576174.841,3226469.269,3009632.39,2701374.53
Alisma.subcordatum,7048797.109,2661608.239,872.4462639,7048801.723,2462356.031,6423871.527,610413.2524,0,4984241.557,4984232.358,4984186.83,7048549.105,7048780.22,10813.55929,4984184.093,2575358.953,4984202.715,3663.441211,2802079.053,2850993.565,2650936.383,4984248.67,2671852.6,4984086.483,2663598.049,7048802.492,7048798.818,7048785.895,2664465.719,4984243.23,2560854.124,7048784.094,2360254.86,2664238.311,2664197.457,2860916.086,4984249.777,2664201.131,1656835.59,7048798.391,4984253.335,253.6714712,4982821.905,7048801.723,2841499.233,2834045.603,4984255.761,7048799.245,4984243.958,4984208.775,2801803.937,1133624.352,2708892.47,4984250.793,7048796.596,4984219.792,1482431.845,4984252.609,2664197.666,7048775.493,7048758.063,2843809.976,4984087.906,7048800.356,9244.010195,2470703.371,436009.3929,7048784.008,2664453.882,6452823.44,2664230.724,7048801.232,7048792.41,4984254.772,4984254.805,4984254.298,4984201.107,7048554.096,4984251.395,676.4572565,7048215.775,7048792.196,7048773.015,7048802.509,2354449.415,254284.4224,4984255.362,4984255.245,2659497.192,510.931424,4984255.112,4984245.13,2604195.3,2657645.865,4984235.362,40831.44886,28515013.23,4069621.543,2852353.635,7048793.293,2392967.45,2837687.22,3072663.353,4984202.098,2821895.029,2829208.84,7048757.693,2825871.122,7048797.707,4984111.746,2543321.473,2664188.621,2447828.62,2345794.628,4984247.353,7048800.27,4984053.498,7048802.338,2018375.421,1910688.928,2528853.941,7048788.821,1614714.838,0.427200187,4984155.864,2858282.626,2830991.915,4984255.628,2422043.794,2652317.365,4983161.837
Alliaria.petiolata,15.10152662,14311.71186,100.1248388,19.71528864,218917.2389,16110713.42,3488066.466,4984241.557,0,78103.2069,114993.0796,232.9024221,1495.253537,5.38272236,99706.83393,84829.56539,38.90280346,4890712.161,131424.3093,59416.40684,392685.0539,99242.27435,160250.563,89548.15855,1467.77459,17.41332323,16.81032737,4488.948576,29.82998576,110009.57,193328.64,2.086160917,212042.7925,13.28923072,21.29060474,92897.52716,32130.45285,5161.252288,2114518.138,119.8209949,107804.5222,34658.62661,670.8778195,19.71528864,45079.07791,61696.39133,800148.1692,2353.653086,58431.84342,84474.26911,105633.8566,3020746.586,154520.5751,111661.9649,2495.888006,3628.476526,2416594.287,12543.59418,30.26182295,6.514802856,23.9445705,47861.72792,89.42067379,18.34824804,19.05312835,287528.5296,1993659.561,1073.725114,649.9207877,13926451.12,68133.69977,19.22400843,2780.658808,81324.73252,50105.678,477767.257,15241.11129,24043.06483,14089.92949,109791.3857,566.2324882,21563.96697,7051.724323,114.5020192,906215.5465,4531127.333,121243.8871,1473624.974,240565.0555,18007.36064,57474.99678,14436.07495,299558.1258,165062.209,67108.26293,230.9925,34388949.87,9593.628084,18687.41793,11.28520494,173975.5427,97077.8578,178097.8855,105015.2072,116558.6531,45308.14913,24.31481066,92659.94809,15.69960688,11863.4764,143013.9247,7457.344722,256004.9397,297957.6981,74859.1803,24132.53614,53567.68452,20.33045691,449491.5321,1409675.521,1959852.778,6.813842987,6536057.621,15007.46884,163.0471251,88643.79367,63171.59507,76379.59833,453099.6186,19099.72889,116522.2696
Ambrosia.artemisiifolia,28.10977232,8585.205338,172.1389525,32.72353434,218425.564,16110704.22,2283472.094,4984232.358,78103.2069,0,30429.9208,219.8941764,53.75422609,1.794240787,51116.63824,83907.73431,30.51739322,4976244.819,67311.90473,22485.72904,392675.8554,31599.31205,152302.8405,38454.92527,1874.582134,20.55680909,29.81857307,53.84302302,30.67103637,58789.49057,193319.4395,84.05343869,239660.3517,21.9673963,24.9702849,140867.0971,36945.80893,54.23744524,2114508.94,56.01560541,165613.8679,39682.62575,690.1283101,32.72353434,35621.69507,61687.20335,1042202.26,55.07125748,61058.3918,17311.69631,49635.22178,3020737.388,108703.7912,37047.26029,51.88960286,41.50527758,2416585.089,64677.86665,31.39947531,6.493442846,10.93632479,47854.40754,84.83335252,31.35649375,11.87616521,303317.3611,2114552.905,50.25108346,1327.188745,13926443.61,12569.50215,32.23225413,54.81832403,19898.77361,20705.0385,583613.4161,12202.29322,13148.34177,7948.470213,114586.2774,553.2242425,11655.33755,51.55203633,52.04518149,906206.3482,4531118.134,36843.89464,1743880.051,302978.5129,12961.17526,150808.8854,7616.367151,273452.5938,55510.1749,130277.1344,47.28262789,27186844.54,1532.73342,25296.9327,24.29345065,209925.9776,34413.52033,178084.8772,12245.51208,58639.22796,46506.54702,11.30656495,33617.95145,28.70785258,6352.538952,184621.1582,555.1105708,330488.9088,280803.6339,34984.35572,12480.35352,9068.731889,33.33870261,441544.5333,1409666.323,1962654.674,19.82208869,6536050.112,20308.14621,173.1876339,32575.62747,26199.26952,17695.45005,453090.4204,16955.6338,32585.48556
