,Leaf.C.per.dry.mass,Leaf.C.to.N.ratio,Leaf.weight.ratio,Lamina.thickness,Leaf.N.per.dry.mass,Leaf.N.to.P.ratio,Leaf.P.per.dry.mass,Leaf.physical.strength,SLA,RGR,Rooting.depth,Seed.mass,Seed.number.per.reproduction.unit,Seed.protein.content.per.mass,Wood.dry.mass.per.plant.dry.mass
Bullhead Pond Brook Inv,NA,NA,0.8,0.22,19.2,10.09,1731.73,0.47,71.01,0.21,0.31,0.31,40193.6,18.8,NA
Cobleskill Creek Inv,NA,NA,NA,NA,NA,NA,NA,NA,26.26,NA,NA,1.29,3593.3,32.63,NA
Fawn Lake Inv,45.32,19.89,14.8,NA,2.35,NA,NA,NA,199.13,NA,6,11460.37,13362.38,NA,75.89
Kayaderosseras Creek Inv,NA,NA,NA,NA,1.26,NA,NA,NA,46.91,NA,NA,0.52,90411.67,NA,NA
Kinderhook Creek Inv,NA,NA,0.8,0.22,19.2,10.09,1731.73,0.47,71.01,0.21,0.31,0.31,40193.6,18.8,NA
New Pond Brook Inv,NA,NA,0.8,0.22,19.2,10.09,1731.73,0.47,71.01,0.21,0.31,0.31,40193.6,18.8,NA
Quacken Kill Inv,NA,NA,0.8,0.22,19.2,10.09,1731.73,0.47,71.01,0.21,0.31,0.31,40193.6,18.8,NA
Saw Kill Inv,45.32,19.89,14.8,NA,7.115,12.63,855.86,NA,199.13,NA,6,5734.425,13362.38,NA,75.89
Snook Kill Inv,NA,NA,0.8,0.22,19.2,10.09,1731.73,0.47,71.01,0.21,0.31,0.31,40193.6,18.8,NA
Alplaus Kill Nat,45.39,18.15,0.43,NA,2.07,NA,0.26,NA,5972.15,0.24,8,3823.35,22084.84,33.8,NA
Ballston Creek Nat,47.2,15.24,6.46,NA,2.8725,6.405,1766.753333,NA,1812.1025,0.24,12,137427.8417,7499.3,26.1,86.11
Beaver Kill Nat,49.01,12.33,12.49,NA,3.71,8,2600,NA,426.43,NA,10,97535.89,4,NA,86.11
Big Brook Nat,45.39,18.15,0.525,0.18,2.53,11.16,570.23,0.64,3015.775,0.185,6,14696.665,12538.655,23.25,NA
Bullhead Pond Brook Nat,49.01,12.33,12.49,NA,3.71,8,2600,NA,426.43,NA,14,116671.37,4,NA,86.11
Cobleskill Creek Nat,42.28,16.005,0.43,NA,2.17,NA,0.245,NA,4554.505,0.2,8,3913.365,11051.92,39.475,NA
Daly Creek Nat,49.01,12.33,12.49,NA,3.71,8,2600,NA,426.43,NA,14,116671.37,4,NA,86.11
Evas Kill Nat,45.39,18.15,0.43,NA,1.685,4.81,1350.13,NA,3390.05,0.24,11,235882.2333,22084.84,33.8,NA
Fawn Lake Nat,49.01,12.33,6.555,0.18,3.35,9.58,1870.1,0.64,180.1666667,0.13,8.666666667,53362.68667,1357.793333,12.7,86.11
Fishkill Creek Nat,49.01,12.33,12.49,NA,3.71,8,2600,NA,426.43,NA,14,58336.26,4,NA,86.11
Four Mile Brook Nat,NA,NA,0.62,0.18,2.99,11.16,1140.2,0.64,59.4,0.13,4,21747.78,2992.47,12.7,NA
Indian Brook Nat,49.01,12.33,12.49,NA,4.06,8,2600,NA,234.155,NA,14,38894.68333,206.53,18.4,86.11
Indian Kill Nat,47.2,15.24,6.46,NA,3.396666667,8,1300.13,NA,2146.82,0.24,11,31082.4,7499.3,26.1,86.11
Kayaderosseras Creek Nat,42.28,16.005,0.43,NA,2.916666667,NA,0.245,NA,3050.296667,0.2,8,1615.196,7504.3,32.45,NA
Keyser Kill Nat,47.415,22.83,12.115,NA,3.17,8,2600,NA,192.5633333,NA,14,38894.31333,2494.753333,18.4,79.78
Kinderhook Creek Nat,45.82,33.33,11.74,NA,21.905,NA,NA,NA,241.21,NA,NA,0.4,7071.2,NA,73.45
Landsman Kill Nat,46.74,21.27,8.22,NA,2.895,8,1300.13,NA,1637.46,0.24,11,24865.928,7392.275,26.1,79.78
