Trait,Abies balsamea,Acer negundo,Acer pensylvanicum,Acer rubrum,Acer saccharinum,Acer saccharum,Acer spicatum,Achillea millefolium,Ageratina altissima,Agrimonia gryposepala,Agrostis perennans,Alliaria petiolata,Alnus incana,Ambrosia artemisiifolia,Ambrosia trifida,Amphicarpaea bracteata,Anemone virginiana,Apocynum cannabinum,Arctium lappa,Arisaema triphyllum,Artemisia vulgaris,Asclepias syriaca,Athyrium filix-femina,Barbarea vulgaris,Berberis thunbergii,Betula alleghaniensis,Betula papyrifera,Bidens connata,Bidens frondosa,Blephilia hirsuta,Boehmeria cylindrica,Brassica nigra,Bromus ciliatus,Bromus inermis,Bromus pubescens,Calystegia sepium,Carex crinita,Carex scoparia,Carpinus caroliniana,Carya cordiformis,Carya ovata,Centaurea jacea,Centaurea nigrescens,Centaurea stoebe,Cephalanthus occidentalis,Chelidonium majus,Chelone glabra,Cicuta maculata,Cinna arundinacea,Circaea lutetiana,Clematis virginiana,Clinopodium vulgare,Collinsonia canadensis,Commelina communis,Cornus amomum,Cornus canadensis,Cornus rugosa,Cornus sericea,Corylus cornuta,Cryptotaenia canadensis,Cyperus strigosus,Dactylis glomerata,Daucus carota,Dianthus armeria,Dichanthelium clandestinum,Digitaria sanguinalis,Dioscorea villosa,Dryopteris carthusiana,Dryopteris cristata,Echinocystis lobata,Eleocharis intermedia,Elymus hystrix,Elymus repens,Elymus trachycaulus,Elymus virginicus,Epilobium ciliatum,Epipactis helleborine,Equisetum fluviatile,Equisetum hyemale,Equisetum palustre,Equisetum pratense,Erigeron annuus,Euonymus alatus,Eupatorium perfoliatum,Euphorbia maculata,Euthamia graminifolia,Fagus grandifolia,Fragaria vesca,Fraxinus americana,Fraxinus nigra,Fraxinus pennsylvanica,Galium aparine,Galium asprellum,Galium boreale,Galium mollugo,Galium palustre,Galium triflorum,Geum canadense,Glechoma hederacea,Glyceria striata,Hamamelis virginiana,Helianthus strumosus,Helianthus tuberosus,Hemerocallis fulva,Hypericum mutilum,Hypericum perforatum,Hypericum punctatum,Impatiens capensis,Impatiens pallida,Juglans cinerea,Juglans nigra,Juncus articulatus,Juncus filiformis,Laportea canadensis,Leonurus cardiaca,Leucanthemum vulgare,Linaria vulgaris,Lindera benzoin,Liparis loeselii,Lithospermum officinale,Lobelia cardinalis,Lobelia inflata,Lobelia siphilitica,Lonicera japonica,Lonicera morrowii,Lotus corniculatus,Ludwigia palustris,Lycopus americanus,Lycopus rubellus,Lysimachia ciliata,Lysimachia nummularia,Lysimachia quadrifolia,Lysimachia terrestris,Lythrum salicaria,Maianthemum racemosum,Malus pumila,Matteuccia struthiopteris,Melilotus officinalis,Mimulus ringens,Mitchella repens,Monotropa uniflora,Muhlenbergia mexicana,Myosotis laxa,Myosotis scorpioides,Myrica gale,Oenothera biennis,Onoclea sensibilis,Osmunda cinnamomea,Osmunda regalis,Ostrya virginiana,Oxalis stricta,Panicum dichotomiflorum,Parthenocissus quinquefolia,Peltandra virginica,Phalaris arundinacea,Phegopteris connectilis,Phegopteris hexagonoptera,Phleum pratense,Pilea pumila,Pinus strobus,Plantago lanceolata,Plantago major,Platanus occidentalis,Polygonum amphibium,Polygonum cuspidatum,Polygonum hydropiper,Polygonum hydropiperoides,Polygonum persicaria,Polygonum punctatum,Polygonum sagittatum,Polygonum virginianum,Polystichum acrostichoides,Populus deltoides,Potentilla recta,Potentilla simplex,Prenanthes alba,Prunella vulgaris,Prunus americana,Prunus serotina,Prunus virginiana,Pteridium aquilinum,Quercus alba,Quercus velutina,Ranunculus pensylvanicus,Ranunculus recurvatus,Rhamnus alnifolia,Rhamnus cathartica,Rhus typhina,Robinia pseudoacacia,Rosa multiflora,Rosa palustris,Rubus allegheniensis,Rubus hispidus,Rubus idaeus,Rubus occidentalis,Rubus odoratus,Rubus phoenicolasius,Rubus pubescens,Rudbeckia hirta,Rudbeckia laciniata,Rumex crispus,Rumex obtusifolius,Sagittaria latifolia,Salix alba,Salix nigra,Salix pentandra,Sambucus nigra,Saponaria officinalis,Schoenoplectus pungens,Scirpus atrocinctus,Scirpus microcarpus,Scutellaria lateriflora,Securigera varia,Silene vulgaris,Solanum dulcamara,Solidago altissima,Solidago canadensis,Solidago flexicaulis,Solidago gigantea,Sonchus oleraceus,Spiraea alba,Symphyotrichum lanceolatum,Symphyotrichum prenanthoides,Symplocarpus foetidus,Tanacetum vulgare,Taraxacum officinale,Thalictrum dioicum,Thalictrum pubescens,Thelypteris noveboracensis,Thelypteris palustris,Thuja occidentalis,Tilia americana,Toxicodendron radicans,Trifolium aureum,Trifolium pratense,Trifolium repens,Trillium erectum,Tsuga canadensis,Tussilago farfara,Ulmus americana,Ulmus rubra,Urtica dioica,Veratrum viride,Verbascum thapsus,Verbena hastata,Verbena urticifolia,Veronica americana,Veronica anagallis-aquatica,Veronica scutellata,Viburnum acerifolium,Viburnum dentatum,Viburnum lantanoides,Vinca minor,Vitis riparia,Xanthium strumarium
Dispersal syndrome,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dispersal unit dry mass,NA,41.21,NA,NA,NA,NA,NA,0.13,NA,NA,NA,NA,0.55,NA,17.12,NA,NA,NA,12.13,NA,0.13,NA,NA,NA,NA,NA,NA,NA,3.3,NA,NA,NA,NA,4.22,NA,NA,NA,NA,NA,NA,NA,2,1.47,1.34,NA,NA,NA,NA,NA,1.97,NA,0.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.87,1.09,NA,NA,0.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.34,NA,NA,NA,8.34,NA,0.61,0.53,0.91,NA,NA,0.69,0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.08,0.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,0.24,0.31,1.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.71,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.26,NA,NA,0.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.09,NA,NA,NA,NA,NA,NA,1.45,NA,0.99,NA,NA,NA,2.83,2.433333333,1.25,NA,NA,NA,NA,46.23,NA,NA,NA,NA,NA,4.78,NA,NA,NA,0.06,NA,0.06,0.356666667,NA,NA,NA,NA,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22,NA,NA,0.173333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dispersal unit length,NA,30.13333333,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2.7,2.75,6.75,NA,NA,NA,19.58,NA,1.46,NA,NA,NA,NA,NA,NA,NA,9.356666667,NA,NA,NA,NA,9.776666667,NA,NA,NA,NA,NA,NA,NA,3,3.06,4.206666667,NA,NA,NA,NA,NA,7.11,NA,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.95,3.46,NA,NA,2.656666667,NA,NA,NA,47.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,6.135,NA,NA,37.5,3.2,NA,1.95,1.22,1.7,NA,NA,NA,1.266666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.39,2.45,NA,NA,NA,3.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.69,NA,NA,NA,NA,1.53,1.6,2.186666667,NA,NA,NA,NA,NA,NA,2.52,NA,NA,3.06,NA,NA,2.226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.31,NA,NA,1.77,NA,7.575,7.25,NA,NA,NA,NA,NA,NA,6.085,NA,NA,NA,NA,NA,NA,7.47,NA,1.66,NA,NA,1.9,4.77,3.59,2.29,3.75,NA,NA,NA,4.95,NA,2.75,NA,NA,NA,6,NA,10,NA,1.18,NA,1.983333333,4.073333333,NA,NA,NA,NA,1.9,NA,NA,NA,NA,NA,NA,NA,NA,5.666666667,3.75,4.38,NA,NA,12.06,NA,NA,1.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
Dispersal unit thickness,NA,2.3,NA,NA,NA,NA,NA,0.34,NA,NA,NA,NA,0.35,1.9,3.55,NA,NA,NA,1.53,NA,0.35,NA,NA,NA,NA,NA,NA,NA,1.08,NA,NA,NA,NA,0.836666667,NA,NA,NA,NA,NA,NA,NA,1,0.86,0.9,NA,NA,NA,NA,NA,1.08,NA,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.896666667,1.1,NA,NA,0.61,NA,NA,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.61,NA,NA,NA,2.28,NA,0.88,1,NA,NA,NA,NA,0.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.84,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,NA,0.5,1.366666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.66,NA,NA,0.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.57,NA,NA,0.73,NA,7.425,6.125,NA,NA,NA,NA,NA,NA,5.1,NA,NA,NA,NA,NA,NA,1.07,NA,0.64,NA,NA,0.6,1,3.19,1.27,NA,NA,NA,NA,1.1,NA,NA,NA,NA,NA,2,NA,NA,NA,0.35,NA,0.25,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29,NA,NA,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5
Dispersal unit width,NA,12.2,NA,NA,NA,NA,NA,0.86,NA,NA,NA,NA,2.45,1.9,4.79,NA,NA,NA,17.55,NA,0.44,NA,NA,NA,NA,NA,NA,NA,2.41,NA,NA,NA,NA,2.103333333,NA,NA,NA,NA,NA,NA,NA,1.45,1.5,1.22,NA,NA,NA,NA,NA,2.27,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.13,2.703333333,NA,NA,0.98,NA,NA,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.89,NA,NA,5.75,2.63,NA,0.98,1.13,1.5,NA,NA,NA,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,0.83,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.25,NA,NA,NA,NA,1.3,1.08,1.986666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.08,NA,NA,0.956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95,NA,NA,1.03,NA,7.425,6.625,NA,NA,NA,NA,NA,NA,5.165,NA,NA,NA,NA,NA,NA,6.685,NA,1.08,NA,NA,0.6,1.3,3.293333333,1.4,2.5,NA,NA,NA,4.065,NA,NA,NA,NA,NA,2,NA,10,NA,0.35,NA,0.33,0.91,NA,NA,NA,NA,0.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.65,1.35,NA,NA,0.45,NA,NA,1.156666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5
Germination efficiency,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Germination requirement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leaf area,NA,24.86090909,NA,36.110625,NA,50.94875,NA,96.56347826,NA,17.34,NA,5640.99,1697.789231,3781.883333,5504.723333,NA,NA,NA,26087.22444,62.465,2355.522,89.25269841,67730,4750.5,NA,29.50153846,25.51,1020.833333,4266.033333,NA,NA,7031.153333,6.077,20.68545181,NA,3208,NA,NA,14.95,NA,80.835,8.793333333,NA,469.6322222,NA,9226,NA,NA,NA,1770.616667,NA,84.10076923,NA,NA,NA,NA,NA,21.91,33.21,NA,NA,126.350597,11.17058824,232.6333333,NA,294.0333333,NA,18468,NA,NA,NA,NA,1679.43,4.9,NA,722.775,2089.146364,177.04,1376.03,65.3,NA,255.3036364,NA,84.85222222,NA,3.105454545,NA,1208.1475,39.33083333,NA,NA,97.412,NA,16.5845,3.367837838,9.732857143,NA,NA,356.11,NA,NA,NA,19619.5,NA,NA,38.07,NA,26.63857143,15.801,NA,42,409.8654545,619.3833333,NA,NA,403.42,26.77888889,NA,924.845,957.5,NA,4.358333333,NA,NA,NA,7.665454545,254.915,2.95,NA,NA,273.288,NA,NA,260.4545833,17.06333333,NA,48201.68,607,6.19,NA,NA,NA,264.425,1420.933333,57.22666667,2224.563077,71.65891892,NA,164402.65,28.157,7.432857143,NA,57.0644,NA,401.2044444,7254.546667,NA,40.84573171,NA,2.7,275.6309524,2250.62,169.35,2756.7,NA,544.3375,NA,538.3722222,NA,10.004,NA,NA,84,1301.876818,5.95,NA,218.224,NA,1291.271667,11.76416667,NA,NA,NA,NA,NA,NA,568.902973,12.013,25.59333333,5598.666667,NA,NA,NA,55.54346154,NA,NA,NA,NA,3.330833333,NA,6290,21959.21625,NA,475.33,NA,620.966,1001.59625,2165.5,NA,53.968,NA,5.2825,NA,1179.5,1414.892542,NA,11.2918109,NA,509.1866667,7607.666667,NA,NA,NA,NA,1991.315455,28.16829268,NA,NA,NA,10907.38,0.1,NA,NA,410.8233333,74.21464286,35.30244898,NA,0.48,14599.04143,120,NA,864.8911111,NA,13033.82,15.99222222,NA,NA,2285,77.30833333,NA,NA,NA,565,42.48857143,3517.644286
Leaf carbon (C) content per area,NA,44.4,NA,39.9,NA,36.34444444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,22.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.3,NA,28.26666667,52.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.2,NA,13.66666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.8,NA,NA,NA,NA,NA,34.125,NA,NA,20.4,25,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,66.7,NA,NA,NA,68.66666667,NA,NA,NA,16.8,22.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leaf carbon (C) content per dry mass,NA,44.71,NA,46.20545455,NA,NA,NA,281.0138462,NA,NA,NA,NA,54.4725,NA,NA,NA,NA,NA,NA,NA,424.17,42.774,NA,NA,NA,NA,NA,NA,45.39,NA,NA,NA,43.73,45.064,NA,46.01,NA,NA,NA,NA,NA,459.93375,NA,NA,NA,NA,NA,NA,NA,42.805,NA,458.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,340.28,256.506,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.90666667,41.74,NA,NA,NA,45.9,NA,264.5366667,NA,45.822,NA,46.71,NA,47.385,NA,477,NA,NA,NA,NA,NA,197.5363158,472.0525,NA,NA,NA,42.81,NA,NA,NA,41.77,NA,NA,497,NA,49.006,NA,NA,NA,NA,NA,NA,NA,459.2925,46.156,NA,NA,NA,NA,NA,NA,NA,NA,482.7911111,NA,NA,NA,NA,NA,NA,NA,43.862,NA,NA,46.99666667,NA,NA,NA,NA,NA,NA,NA,NA,41.89,43.188,NA,NA,NA,NA,NA,43.745,NA,44.10181818,NA,NA,210.6223077,NA,NA,402.8266667,35.12375,NA,NA,NA,45.322,NA,44.298,NA,44.986,NA,NA,NA,NA,NA,NA,460.2383333,NA,46.89818182,44.96545455,496,NA,NA,NA,NA,NA,43,NA,NA,NA,NA,NA,NA,246.1322222,NA,NA,NA,NA,NA,NA,43.98,285.545,NA,44.33,NA,466.34,43.22,NA,NA,44.722,NA,NA,NA,NA,45.07,NA,46.318,NA,48.465,NA,NA,NA,NA,NA,46.817,236.2241176,NA,NA,NA,NA,NA,NA,NA,NA,360.4633333,396.84,NA,NA,38.686,NA,NA,113.664,NA,46.28,46.73,NA,NA,NA,NA,NA,NA,NA,NA,43.1325,39.17
