Trait,abies_balsamea,acer_negundo,acer_pensylvanicum,acer_rubrum,acer_saccharinum,acer_saccharum,acer_spicatum,alnus_incana,betula_alleghaniensis,betula_papyrifera,carpinus_caroliniana,carya_cordiformis,carya_ovata,cephalanthus_occidentalis,cornus_amomum,cornus_canadensis,cornus_rugosa,cornus_sericea,corylus_cornuta,fagus_grandifolia,fraxinus_americana,fraxinus_nigra,fraxinus_pennsylvanica,hamamelis_virginiana,juglans_cinerea,juglans_nigra,lindera_benzoin,myrica_gale,oenothera_biennis,ostrya_virginiana,pinus_strobus,platanus_occidentalis,populus_deltoides,prunus_americana,prunus_serotina,prunus_virginiana,quercus_alba,quercus_velutina,rhamnus_alnifolia,rhus_typhina,robinia_pseudoacacia,rosa_palustris,rubus_allegheniensis,rubus_hispidus,rubus_idaeus,rubus_occidentalis,rubus_odoratus,salix_nigra,spiraea_alba,thuja_occidentalis,tilia_americana,tsuga_canadensis,ulmus_americana,ulmus_rubra,viburnum_acerifolium,viburnum_dentatum,viburnum_lantanoides
Dispersal syndrome,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dispersal unit dry mass,NA,41.21,NA,NA,NA,NA,NA,0.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.45,NA,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dispersal unit length,NA,30.13333333,NA,NA,NA,NA,NA,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.5,NA,NA,NA,NA,2.186666667,NA,NA,NA,NA,NA,NA,7.575,7.25,NA,NA,NA,NA,NA,NA,NA,NA,7.47,NA,1.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dispersal unit thickness,NA,2.3,NA,NA,NA,NA,NA,0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.366666667,NA,NA,NA,NA,NA,NA,7.425,6.125,NA,NA,NA,NA,NA,NA,NA,NA,1.07,NA,0.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dispersal unit width,NA,12.2,NA,NA,NA,NA,NA,2.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.75,NA,NA,NA,NA,1.986666667,NA,NA,NA,NA,NA,NA,7.425,6.625,NA,NA,NA,NA,NA,NA,NA,NA,6.685,NA,1.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Germination efficiency,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Germination requirement,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leaf area,NA,24.86090909,NA,36.110625,NA,50.94875,NA,1697.789231,29.50153846,25.51,14.95,NA,80.835,NA,NA,NA,NA,21.91,33.21,NA,39.33083333,NA,NA,NA,NA,42,NA,57.22666667,2224.563077,28.157,2.7,169.35,84,NA,1291.271667,11.76416667,NA,NA,NA,12.013,25.59333333,NA,NA,NA,55.54346154,NA,NA,NA,NA,0.1,NA,0.48,120,NA,NA,NA,NA
Leaf carbon (C) content per area,NA,44.4,NA,39.9,NA,36.34444444,NA,NA,NA,NA,NA,50,22.4,NA,NA,NA,NA,NA,NA,29.3,28.26666667,52.6,NA,NA,NA,45.9,NA,NA,NA,NA,13.66666667,NA,21.8,NA,34.125,NA,20.4,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,66.7,NA,16.8,22.2,NA,NA,NA
Leaf carbon (C) content per dry mass,NA,44.71,NA,46.20545455,NA,NA,NA,54.4725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.89,NA,NA,NA,NA,NA,46.89818182,44.96545455,NA,NA,NA,NA,NA,NA,NA,NA,246.1322222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leaf carbon/nitrogen (C/N) ratio,NA,14.17,NA,24.7,NA,27.85,NA,19.16,NA,28.7,NA,NA,25.2,NA,NA,NA,NA,NA,NA,26.9,23.5,NA,NA,NA,NA,16.9,NA,NA,22.076,NA,26.1,NA,21.2,NA,23.73,NA,27.2,34,NA,NA,NA,NA,NA,NA,24.654,NA,NA,NA,NA,48.6,NA,NA,25.9,NA,NA,NA,NA
Leaf density,NA,0.805833333,NA,0.338333333,0.47,0.404117647,0.29,NA,0.623333333,0.29,0.415,0.406666667,NA,NA,NA,NA,NA,NA,NA,NA,0.478,0.326666667,0.39,0.395,NA,0.52,NA,NA,NA,0.442727273,NA,NA,0.35,NA,0.313333333,0.33,0.235,0.454,NA,0.683,NA,NA,NA,NA,0.354,NA,NA,NA,NA,NA,0.3,NA,NA,0.343333333,NA,NA,NA
Leaf dry mass,NA,0.167,NA,709.1566667,NA,51.57428571,NA,124.02,0.093846154,206.44,65.86,NA,721.75,NA,NA,NA,NA,NA,NA,NA,100.5175,NA,NA,NA,NA,137.7,NA,13.10333333,3.441428571,0.056,32.92,727.53,763.64,NA,163.2858824,NA,NA,NA,NA,0.073,100.7333333,NA,NA,NA,31.9321875,NA,NA,NA,NA,2.23,NA,5.88,1428.57,NA,NA,NA,NA
Leaf dry mass per plant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Leaf dry mass per plant dry mass (leaf weight ratio, LWR)",NA,0.57,NA,NA,NA,0.67,NA,NA,0.62,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.65,NA,NA,NA,NA,NA,10.18428571,NA,0.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.912,NA,NA,NA,NA,0.64,NA,0.66,NA,NA,NA,NA,NA
Leaf dry matter content (LDMC),NA,0.605,NA,2.045,NA,0.838333333,NA,207.178,0.742,2.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.647,NA,NA,NA,NA,NA,NA,345,21.524,0.643,NA,NA,NA,NA,307.0788889,NA,NA,NA,NA,0.63,NA,NA,NA,NA,151.3376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leaf fresh mass,NA,NA,NA,NA,NA,NA,NA,556.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leaf lamina thickness,NA,NA,NA,174.375,NA,190.745,NA,NA,NA,225.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leaf lifespan,NA,NA,NA,5.51625,NA,5.5,NA,1.95,NA,1.95,7.7,NA,5.6,NA,NA,NA,NA,NA,NA,NA,5.7,NA,NA,NA,NA,5,NA,NA,NA,NA,20.275,NA,5,NA,5.5,NA,NA,NA,NA,NA,4.6,NA,NA,6.015,NA,NA,NA,NA,6.015,36.04,NA,60,5.886,NA,NA,NA,NA
Leaf nitrogen (N) content,NA,NA,NA,13.93333333,NA,13.32,NA,5.78,NA,3.92,1.51,NA,25.46,NA,NA,NA,NA,NA,NA,NA,12.91,NA,NA,NA,NA,4.08,NA,NA,NA,NA,0.51,14.59,18.02,NA,13.38,NA,NA,NA,NA,NA,2.68,NA,NA,NA,NA,NA,NA,NA,NA,0.02,NA,0.06,27.57,NA,NA,NA,NA
