Species,Duration,Growth Habit,Origin
Abies balsamea,perennial,tree,N
Acer negundo,perennial,tree,N
Acer pensylvanicum,perennial,tree,N
Acer rubrum,perennial,tree,N
Acer saccharinum,perennial,tree,N
Acer saccharum,perennial,tree,N
Acer spicatum,perennial,tree,N
Achillea millefolium,perennial,forb,I
Ageratina altissima,perennial,forb,N
Agrimonia gryposepala,perennial,forb,N
Agrostis perennans,perennial,graminoid,N
Alliaria petiolata,biennial,forb,I
Alnus incana,perennial,tree,N
Ambrosia artemisiifolia,annual,forb,N
Ambrosia trifida,annual,forb,N
Amphicarpaea bracteata,perennial,forb,N
Anemone virginiana,perennial,forb,N
Apocynum cannabinum,perennial,forb,N
Arctium lappa,biennial,forb,I
Arisaema triphyllum,perennial,forb,N
Artemisia vulgaris,perennial,forb,I
Asclepias syriaca,perennial,forb,N
Athyrium filix-femina,perennial,forb,N
Barbarea vulgaris,biennial,forb,I
Berberis thunbergii,perennial,shrub,I
Betula alleghaniensis,perennial,tree,N
Betula papyrifera,perennial,tree,N
Bidens connata,annual,forb,N
Bidens frondosa,annual,forb,N
Blephilia hirsuta,perennial,forb,N
Boehmeria cylindrica,perennial,forb,N
Brassica nigra,annual,forb,I
Bromus ciliatus,perennial,graminoid,N
Bromus inermis,perennial,graminoid,I
Bromus pubescens,perennial,graminoid,N
Calystegia sepium,perennial,forb,I
Carex crinita,perennial,graminoid,N
Carex scoparia,perennial,graminoid,N
Carpinus caroliniana,perennial,tree,N
Carya cordiformis,perennial,tree,N
Carya ovata,perennial,tree,N
Centaurea jacea,perennial,forb,I
Centaurea nigrescens,perennial,forb,I
Centaurea stoebe,perennial,forb,I
Cephalanthus occidentalis,perennial,shrub,N
Chelidonium majus,biennial,forb,I
Chelone glabra,perennial,forb,N
Cicuta maculata,perennial,forb,N
Cinna arundinacea,perennial,graminoid,N
Circaea lutetiana,perennial,forb,N
Clematis virginiana,perennial,vine,N
Clinopodium vulgare,perennial,forb,N
Collinsonia canadensis,perennial,forb,N
Commelina communis,annual,forb,I
Cornus amomum,perennial,shrub,N
Cornus canadensis,perennial,shrub,N
Cornus rugosa,perennial,shrub,N
Cornus sericea,perennial,shrub,N
Corylus cornuta,perennial,tree,N
Cryptotaenia canadensis,perennial,forb,N
Cyperus strigosus,perennial,graminoid,N
Dactylis glomerata,perennial,graminoid,I
Daucus carota,biennial,forb,I
Dianthus armeria,biennial,forb,I
Dichanthelium clandestinum,perennial,graminoid,N
Digitaria sanguinalis,annual,graminoid,I
Dioscorea villosa,perennial,forb,N
Dryopteris carthusiana,perennial,forb,N
Dryopteris cristata,perennial,forb,N
Echinocystis lobata,annual,forb,N
Elymus canadensis,perennial,graminoid,N
Elymus hystrix,perennial,graminoid,N
Elymus repens,perennial,graminoid,I
Elymus trachycaulus,perennial,graminoid,N
Elymus virginicus,perennial,graminoid,N
Epilobium ciliatum,perennial,forb,N
Epipactis helleborine,perennial,forb,I
Equisetum fluviatile,perennial,forb,N
Equisetum hyemale,perennial,forb,N
Equisetum palustre,perennial,forb,N
Equisetum pratense,perennial,forb,N
Erigeron annuus,annual,forb,N
Euonymus alatus,perennial,shrub,I
Eupatorium perfoliatum,perennial,forb,N
Euphorbia maculata,annual,forb,N
Euthamia graminifolia,perennial,forb,N
Fagus grandifolia,perennial,tree,N
Fragaria vesca,perennial,forb,N
Fraxinus americana,perennial,tree,N
Fraxinus nigra,perennial,tree,N
Fraxinus pennsylvanica,perennial,tree,N
Galium aparine,annual,forb,N
Galium asprellum,perennial,forb,N
Galium boreale,perennial,forb,N
Galium mollugo,perennial,forb,I
Galium palustre,perennial,forb,N
Galium triflorum,perennial,forb,N
Geum canadense,perennial,forb,N
Glechoma hederacea,perennial,forb,I
Glyceria striata,perennial,graminoid,N
Hamamelis virginiana,perennial,tree,N
Helianthus strumosus,perennial,forb,N
Helianthus tuberosus,perennial,forb,N
Hemerocallis fulva,perennial,forb,I
Hypericum mutilum,perennial,forb,N
Hypericum perforatum,perennial,forb,I
Hypericum punctatum,perennial,forb,N
Impatiens capensis,annual,forb,N
Impatiens pallida,annual,forb,N
Juglans cinerea,perennial,tree,N
Juglans nigra,perennial,tree,N
Juncus articulatus,perennial,graminoid,N
Juncus filiformis,perennial,graminoid,N
Laportea canadensis,perennial,forb,N
Leonurus cardiaca,perennial,forb,I
Leucanthemum vulgare,perennial,forb,I
Linaria vulgaris,perennial,forb,I
Lindera benzoin,perennial,shrub,N
Liparis loeselii,perennial,forb,N
Lithospermum officinale,perennial,forb,I
Lobelia cardinalis,perennial,forb,N
Lobelia inflata,annual,forb,N
Lobelia siphilitica,perennial,forb,N
Lonicera japonica,perennial,vine,I
Lonicera morrowii,perennial,shrub,I
Lotus corniculatus,perennial,forb,I
Ludwigia palustris,perennial,forb,N
Lycopus americanus,perennial,forb,N
Lycopus rubellus,perennial,forb,N
Lysimachia ciliata,perennial,forb,N
Lysimachia nummularia,perennial,forb,I
Lysimachia quadrifolia,perennial,forb,N
Lysimachia terrestris,perennial,forb,N
Lythrum salicaria,perennial,forb,I
Maianthemum racemosum,perennial,forb,N
Malus pumila,perennial,tree,I
Matteuccia struthiopteris,perennial,forb,N
Melilotus officinalis,perennial,forb,I
Mimulus ringens,perennial,forb,N
Mitchella repens,perennial,forb,N
Monotropa uniflora,perennial,forb,N
Muhlenbergia mexicana,perennial,graminoid,I
Myosotis laxa,perennial,forb,N
Myosotis scorpioides,perennial,forb,I
Myrica gale,perennial,shrub,N
Oenothera biennis,biennial,forb,N
Onoclea sensibilis,perennial,forb,N
Osmunda cinnamomea,perennial,forb,N
Osmunda regalis,perennial,forb,N
Ostrya virginiana,perennial,shrub,N
Oxalis stricta,perennial,forb,N
Panicum dichotomiflorum,annual,graminoid,N
Parthenocissus quinquefolia,perennial,vine,N
Peltandra virginica,perennial,forb,N
Phalaris arundinacea,perennial,graminoid,N
Phegopteris connectilis,perennial,forb,N
Phegopteris hexagonoptera,perennial,forb,N
Phleum pratense,perennial,graminoid,I
Pilea pumila,annual,forb,N
Pinus strobus,perennial,tree,N
Plantago lanceolata,perennial,forb,I
Plantago major,perennial,forb,I
Platanus occidentalis,perennial,tree,N
Polygonum amphibium,perennial,forb,N
Polygonum cuspidatum,perennial,forb,I
Polygonum hydropiper,annual,forb,I
Polygonum hydropiperoides,perennial,forb,N
Polygonum persicaria,perennial,forb,I
Polygonum punctatum,perennial,forb,N
Polygonum sagittatum,perennial,forb,N
Polygonum virginianum,perennial,forb,N
Polystichum acrostichoides,perennial,forb,N
Populus deltoides,perennial,tree,N
Potentilla recta,perennial,forb,I
Potentilla simplex,perennial,forb,N
Prenanthes alba,perennial,forb,N
Prunella vulgaris,perennial,forb,I
Prunus americana,perennial,tree,N
Prunus serotina,perennial,shrub,N
Prunus virginiana,perennial,shrub,N
Pteridium aquilinum,perennial,forb,N
Quercus alba,perennial,tree,N
Quercus velutina,perennial,tree,N
Ranunculus pensylvanicus,perennial,forb,N
Ranunculus recurvatus,perennial,forb,N
Rhamnus alnifolia,perennial,shrub,N
Rhamnus cathartica,perennial,shrub,I
Rhus typhina,perennial,tree,N
Robinia pseudoacacia,perennial,tree,N
Rosa multiflora,perennial,vine,I
Rosa palustris,perennial,shrub,N
Rubus allegheniensis,perennial,shrub,N
Rubus hispidus,perennial,shrub,N
Rubus idaeus,perennial,shrub,N
Rubus occidentalis,perennial,shrub,N
Rubus odoratus,perennial,shrub,N
Rubus phoenicolasius,perennial,shrub,I
Rubus pubescens,perennial,forb,N
Rudbeckia hirta,perennial,forb,N
Rudbeckia laciniata,perennial,forb,N
Rumex crispus,perennial,forb,I
Rumex obtusifolius,perennial,forb,I
Sagittaria latifolia,perennial,forb,N
Salix alba,perennial,tree,I
Salix nigra,perennial,tree,N
Salix pentandra,perennial,tree,I
Sambucus nigra,perennial,shrub,N
Saponaria officinalis,perennial,forb,I
Schoenoplectus pungens,perennial,graminoid,N
Scirpus atrocinctus,perennial,graminoid,N
Scirpus microcarpus,perennial,graminoid,N
Scutellaria lateriflora,perennial,forb,N
Securigera varia,perennial,forb,I
Silene vulgaris,perennial,forb,I
Solanum dulcamara,perennial,forb,I
