Site,Origin,Growth Form,Count
Alplaus Kill,Native,Herbaceous,26
Ballston Creek,Native,Herbaceous,23
Battenkill,Native,Herbaceous,14
Beaver Kill,Native,Herbaceous,18
Big Brook,Native,Herbaceous,13
Boreas River,Native,Herbaceous,15
Bullhead Pond Brook,Native,Herbaceous,9
Cadman Creek,Native,Herbaceous,27
Cedar River,Native,Herbaceous,22
Chester Creek,Native,Herbaceous,12
Cobleskill Creek,Native,Herbaceous,12
Daly Creek,Native,Herbaceous,23
Evas Kill,Native,Herbaceous,22
Fawn Lake,Native,Herbaceous,16
Fishkill Creek,Native,Herbaceous,6
Four Mile Brook,Native,Herbaceous,21
Green River,Native,Herbaceous,7
Hans Creek,Native,Herbaceous,20
Hudson River,Native,Herbaceous,10
Indian Brook,Native,Herbaceous,16
Indian Kill,Native,Herbaceous,28
Jassup River,Native,Herbaceous,10
Kayaderosseras Creek,Native,Herbaceous,16
Kennyetto Creek,Native,Herbaceous,10
Keyser Kill,Native,Herbaceous,17
Kinderhook Creek,Native,Herbaceous,23
Landsman Kill,Native,Herbaceous,14
Lansing Kill,Native,Herbaceous,13
Mill Brook,Native,Herbaceous,18
Mill Creek,Native,Herbaceous,21
Minots Corner Road,Native,Herbaceous,10
Mohawk River,Native,Herbaceous,12
New Pond Brook,Native,Herbaceous,12
North Branch West Stony Creek,Native,Herbaceous,20
Paragon Brook,Native,Herbaceous,13
Plotter Kill,Native,Herbaceous,10
Potic Creek,Native,Herbaceous,25
Quacken Kill,Native,Herbaceous,24
Robbs Creek,Native,Herbaceous,31
Roeliff Jansen Kill,Native,Herbaceous,16
Saw Kill,Native,Herbaceous,7
Sherriff Lake Outlet,Native,Herbaceous,22
Snook Kill,Native,Herbaceous,24
Sprout Creek,Native,Herbaceous,11
Steele Creek,Native,Herbaceous,5
Sterling Creek,Native,Herbaceous,18
Stewart Creek,Native,Herbaceous,21
Stony Creek,Native,Herbaceous,15
Timmerman Creek,Native,Herbaceous,13
Trout Brook,Native,Herbaceous,17
Valatie Kill,Native,Herbaceous,6
Wappinger Creek,Native,Herbaceous,9
Wharton Hollow Creek,Native,Herbaceous,11
Alplaus Kill,Native,Woody,6
Ballston Creek,Native,Woody,14
Battenkill,Native,Woody,6
Beaver Kill,Native,Woody,2
Big Brook,Native,Woody,5
Boreas River,Native,Woody,6
Bullhead Pond Brook,Native,Woody,6
Cadman Creek,Native,Woody,14
Cedar River,Native,Woody,2
Chester Creek,Native,Woody,6
Cobleskill Creek,Native,Woody,1
Daly Creek,Native,Woody,5
Evas Kill,Native,Woody,7
Fawn Lake,Native,Woody,7
Fishkill Creek,Native,Woody,7
Four Mile Brook,Native,Woody,4
Green River,Native,Woody,3
Hans Creek,Native,Woody,13
Hudson River,Native,Woody,8
Indian Brook,Native,Woody,4
Indian Kill,Native,Woody,8
Jassup River,Native,Woody,5
Kayaderosseras Creek,Native,Woody,6
Kennyetto Creek,Native,Woody,6
Keyser Kill,Native,Woody,5
Kinderhook Creek,Native,Woody,11
Landsman Kill,Native,Woody,5
Lansing Kill,Native,Woody,12
Mill Brook,Native,Woody,4
Mill Creek,Native,Woody,8
Minots Corner Road,Native,Woody,11
Mohawk River,Native,Woody,8
New Pond Brook,Native,Woody,5
North Branch West Stony Creek,Native,Woody,7
Paragon Brook,Native,Woody,8
Plotter Kill,Native,Woody,5
Potic Creek,Native,Woody,5
Quacken Kill,Native,Woody,10
Robbs Creek,Native,Woody,3
Roeliff Jansen Kill,Native,Woody,5
Saw Kill,Native,Woody,6
Sherriff Lake Outlet,Native,Woody,6
Snook Kill,Native,Woody,9
Sprout Creek,Native,Woody,6
Steele Creek,Native,Woody,8
Sterling Creek,Native,Woody,10
Stewart Creek,Native,Woody,9
Stony Creek,Native,Woody,7
Timmerman Creek,Native,Woody,4
Trout Brook,Native,Woody,7
Valatie Kill,Native,Woody,7
Wappinger Creek,Native,Woody,2
Wharton Hollow Creek,Native,Woody,5
Alplaus Kill,Introduced,Herbaceous,6
Ballston Creek,Introduced,Herbaceous,5
Battenkill,Introduced,Herbaceous,4
Beaver Kill,Introduced,Herbaceous,2
Big Brook,Introduced,Herbaceous,9
Boreas River,Introduced,Herbaceous,5
Bullhead Pond Brook,Introduced,Herbaceous,1
Cadman Creek,Introduced,Herbaceous,2
Cedar River,Introduced,Herbaceous,5
Chester Creek,Introduced,Herbaceous,0
Cobleskill Creek,Introduced,Herbaceous,14
Daly Creek,Introduced,Herbaceous,2
Evas Kill,Introduced,Herbaceous,7
Fawn Lake,Introduced,Herbaceous,12
Fishkill Creek,Introduced,Herbaceous,3
Four Mile Brook,Introduced,Herbaceous,2
Green River,Introduced,Herbaceous,3
Hans Creek,Introduced,Herbaceous,1
Hudson River,Introduced,Herbaceous,1
Indian Brook,Introduced,Herbaceous,4
Indian Kill,Introduced,Herbaceous,4
Jassup River,Introduced,Herbaceous,0
Kayaderosseras Creek,Introduced,Herbaceous,7
Kennyetto Creek,Introduced,Herbaceous,5
Keyser Kill,Introduced,Herbaceous,17
Kinderhook Creek,Introduced,Herbaceous,7
Landsman Kill,Introduced,Herbaceous,10
Lansing Kill,Introduced,Herbaceous,4
Mill Brook,Introduced,Herbaceous,3
Mill Creek,Introduced,Herbaceous,1
Minots Corner Road,Introduced,Herbaceous,2
Mohawk River,Introduced,Herbaceous,5
New Pond Brook,Introduced,Herbaceous,2
North Branch West Stony Creek,Introduced,Herbaceous,1
Paragon Brook,Introduced,Herbaceous,4
Plotter Kill,Introduced,Herbaceous,9
Potic Creek,Introduced,Herbaceous,4
Quacken Kill,Introduced,Herbaceous,11
Robbs Creek,Introduced,Herbaceous,0
Roeliff Jansen Kill,Introduced,Herbaceous,8
Saw Kill,Introduced,Herbaceous,6
Sherriff Lake Outlet,Introduced,Herbaceous,2
Snook Kill,Introduced,Herbaceous,6
Sprout Creek,Introduced,Herbaceous,4
Steele Creek,Introduced,Herbaceous,4
Sterling Creek,Introduced,Herbaceous,11
Stewart Creek,Introduced,Herbaceous,1
Stony Creek,Introduced,Herbaceous,6
Timmerman Creek,Introduced,Herbaceous,5
Trout Brook,Introduced,Herbaceous,1
Valatie Kill,Introduced,Herbaceous,3
Wappinger Creek,Introduced,Herbaceous,4
Wharton Hollow Creek,Introduced,Herbaceous,9
Alplaus Kill,Introduced,Woody,2
Ballston Creek,Introduced,Woody,2
Battenkill,Introduced,Woody,3
Beaver Kill,Introduced,Woody,2
Big Brook,Introduced,Woody,1
Boreas River,Introduced,Woody,0
Bullhead Pond Brook,Introduced,Woody,0
Cadman Creek,Introduced,Woody,0
Cedar River,Introduced,Woody,1
Chester Creek,Introduced,Woody,1
Cobleskill Creek,Introduced,Woody,1
Daly Creek,Introduced,Woody,0
Evas Kill,Introduced,Woody,0
Fawn Lake,Introduced,Woody,2
Fishkill Creek,Introduced,Woody,3
Four Mile Brook,Introduced,Woody,1
Green River,Introduced,Woody,1
Hans Creek,Introduced,Woody,2
Hudson River,Introduced,Woody,0
Indian Brook,Introduced,Woody,2
Indian Kill,Introduced,Woody,1
Jassup River,Introduced,Woody,1
Kayaderosseras Creek,Introduced,Woody,0
Kennyetto Creek,Introduced,Woody,1
Keyser Kill,Introduced,Woody,0
Kinderhook Creek,Introduced,Woody,2
Landsman Kill,Introduced,Woody,1
Lansing Kill,Introduced,Woody,1
Mill Brook,Introduced,Woody,1
Mill Creek,Introduced,Woody,1
Minots Corner Road,Introduced,Woody,1
Mohawk River,Introduced,Woody,1
New Pond Brook,Introduced,Woody,1
North Branch West Stony Creek,Introduced,Woody,1
Paragon Brook,Introduced,Woody,2
Plotter Kill,Introduced,Woody,0
Potic Creek,Introduced,Woody,0
Quacken Kill,Introduced,Woody,2
Robbs Creek,Introduced,Woody,2
Roeliff Jansen Kill,Introduced,Woody,1
Saw Kill,Introduced,Woody,0
Sherriff Lake Outlet,Introduced,Woody,2
