Site,Origin,Lifespan,Count
Alplaus Kill,Native,Annual,3
Ballston Creek,Native,Annual,7
Battenkill,Native,Annual,1
Beaver Kill,Native,Annual,2
Big Brook,Native,Annual,2
Boreas River,Native,Annual,0
Bullhead Pond Brook,Native,Annual,1
Cadman Creek,Native,Annual,0
Cedar River,Native,Annual,1
Chester Creek,Native,Annual,0
Cobleskill Creek,Native,Annual,2
Daly Creek,Native,Annual,2
Evas Kill,Native,Annual,3
Fawn Lake,Native,Annual,4
Fishkill Creek,Native,Annual,2
Four Mile Brook,Native,Annual,1
Green River,Native,Annual,1
Hans Creek,Native,Annual,1
Hudson River,Native,Annual,0
Indian Brook,Native,Annual,4
Indian Kill,Native,Annual,5
Jassup River,Native,Annual,0
Kayaderosseras Creek,Native,Annual,5
Kennyetto Creek,Native,Annual,0
Keyser Kill,Native,Annual,3
Kinderhook Creek,Native,Annual,4
Landsman Kill,Native,Annual,5
Lansing Kill,Native,Annual,3
Mill Brook,Native,Annual,0
Mill Creek,Native,Annual,0
Minots Corner Road,Native,Annual,1
Mohawk River,Native,Annual,1
New Pond Brook,Native,Annual,0
North Branch West Stony Creek,Native,Annual,0
Paragon Brook,Native,Annual,1
Plotter Kill,Native,Annual,2
Potic Creek,Native,Annual,6
Quacken Kill,Native,Annual,4
Robbs Creek,Native,Annual,1
Roeliff Jansen Kill,Native,Annual,2
Saw Kill,Native,Annual,2
Sherriff Lake Outlet,Native,Annual,0
Snook Kill,Native,Annual,3
Sprout Creek,Native,Annual,3
Steele Creek,Native,Annual,0
Sterling Creek,Native,Annual,2
Stewart Creek,Native,Annual,0
Stony Creek,Native,Annual,4
Timmerman Creek,Native,Annual,0
Trout Brook,Native,Annual,0
Valatie Kill,Native,Annual,1
Wappinger Creek,Native,Annual,2
Wharton Hollow Creek,Native,Annual,0
Alplaus Kill,Native,Biennial,0
Ballston Creek,Native,Biennial,0
Battenkill,Native,Biennial,0
Beaver Kill,Native,Biennial,0
Big Brook,Native,Biennial,0
Boreas River,Native,Biennial,0
Bullhead Pond Brook,Native,Biennial,0
Cadman Creek,Native,Biennial,0
Cedar River,Native,Biennial,0
Chester Creek,Native,Biennial,0
Cobleskill Creek,Native,Biennial,0
Daly Creek,Native,Biennial,0
Evas Kill,Native,Biennial,0
Fawn Lake,Native,Biennial,0
Fishkill Creek,Native,Biennial,0
Four Mile Brook,Native,Biennial,0
Green River,Native,Biennial,0
Hans Creek,Native,Biennial,0
Hudson River,Native,Biennial,0
Indian Brook,Native,Biennial,0
Indian Kill,Native,Biennial,0
Jassup River,Native,Biennial,0
Kayaderosseras Creek,Native,Biennial,0
Kennyetto Creek,Native,Biennial,0
Keyser Kill,Native,Biennial,0
Kinderhook Creek,Native,Biennial,0
Landsman Kill,Native,Biennial,0
Lansing Kill,Native,Biennial,0
Mill Brook,Native,Biennial,0
Mill Creek,Native,Biennial,0
Minots Corner Road,Native,Biennial,0
Mohawk River,Native,Biennial,0
New Pond Brook,Native,Biennial,0
North Branch West Stony Creek,Native,Biennial,0
Paragon Brook,Native,Biennial,0
Plotter Kill,Native,Biennial,0
Potic Creek,Native,Biennial,0
Quacken Kill,Native,Biennial,0
Robbs Creek,Native,Biennial,0
Roeliff Jansen Kill,Native,Biennial,0
Saw Kill,Native,Biennial,0
Sherriff Lake Outlet,Native,Biennial,0
Snook Kill,Native,Biennial,0
Sprout Creek,Native,Biennial,0
Steele Creek,Native,Biennial,0
Sterling Creek,Native,Biennial,0
Stewart Creek,Native,Biennial,0
Stony Creek,Native,Biennial,0
Timmerman Creek,Native,Biennial,0
Trout Brook,Native,Biennial,0
Valatie Kill,Native,Biennial,0
Wappinger Creek,Native,Biennial,0
Wharton Hollow Creek,Native,Biennial,0
Alplaus Kill,Native,Perennial,29
Ballston Creek,Native,Perennial,30
Battenkill,Native,Perennial,19
Beaver Kill,Native,Perennial,18
Big Brook,Native,Perennial,16
Boreas River,Native,Perennial,21
Bullhead Pond Brook,Native,Perennial,14
Cadman Creek,Native,Perennial,41
Cedar River,Native,Perennial,23
Chester Creek,Native,Perennial,18
Cobleskill Creek,Native,Perennial,11
Daly Creek,Native,Perennial,26
Evas Kill,Native,Perennial,26
Fawn Lake,Native,Perennial,19
Fishkill Creek,Native,Perennial,11
Four Mile Brook,Native,Perennial,24
Green River,Native,Perennial,9
Hans Creek,Native,Perennial,32
Hudson River,Native,Perennial,18
Indian Brook,Native,Perennial,16
Indian Kill,Native,Perennial,31
Jassup River,Native,Perennial,15
Kayaderosseras Creek,Native,Perennial,17
Kennyetto Creek,Native,Perennial,16
Keyser Kill,Native,Perennial,19
Kinderhook Creek,Native,Perennial,30
Landsman Kill,Native,Perennial,14
Lansing Kill,Native,Perennial,22
Mill Brook,Native,Perennial,22
Mill Creek,Native,Perennial,29
Minots Corner Road,Native,Perennial,20
Mohawk River,Native,Perennial,19
New Pond Brook,Native,Perennial,17
North Branch West Stony Creek,Native,Perennial,27
Paragon Brook,Native,Perennial,20
Plotter Kill,Native,Perennial,13
Potic Creek,Native,Perennial,24
Quacken Kill,Native,Perennial,30
Robbs Creek,Native,Perennial,33
Roeliff Jansen Kill,Native,Perennial,19
Saw Kill,Native,Perennial,11
Sherriff Lake Outlet,Native,Perennial,28
Snook Kill,Native,Perennial,30
Sprout Creek,Native,Perennial,14
Steele Creek,Native,Perennial,13
Sterling Creek,Native,Perennial,26
Stewart Creek,Native,Perennial,30
Stony Creek,Native,Perennial,18
Timmerman Creek,Native,Perennial,17
Trout Brook,Native,Perennial,24
Valatie Kill,Native,Perennial,12
Wappinger Creek,Native,Perennial,9
Wharton Hollow Creek,Native,Perennial,16
Alplaus Kill,Introduced,Annual,0
Ballston Creek,Introduced,Annual,0
Battenkill,Introduced,Annual,0
Beaver Kill,Introduced,Annual,0
Big Brook,Introduced,Annual,0
Boreas River,Introduced,Annual,0
Bullhead Pond Brook,Introduced,Annual,1
Cadman Creek,Introduced,Annual,0
Cedar River,Introduced,Annual,0
Chester Creek,Introduced,Annual,0
Cobleskill Creek,Introduced,Annual,1
Daly Creek,Introduced,Annual,0
Evas Kill,Introduced,Annual,0
Fawn Lake,Introduced,Annual,1
Fishkill Creek,Introduced,Annual,0
Four Mile Brook,Introduced,Annual,0
Green River,Introduced,Annual,0
Hans Creek,Introduced,Annual,0
Hudson River,Introduced,Annual,0
Indian Brook,Introduced,Annual,0
Indian Kill,Introduced,Annual,0
Jassup River,Introduced,Annual,0
Kayaderosseras Creek,Introduced,Annual,1
Kennyetto Creek,Introduced,Annual,0
Keyser Kill,Introduced,Annual,0
Kinderhook Creek,Introduced,Annual,1
Landsman Kill,Introduced,Annual,0
Lansing Kill,Introduced,Annual,0
Mill Brook,Introduced,Annual,0
Mill Creek,Introduced,Annual,0
Minots Corner Road,Introduced,Annual,0
Mohawk River,Introduced,Annual,0
New Pond Brook,Introduced,Annual,1
North Branch West Stony Creek,Introduced,Annual,0
Paragon Brook,Introduced,Annual,0
Plotter Kill,Introduced,Annual,0
Potic Creek,Introduced,Annual,0
Quacken Kill,Introduced,Annual,1
Robbs Creek,Introduced,Annual,0
Roeliff Jansen Kill,Introduced,Annual,0
Saw Kill,Introduced,Annual,2
Sherriff Lake Outlet,Introduced,Annual,0
Snook Kill,Introduced,Annual,1
Sprout Creek,Introduced,Annual,0
Steele Creek,Introduced,Annual,0
Sterling Creek,Introduced,Annual,0
Stewart Creek,Introduced,Annual,0
Stony Creek,Introduced,Annual,0
Timmerman Creek,Introduced,Annual,0
Trout Brook,Introduced,Annual,0
Valatie Kill,Introduced,Annual,0
Wappinger Creek,Introduced,Annual,0
Wharton Hollow Creek,Introduced,Annual,0
Alplaus Kill,Introduced,Biennial,0
Ballston Creek,Introduced,Biennial,0
Battenkill,Introduced,Biennial,1
Beaver Kill,Introduced,Biennial,0
Big Brook,Introduced,Biennial,2
Boreas River,Introduced,Biennial,0
Bullhead Pond Brook,Introduced,Biennial,0
Cadman Creek,Introduced,Biennial,0
Cedar River,Introduced,Biennial,0
Chester Creek,Introduced,Biennial,0
Cobleskill Creek,Introduced,Biennial,1
Daly Creek,Introduced,Biennial,0
Evas Kill,Introduced,Biennial,1
Fawn Lake,Introduced,Biennial,1
Fishkill Creek,Introduced,Biennial,1
Four Mile Brook,Introduced,Biennial,0
Green River,Introduced,Biennial,0
Hans Creek,Introduced,Biennial,0
Hudson River,Introduced,Biennial,0
Indian Brook,Introduced,Biennial,1
Indian Kill,Introduced,Biennial,1
Jassup River,Introduced,Biennial,0
Kayaderosseras Creek,Introduced,Biennial,0
Kennyetto Creek,Introduced,Biennial,1
Keyser Kill,Introduced,Biennial,4
Kinderhook Creek,Introduced,Biennial,0
Landsman Kill,Introduced,Biennial,2
Lansing Kill,Introduced,Biennial,1
Mill Brook,Introduced,Biennial,0
Mill Creek,Introduced,Biennial,0
Minots Corner Road,Introduced,Biennial,0
Mohawk River,Introduced,Biennial,2
New Pond Brook,Introduced,Biennial,0
North Branch West Stony Creek,Introduced,Biennial,0
Paragon Brook,Introduced,Biennial,0
Plotter Kill,Introduced,Biennial,3
Potic Creek,Introduced,Biennial,1
Quacken Kill,Introduced,Biennial,2
Robbs Creek,Introduced,Biennial,0
Roeliff Jansen Kill,Introduced,Biennial,3
Saw Kill,Introduced,Biennial,2
Sherriff Lake Outlet,Introduced,Biennial,0
Snook Kill,Introduced,Biennial,0
Sprout Creek,Introduced,Biennial,0
Steele Creek,Introduced,Biennial,0
Sterling Creek,Introduced,Biennial,2
Stewart Creek,Introduced,Biennial,0
Stony Creek,Introduced,Biennial,1
Timmerman Creek,Introduced,Biennial,0
Trout Brook,Introduced,Biennial,0
Valatie Kill,Introduced,Biennial,0
Wappinger Creek,Introduced,Biennial,1
Wharton Hollow Creek,Introduced,Biennial,0
Alplaus Kill,Introduced,Perennial,8
Ballston Creek,Introduced,Perennial,7
Battenkill,Introduced,Perennial,6
Beaver Kill,Introduced,Perennial,4
Big Brook,Introduced,Perennial,8
Boreas River,Introduced,Perennial,5
Bullhead Pond Brook,Introduced,Perennial,0
Cadman Creek,Introduced,Perennial,2
Cedar River,Introduced,Perennial,6
Chester Creek,Introduced,Perennial,1
Cobleskill Creek,Introduced,Perennial,13
Daly Creek,Introduced,Perennial,2
Evas Kill,Introduced,Perennial,6
Fawn Lake,Introduced,Perennial,12
Fishkill Creek,Introduced,Perennial,5
Four Mile Brook,Introduced,Perennial,3
Green River,Introduced,Perennial,4
Hans Creek,Introduced,Perennial,3
Hudson River,Introduced,Perennial,1
Indian Brook,Introduced,Perennial,5
Indian Kill,Introduced,Perennial,4
Jassup River,Introduced,Perennial,1
Kayaderosseras Creek,Introduced,Perennial,6
Kennyetto Creek,Introduced,Perennial,5
Keyser Kill,Introduced,Perennial,13
Kinderhook Creek,Introduced,Perennial,8
Landsman Kill,Introduced,Perennial,9
Lansing Kill,Introduced,Perennial,4
Mill Brook,Introduced,Perennial,4
Mill Creek,Introduced,Perennial,2
Minots Corner Road,Introduced,Perennial,3
Mohawk River,Introduced,Perennial,4
New Pond Brook,Introduced,Perennial,2
North Branch West Stony Creek,Introduced,Perennial,2
Paragon Brook,Introduced,Perennial,6
Plotter Kill,Introduced,Perennial,6
Potic Creek,Introduced,Perennial,3
Quacken Kill,Introduced,Perennial,10
Robbs Creek,Introduced,Perennial,2
Roeliff Jansen Kill,Introduced,Perennial,6
Saw Kill,Introduced,Perennial,2
Sherriff Lake Outlet,Introduced,Perennial,4
Snook Kill,Introduced,Perennial,6
Sprout Creek,Introduced,Perennial,4
Steele Creek,Introduced,Perennial,5
Sterling Creek,Introduced,Perennial,10
Stewart Creek,Introduced,Perennial,1
Stony Creek,Introduced,Perennial,6
Timmerman Creek,Introduced,Perennial,6
Trout Brook,Introduced,Perennial,1
Valatie Kill,Introduced,Perennial,5
Wappinger Creek,Introduced,Perennial,3
Wharton Hollow Creek,Introduced,Perennial,10
