Site,species,nat.ann,nat.bienn,nat.per,int.ann,int.bienn,int.per,nat.herb,nat.wood,int.herb,int.woos
Alplaus Kill,43,3,0,29,0,0,8,26,6,6,2
Ballston Creek,46,7,0,30,0,0,7,23,14,5,2
Battenkill,29,1,0,19,0,1,6,14,6,4,3
Beaver Kill,25,2,0,18,0,0,4,18,2,2,2
Big Brook,30,2,0,16,0,2,8,13,5,9,1
Boreas River,28,0,0,21,0,0,5,15,6,5,0
Bullhead Pond Brook,17,1,0,14,1,0,0,9,6,1,0
Cadman Creek,44,0,0,41,0,0,2,27,14,2,0
Cedar River,33,1,0,23,0,0,6,22,2,5,1
Chester Creek,21,0,0,18,0,0,1,12,6,0,1
Cobleskill Creek,30,2,0,11,1,1,13,12,1,14,1
Daly Creek,30,2,0,26,0,0,2,23,5,2,0
Evas Kill,41,3,0,26,0,1,6,22,7,7,0
Fawn Lake,38,4,0,19,1,1,12,16,7,12,2
Fishkill Creek,21,2,0,11,0,1,5,6,7,3,3
Four Mile Brook,30,1,0,24,0,0,3,21,4,2,1
Green River,15,1,0,9,0,0,4,7,3,3,1
Hans Creek,36,1,0,32,0,0,3,20,13,1,2
Hudson River,20,0,0,18,0,0,1,10,8,1,0
Indian Brook,27,4,0,16,0,1,5,16,4,4,2
Indian Kill,44,5,0,31,0,1,4,28,8,4,1
Jassup River,18,0,0,15,0,0,1,10,5,0,1
Kayaderosseras Creek,32,5,0,17,1,0,6,16,6,7,0
Kennyetto Creek,23,0,0,16,0,1,5,10,6,5,1
Keyser Kill,40,3,0,19,0,4,13,17,5,17,0
Kinderhook Creek,45,4,0,30,1,0,8,23,11,7,2
Landsman Kill,32,5,0,14,0,2,9,14,5,10,1
Lansing Kill,31,3,0,22,0,1,4,13,12,4,1
Mill Brook,28,0,0,22,0,0,4,18,4,3,1
Mill Creek,32,0,0,29,0,0,2,21,8,1,1
Minots Corner Road,25,1,0,20,0,0,3,10,11,2,1
Mohawk River,27,1,0,19,0,2,4,12,8,5,1
New Pond Brook,21,0,0,17,1,0,2,12,5,2,1
North Branch West Stony Creek,31,0,0,27,0,0,2,20,7,1,1
Paragon Brook,31,1,0,20,0,0,6,13,8,4,2
Plotter Kill,25,2,0,13,0,3,6,10,5,9,0
Potic Creek,36,6,0,24,0,1,3,25,5,4,0
Quacken Kill,52,4,0,30,1,2,10,24,10,11,2
Robbs Creek,40,1,0,33,0,0,2,31,3,0,2
Roeliff Jansen Kill,35,2,0,19,0,3,6,16,5,8,1
Saw Kill,20,2,0,11,2,2,2,7,6,6,0
Sherriff Lake Outlet,34,0,0,28,0,0,4,22,6,2,2
Snook Kill,44,3,0,30,1,0,6,24,9,6,1
Sprout Creek,24,3,0,14,0,0,4,11,6,4,0
Steele Creek,19,0,0,13,0,0,5,5,8,4,1
Sterling Creek,43,2,0,26,0,2,10,18,10,11,1
Stewart Creek,32,0,0,30,0,0,1,21,9,1,0
Stony Creek,33,4,0,18,0,1,6,15,7,6,1
Timmerman Creek,25,0,0,17,0,0,6,13,4,5,1
Trout Brook,26,0,0,24,0,0,1,17,7,1,0
Valatie Kill,19,1,0,12,0,0,5,6,7,3,2
Wappinger Creek,19,2,0,9,0,1,3,9,2,4,0
Wharton Hollow Creek,28,0,0,16,0,0,10,11,5,9,1
