Site,nat.annual,nat.biennial,nat.perennial,int.annual,int.biennial,int.perennial,nat.herb,nat.wood,int.herb,int.wood
Alplaus Kill,0.09375,0,0.90625,0,0,1,0.8125,0.1875,0.75,0.25
Ballston Creek,0.189189189,0,0.810810811,0,0,1,0.621621622,0.378378378,0.714285714,0.285714286
Battenkill,0.05,0,0.95,0,0.142857143,0.857142857,0.7,0.3,0.571428571,0.428571429
Beaver Kill,0.1,0,0.9,0,0,1,0.9,0.1,0.5,0.5
Big Brook,0.111111111,0,0.888888889,0,0.2,0.8,0.722222222,0.277777778,0.9,0.1
Boreas River,0,0,1,0,0,1,0.714285714,0.285714286,1,0
Bullhead Pond Brook,0.066666667,0,0.933333333,1,0,0,0.6,0.4,1,0
Cadman Creek,0,0,1,0,0,1,0.658536585,0.341463415,1,0
Cedar River,0.041666667,0,0.958333333,0,0,1,0.916666667,0.083333333,0.833333333,0.166666667
Chester Creek,0,0,1,0,0,1,0.666666667,0.333333333,0,1
Cobleskill Creek,0.153846154,0,0.846153846,0.066666667,0.066666667,0.866666667,0.923076923,0.076923077,0.933333333,0.066666667
Daly Creek,0.071428571,0,0.928571429,0,0,1,0.821428571,0.178571429,1,0
Evas Kill,0.103448276,0,0.896551724,0,0.142857143,0.857142857,0.75862069,0.24137931,1,0
Fawn Lake,0.173913043,0,0.826086957,0.071428571,0.071428571,0.857142857,0.695652174,0.304347826,0.857142857,0.142857143
Fishkill Creek,0.153846154,0,0.846153846,0,0.166666667,0.833333333,0.461538462,0.538461538,0.5,0.5
Four Mile Brook,0.04,0,0.96,0,0,1,0.84,0.16,0.666666667,0.333333333
Green River,0.1,0,0.9,0,0,1,0.7,0.3,0.75,0.25
Hans Creek,0.03030303,0,0.96969697,0,0,1,0.606060606,0.393939394,0.333333333,0.666666667
Hudson River,0,0,1,0,0,1,0.555555556,0.444444444,1,0
Indian Brook,0.2,0,0.8,0,0.166666667,0.833333333,0.8,0.2,0.666666667,0.333333333
Indian Kill,0.138888889,0,0.861111111,0,0.2,0.8,0.777777778,0.222222222,0.8,0.2
Jassup River,0,0,1,0,0,1,0.666666667,0.333333333,0,1
Kayaderosseras Creek,0.227272727,0,0.772727273,0.142857143,0,0.857142857,0.727272727,0.272727273,1,0
Kennyetto Creek,0,0,1,0,0.166666667,0.833333333,0.625,0.375,0.833333333,0.166666667
Keyser Kill,0.136363636,0,0.863636364,0,0.235294118,0.764705882,0.772727273,0.227272727,1,0
Kinderhook Creek,0.117647059,0,0.882352941,0.111111111,0,0.888888889,0.676470588,0.323529412,0.777777778,0.222222222
Landsman Kill,0.263157895,0,0.736842105,0,0.181818182,0.818181818,0.736842105,0.263157895,0.909090909,0.090909091
Lansing Kill,0.12,0,0.88,0,0.2,0.8,0.52,0.48,0.8,0.2
Mill Brook,0,0,1,0,0,1,0.818181818,0.181818182,0.75,0.25
Mill Creek,0,0,1,0,0,1,0.724137931,0.275862069,0.5,0.5
Minots Corner Road,0.047619048,0,0.952380952,0,0,1,0.476190476,0.523809524,0.666666667,0.333333333
Mohawk River,0.05,0,0.95,0,0.333333333,0.666666667,0.6,0.4,0.833333333,0.166666667
New Pond Brook,0,0,1,0.333333333,0,0.666666667,0.705882353,0.294117647,0.666666667,0.333333333
North Branch West Stony Creek,0,0,1,0,0,1,0.740740741,0.259259259,0.5,0.5
Paragon Brook,0.047619048,0,0.952380952,0,0,1,0.619047619,0.380952381,0.666666667,0.333333333
Plotter Kill,0.133333333,0,0.866666667,0,0.333333333,0.666666667,0.666666667,0.333333333,1,0
Potic Creek,0.2,0,0.8,0,0.25,0.75,0.833333333,0.166666667,1,0
Quacken Kill,0.117647059,0,0.882352941,0.076923077,0.153846154,0.769230769,0.705882353,0.294117647,0.846153846,0.153846154
Robbs Creek,0.029411765,0,0.970588235,0,0,1,0.911764706,0.088235294,0,1
Roeliff Jansen Kill,0.095238095,0,0.904761905,0,0.333333333,0.666666667,0.761904762,0.238095238,0.888888889,0.111111111
Saw Kill,0.153846154,0,0.846153846,0.333333333,0.333333333,0.333333333,0.538461538,0.461538462,1,0
Sherriff Lake Outlet,0,0,1,0,0,1,0.785714286,0.214285714,0.5,0.5
Snook Kill,0.090909091,0,0.909090909,0.142857143,0,0.857142857,0.727272727,0.272727273,0.857142857,0.142857143
Sprout Creek,0.176470588,0,0.823529412,0,0,1,0.647058824,0.352941176,1,0
Steele Creek,0,0,1,0,0,1,0.384615385,0.615384615,0.8,0.2
Sterling Creek,0.071428571,0,0.928571429,0,0.166666667,0.833333333,0.642857143,0.357142857,0.916666667,0.083333333
Stewart Creek,0,0,1,0,0,1,0.7,0.3,1,0
Stony Creek,0.181818182,0,0.818181818,0,0.142857143,0.857142857,0.681818182,0.318181818,0.857142857,0.142857143
Timmerman Creek,0,0,1,0,0,1,0.764705882,0.235294118,0.833333333,0.166666667
Trout Brook,0,0,1,0,0,1,0.708333333,0.291666667,1,0
Valatie Kill,0.076923077,0,0.923076923,0,0,1,0.461538462,0.538461538,0.6,0.4
Wappinger Creek,0.181818182,0,0.818181818,0,0.25,0.75,0.818181818,0.181818182,1,0
Wharton Hollow Creek,0,0,1,0,0,1,0.6875,0.3125,0.9,0.1
