,Leaf C per dry mass,Leaf C to N ratio,Leaf weight ratio,Lamina thickness,Leaf N per dry mass,Leaf N to P ratio,Leaf P per dry mass,Leaf physical strength,Leaf K per dry mass,Leaf respiration per dry mass,SLA,Photosynthesis per leaf dry mass,RGR,Root N per dry mass,Rooting depth,Seed mass,Seed number per reproduction unit,Seed protein content per mass,SSD,Stomata conductance per leaf area,Wood dry mass per plant dry mass
ambrosia_trifida,NA,NA,NA,NA,4.41,NA,NA,NA,NA,NA,41.88,392,NA,NA,NA,11.53,409.06,18.4,NA,NA,NA
bidens_connata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.67,NA,NA,NA,8,21668.91,1076.91,NA,NA,NA,NA
bidens_frondosa,45.39,18.15,0.43,NA,2.07,NA,0.26,NA,NA,NA,5972.15,89.2,0.24,NA,8,7645.55,22084.84,33.8,0.16,120,NA
echinocystis_lobata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,237.45,NA,NA,NA,NA,NA
erigeron_annuus,45.82,33.33,11.74,NA,1.39,NA,NA,NA,NA,NA,109.38,NA,NA,NA,NA,0.04,7071.2,NA,NA,NA,73.45
euphorbia_maculata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27,NA,NA,NA,NA,NA
galium_aparine,NA,NA,0.62,0.18,2.99,11.16,1140.2,0.64,NA,NA,59.4,NA,0.13,NA,4,21747.78,2992.47,12.7,NA,113.33,NA
impatiens_capensis,49.01,12.33,12.49,NA,3.71,8,2600,NA,NA,NA,426.43,NA,NA,NA,14,116671.37,4,NA,NA,NA,86.11
impatiens_pallida,NA,NA,NA,NA,1.3,4.81,2700,NA,NA,NA,807.95,NA,NA,2.31,14,700000,NA,NA,NA,NA,NA
lobelia_inflata,NA,NA,NA,NA,42.42,NA,NA,NA,NA,NA,373.04,NA,NA,NA,NA,0.01,NA,NA,NA,0.42,NA
panicum_dichotomiflorum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,78400.41,NA,NA,NA,NA,NA
pilea_pumila,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.15,NA,NA,NA,NA,NA
xanthium_strumarium,39.17,13.86,NA,NA,2.27,NA,0.23,NA,NA,NA,3136.86,55.5,0.16,NA,NA,181.18,19,45.15,0.19,130,NA
