River,Species,Presence
Plotter Kill,artemisia_vulgaris,1
Battenkill,berberis_thunbergii,1
Beaver Kill,berberis_thunbergii,1
Fishkill Creek,berberis_thunbergii,1
Indian Brook,berberis_thunbergii,1
Mill Brook,berberis_thunbergii,1
Valatie Kill,berberis_thunbergii,1
Big Brook,centaurea_jacea,1
Sterling Creek,centaurea_jacea,1
Cobleskill Creek,centaurea_nigrescens,1
Boreas River,centaurea_stoebe,1
Keyser Kill,centaurea_stoebe,1
Landsman Kill,centaurea_stoebe,1
Landsman Kill,dactylis_glomerata,1
Fawn Lake,elymus_repens,1
Ballston Creek,epipactis_helleborine,1
Lansing Kill,epipactis_helleborine,1
Sterling Creek,epipactis_helleborine,1
Stony Creek,epipactis_helleborine,1
Valatie Kill,epipactis_helleborine,1
Battenkill,euonymus_alatus,1
Landsman Kill,euonymus_alatus,1
Cobleskill Creek,galium_mollugo,1
Fawn Lake,galium_mollugo,1
Keyser Kill,galium_mollugo,1
Wharton Hollow Creek,galium_mollugo,1
Ballston Creek,glechoma_hederacea,1
Cobleskill Creek,glechoma_hederacea,1
Hans Creek,glechoma_hederacea,1
Landsman Kill,glechoma_hederacea,1
Mill Creek,glechoma_hederacea,1
Minots Corner Road,glechoma_hederacea,1
Mohawk River,glechoma_hederacea,1
North Branch West Stony Creek,glechoma_hederacea,1
Quacken Kill,glechoma_hederacea,1
Snook Kill,glechoma_hederacea,1
Steele Creek,glechoma_hederacea,1
Paragon Brook,hemerocallis_fulva,1
Cedar River,hypericum_perforatum,1
Daly Creek,hypericum_perforatum,1
Four Mile Brook,hypericum_perforatum,1
Hudson River,hypericum_perforatum,1
Keyser Kill,hypericum_perforatum,1
Kinderhook Creek,hypericum_perforatum,1
Paragon Brook,hypericum_perforatum,1
Sterling Creek,hypericum_perforatum,1
Wharton Hollow Creek,hypericum_perforatum,1
Cadman Creek,leonurus_cardiaca,1
Quacken Kill,leonurus_cardiaca,1
Roeliff Jansen Kill,leonurus_cardiaca,1
Boreas River,leucanthemum_vulgare,1
Cedar River,leucanthemum_vulgare,1
Cobleskill Creek,leucanthemum_vulgare,1
Fawn Lake,leucanthemum_vulgare,1
Four Mile Brook,leucanthemum_vulgare,1
Keyser Kill,leucanthemum_vulgare,1
Cedar River,linaria_vulgaris,1
Roeliff Jansen Kill,lithospermum_officinale,1
Valatie Kill,lonicera_japonica,1
Alplaus Kill,lonicera_morrowii,1
Ballston Creek,lonicera_morrowii,1
Battenkill,lonicera_morrowii,1
Beaver Kill,lonicera_morrowii,1
Big Brook,lonicera_morrowii,1
Fawn Lake,lonicera_morrowii,1
Fishkill Creek,lonicera_morrowii,1
Green River,lonicera_morrowii,1
Indian Brook,lonicera_morrowii,1
Kennyetto Creek,lonicera_morrowii,1
Kinderhook Creek,lonicera_morrowii,1
Lansing Kill,lonicera_morrowii,1
Minots Corner Road,lonicera_morrowii,1
Mohawk River,lonicera_morrowii,1
Paragon Brook,lonicera_morrowii,1
Paragon Brook,lonicera_morrowii,1
Quacken Kill,lonicera_morrowii,1
Snook Kill,lonicera_morrowii,1
Steele Creek,lonicera_morrowii,1
Sterling Creek,lonicera_morrowii,1
Stony Creek,lonicera_morrowii,1
Valatie Kill,lonicera_morrowii,1
Boreas River,lotus_corniculatus,1
Cobleskill Creek,lotus_corniculatus,1
Fawn Lake,lotus_corniculatus,1
Keyser Kill,lotus_corniculatus,1
Ballston Creek,lysimachia_nummularia,1
Battenkill,lysimachia_nummularia,1
Big Brook,lysimachia_nummularia,1
Fishkill Creek,lysimachia_nummularia,1
Indian Kill,lysimachia_nummularia,1
Minots Corner Road,lysimachia_nummularia,1
Mohawk River,lysimachia_nummularia,1
Snook Kill,lysimachia_nummularia,1
Sterling Creek,lysimachia_nummularia,1
Wappinger Creek,lysimachia_nummularia,1
Wharton Hollow Creek,lysimachia_nummularia,1
Alplaus Kill,lythrum_salicaria,1
Ballston Creek,lythrum_salicaria,1
Cobleskill Creek,lythrum_salicaria,1
Evas Kill,lythrum_salicaria,1
Fawn Lake,lythrum_salicaria,1
Indian Kill,lythrum_salicaria,1
Kayaderosseras Creek,lythrum_salicaria,1
Landsman Kill,lythrum_salicaria,1
Plotter Kill,lythrum_salicaria,1
Roeliff Jansen Kill,lythrum_salicaria,1
Snook Kill,lythrum_salicaria,1
Sprout Creek,lythrum_salicaria,1
Wappinger Creek,lythrum_salicaria,1
Fishkill Creek,malus_pumila,1
Kinderhook Creek,malus_pumila,1
Cobleskill Creek,melilotus_officinalis,1
Fawn Lake,melilotus_officinalis,1
Keyser Kill,melilotus_officinalis,1
Landsman Kill,melilotus_officinalis,1
Plotter Kill,melilotus_officinalis,1
Timmerman Creek,melilotus_officinalis,1
Wharton Hollow Creek,melilotus_officinalis,1
Cobleskill Creek,myosotis_scorpioides,1
Fawn Lake,myosotis_scorpioides,1
Wharton Hollow Creek,myosotis_scorpioides,1
Battenkill,phleum_pratense,1
Cedar River,phleum_pratense,1
Fawn Lake,phleum_pratense,1
Paragon Brook,phleum_pratense,1
Quacken Kill,phleum_pratense,1
Battenkill,plantago_lanceolata,1
Big Brook,plantago_lanceolata,1
Alplaus Kill,plantago_major,1
Big Brook,plantago_major,1
Boreas River,plantago_major,1
Cobleskill Creek,plantago_major,1
Evas Kill,plantago_major,1
Fawn Lake,plantago_major,1
Indian Kill,plantago_major,1
Kayaderosseras Creek,plantago_major,1
Kennyetto Creek,plantago_major,1
Kinderhook Creek,plantago_major,1
Lansing Kill,plantago_major,1
Potic Creek,plantago_major,1
Quacken Kill,plantago_major,1
Snook Kill,plantago_major,1
Sprout Creek,plantago_major,1
Sterling Creek,plantago_major,1
Stony Creek,plantago_major,1
Alplaus Kill,polygonum_cuspidatum,1
Green River,polygonum_cuspidatum,1
Kayaderosseras Creek,polygonum_cuspidatum,1
Keyser Kill,polygonum_cuspidatum,1
Steele Creek,polygonum_cuspidatum,1
Ballston Creek,polygonum_persicaria,1
Cobleskill Creek,polygonum_persicaria,1
Evas Kill,polygonum_persicaria,1
Indian Brook,polygonum_persicaria,1
Kayaderosseras Creek,polygonum_persicaria,1
Potic Creek,polygonum_persicaria,1
Quacken Kill,polygonum_persicaria,1
Sprout Creek,polygonum_persicaria,1
Stony Creek,polygonum_persicaria,1
Landsman Kill,potentilla_recta,1
Alplaus Kill,rhamnus_cathartica,1
Ballston Creek,rhamnus_cathartica,1
Indian Kill,rhamnus_cathartica,1
Quacken Kill,rhamnus_cathartica,1
Alplaus Kill,rosa_multiflora,1
Alplaus Kill,rosa_multiflora,1
Beaver Kill,rosa_multiflora,1
Evas Kill,rosa_multiflora,1
Fishkill Creek,rosa_multiflora,1
Green River,rosa_multiflora,1
Indian Brook,rosa_multiflora,1
Kinderhook Creek,rosa_multiflora,1
Landsman Kill,rosa_multiflora,1
Mohawk River,rosa_multiflora,1
Plotter Kill,rosa_multiflora,1
Potic Creek,rosa_multiflora,1
Quacken Kill,rosa_multiflora,1
Roeliff Jansen Kill,rosa_multiflora,1
Saw Kill,rosa_multiflora,1
Sprout Creek,rosa_multiflora,1
Steele Creek,rosa_multiflora,1
Stony Creek,rosa_multiflora,1
Valatie Kill,rosa_multiflora,1
Wappinger Creek,rosa_multiflora,1
Mill Creek,rubus_phoenicolasius,1
Robbs Creek,rubus_phoenicolasius,1
Sherriff Lake Outlet,rubus_phoenicolasius,1
Big Brook,rumex_crispus,1
Cedar River,rumex_crispus,1
Kayaderosseras Creek,rumex_crispus,1
