River,Species,Presence
Ballston Creek,ambrosia_trifida,1
Indian Brook,ambrosia_trifida,1
Indian Kill,ambrosia_trifida,1
Kayaderosseras Creek,ambrosia_trifida,1
Keyser Kill,ambrosia_trifida,1
Landsman Kill,ambrosia_trifida,1
Fawn Lake,bidens_connata,1
Alplaus Kill,bidens_frondosa,1
Ballston Creek,bidens_frondosa,1
Big Brook,bidens_frondosa,1
Cobleskill Creek,bidens_frondosa,1
Evas Kill,bidens_frondosa,1
Indian Kill,bidens_frondosa,1
Kayaderosseras Creek,bidens_frondosa,1
Landsman Kill,bidens_frondosa,1
Potic Creek,bidens_frondosa,1
Quacken Kill,bidens_frondosa,1
Snook Kill,bidens_frondosa,1
Stony Creek,bidens_frondosa,1
Ballston Creek,echinocystis_lobata,1
Kayaderosseras Creek,echinocystis_lobata,1
Keyser Kill,erigeron_annuus,1
Kinderhook Creek,erigeron_annuus,1
Landsman Kill,erigeron_annuus,1
Paragon Brook,erigeron_annuus,1
Potic Creek,erigeron_annuus,1
Kayaderosseras Creek,euphorbia_maculata,1
Big Brook,galium_aparine,1
Fawn Lake,galium_aparine,1
Four Mile Brook,galium_aparine,1
Robbs Creek,galium_aparine,1
Sterling Creek,galium_aparine,1
Ballston Creek,impatiens_capensis,1
Beaver Kill,impatiens_capensis,1
Bullhead Pond Brook,impatiens_capensis,1
Daly Creek,impatiens_capensis,1
Fawn Lake,impatiens_capensis,1
Fishkill Creek,impatiens_capensis,1
Indian Brook,impatiens_capensis,1
Indian Kill,impatiens_capensis,1
Keyser Kill,impatiens_capensis,1
Landsman Kill,impatiens_capensis,1
Lansing Kill,impatiens_capensis,1
Plotter Kill,impatiens_capensis,1
Potic Creek,impatiens_capensis,1
Quacken Kill,impatiens_capensis,1
Roeliff Jansen Kill,impatiens_capensis,1
Saw Kill,impatiens_capensis,1
Snook Kill,impatiens_capensis,1
Sprout Creek,impatiens_capensis,1
Stony Creek,impatiens_capensis,1
Ballston Creek,impatiens_pallida,1
Evas Kill,impatiens_pallida,1
Mohawk River,impatiens_pallida,1
Plotter Kill,impatiens_pallida,1
Kinderhook Creek,lobelia_inflata,1
Beaver Kill,panicum_dichotomiflorum,1
Potic Creek,panicum_dichotomiflorum,1
Sprout Creek,panicum_dichotomiflorum,1
Wappinger Creek,panicum_dichotomiflorum,1
Alplaus Kill,pilea_pumila,1
Ballston Creek,pilea_pumila,1
Evas Kill,pilea_pumila,1
Fishkill Creek,pilea_pumila,1
Indian Brook,pilea_pumila,1
Indian Kill,pilea_pumila,1
Kinderhook Creek,pilea_pumila,1
Landsman Kill,pilea_pumila,1
Lansing Kill,pilea_pumila,1
Minots Corner Road,pilea_pumila,1
Potic Creek,pilea_pumila,1
Quacken Kill,pilea_pumila,1
Roeliff Jansen Kill,pilea_pumila,1
Saw Kill,pilea_pumila,1
Snook Kill,pilea_pumila,1
Sprout Creek,pilea_pumila,1
Sterling Creek,pilea_pumila,1
Stony Creek,pilea_pumila,1
Wappinger Creek,pilea_pumila,1
Cobleskill Creek,xanthium_strumarium,1
Kayaderosseras Creek,xanthium_strumarium,1
