River,Species,Presence
Mill Creek,abies_balsamea,1
New Pond Brook,abies_balsamea,1
Sherriff Lake Outlet,abies_balsamea,1
Kennyetto Creek,acer_negundo,1
Landsman Kill,acer_negundo,1
Minots Corner Road,acer_negundo,1
Snook Kill,acer_negundo,1
Stewart Creek,acer_pensylvanicum,1
Bullhead Pond Brook,acer_rubrum,1
Cadman Creek,acer_rubrum,1
Evas Kill,acer_rubrum,1
Fawn Lake,acer_rubrum,1
Hudson River,acer_rubrum,1
Indian Kill,acer_rubrum,1
Kayaderosseras Creek,acer_rubrum,1
Mill Creek,acer_rubrum,1
New Pond Brook,acer_rubrum,1
North Branch West Stony Creek,acer_rubrum,1
Quacken Kill,acer_rubrum,1
Trout Brook,acer_rubrum,1
Fishkill Creek,acer_saccharinum,1
Kayaderosseras Creek,acer_saccharinum,1
Roeliff Jansen Kill,acer_saccharinum,1
Sprout Creek,acer_saccharinum,1
Steele Creek,acer_saccharinum,1
Alplaus Kill,acer_saccharum,1
Ballston Creek,acer_saccharum,1
Beaver Kill,acer_saccharum,1
Bullhead Pond Brook,acer_saccharum,1
Cadman Creek,acer_saccharum,1
Daly Creek,acer_saccharum,1
Evas Kill,acer_saccharum,1
Fawn Lake,acer_saccharum,1
Hans Creek,acer_saccharum,1
Indian Brook,acer_saccharum,1
Keyser Kill,acer_saccharum,1
Kinderhook Creek,acer_saccharum,1
Lansing Kill,acer_saccharum,1
Plotter Kill,acer_saccharum,1
Potic Creek,acer_saccharum,1
Quacken Kill,acer_saccharum,1
Saw Kill,acer_saccharum,1
Stewart Creek,acer_saccharum,1
Stony Creek,acer_saccharum,1
Trout Brook,acer_saccharum,1
Valatie Kill,acer_saccharum,1
Wharton Hollow Creek,acer_saccharum,1
Stewart Creek,acer_spicatum,1
Big Brook,ageratina_altissima,1
Evas Kill,ageratina_altissima,1
Green River,ageratina_altissima,1
Indian Kill,ageratina_altissima,1
Kinderhook Creek,ageratina_altissima,1
Plotter Kill,ageratina_altissima,1
Quacken Kill,ageratina_altissima,1
Alplaus Kill,agrimonia_gryposepala,1
Kinderhook Creek,agrimonia_gryposepala,1
Mill Brook,agrimonia_gryposepala,1
Alplaus Kill,agrostis_perennans,1
Cadman Creek,agrostis_perennans,1
Chester Creek,agrostis_perennans,1
Daly Creek,agrostis_perennans,1
Hans Creek,agrostis_perennans,1
Indian Kill,agrostis_perennans,1
Keyser Kill,agrostis_perennans,1
Mill Brook,agrostis_perennans,1
Mill Creek,agrostis_perennans,1
New Pond Brook,agrostis_perennans,1
North Branch West Stony Creek,agrostis_perennans,1
Robbs Creek,agrostis_perennans,1
Robbs Creek,agrostis_perennans,1
Sherriff Lake Outlet,agrostis_perennans,1
Stewart Creek,agrostis_perennans,1
Trout Brook,agrostis_perennans,1
Boreas River,alnus_incana,1
Cadman Creek,alnus_incana,1
Chester Creek,alnus_incana,1
Daly Creek,alnus_incana,1
Four Mile Brook,alnus_incana,1
Hans Creek,alnus_incana,1
Hudson River,alnus_incana,1
Jassup River,alnus_incana,1
Kennyetto Creek,alnus_incana,1
Mill Brook,alnus_incana,1
Mill Creek,alnus_incana,1
Minots Corner Road,alnus_incana,1
Mohawk River,alnus_incana,1
New Pond Brook,alnus_incana,1
North Branch West Stony Creek,alnus_incana,1
Paragon Brook,alnus_incana,1
Robbs Creek,alnus_incana,1
Sherriff Lake Outlet,alnus_incana,1
Snook Kill,alnus_incana,1
Timmerman Creek,alnus_incana,1
Trout Brook,alnus_incana,1
Wharton Hollow Creek,alnus_incana,1
Ballston Creek,amphicarpaea_bracteata,1
Battenkill,amphicarpaea_bracteata,1
Evas Kill,amphicarpaea_bracteata,1
Hans Creek,amphicarpaea_bracteata,1
Indian Kill,amphicarpaea_bracteata,1
Mohawk River,amphicarpaea_bracteata,1
Paragon Brook,amphicarpaea_bracteata,1
Plotter Kill,amphicarpaea_bracteata,1
Potic Creek,amphicarpaea_bracteata,1
Snook Kill,amphicarpaea_bracteata,1
Sterling Creek,anemone_virginiana,1
Alplaus Kill,apocynum_cannabinum,1
Cobleskill Creek,apocynum_cannabinum,1
Daly Creek,apocynum_cannabinum,1
Fawn Lake,apocynum_cannabinum,1
Plotter Kill,apocynum_cannabinum,1
Saw Kill,apocynum_cannabinum,1
Wappinger Creek,apocynum_cannabinum,1
Bullhead Pond Brook,arisaema_triphyllum,1
Cadman Creek,arisaema_triphyllum,1
Daly Creek,arisaema_triphyllum,1
Mill Brook,arisaema_triphyllum,1
Potic Creek,arisaema_triphyllum,1
Alplaus Kill,asclepias_syriaca,1
Kayaderosseras Creek,asclepias_syriaca,1
Paragon Brook,asclepias_syriaca,1
Alplaus Kill,athyrium_filix_femina,1
Cadman Creek,athyrium_filix_femina,1
Daly Creek,athyrium_filix_femina,1
Kinderhook Creek,athyrium_filix_femina,1
Mill Creek,athyrium_filix_femina,1
Mohawk River,athyrium_filix_femina,1
Robbs Creek,athyrium_filix_femina,1
Roeliff Jansen Kill,athyrium_filix_femina,1
Sherriff Lake Outlet,athyrium_filix_femina,1
Valatie Kill,athyrium_filix_femina,1
Fawn Lake,betula_alleghaniensis,1
Hans Creek,betula_alleghaniensis,1
Mohawk River,betula_alleghaniensis,1
Saw Kill,betula_alleghaniensis,1
Stewart Creek,betula_alleghaniensis,1
Cadman Creek,betula_papyrifera,1
Lansing Kill,betula_papyrifera,1
Sterling Creek,blephilia_hirsuta,1
Cadman Creek,boehmeria_cylindrica,1
Indian Brook,boehmeria_cylindrica,1
Kinderhook Creek,boehmeria_cylindrica,1
Landsman Kill,boehmeria_cylindrica,1
Mill Brook,boehmeria_cylindrica,1
Potic Creek,boehmeria_cylindrica,1
Trout Brook,boehmeria_cylindrica,1
Robbs Creek,bromus_ciliatus,1
Mill Creek,bromus_pubescens,1
Ballston Creek,carex_crinita,1
Beaver Kill,carex_crinita,1
Cadman Creek,carex_crinita,1
Daly Creek,carex_crinita,1
Four Mile Brook,carex_crinita,1
Hans Creek,carex_crinita,1
Kayaderosseras Creek,carex_crinita,1
Kayaderosseras Creek,carex_crinita,1
Keyser Kill,carex_crinita,1
Potic Creek,carex_crinita,1
Sherriff Lake Outlet,carex_crinita,1
Keyser Kill,carex_scoparia,1
Ballston Creek,carpinus_caroliniana,1
Battenkill,carpinus_caroliniana,1
Indian Kill,carpinus_caroliniana,1
Kinderhook Creek,carpinus_caroliniana,1
Lansing Kill,carpinus_caroliniana,1
Mohawk River,carpinus_caroliniana,1
Potic Creek,carpinus_caroliniana,1
Sterling Creek,carpinus_caroliniana,1
Stony Creek,carpinus_caroliniana,1
Wharton Hollow Creek,carpinus_caroliniana,1
Ballston Creek,carya_cordiformis,1
Hans Creek,carya_cordiformis,1
Alplaus Kill,carya_ovata,1
Stony Creek,cephalanthus_occidentalis,1
Cadman Creek,chelone_glabra,1
Cedar River,chelone_glabra,1
Four Mile Brook,chelone_glabra,1
Mill Creek,chelone_glabra,1
New Pond Brook,chelone_glabra,1
North Branch West Stony Creek,chelone_glabra,1
Robbs Creek,chelone_glabra,1
Sherriff Lake Outlet,chelone_glabra,1
Trout Brook,chelone_glabra,1
Ballston Creek,cicuta_maculata,1
Big Brook,cicuta_maculata,1
Cedar River,cicuta_maculata,1
Evas Kill,cicuta_maculata,1
Kinderhook Creek,cicuta_maculata,1
Mill Creek,cicuta_maculata,1
Plotter Kill,cicuta_maculata,1
Quacken Kill,cicuta_maculata,1
Steele Creek,cicuta_maculata,1
Sterling Creek,cicuta_maculata,1
Stewart Creek,cicuta_maculata,1
Timmerman Creek,cicuta_maculata,1
Cadman Creek,cinna_arundinacea,1
Evas Kill,cinna_arundinacea,1
Quacken Kill,cinna_arundinacea,1
Snook Kill,cinna_arundinacea,1
Cadman Creek,circaea_lutetiana,1
Daly Creek,circaea_lutetiana,1
Evas Kill,circaea_lutetiana,1
Indian Brook,circaea_lutetiana,1
Indian Kill,circaea_lutetiana,1
Potic Creek,circaea_lutetiana,1
Robbs Creek,circaea_lutetiana,1
Stony Creek,circaea_lutetiana,1
Wharton Hollow Creek,circaea_lutetiana,1
Beaver Kill,clematis_virginiana,1
Big Brook,clematis_virginiana,1
Boreas River,clematis_virginiana,1
Cadman Creek,clematis_virginiana,1
Cedar River,clematis_virginiana,1
Daly Creek,clematis_virginiana,1
Fawn Lake,clematis_virginiana,1
Four Mile Brook,clematis_virginiana,1
Mill Creek,clematis_virginiana,1
North Branch West Stony Creek,clematis_virginiana,1
Quacken Kill,clematis_virginiana,1
Robbs Creek,clematis_virginiana,1
Sherriff Lake Outlet,clematis_virginiana,1
Sprout Creek,clematis_virginiana,1
Sterling Creek,clematis_virginiana,1
Stewart Creek,clematis_virginiana,1
Timmerman Creek,clematis_virginiana,1
Trout Brook,clematis_virginiana,1
Wharton Hollow Creek,clematis_virginiana,1
Beaver Kill,clinopodium_vulgare,1
Evas Kill,collinsonia_canadensis,1
Fawn Lake,cornus_amomum,1
Sprout Creek,cornus_amomum,1
Hudson River,cornus_canadensis,1
Boreas River,cornus_rugosa,1
Minots Corner Road,cornus_rugosa,1
Sterling Creek,cornus_rugosa,1
Timmerman Creek,cornus_rugosa,1
Ballston Creek,cornus_sericea,1
Battenkill,cornus_sericea,1
Boreas River,cornus_sericea,1
Cadman Creek,cornus_sericea,1
Chester Creek,cornus_sericea,1
Daly Creek,cornus_sericea,1
Indian Kill,cornus_sericea,1
Kennyetto Creek,cornus_sericea,1
Kinderhook Creek,cornus_sericea,1
Mill Brook,cornus_sericea,1
Paragon Brook,cornus_sericea,1
Snook Kill,cornus_sericea,1
Steele Creek,cornus_sericea,1
Trout Brook,cornus_sericea,1
Wappinger Creek,cornus_sericea,1
Lansing Kill,corylus_cornuta,1
Evas Kill,cryptotaenia_canadensis,1
Ballston Creek,cyperus_strigosus,1
Chester Creek,cyperus_strigosus,1
Kayaderosseras Creek,cyperus_strigosus,1
Battenkill,dichanthelium_clandestinum,1
Beaver Kill,dichanthelium_clandestinum,1
Cadman Creek,dichanthelium_clandestinum,1
Cedar River,dichanthelium_clandestinum,1
Hans Creek,dichanthelium_clandestinum,1
Indian Brook,dichanthelium_clandestinum,1
Indian Kill,dichanthelium_clandestinum,1
Kayaderosseras Creek,dichanthelium_clandestinum,1
Kennyetto Creek,dichanthelium_clandestinum,1
Kinderhook Creek,dichanthelium_clandestinum,1
Mill Brook,dichanthelium_clandestinum,1
North Branch West Stony Creek,dichanthelium_clandestinum,1
Potic Creek,dichanthelium_clandestinum,1
Quacken Kill,dichanthelium_clandestinum,1
Roeliff Jansen Kill,dichanthelium_clandestinum,1
Snook Kill,dichanthelium_clandestinum,1
Trout Brook,dichanthelium_clandestinum,1
Fishkill Creek,dioscorea_villosa,1
Lansing Kill,dryopteris_carthusiana,1
Stewart Creek,dryopteris_carthusiana,1
Evas Kill,dryopteris_cristata,1
Stony Creek,elymus_hystrix,1
Cedar River,elymus_trachycaulus,1
Beaver Kill,elymus_virginicus,1
Saw Kill,elymus_virginicus,1
Evas Kill,epilobium_ciliatum,1
Snook Kill,epilobium_ciliatum,1
Battenkill,equisetum_fluviatile,1
Keyser Kill,equisetum_fluviatile,1
Timmerman Creek,equisetum_fluviatile,1
Timmerman Creek,equisetum_hyemale,1
Cedar River,equisetum_palustre,1
Alplaus Kill,equisetum_pratense,1
Boreas River,equisetum_pratense,1
Hans Creek,equisetum_pratense,1
Potic Creek,equisetum_pratense,1
Sherriff Lake Outlet,equisetum_pratense,1
Snook Kill,equisetum_pratense,1
Sterling Creek,equisetum_pratense,1
Wappinger Creek,equisetum_pratense,1
Evas Kill,eupatorium_perfoliatum,1
