River,Comm,Leaf C per dry mass,Leaf C to N ratio,Leaf weight ratio,Lamina thickness,Leaf N per dry mass,Leaf N to P ratio,Leaf P per dry mass,Leaf physical strength,Leaf K per dry mass,Leaf respiration per dry mass,SLA,Photosynthesis per leaf dry mass,RGR,Root N per dry mass,Rooting depth,Seed mass,Seed number per reproduction unit,Seed protein content per mass,SSD,Stomata conductance per leaf area,Wood dry mass per total dry mass
Alplaus Kill,Alplaus Kill Inv,41.7625,19.09,10.1375,0.245,15.64,14.44,273.715,1.335,11.62,25.5,196.7466667,135.0533333,0.18,2.34,4,12020.77714,99373.535,17.7,79.17666667,235.96,38.135
Ballston Creek,Ballston Creek Inv,43.4925,24.175,17.285,0.26,6.69,10.30666667,1423.2525,1.186666667,7.14,NA,474.2166667,72.19,0.18,1.52,14,2288.007143,1440771.69,16.3,79.16333333,234.62,46.285
Battenkill,Battenkill Inv,289.9866667,23.84333333,3.86,0.27,9.3625,7.736666667,866.454,1.59,9.64,24.14,48.65,245.07,0.213333333,2.705,14,5842.062857,19056.0375,20.6775,0.243333333,231.75,71.485
Beaver Kill,Beaver Kill Inv,38.69,15.07,87.28,0.37,2.54,10.36,2200,0.69,NA,NA,48.475,NA,NA,NA,18,1132.9975,3480.05,NA,NA,NA,12.72
Big Brook,Big Brook Inv,197.386,16.574,2.946,0.226666667,13.22833333,10.982,540.8216667,1.436666667,17.43,24.82,395.9877778,290.61,0.21,2.0675,7,9374.584,27007.49222,16.77833333,0.2475,174.815,19.95
Boreas River,Boreas River Inv,325.7333333,17.86,10.45666667,0.245,20.58666667,15.82,79.35333333,1.2,NA,25.5,42.2725,260.78,0.17,2.23,8.666666667,19520.466,30948.54667,29.50333333,0.31,105.13,38.55
Bullhead Pond Brook,Bullhead Pond Brook Inv,NA,NA,0.8,0.22,19.2,10.09,1731.73,0.47,NA,NA,71.01,NA,0.21,NA,0.31,0.31,40193.6,18.8,NA,NA,NA
Cadman Creek,Cadman Creek Inv,38.69,15.07,87.28,0.37,2.54,10.36,2200,0.69,NA,NA,58.84,NA,NA,NA,NA,0.635,38342.55,17,NA,NA,12.72
Cedar River,Cedar River Inv,216.8966667,21.275,10.862,0.19,9.506666667,11.34333333,480.108,2.62,NA,NA,646.965,139.01,0.2225,0.685,14,7392.145,55043.00667,18.38333333,40.06,NA,59.23
Chester Creek,Chester Creek Inv,44.33,15.87,NA,NA,2.56,NA,0.25,NA,NA,NA,1068.27,NA,NA,NA,24,0.12,49581.33,NA,119.41,NA,NA
Cobleskill Creek,Cobleskill Creek Inv,216.661,20.47625,13.275,0.251666667,13.80545455,15.57,364.958,5.693333333,10.78,25.5,316.1046154,211.9466667,0.2,1.7625,12.57142857,10272.168,49605.15769,26.52,20.105,137.5,46.962
Daly Creek,Daly Creek Inv,267.845,15.07,54.57,0.28,12.42,10.36,2200,1.655,NA,NA,67.965,NA,0.21,NA,NA,0.225,85125.98,19.4,NA,NA,31.695
Evas Kill,Evas Kill Inv,41.408,21.504,33.648,0.272,10.126,12.59,695.765,0.976,17.43,25.5,162.0542857,180.04,0.213333333,2.34,9,14302.39429,60213.98714,17.4,0.24,133.94,31.31
Fawn Lake,Fawn Lake Inv,194.4427273,18.398,9.49,0.234,13.89916667,14.46,297.8063636,1.07,14.105,25.5,428.8338462,193.7125,0.20625,1.816666667,11.55555556,14066.79286,48623.68231,25.70833333,15.17875,120.0866667,58.71333333
