River,Site,Latitude,Longitude,MeanTempDriestQ,MeanTempWettestQ,TempAnnRange,MinTempColdestM,MaxTempWarmestM,TempSeasonality,Isothermality,MeanDiurnalTempRange,PrecipColdestQ,PrecipWarmestQ,PrecipDriestQ,PrecipWettestQ,PrecipSeasonality,PrecipDriestM,PrecipWettestM,AnnPrecip,MeanTempColdestQ,MeanTempWarmestQ,AnnMeanTemp,StreamOrder,DrainageArea,PCEmergentHerbWetlands100mBuff,PCWoodyWetlands100mBuff,PCCultivatedCrops100mBuff,PCPasture100mBuff,PCGrassland100mBuff,PCScrub100mBuff,PCMixedFor100mBuff,PCEvergreenFor100mBuff,PCDecidFor100mBuff,PCBarren100mBuff,PCDevHi100mBuff,PCDevMed100mBuff,PCDevLo100mBuff,PCDevOpen100mBuff,PCWater100mBuff,PCEmergentHerbWetlands1kmBuff,PCWoodyWetlands1kmBuff,PCCultivatedCrops1kmBuff,PCPasture1kmBuff,PCGrassland1kmBuff,PCScrub1kmBuff,PCMixedFor1kmBuff,PCEvergreenFor1kmBuff,PCDecidFor1kmBuff,PCBarren1kmBuff,PCDevHi1kmBuff,PCDevMed1kmBuff,PCDevLo1kmBuff,PCDevOpen1kmBuff,PCWater1kmBuff,PCEmergentHerbWetlands10kmBuff,PCWoodyWetlands10kmBuff,PCCultivatedCrops10kmBuff,PCPasture10kmBuff,PCGrassland10kmBuff,PCScrub10kmBuff,PCMixedFor10kmBuff,PCEvergreenFor10kmBuff,PCDecidFor10kmBuff,PCBarren10kmBuff,PCDevHi10kmBuff,PCDevMed10kmBuff,PCDevLo10kmBuff,PCDevOpen10kmBuff,PCWater10kmBuff
Paragon Brook,200,43.887672,-73.643238,-57,174,410,-144,266,9839,30,123,196,286,191,288,16,59,109,984,-70,185,63,2,23.8266,0.000,0.600,0.000,0.000,0.000,0.000,0.000,0.067,0.100,0.000,0.000,0.000,0.000,0.233,0.000,0.001,0.206,0.007,0.000,0.003,0.000,0.102,0.505,0.079,0.000,0.000,0.000,0.000,0.054,0.043,0.003,0.098,0.002,0.003,0.002,0.002,0.170,0.436,0.200,0.003,0.000,0.001,0.003,0.019,0.059
Cobleskill Creek,1055,42.710005,-74.333995,-48,176,390,-113,277,9483,30,118,202,276,202,283,13,60,97,990,-48,198,79,4,360.3843,0.269,0.077,0.000,0.000,0.000,0.192,0.000,0.000,0.115,0.000,0.000,0.000,0.000,0.346,0.000,0.003,0.047,0.352,0.099,0.004,0.037,0.017,0.030,0.098,0.000,0.002,0.044,0.116,0.119,0.033,0.001,0.064,0.104,0.275,0.005,0.004,0.127,0.050,0.282,0.001,0.001,0.005,0.020,0.053,0.009
Sterling Creek,515,43.139072,-75.090916,-50,177,393,-128,265,9600,29,116,240,319,232,320,13,69,111,1157,-61,187,67,2,10.2546,0.000,0.321,0.000,0.000,0.000,0.000,0.179,0.107,0.393,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.072,0.009,0.112,0.030,0.112,0.142,0.110,0.397,0.000,0.000,0.000,0.000,0.010,0.000,0.005,0.055,0.104,0.252,0.037,0.101,0.066,0.042,0.266,0.000,0.001,0.004,0.022,0.031,0.014
Sheriff Lake Outlet,237,43.390122,-74.593997,-66,72,390,-146,244,9523,30,117,294,333,281,347,10,83,125,1294,-77,168,51,2,11.1087,0.000,0.000,0.000,0.000,0.000,0.000,0.107,0.000,0.464,0.000,0.000,0.000,0.000,0.429,0.000,0.015,0.013,0.013,0.000,0.008,0.039,0.057,0.017,0.722,0.000,0.000,0.000,0.000,0.048,0.067,0.014,0.072,0.000,0.000,0.001,0.022,0.144,0.088,0.576,0.000,0.000,0.000,0.000,0.008,0.075
Bullhead Pond Brook,178,43.80754,-74.04173,-67,158,394,-151,243,9489,30,121,224,307,220,313,14,66,115,1090,-78,166,50,2,6.6546,0.000,0.000,0.000,0.000,0.000,0.000,0.036,0.143,0.821,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.027,0.000,0.000,0.000,0.000,0.082,0.053,0.835,0.000,0.000,0.000,0.000,0.002,0.002,0.010,0.115,0.000,0.000,0.000,0.002,0.132,0.240,0.475,0.000,0.000,0.000,0.000,0.006,0.019
Daly Creek,272,43.269326,-73.955921,-50,118,398,-135,263,9589,29,119,247,294,245,299,10,73,105,1124,-63,185,66,3,68.4405,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.379,0.483,0.000,0.000,0.000,0.000,0.138,0.000,0.000,0.065,0.000,0.000,0.000,0.004,0.094,0.436,0.355,0.000,0.000,0.000,0.000,0.038,0.009,0.005,0.082,0.004,0.001,0.002,0.006,0.113,0.239,0.458,0.003,0.000,0.000,0.002,0.017,0.067
Lansing Kill,1030,43.404334,-75.344078,-56,83,393,-134,259,9737,28,112,302,318,276,341,10,85,123,1255,-67,184,64,3,47.2986,0.000,0.000,0.000,0.000,0.000,0.036,0.000,0.000,0.857,0.000,0.000,0.000,0.000,0.107,0.000,0.000,0.149,0.006,0.000,0.000,0.049,0.019,0.024,0.740,0.000,0.000,0.000,0.000,0.012,0.000,0.003,0.069,0.053,0.114,0.039,0.081,0.027,0.118,0.475,0.001,0.000,0.001,0.003,0.011,0.004
New Pond Brook,220,44.076053,-73.659537,-61,171,411,-148,263,9848,29,123,187,284,180,285,18,56,108,956,-74,181,59,2,12.9321,0.000,0.429,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.036,0.536,0.000,0.000,0.135,0.005,0.000,0.004,0.000,0.262,0.412,0.022,0.000,0.000,0.022,0.051,0.083,0.004,0.002,0.056,0.000,0.000,0.001,0.000,0.202,0.332,0.361,0.002,0.000,0.001,0.005,0.018,0.019
Cadman Creek,251,43.101747,-74.042986,-52,116,390,-132,258,9533,29,116,247,301,245,307,11,72,107,1138,-64,182,64,2,23.2704,0.000,0.207,0.000,0.000,0.000,0.000,0.069,0.517,0.000,0.000,0.000,0.000,0.000,0.207,0.000,0.005,0.140,0.006,0.000,0.000,0.000,0.233,0.408,0.147,0.000,0.000,0.000,0.002,0.059,0.000,0.004,0.290,0.029,0.120,0.004,0.003,0.038,0.203,0.065,0.008,0.001,0.002,0.013,0.050,0.170
North Branch West Stony Breek,311,43.252166,-74.328505,-55,170,390,-134,256,9528,30,118,264,309,259,311,9,77,110,1184,-66,179,62,3,50.8869,0.000,0.000,0.000,0.000,0.000,0.000,0.346,0.231,0.115,0.000,0.000,0.000,0.000,0.308,0.000,0.000,0.095,0.000,0.000,0.000,0.000,0.197,0.513,0.147,0.000,0.000,0.000,0.000,0.035,0.013,0.003,0.031,0.000,0.001,0.001,0.014,0.220,0.168,0.540,0.000,0.000,0.000,0.001,0.008,0.013
