River,Species,Presence
Mill Creek,Abies balsamea,1
New Pond Brook,Abies balsamea,1
Sherriff Lake Outlet,Abies balsamea,1
Kennyetto Creek,Acer negundo,1
Landsman Kill,Acer negundo,1
Minots Corner Road,Acer negundo,1
Snook Kill,Acer negundo,1
Stewart Creek,Acer pensylvanicum,1
Bullhead Pond Brook,Acer rubrum,1
Cadman Creek,Acer rubrum,1
Evas Kill,Acer rubrum,1
Fawn Lake,Acer rubrum,1
Hudson River,Acer rubrum,1
Indian Kill,Acer rubrum,1
Kayaderosseras Creek,Acer rubrum,1
Mill Creek,Acer rubrum,1
New Pond Brook,Acer rubrum,1
North Branch West Stony Creek,Acer rubrum,1
Quacken Kill,Acer rubrum,1
Trout Brook,Acer rubrum,1
Fishkill Creek,Acer saccharinum,1
Kayaderosseras Creek,Acer saccharinum,1
Roeliff Jansen Kill,Acer saccharinum,1
Sprout Creek,Acer saccharinum,1
Steele Creek,Acer saccharinum,1
Alplaus Kill,Acer saccharum,1
Ballston Creek,Acer saccharum,1
Beaver Kill,Acer saccharum,1
Bullhead Pond Brook,Acer saccharum,1
Cadman Creek,Acer saccharum,1
Daly Creek,Acer saccharum,1
Evas Kill,Acer saccharum,1
Fawn Lake,Acer saccharum,1
Hans Creek,Acer saccharum,1
Indian Brook,Acer saccharum,1
Keyser Kill,Acer saccharum,1
Kinderhook Creek,Acer saccharum,1
Lansing Kill,Acer saccharum,1
Plotter Kill,Acer saccharum,1
Potic Creek,Acer saccharum,1
Quacken Kill,Acer saccharum,1
Saw Kill,Acer saccharum,1
Stewart Creek,Acer saccharum,1
Stony Creek,Acer saccharum,1
Trout Brook,Acer saccharum,1
Valatie Kill,Acer saccharum,1
Wharton Hollow Creek,Acer saccharum,1
Stewart Creek,Acer spicatum,1
Cedar River,Achillea millefolium,1
Four Mile Brook,Achillea millefolium,1
New Pond Brook,Achillea millefolium,1
Paragon Brook,Achillea millefolium,1
Timmerman Creek,Achillea millefolium,1
Big Brook,Ageratina altissima,1
Evas Kill,Ageratina altissima,1
Green River,Ageratina altissima,1
Indian Kill,Ageratina altissima,1
Kinderhook Creek,Ageratina altissima,1
Plotter Kill,Ageratina altissima,1
Quacken Kill,Ageratina altissima,1
Alplaus Kill,Agrimonia gryposepala,1
Kinderhook Creek,Agrimonia gryposepala,1
Mill Brook,Agrimonia gryposepala,1
Alplaus Kill,Agrostis perennans,1
Cadman Creek,Agrostis perennans,1
Chester Creek,Agrostis perennans,1
Daly Creek,Agrostis perennans,1
Hans Creek,Agrostis perennans,1
Indian Kill,Agrostis perennans,1
Keyser Kill,Agrostis perennans,1
Mill Brook,Agrostis perennans,1
Mill Creek,Agrostis perennans,1
New Pond Brook,Agrostis perennans,1
North Branch West Stony Creek,Agrostis perennans,1
Robbs Creek,Agrostis perennans,1
Robbs Creek,Agrostis perennans,1
Sherriff Lake Outlet,Agrostis perennans,1
Stewart Creek,Agrostis perennans,1
Trout Brook,Agrostis perennans,1
Fishkill Creek,Alliaria petiolata,1
Indian Brook,Alliaria petiolata,1
Indian Kill,Alliaria petiolata,1
Lansing Kill,Alliaria petiolata,1
Mohawk River,Alliaria petiolata,1
Plotter Kill,Alliaria petiolata,1
Potic Creek,Alliaria petiolata,1
Roeliff Jansen Kill,Alliaria petiolata,1
Saw Kill,Alliaria petiolata,1
Stony Creek,Alliaria petiolata,1
Wappinger Creek,Alliaria petiolata,1
Boreas River,Alnus incana,1
Cadman Creek,Alnus incana,1
Chester Creek,Alnus incana,1
Daly Creek,Alnus incana,1
Four Mile Brook,Alnus incana,1
Hans Creek,Alnus incana,1
Hudson River,Alnus incana,1
Jassup River,Alnus incana,1
Kennyetto Creek,Alnus incana,1
Mill Brook,Alnus incana,1
Mill Creek,Alnus incana,1
Minots Corner Road,Alnus incana,1
Mohawk River,Alnus incana,1
New Pond Brook,Alnus incana,1
North Branch West Stony Creek,Alnus incana,1
Paragon Brook,Alnus incana,1
Robbs Creek,Alnus incana,1
Sherriff Lake Outlet,Alnus incana,1
Snook Kill,Alnus incana,1
Timmerman Creek,Alnus incana,1
Trout Brook,Alnus incana,1
Wharton Hollow Creek,Alnus incana,1
Quacken Kill,Ambrosia artemisiifolia,1
Ballston Creek,Ambrosia trifida,1
Indian Brook,Ambrosia trifida,1
Indian Kill,Ambrosia trifida,1
Kayaderosseras Creek,Ambrosia trifida,1
Keyser Kill,Ambrosia trifida,1
Landsman Kill,Ambrosia trifida,1
Ballston Creek,Amphicarpaea bracteata,1
Battenkill,Amphicarpaea bracteata,1
Evas Kill,Amphicarpaea bracteata,1
Hans Creek,Amphicarpaea bracteata,1
Indian Kill,Amphicarpaea bracteata,1
Mohawk River,Amphicarpaea bracteata,1
Paragon Brook,Amphicarpaea bracteata,1
Plotter Kill,Amphicarpaea bracteata,1
Potic Creek,Amphicarpaea bracteata,1
Snook Kill,Amphicarpaea bracteata,1
Sterling Creek,Anemone virginiana,1
Alplaus Kill,Apocynum cannabinum,1
Cobleskill Creek,Apocynum cannabinum,1
Daly Creek,Apocynum cannabinum,1
Fawn Lake,Apocynum cannabinum,1
Plotter Kill,Apocynum cannabinum,1
Saw Kill,Apocynum cannabinum,1
Wappinger Creek,Apocynum cannabinum,1
Big Brook,Arctium lappa,1
Evas Kill,Arctium lappa,1
Bullhead Pond Brook,Arisaema triphyllum,1
Cadman Creek,Arisaema triphyllum,1
Daly Creek,Arisaema triphyllum,1
Mill Brook,Arisaema triphyllum,1
Potic Creek,Arisaema triphyllum,1
Plotter Kill,Artemisia vulgaris,1
Alplaus Kill,Asclepias syriaca,1
Kayaderosseras Creek,Asclepias syriaca,1
Paragon Brook,Asclepias syriaca,1
Alplaus Kill,Athyrium filix-femina,1
Cadman Creek,Athyrium filix-femina,1
Daly Creek,Athyrium filix-femina,1
Kinderhook Creek,Athyrium filix-femina,1
Mill Creek,Athyrium filix-femina,1
Mohawk River,Athyrium filix-femina,1
Robbs Creek,Athyrium filix-femina,1
Roeliff Jansen Kill,Athyrium filix-femina,1
Sherriff Lake Outlet,Athyrium filix-femina,1
Valatie Kill,Athyrium filix-femina,1
Big Brook,Barbarea vulgaris,1
Battenkill,Berberis thunbergii,1
Beaver Kill,Berberis thunbergii,1
Fishkill Creek,Berberis thunbergii,1
Indian Brook,Berberis thunbergii,1
Mill Brook,Berberis thunbergii,1
Valatie Kill,Berberis thunbergii,1
Fawn Lake,Betula alleghaniensis,1
Hans Creek,Betula alleghaniensis,1
Mohawk River,Betula alleghaniensis,1
Saw Kill,Betula alleghaniensis,1
Stewart Creek,Betula alleghaniensis,1
Cadman Creek,Betula papyrifera,1
Lansing Kill,Betula papyrifera,1
Fawn Lake,Bidens connata,1
Alplaus Kill,Bidens frondosa,1
Ballston Creek,Bidens frondosa,1
Big Brook,Bidens frondosa,1
Cobleskill Creek,Bidens frondosa,1
Evas Kill,Bidens frondosa,1
Indian Kill,Bidens frondosa,1
Kayaderosseras Creek,Bidens frondosa,1
Landsman Kill,Bidens frondosa,1
Potic Creek,Bidens frondosa,1
Quacken Kill,Bidens frondosa,1
Snook Kill,Bidens frondosa,1
Stony Creek,Bidens frondosa,1
Sterling Creek,Blephilia hirsuta,1
Cadman Creek,Boehmeria cylindrica,1
Indian Brook,Boehmeria cylindrica,1
Kinderhook Creek,Boehmeria cylindrica,1
Landsman Kill,Boehmeria cylindrica,1
Mill Brook,Boehmeria cylindrica,1
Potic Creek,Boehmeria cylindrica,1
Trout Brook,Boehmeria cylindrica,1
Cobleskill Creek,Brassica nigra,1
Robbs Creek,Bromus ciliatus,1
Wharton Hollow Creek,Bromus inermis,1
Mill Creek,Bromus pubescens,1
Alplaus Kill,Calystegia sepium,1
Kayaderosseras Creek,Calystegia sepium,1
Landsman Kill,Calystegia sepium,1
Plotter Kill,Calystegia sepium,1
Robbs Creek,Calystegia sepium,1
Sprout Creek,Calystegia sepium,1
Ballston Creek,Carex crinita,1
Beaver Kill,Carex crinita,1
Cadman Creek,Carex crinita,1
Daly Creek,Carex crinita,1
Four Mile Brook,Carex crinita,1
Hans Creek,Carex crinita,1
Kayaderosseras Creek,Carex crinita,1
Kayaderosseras Creek,Carex crinita,1
Keyser Kill,Carex crinita,1
Potic Creek,Carex crinita,1
Sherriff Lake Outlet,Carex crinita,1
Keyser Kill,Carex scoparia,1
Ballston Creek,Carpinus caroliniana,1
Battenkill,Carpinus caroliniana,1
Indian Kill,Carpinus caroliniana,1
Kinderhook Creek,Carpinus caroliniana,1
Lansing Kill,Carpinus caroliniana,1
Mohawk River,Carpinus caroliniana,1
Potic Creek,Carpinus caroliniana,1
Sterling Creek,Carpinus caroliniana,1
Stony Creek,Carpinus caroliniana,1
Wharton Hollow Creek,Carpinus caroliniana,1
Ballston Creek,Carya cordiformis,1
Hans Creek,Carya cordiformis,1
Alplaus Kill,Carya ovata,1
Big Brook,Centaurea jacea,1
Sterling Creek,Centaurea jacea,1
Cobleskill Creek,Centaurea nigrescens,1
Boreas River,Centaurea stoebe,1
Keyser Kill,Centaurea stoebe,1
Landsman Kill,Centaurea stoebe,1
Stony Creek,Cephalanthus occidentalis,1
Mohawk River,Chelidonium majus,1
Quacken Kill,Chelidonium majus,1
Roeliff Jansen Kill,Chelidonium majus,1
Saw Kill,Chelidonium majus,1
Cadman Creek,Chelone glabra,1
Cedar River,Chelone glabra,1
Four Mile Brook,Chelone glabra,1
Mill Creek,Chelone glabra,1
New Pond Brook,Chelone glabra,1
North Branch West Stony Creek,Chelone glabra,1
Robbs Creek,Chelone glabra,1
Sherriff Lake Outlet,Chelone glabra,1
Trout Brook,Chelone glabra,1
Ballston Creek,Cicuta maculata,1
Big Brook,Cicuta maculata,1
Cedar River,Cicuta maculata,1
Evas Kill,Cicuta maculata,1
Kinderhook Creek,Cicuta maculata,1
Mill Creek,Cicuta maculata,1
Plotter Kill,Cicuta maculata,1
Quacken Kill,Cicuta maculata,1
Steele Creek,Cicuta maculata,1
Sterling Creek,Cicuta maculata,1
Stewart Creek,Cicuta maculata,1
Timmerman Creek,Cicuta maculata,1
Cadman Creek,Cinna arundinacea,1
Evas Kill,Cinna arundinacea,1
Quacken Kill,Cinna arundinacea,1
Snook Kill,Cinna arundinacea,1
Cadman Creek,Circaea lutetiana,1
Daly Creek,Circaea lutetiana,1
Evas Kill,Circaea lutetiana,1
Indian Brook,Circaea lutetiana,1
Indian Kill,Circaea lutetiana,1
Potic Creek,Circaea lutetiana,1
Robbs Creek,Circaea lutetiana,1
Stony Creek,Circaea lutetiana,1
Wharton Hollow Creek,Circaea lutetiana,1
Beaver Kill,Clematis virginiana,1
Big Brook,Clematis virginiana,1
Boreas River,Clematis virginiana,1
Cadman Creek,Clematis virginiana,1
Cedar River,Clematis virginiana,1
Daly Creek,Clematis virginiana,1
Fawn Lake,Clematis virginiana,1
Four Mile Brook,Clematis virginiana,1
Mill Creek,Clematis virginiana,1
North Branch West Stony Creek,Clematis virginiana,1
Quacken Kill,Clematis virginiana,1
Robbs Creek,Clematis virginiana,1
Sherriff Lake Outlet,Clematis virginiana,1
Sprout Creek,Clematis virginiana,1
Sterling Creek,Clematis virginiana,1
Stewart Creek,Clematis virginiana,1
Timmerman Creek,Clematis virginiana,1
Trout Brook,Clematis virginiana,1
Wharton Hollow Creek,Clematis virginiana,1
Beaver Kill,Clinopodium vulgare,1
Evas Kill,Collinsonia canadensis,1
Saw Kill,Commelina communis,1
Fawn Lake,Cornus amomum,1
Sprout Creek,Cornus amomum,1
Hudson River,Cornus canadensis,1
Boreas River,Cornus rugosa,1
Minots Corner Road,Cornus rugosa,1
