River,Species,Presence,Origin
Fishkill Creek,alliaria_petiolata,1,I
Indian Brook,alliaria_petiolata,1,I
Indian Kill,alliaria_petiolata,1,I
Lansing Kill,alliaria_petiolata,1,I
Mohawk River,alliaria_petiolata,1,I
Plotter Kill,alliaria_petiolata,1,I
Potic Creek,alliaria_petiolata,1,I
Roeliff Jansen Kill,alliaria_petiolata,1,I
Saw Kill,alliaria_petiolata,1,I
Stony Creek,alliaria_petiolata,1,I
Wappinger Creek,alliaria_petiolata,1,I
Big Brook,arctium_lappa,1,I
Evas Kill,arctium_lappa,1,I
Plotter Kill,artemisia_vulgaris,1,I
Big Brook,barbarea_vulgaris,1,I
Battenkill,berberis_thunbergii,1,I
Beaver Kill,berberis_thunbergii,1,I
Fishkill Creek,berberis_thunbergii,1,I
Indian Brook,berberis_thunbergii,1,I
Mill Brook,berberis_thunbergii,1,I
Valatie Kill,berberis_thunbergii,1,I
Cobleskill Creek,brassica_nigra,1,I
Big Brook,centaurea_jacea,1,I
Sterling Creek,centaurea_jacea,1,I
Cobleskill Creek,centaurea_nigrescens,1,I
Boreas River,centaurea_stoebe,1,I
Keyser Kill,centaurea_stoebe,1,I
Landsman Kill,centaurea_stoebe,1,I
Mohawk River,chelidonium_majus,1,I
Quacken Kill,chelidonium_majus,1,I
Roeliff Jansen Kill,chelidonium_majus,1,I
Saw Kill,chelidonium_majus,1,I
Saw Kill,commelina_communis,1,I
Indian Brook,cynanchum_louiseae,1,I
Landsman Kill,dactylis_glomerata,1,I
Battenkill,daucus_carota,1,I
Cobleskill Creek,daucus_carota,1,I
Fawn Lake,daucus_carota,1,I
Kennyetto Creek,daucus_carota,1,I
Keyser Kill,daucus_carota,1,I
Landsman Kill,daucus_carota,1,I
Plotter Kill,daucus_carota,1,I
Quacken Kill,daucus_carota,1,I
Sterling Creek,daucus_carota,1,I
Keyser Kill,dianthus_armeria,1,I
Kayaderosseras Creek,digitaria_sanguinalis,1,I
Fawn Lake,elymus_repens,1,I
Ballston Creek,epipactis_helleborine,1,I
Lansing Kill,epipactis_helleborine,1,I
Sterling Creek,epipactis_helleborine,1,I
Stony Creek,epipactis_helleborine,1,I
Valatie Kill,epipactis_helleborine,1,I
Battenkill,euonymus_alatus,1,I
Landsman Kill,euonymus_alatus,1,I
Cobleskill Creek,galium_mollugo,1,I
Fawn Lake,galium_mollugo,1,I
Keyser Kill,galium_mollugo,1,I
Wharton Hollow Creek,galium_mollugo,1,I
Ballston Creek,glechoma_hederacea,1,I
Cobleskill Creek,glechoma_hederacea,1,I
Hans Creek,glechoma_hederacea,1,I
Landsman Kill,glechoma_hederacea,1,I
Mill Creek,glechoma_hederacea,1,I
Minots Corner Road,glechoma_hederacea,1,I
Mohawk River,glechoma_hederacea,1,I
North Branch West Stony Creek,glechoma_hederacea,1,I
Quacken Kill,glechoma_hederacea,1,I
Snook Kill,glechoma_hederacea,1,I
Steele Creek,glechoma_hederacea,1,I
Paragon Brook,hemerocallis_fulva,1,I
Cedar River,hypericum_perforatum,1,I
Daly Creek,hypericum_perforatum,1,I
Four Mile Brook,hypericum_perforatum,1,I
Hudson River,hypericum_perforatum,1,I
Keyser Kill,hypericum_perforatum,1,I
Kinderhook Creek,hypericum_perforatum,1,I
Paragon Brook,hypericum_perforatum,1,I
Sterling Creek,hypericum_perforatum,1,I
Wharton Hollow Creek,hypericum_perforatum,1,I
Cadman Creek,leonurus_cardiaca,1,I
Quacken Kill,leonurus_cardiaca,1,I
Roeliff Jansen Kill,leonurus_cardiaca,1,I
Boreas River,leucanthemum_vulgare,1,I
Cedar River,leucanthemum_vulgare,1,I
Cobleskill Creek,leucanthemum_vulgare,1,I
Fawn Lake,leucanthemum_vulgare,1,I
Four Mile Brook,leucanthemum_vulgare,1,I
Keyser Kill,leucanthemum_vulgare,1,I
Cedar River,linaria_vulgaris,1,I
Roeliff Jansen Kill,lithospermum_officinale,1,I
Valatie Kill,lonicera_japonica,1,I
Alplaus Kill,lonicera_morrowii,1,I
Ballston Creek,lonicera_morrowii,1,I
Battenkill,lonicera_morrowii,1,I
Beaver Kill,lonicera_morrowii,1,I
Big Brook,lonicera_morrowii,1,I
Fawn Lake,lonicera_morrowii,1,I
Fishkill Creek,lonicera_morrowii,1,I
Green River,lonicera_morrowii,1,I
Indian Brook,lonicera_morrowii,1,I
Kennyetto Creek,lonicera_morrowii,1,I
Kinderhook Creek,lonicera_morrowii,1,I
Lansing Kill,lonicera_morrowii,1,I
Minots Corner Road,lonicera_morrowii,1,I
Mohawk River,lonicera_morrowii,1,I
Paragon Brook,lonicera_morrowii,1,I
Paragon Brook,lonicera_morrowii,1,I
Quacken Kill,lonicera_morrowii,1,I
Snook Kill,lonicera_morrowii,1,I
Steele Creek,lonicera_morrowii,1,I
Sterling Creek,lonicera_morrowii,1,I
Stony Creek,lonicera_morrowii,1,I
Valatie Kill,lonicera_morrowii,1,I
Boreas River,lotus_corniculatus,1,I
Cobleskill Creek,lotus_corniculatus,1,I
Fawn Lake,lotus_corniculatus,1,I
Keyser Kill,lotus_corniculatus,1,I
Ballston Creek,lysimachia_nummularia,1,I
Battenkill,lysimachia_nummularia,1,I
Big Brook,lysimachia_nummularia,1,I
Fishkill Creek,lysimachia_nummularia,1,I
Indian Kill,lysimachia_nummularia,1,I
Minots Corner Road,lysimachia_nummularia,1,I
Mohawk River,lysimachia_nummularia,1,I
Snook Kill,lysimachia_nummularia,1,I
Sterling Creek,lysimachia_nummularia,1,I
Wappinger Creek,lysimachia_nummularia,1,I
Wharton Hollow Creek,lysimachia_nummularia,1,I
Alplaus Kill,lythrum_salicaria,1,I
Ballston Creek,lythrum_salicaria,1,I
Cobleskill Creek,lythrum_salicaria,1,I
Evas Kill,lythrum_salicaria,1,I
Fawn Lake,lythrum_salicaria,1,I
Indian Kill,lythrum_salicaria,1,I
Kayaderosseras Creek,lythrum_salicaria,1,I
Landsman Kill,lythrum_salicaria,1,I
Plotter Kill,lythrum_salicaria,1,I
Roeliff Jansen Kill,lythrum_salicaria,1,I
Snook Kill,lythrum_salicaria,1,I
Sprout Creek,lythrum_salicaria,1,I
Wappinger Creek,lythrum_salicaria,1,I
Fishkill Creek,malus_pumila,1,I
Kinderhook Creek,malus_pumila,1,I
Cobleskill Creek,melilotus_officinalis,1,I
Fawn Lake,melilotus_officinalis,1,I
Keyser Kill,melilotus_officinalis,1,I
Landsman Kill,melilotus_officinalis,1,I
Plotter Kill,melilotus_officinalis,1,I
Timmerman Creek,melilotus_officinalis,1,I
Wharton Hollow Creek,melilotus_officinalis,1,I
Cobleskill Creek,myosotis_scorpioides,1,I
Fawn Lake,myosotis_scorpioides,1,I
Wharton Hollow Creek,myosotis_scorpioides,1,I
Battenkill,phleum_pratense,1,I
Cedar River,phleum_pratense,1,I
Fawn Lake,phleum_pratense,1,I
Paragon Brook,phleum_pratense,1,I
Quacken Kill,phleum_pratense,1,I
Battenkill,plantago_lanceolata,1,I
Big Brook,plantago_lanceolata,1,I
Alplaus Kill,plantago_major,1,I
Big Brook,plantago_major,1,I
Boreas River,plantago_major,1,I
Cobleskill Creek,plantago_major,1,I
Evas Kill,plantago_major,1,I
Fawn Lake,plantago_major,1,I
Indian Kill,plantago_major,1,I
Kayaderosseras Creek,plantago_major,1,I
Kennyetto Creek,plantago_major,1,I
Kinderhook Creek,plantago_major,1,I
Lansing Kill,plantago_major,1,I
Potic Creek,plantago_major,1,I
Quacken Kill,plantago_major,1,I
Snook Kill,plantago_major,1,I
Sprout Creek,plantago_major,1,I
Sterling Creek,plantago_major,1,I
Stony Creek,plantago_major,1,I
Alplaus Kill,polygonum_cuspidatum,1,I
Green River,polygonum_cuspidatum,1,I
Kayaderosseras Creek,polygonum_cuspidatum,1,I
Keyser Kill,polygonum_cuspidatum,1,I
Steele Creek,polygonum_cuspidatum,1,I
Fawn Lake,polygonum_hydropiper,1,I
Saw Kill,polygonum_hydropiper,1,I
Ballston Creek,polygonum_persicaria,1,I
Cobleskill Creek,polygonum_persicaria,1,I
Evas Kill,polygonum_persicaria,1,I
Indian Brook,polygonum_persicaria,1,I
Kayaderosseras Creek,polygonum_persicaria,1,I
Potic Creek,polygonum_persicaria,1,I
Quacken Kill,polygonum_persicaria,1,I
Sprout Creek,polygonum_persicaria,1,I
Stony Creek,polygonum_persicaria,1,I
Landsman Kill,potentilla_recta,1,I
Alplaus Kill,rhamnus_cathartica,1,I
Ballston Creek,rhamnus_cathartica,1,I
Indian Kill,rhamnus_cathartica,1,I
Quacken Kill,rhamnus_cathartica,1,I
Alplaus Kill,rosa_multiflora,1,I
Alplaus Kill,rosa_multiflora,1,I
Beaver Kill,rosa_multiflora,1,I
Evas Kill,rosa_multiflora,1,I
Fishkill Creek,rosa_multiflora,1,I
Green River,rosa_multiflora,1,I
Indian Brook,rosa_multiflora,1,I
Kinderhook Creek,rosa_multiflora,1,I
Landsman Kill,rosa_multiflora,1,I
Mohawk River,rosa_multiflora,1,I
Plotter Kill,rosa_multiflora,1,I
Potic Creek,rosa_multiflora,1,I
Quacken Kill,rosa_multiflora,1,I
Roeliff Jansen Kill,rosa_multiflora,1,I
Saw Kill,rosa_multiflora,1,I
Sprout Creek,rosa_multiflora,1,I
Steele Creek,rosa_multiflora,1,I
Stony Creek,rosa_multiflora,1,I
Valatie Kill,rosa_multiflora,1,I
Wappinger Creek,rosa_multiflora,1,I
Mill Creek,rubus_phoenicolasius,1,I
Robbs Creek,rubus_phoenicolasius,1,I
Sherriff Lake Outlet,rubus_phoenicolasius,1,I
Big Brook,rumex_crispus,1,I
Cedar River,rumex_crispus,1,I
Kayaderosseras Creek,rumex_crispus,1,I
Kinderhook Creek,rumex_crispus,1,I
Mill Brook,rumex_crispus,1,I
Plotter Kill,rumex_crispus,1,I
Sherriff Lake Outlet,rumex_crispus,1,I
Snook Kill,rumex_crispus,1,I
Sterling Creek,rumex_crispus,1,I
Trout Brook,rumex_crispus,1,I
Cobleskill Creek,rumex_obtusifolius,1,I
Keyser Kill,rumex_obtusifolius,1,I
Roeliff Jansen Kill,rumex_obtusifolius,1,I
Wharton Hollow Creek,rumex_obtusifolius,1,I
Cedar River,salix_alba,1,I
Chester Creek,salix_alba,1,I
Cobleskill Creek,salix_alba,1,I
Fawn Lake,salix_alba,1,I
Four Mile Brook,salix_alba,1,I
Hans Creek,salix_alba,1,I
Hans Creek,salix_alba,1,I
Jassup River,salix_alba,1,I
New Pond Brook,salix_alba,1,I
North Branch West Stony Creek,salix_alba,1,I
Robbs Creek,salix_alba,1,I
Sherriff Lake Outlet,salix_alba,1,I
Timmerman Creek,salix_alba,1,I
Wharton Hollow Creek,salix_alba,1,I
Roeliff Jansen Kill,salix_pentandra,1,I
Big Brook,saponaria_officinalis,1,I
Quacken Kill,saponaria_officinalis,1,I
Boreas River,securigera_varia,1,I
Cobleskill Creek,securigera_varia,1,I
Kennyetto Creek,securigera_varia,1,I
Keyser Kill,securigera_varia,1,I
Mill Brook,securigera_varia,1,I
New Pond Brook,securigera_varia,1,I
Sherriff Lake Outlet,securigera_varia,1,I
Timmerman Creek,silene_vulgaris,1,I
Alplaus Kill,solanum_dulcamara,1,I
Big Brook,solanum_dulcamara,1,I
Evas Kill,solanum_dulcamara,1,I
Fawn Lake,solanum_dulcamara,1,I
Keyser Kill,solanum_dulcamara,1,I
Sterling Creek,solanum_dulcamara,1,I
Timmerman Creek,solanum_dulcamara,1,I
Wharton Hollow Creek,solanum_dulcamara,1,I
Bullhead Pond Brook,sonchus_oleraceus,1,I
Kinderhook Creek,sonchus_oleraceus,1,I
New Pond Brook,sonchus_oleraceus,1,I
Quacken Kill,sonchus_oleraceus,1,I
Snook Kill,sonchus_oleraceus,1,I
Quacken Kill,tanacetum_vulgare,1,I
Keyser Kill,trifolium_aureum,1,I
Sterling Creek,trifolium_aureum,1,I
Kayaderosseras Creek,trifolium_pratense,1,I
Kennyetto Creek,trifolium_pratense,1,I
Keyser Kill,trifolium_pratense,1,I
