PartSite,Species,Presence,Origin
Fishkill Creek I,Alliaria petiolata,1,I
Indian Brook I,Alliaria petiolata,1,I
Indian Kill I,Alliaria petiolata,1,I
Lansing Kill I,Alliaria petiolata,1,I
Mohawk River I,Alliaria petiolata,1,I
Plotter Kill I,Alliaria petiolata,1,I
Potic Creek I,Alliaria petiolata,1,I
Roeliff Jansen Kill I,Alliaria petiolata,1,I
Saw Kill I,Alliaria petiolata,1,I
Stony Creek I,Alliaria petiolata,1,I
Wappinger Creek I,Alliaria petiolata,1,I
Big Brook I,Arctium lappa,1,I
Evas Kill I,Arctium lappa,1,I
Plotter Kill I,Artemisia vulgaris,1,I
Big Brook I,Barbarea vulgaris,1,I
Battenkill I,Berberis thunbergii,1,I
Beaver Kill I,Berberis thunbergii,1,I
Fishkill Creek I,Berberis thunbergii,1,I
Indian Brook I,Berberis thunbergii,1,I
Mill Brook I,Berberis thunbergii,1,I
Valatie Kill I,Berberis thunbergii,1,I
Cobleskill Creek I,Brassica nigra,1,I
Big Brook I,Centaurea jacea,1,I
Sterling Creek I,Centaurea jacea,1,I
Cobleskill Creek I,Centaurea nigrescens,1,I
Boreas River I,Centaurea stoebe,1,I
Keyser Kill I,Centaurea stoebe,1,I
Landsman Kill I,Centaurea stoebe,1,I
Mohawk River I,Chelidonium majus,1,I
Quacken Kill I,Chelidonium majus,1,I
Roeliff Jansen Kill I,Chelidonium majus,1,I
Saw Kill I,Chelidonium majus,1,I
Saw Kill I,Commelina communis,1,I
Indian Brook I,Cynanchum louiseae,1,I
Landsman Kill I,Dactylis glomerata,1,I
Battenkill I,Daucus carota,1,I
Cobleskill Creek I,Daucus carota,1,I
Fawn Lake I,Daucus carota,1,I
Kennyetto Creek I,Daucus carota,1,I
Keyser Kill I,Daucus carota,1,I
Landsman Kill I,Daucus carota,1,I
Plotter Kill I,Daucus carota,1,I
Quacken Kill I,Daucus carota,1,I
Sterling Creek I,Daucus carota,1,I
Keyser Kill I,Dianthus armeria,1,I
Kayaderosseras Creek I,Digitaria sanguinalis,1,I
Fawn Lake I,Elymus repens,1,I
Ballston Creek I,Epipactis helleborine,1,I
Lansing Kill I,Epipactis helleborine,1,I
Sterling Creek I,Epipactis helleborine,1,I
Stony Creek I,Epipactis helleborine,1,I
Valatie Kill I,Epipactis helleborine,1,I
Battenkill I,Euonymus alatus,1,I
Landsman Kill I,Euonymus alatus,1,I
Cobleskill Creek I,Galium mollugo,1,I
Fawn Lake I,Galium mollugo,1,I
Keyser Kill I,Galium mollugo,1,I
Wharton Hollow Creek I,Galium mollugo,1,I
Ballston Creek I,Glechoma hederacea,1,I
Cobleskill Creek I,Glechoma hederacea,1,I
Hans Creek I,Glechoma hederacea,1,I
Landsman Kill I,Glechoma hederacea,1,I
Mill Creek I,Glechoma hederacea,1,I
Minots Corner Road I,Glechoma hederacea,1,I
Mohawk River I,Glechoma hederacea,1,I
North Branch West Stony Creek I,Glechoma hederacea,1,I
Quacken Kill I,Glechoma hederacea,1,I
Snook Kill I,Glechoma hederacea,1,I
Steele Creek I,Glechoma hederacea,1,I
Paragon Brook I,Hemerocallis fulva,1,I
Cedar River I,Hypericum perforatum,1,I
Daly Creek I,Hypericum perforatum,1,I
Four Mile Brook I,Hypericum perforatum,1,I
Hudson River I,Hypericum perforatum,1,I
Keyser Kill I,Hypericum perforatum,1,I
Kinderhook Creek I,Hypericum perforatum,1,I
Paragon Brook I,Hypericum perforatum,1,I
Sterling Creek I,Hypericum perforatum,1,I
Wharton Hollow Creek I,Hypericum perforatum,1,I
Cadman Creek I,Leonurus cardiaca,1,I
Quacken Kill I,Leonurus cardiaca,1,I
Roeliff Jansen Kill I,Leonurus cardiaca,1,I
Boreas River I,Leucanthemum vulgare,1,I
Cedar River I,Leucanthemum vulgare,1,I
Cobleskill Creek I,Leucanthemum vulgare,1,I
Fawn Lake I,Leucanthemum vulgare,1,I
Four Mile Brook I,Leucanthemum vulgare,1,I
Keyser Kill I,Leucanthemum vulgare,1,I
Cedar River I,Linaria vulgaris,1,I
Roeliff Jansen Kill I,Lithospermum officinale,1,I
Valatie Kill I,Lonicera japonica,1,I
Alplaus Kill I,Lonicera morrowii,1,I
Ballston Creek I,Lonicera morrowii,1,I
Battenkill I,Lonicera morrowii,1,I
Beaver Kill I,Lonicera morrowii,1,I
Big Brook I,Lonicera morrowii,1,I
Fawn Lake I,Lonicera morrowii,1,I
Fishkill Creek I,Lonicera morrowii,1,I
Green River I,Lonicera morrowii,1,I
Indian Brook I,Lonicera morrowii,1,I
Kennyetto Creek I,Lonicera morrowii,1,I
Kinderhook Creek I,Lonicera morrowii,1,I
Lansing Kill I,Lonicera morrowii,1,I
Minots Corner Road I,Lonicera morrowii,1,I
Mohawk River I,Lonicera morrowii,1,I
Paragon Brook I,Lonicera morrowii,1,I
Paragon Brook I,Lonicera morrowii,1,I
Quacken Kill I,Lonicera morrowii,1,I
Snook Kill I,Lonicera morrowii,1,I
Steele Creek I,Lonicera morrowii,1,I
Sterling Creek I,Lonicera morrowii,1,I
Stony Creek I,Lonicera morrowii,1,I
Valatie Kill I,Lonicera morrowii,1,I
Boreas River I,Lotus corniculatus,1,I
Cobleskill Creek I,Lotus corniculatus,1,I
Fawn Lake I,Lotus corniculatus,1,I
Keyser Kill I,Lotus corniculatus,1,I
Ballston Creek I,Lysimachia nummularia,1,I
Battenkill I,Lysimachia nummularia,1,I
