PartSite,Species,Presence
Fishkill Creek I,Alliaria petiolata,1
Indian Brook I,Alliaria petiolata,1
Indian Kill I,Alliaria petiolata,1
Lansing Kill I,Alliaria petiolata,1
Mohawk River I,Alliaria petiolata,1
Plotter Kill I,Alliaria petiolata,1
Potic Creek I,Alliaria petiolata,1
Roeliff Jansen Kill I,Alliaria petiolata,1
Saw Kill I,Alliaria petiolata,1
Stony Creek I,Alliaria petiolata,1
Wappinger Creek I,Alliaria petiolata,1
Big Brook I,Arctium lappa,1
Evas Kill I,Arctium lappa,1
Plotter Kill I,Artemisia vulgaris,1
Big Brook I,Barbarea vulgaris,1
Cobleskill Creek I,Brassica nigra,1
Big Brook I,Centaurea jacea,1
Sterling Creek I,Centaurea jacea,1
Cobleskill Creek I,Centaurea nigrescens,1
Boreas River I,Centaurea stoebe,1
Keyser Kill I,Centaurea stoebe,1
Landsman Kill I,Centaurea stoebe,1
Mohawk River I,Chelidonium majus,1
Quacken Kill I,Chelidonium majus,1
Roeliff Jansen Kill I,Chelidonium majus,1
Saw Kill I,Chelidonium majus,1
Saw Kill I,Commelina communis,1
Indian Brook I,Cynanchum louiseae,1
Landsman Kill I,Dactylis glomerata,1
Battenkill I,Daucus carota,1
Cobleskill Creek I,Daucus carota,1
Fawn Lake I,Daucus carota,1
Kennyetto Creek I,Daucus carota,1
Keyser Kill I,Daucus carota,1
Landsman Kill I,Daucus carota,1
Plotter Kill I,Daucus carota,1
Quacken Kill I,Daucus carota,1
Sterling Creek I,Daucus carota,1
Keyser Kill I,Dianthus armeria,1
Kayaderosseras Creek I,Digitaria sanguinalis,1
Fawn Lake I,Elymus repens,1
Ballston Creek I,Epipactis helleborine,1
Lansing Kill I,Epipactis helleborine,1
Sterling Creek I,Epipactis helleborine,1
Stony Creek I,Epipactis helleborine,1
Valatie Kill I,Epipactis helleborine,1
Cobleskill Creek I,Galium mollugo,1
Fawn Lake I,Galium mollugo,1
Keyser Kill I,Galium mollugo,1
Wharton Hollow Creek I,Galium mollugo,1
Ballston Creek I,Glechoma hederacea,1
Cobleskill Creek I,Glechoma hederacea,1
Hans Creek I,Glechoma hederacea,1
Landsman Kill I,Glechoma hederacea,1
Mill Creek I,Glechoma hederacea,1
Minots Corner Road I,Glechoma hederacea,1
Mohawk River I,Glechoma hederacea,1
North Branch West Stony Creek I,Glechoma hederacea,1
Quacken Kill I,Glechoma hederacea,1
Snook Kill I,Glechoma hederacea,1
Steele Creek I,Glechoma hederacea,1
Paragon Brook I,Hemerocallis fulva,1
Cedar River I,Hypericum perforatum,1
Daly Creek I,Hypericum perforatum,1
Four Mile Brook I,Hypericum perforatum,1
Hudson River I,Hypericum perforatum,1
Keyser Kill I,Hypericum perforatum,1
Kinderhook Creek I,Hypericum perforatum,1
Paragon Brook I,Hypericum perforatum,1
Sterling Creek I,Hypericum perforatum,1
Wharton Hollow Creek I,Hypericum perforatum,1
Cadman Creek I,Leonurus cardiaca,1
Quacken Kill I,Leonurus cardiaca,1
Roeliff Jansen Kill I,Leonurus cardiaca,1
Boreas River I,Leucanthemum vulgare,1
Cedar River I,Leucanthemum vulgare,1
Cobleskill Creek I,Leucanthemum vulgare,1
Fawn Lake I,Leucanthemum vulgare,1
Four Mile Brook I,Leucanthemum vulgare,1
Keyser Kill I,Leucanthemum vulgare,1
Cedar River I,Linaria vulgaris,1
Roeliff Jansen Kill I,Lithospermum officinale,1
Valatie Kill I,Lonicera japonica,1
Boreas River I,Lotus corniculatus,1
Cobleskill Creek I,Lotus corniculatus,1
Fawn Lake I,Lotus corniculatus,1
Keyser Kill I,Lotus corniculatus,1
Ballston Creek I,Lysimachia nummularia,1
Battenkill I,Lysimachia nummularia,1
Big Brook I,Lysimachia nummularia,1
Fishkill Creek I,Lysimachia nummularia,1
Indian Kill I,Lysimachia nummularia,1
Minots Corner Road I,Lysimachia nummularia,1
Mohawk River I,Lysimachia nummularia,1
Snook Kill I,Lysimachia nummularia,1
Sterling Creek I,Lysimachia nummularia,1
Wappinger Creek I,Lysimachia nummularia,1
Wharton Hollow Creek I,Lysimachia nummularia,1
Alplaus Kill I,Lythrum salicaria,1
Ballston Creek I,Lythrum salicaria,1
Cobleskill Creek I,Lythrum salicaria,1
Evas Kill I,Lythrum salicaria,1
Fawn Lake I,Lythrum salicaria,1
Indian Kill I,Lythrum salicaria,1
Kayaderosseras Creek I,Lythrum salicaria,1
Landsman Kill I,Lythrum salicaria,1
Plotter Kill I,Lythrum salicaria,1
Roeliff Jansen Kill I,Lythrum salicaria,1
Snook Kill I,Lythrum salicaria,1
Sprout Creek I,Lythrum salicaria,1
Wappinger Creek I,Lythrum salicaria,1
Cobleskill Creek I,Melilotus officinalis,1
Fawn Lake I,Melilotus officinalis,1
Keyser Kill I,Melilotus officinalis,1
Landsman Kill I,Melilotus officinalis,1
Plotter Kill I,Melilotus officinalis,1
Timmerman Creek I,Melilotus officinalis,1
Wharton Hollow Creek I,Melilotus officinalis,1
Cobleskill Creek I,Myosotis scorpioides,1
Fawn Lake I,Myosotis scorpioides,1
Wharton Hollow Creek I,Myosotis scorpioides,1
Battenkill I,Phleum pratense,1
Cedar River I,Phleum pratense,1
Fawn Lake I,Phleum pratense,1
Paragon Brook I,Phleum pratense,1
Quacken Kill I,Phleum pratense,1
Battenkill I,Plantago lanceolata,1
Big Brook I,Plantago lanceolata,1
Alplaus Kill I,Plantago major,1
Big Brook I,Plantago major,1
Boreas River I,Plantago major,1
Cobleskill Creek I,Plantago major,1
Evas Kill I,Plantago major,1
Fawn Lake I,Plantago major,1
Indian Kill I,Plantago major,1
Kayaderosseras Creek I,Plantago major,1
Kennyetto Creek I,Plantago major,1
Kinderhook Creek I,Plantago major,1
Lansing Kill I,Plantago major,1
Potic Creek I,Plantago major,1
Quacken Kill I,Plantago major,1
Snook Kill I,Plantago major,1
Sprout Creek I,Plantago major,1
Sterling Creek I,Plantago major,1
Stony Creek I,Plantago major,1
Alplaus Kill I,Polygonum cuspidatum,1
Green River I,Polygonum cuspidatum,1
Kayaderosseras Creek I,Polygonum cuspidatum,1
Keyser Kill I,Polygonum cuspidatum,1
Steele Creek I,Polygonum cuspidatum,1
Fawn Lake I,Polygonum hydropiper,1
Saw Kill I,Polygonum hydropiper,1
Ballston Creek I,Polygonum persicaria,1
Cobleskill Creek I,Polygonum persicaria,1
Evas Kill I,Polygonum persicaria,1
Indian Brook I,Polygonum persicaria,1
Kayaderosseras Creek I,Polygonum persicaria,1
Potic Creek I,Polygonum persicaria,1
Quacken Kill I,Polygonum persicaria,1
Sprout Creek I,Polygonum persicaria,1
Stony Creek I,Polygonum persicaria,1
Landsman Kill I,Potentilla recta,1
Alplaus Kill I,Rosa multiflora,1
Alplaus Kill I,Rosa multiflora,1
Beaver Kill I,Rosa multiflora,1
Evas Kill I,Rosa multiflora,1
Fishkill Creek I,Rosa multiflora,1
Green River I,Rosa multiflora,1
Indian Brook I,Rosa multiflora,1
Kinderhook Creek I,Rosa multiflora,1
Landsman Kill I,Rosa multiflora,1
Mohawk River I,Rosa multiflora,1
Plotter Kill I,Rosa multiflora,1
Potic Creek I,Rosa multiflora,1
Quacken Kill I,Rosa multiflora,1
Roeliff Jansen Kill I,Rosa multiflora,1
Saw Kill I,Rosa multiflora,1
Sprout Creek I,Rosa multiflora,1
Steele Creek I,Rosa multiflora,1
Stony Creek I,Rosa multiflora,1
Valatie Kill I,Rosa multiflora,1
Wappinger Creek I,Rosa multiflora,1
Big Brook I,Rumex crispus,1
Cedar River I,Rumex crispus,1
Kayaderosseras Creek I,Rumex crispus,1
Kinderhook Creek I,Rumex crispus,1
Mill Brook I,Rumex crispus,1
Plotter Kill I,Rumex crispus,1
Sherriff Lake Outlet I,Rumex crispus,1
Snook Kill I,Rumex crispus,1
Sterling Creek I,Rumex crispus,1
Trout Brook I,Rumex crispus,1
Cobleskill Creek I,Rumex obtusifolius,1
Keyser Kill I,Rumex obtusifolius,1
Roeliff Jansen Kill I,Rumex obtusifolius,1
Wharton Hollow Creek I,Rumex obtusifolius,1
Big Brook I,Saponaria officinalis,1
Quacken Kill I,Saponaria officinalis,1
Boreas River I,Securigera varia,1
Cobleskill Creek I,Securigera varia,1
Kennyetto Creek I,Securigera varia,1
Keyser Kill I,Securigera varia,1
Mill Brook I,Securigera varia,1
New Pond Brook I,Securigera varia,1
Sherriff Lake Outlet I,Securigera varia,1
Timmerman Creek I,Silene vulgaris,1
Alplaus Kill I,Solanum dulcamara,1
Big Brook I,Solanum dulcamara,1
Evas Kill I,Solanum dulcamara,1
Fawn Lake I,Solanum dulcamara,1
Keyser Kill I,Solanum dulcamara,1
Sterling Creek I,Solanum dulcamara,1
Timmerman Creek I,Solanum dulcamara,1
Wharton Hollow Creek I,Solanum dulcamara,1
Bullhead Pond Brook I,Sonchus oleraceus,1
Kinderhook Creek I,Sonchus oleraceus,1
New Pond Brook I,Sonchus oleraceus,1
Quacken Kill I,Sonchus oleraceus,1
Snook Kill I,Sonchus oleraceus,1
Quacken Kill I,Tanacetum vulgare,1
Keyser Kill I,Trifolium aureum,1
Sterling Creek I,Trifolium aureum,1
Kayaderosseras Creek I,Trifolium pratense,1
Kennyetto Creek I,Trifolium pratense,1
Keyser Kill I,Trifolium pratense,1
Kinderhook Creek I,Trifolium pratense,1
Landsman Kill I,Trifolium pratense,1
Mill Brook I,Trifolium pratense,1
Paragon Brook I,Trifolium pratense,1
Sterling Creek I,Trifolium pratense,1
Stony Creek I,Trifolium pratense,1
Timmerman Creek I,Trifolium pratense,1
Wharton Hollow Creek I,Trifolium pratense,1
Keyser Kill I,Trifolium repens,1
Kinderhook Creek I,Trifolium repens,1
Beaver Kill I,Tussilago farfara,1
Cadman Creek I,Tussilago farfara,1
Daly Creek I,Tussilago farfara,1
Evas Kill I,Tussilago farfara,1
Green River I,Tussilago farfara,1
Keyser Kill I,Tussilago farfara,1
Lansing Kill I,Tussilago farfara,1
Plotter Kill I,Tussilago farfara,1
Saw Kill I,Tussilago farfara,1
Steele Creek I,Tussilago farfara,1
Sterling Creek I,Tussilago farfara,1
Stewart Creek I,Tussilago farfara,1
Timmerman Creek I,Tussilago farfara,1
Wharton Hollow Creek I,Tussilago farfara,1
Keyser Kill I,Verbascum thapsus,1
Landsman Kill I,Verbascum thapsus,1
Plotter Kill I,Verbascum thapsus,1
Roeliff Jansen Kill I,Verbascum thapsus,1
Kennyetto Creek I,Vinca minor,1
Big Brook N,Ageratina altissima,1
Evas Kill N,Ageratina altissima,1
Green River N,Ageratina altissima,1
Indian Kill N,Ageratina altissima,1
Kinderhook Creek N,Ageratina altissima,1
Plotter Kill N,Ageratina altissima,1
Quacken Kill N,Ageratina altissima,1
Alplaus Kill N,Agrimonia gryposepala,1
Kinderhook Creek N,Agrimonia gryposepala,1
Mill Brook N,Agrimonia gryposepala,1
Alplaus Kill N,Agrostis perennans,1
Cadman Creek N,Agrostis perennans,1
Chester Creek N,Agrostis perennans,1
Daly Creek N,Agrostis perennans,1
Hans Creek N,Agrostis perennans,1
Indian Kill N,Agrostis perennans,1
Keyser Kill N,Agrostis perennans,1
Mill Brook N,Agrostis perennans,1
Mill Creek N,Agrostis perennans,1
New Pond Brook N,Agrostis perennans,1
North Branch West Stony Creek N,Agrostis perennans,1
Robbs Creek N,Agrostis perennans,1
Robbs Creek N,Agrostis perennans,1
Sherriff Lake Outlet N,Agrostis perennans,1
Stewart Creek N,Agrostis perennans,1
Trout Brook N,Agrostis perennans,1
Ballston Creek N,Ambrosia trifida,1
Indian Brook N,Ambrosia trifida,1
Indian Kill N,Ambrosia trifida,1
Kayaderosseras Creek N,Ambrosia trifida,1
Keyser Kill N,Ambrosia trifida,1
Landsman Kill N,Ambrosia trifida,1
Ballston Creek N,Amphicarpaea bracteata,1
Battenkill N,Amphicarpaea bracteata,1
Evas Kill N,Amphicarpaea bracteata,1
Hans Creek N,Amphicarpaea bracteata,1
Indian Kill N,Amphicarpaea bracteata,1
Mohawk River N,Amphicarpaea bracteata,1
Paragon Brook N,Amphicarpaea bracteata,1
Plotter Kill N,Amphicarpaea bracteata,1
Potic Creek N,Amphicarpaea bracteata,1
Snook Kill N,Amphicarpaea bracteata,1
Sterling Creek N,Anemone virginiana,1
Alplaus Kill N,Apocynum cannabinum,1
Cobleskill Creek N,Apocynum cannabinum,1
Daly Creek N,Apocynum cannabinum,1
Fawn Lake N,Apocynum cannabinum,1
Plotter Kill N,Apocynum cannabinum,1
Saw Kill N,Apocynum cannabinum,1
Wappinger Creek N,Apocynum cannabinum,1
Bullhead Pond Brook N,Arisaema triphyllum,1
Cadman Creek N,Arisaema triphyllum,1
Daly Creek N,Arisaema triphyllum,1
Mill Brook N,Arisaema triphyllum,1
Potic Creek N,Arisaema triphyllum,1
