PartSite,Species,Presence,Origin
Battenkill I,Berberis thunbergii,1,I
Beaver Kill I,Berberis thunbergii,1,I
Fishkill Creek I,Berberis thunbergii,1,I
Indian Brook I,Berberis thunbergii,1,I
Mill Brook I,Berberis thunbergii,1,I
Valatie Kill I,Berberis thunbergii,1,I
Battenkill I,Euonymus alatus,1,I
Landsman Kill I,Euonymus alatus,1,I
Alplaus Kill I,Lonicera morrowii,1,I
Ballston Creek I,Lonicera morrowii,1,I
Battenkill I,Lonicera morrowii,1,I
Beaver Kill I,Lonicera morrowii,1,I
Big Brook I,Lonicera morrowii,1,I
Fawn Lake I,Lonicera morrowii,1,I
Fishkill Creek I,Lonicera morrowii,1,I
Green River I,Lonicera morrowii,1,I
Indian Brook I,Lonicera morrowii,1,I
Kennyetto Creek I,Lonicera morrowii,1,I
Kinderhook Creek I,Lonicera morrowii,1,I
Lansing Kill I,Lonicera morrowii,1,I
Minots Corner Road I,Lonicera morrowii,1,I
Mohawk River I,Lonicera morrowii,1,I
Paragon Brook I,Lonicera morrowii,1,I
Paragon Brook I,Lonicera morrowii,1,I
Quacken Kill I,Lonicera morrowii,1,I
Snook Kill I,Lonicera morrowii,1,I
Steele Creek I,Lonicera morrowii,1,I
Sterling Creek I,Lonicera morrowii,1,I
Stony Creek I,Lonicera morrowii,1,I
Valatie Kill I,Lonicera morrowii,1,I
Fishkill Creek I,Malus pumila,1,I
Kinderhook Creek I,Malus pumila,1,I
Alplaus Kill I,Rhamnus cathartica,1,I
Ballston Creek I,Rhamnus cathartica,1,I
Indian Kill I,Rhamnus cathartica,1,I
Quacken Kill I,Rhamnus cathartica,1,I
Mill Creek I,Rubus phoenicolasius,1,I
Robbs Creek I,Rubus phoenicolasius,1,I
Sherriff Lake Outlet I,Rubus phoenicolasius,1,I
Cedar River I,Salix alba,1,I
Chester Creek I,Salix alba,1,I
Cobleskill Creek I,Salix alba,1,I
Fawn Lake I,Salix alba,1,I
Four Mile Brook I,Salix alba,1,I
Hans Creek I,Salix alba,1,I
Hans Creek I,Salix alba,1,I
Jassup River I,Salix alba,1,I
New Pond Brook I,Salix alba,1,I
North Branch West Stony Creek I,Salix alba,1,I
Robbs Creek I,Salix alba,1,I
Sherriff Lake Outlet I,Salix alba,1,I
Timmerman Creek I,Salix alba,1,I
Wharton Hollow Creek I,Salix alba,1,I
Roeliff Jansen Kill I,Salix pentandra,1,I
Mill Creek N,Abies balsamea,1,N
New Pond Brook N,Abies balsamea,1,N
Sherriff Lake Outlet N,Abies balsamea,1,N
Kennyetto Creek N,Acer negundo,1,N
Landsman Kill N,Acer negundo,1,N
Minots Corner Road N,Acer negundo,1,N
Snook Kill N,Acer negundo,1,N
Stewart Creek N,Acer pensylvanicum,1,N
Bullhead Pond Brook N,Acer rubrum,1,N
Cadman Creek N,Acer rubrum,1,N
Evas Kill N,Acer rubrum,1,N
Fawn Lake N,Acer rubrum,1,N
Hudson River N,Acer rubrum,1,N
Indian Kill N,Acer rubrum,1,N
Kayaderosseras Creek N,Acer rubrum,1,N
Mill Creek N,Acer rubrum,1,N
New Pond Brook N,Acer rubrum,1,N
North Branch West Stony Creek N,Acer rubrum,1,N
Quacken Kill N,Acer rubrum,1,N
Trout Brook N,Acer rubrum,1,N
Fishkill Creek N,Acer saccharinum,1,N
Kayaderosseras Creek N,Acer saccharinum,1,N
Roeliff Jansen Kill N,Acer saccharinum,1,N
Sprout Creek N,Acer saccharinum,1,N
Steele Creek N,Acer saccharinum,1,N
Alplaus Kill N,Acer saccharum,1,N
Ballston Creek N,Acer saccharum,1,N
Beaver Kill N,Acer saccharum,1,N
Bullhead Pond Brook N,Acer saccharum,1,N
Cadman Creek N,Acer saccharum,1,N
Daly Creek N,Acer saccharum,1,N
Evas Kill N,Acer saccharum,1,N
Fawn Lake N,Acer saccharum,1,N
Hans Creek N,Acer saccharum,1,N
Indian Brook N,Acer saccharum,1,N
Keyser Kill N,Acer saccharum,1,N
Kinderhook Creek N,Acer saccharum,1,N
Lansing Kill N,Acer saccharum,1,N
Plotter Kill N,Acer saccharum,1,N
Potic Creek N,Acer saccharum,1,N
Quacken Kill N,Acer saccharum,1,N
Saw Kill N,Acer saccharum,1,N
Stewart Creek N,Acer saccharum,1,N
Stony Creek N,Acer saccharum,1,N
Trout Brook N,Acer saccharum,1,N
Valatie Kill N,Acer saccharum,1,N
Wharton Hollow Creek N,Acer saccharum,1,N
Stewart Creek N,Acer spicatum,1,N
Boreas River N,Alnus incana,1,N
Cadman Creek N,Alnus incana,1,N
Chester Creek N,Alnus incana,1,N
Daly Creek N,Alnus incana,1,N
Four Mile Brook N,Alnus incana,1,N
Hans Creek N,Alnus incana,1,N
Hudson River N,Alnus incana,1,N
Jassup River N,Alnus incana,1,N
Kennyetto Creek N,Alnus incana,1,N
Mill Brook N,Alnus incana,1,N
Mill Creek N,Alnus incana,1,N
Minots Corner Road N,Alnus incana,1,N
Mohawk River N,Alnus incana,1,N
New Pond Brook N,Alnus incana,1,N
North Branch West Stony Creek N,Alnus incana,1,N
Paragon Brook N,Alnus incana,1,N
Robbs Creek N,Alnus incana,1,N
Sherriff Lake Outlet N,Alnus incana,1,N
Snook Kill N,Alnus incana,1,N
Timmerman Creek N,Alnus incana,1,N
Trout Brook N,Alnus incana,1,N
