Family,Genus,Species,Origin
alismataceae,sagittaria,sagittaria_latifolia,N
anacardiaceae,rhus,rhus_typhina,N
anacardiaceae,toxicodendron,toxicodendron_radicans,N
apiaceae,cicuta,cicuta_maculata,N
apiaceae,cryptotaenia,cryptotaenia_canadensis,N
apiaceae,daucus,daucus_carota,I
apocynaceae,apocynum,apocynum_cannabinum,N
apocynaceae,cynanchum,cynanchum_louiseae,I
apocynaceae,vinca,vinca_minor,N
araceae,arisaema,arisaema_triphyllum,I
asteraceae,achillea,achillea_millefolium,NI
asteraceae,ageratina,ageratina_altissima,N
asteraceae,ambrosia,ambrosia_artemisiifolia,NI
asteraceae,ambrosia,ambrosia_trifida,N
asteraceae,arctium,arctium_lappa,I
asteraceae,artemisia,artemisia_vulgaris,I
asteraceae,bidens,bidens_connata,N
asteraceae,bidens,bidens_frondosa,N
asteraceae,centaurea,centaurea_jacea,I
asteraceae,centaurea,centaurea_nigrescens,I
asteraceae,centaurea,centaurea_stoebe,I
asteraceae,doellingeria,doellingeria_umbellata,N
asteraceae,erigeron,erigeron_annuus,N
asteraceae,eupatorium,eupatorium_perfoliatum,N
asteraceae,eurybia,eurybia_divaricata,N
asteraceae,euthamia,euthamia_caroliniana,N
asteraceae,euthamia,euthamia_graminifolia,N
asteraceae,eutrochium,eutrochium_maculatum,N
asteraceae,eutrochium,eutrochium_purpureum,N
asteraceae,helianthus,helianthus_divaricatus,N
asteraceae,helianthus,helianthus_strumosus,N
asteraceae,helianthus,helianthus_tuberosus,N
asteraceae,leucanthemum,leucanthemum_vulgare,I
asteraceae,oclemena,oclemena_acuminata,N
asteraceae,prenanthes,prenanthes_alba,N
asteraceae,prenanthes,prenanthes_altissima,N
asteraceae,prenanthes,prenanthes_trifoliolata,N
asteraceae,rudbeckia,rudbeckia_hirta,N
asteraceae,rudbeckia,rudbeckia_laciniata,N
asteraceae,solidago,solidago_altissima,N
asteraceae,solidago,solidago_canadensis,N
asteraceae,solidago,solidago_flexicaulis,N
asteraceae,solidago,solidago_gigantea,N
asteraceae,solidago,solidago_latissimifolia,N
asteraceae,sonchus,sonchus_oleraceus,I
