Trait,Alliaria petiolata,Arctium lappa,Artemisia vulgaris,Barbarea vulgaris,Berberis thunbergii,Brassica nigra,Centaurea jacea,Centaurea nigrescens,Centaurea stoebe,Chelidonium majus,Commelina communis,Dactylis glomerata,Daucus carota,Dianthus armeria,Digitaria sanguinalis,Elymus repens,Epipactis helleborine,Euonymus alatus,Galium mollugo,Glechoma hederacea,Hemerocallis fulva,Hypericum perforatum,Leonurus cardiaca,Leucanthemum vulgare,Linaria vulgaris,Lithospermum officinale,Lonicera japonica,Lonicera morrowii,Lotus corniculatus,Lysimachia nummularia,Lythrum salicaria,Malus pumila,Melilotus officinalis,Myosotis scorpioides,Phleum pratense,Plantago lanceolata,Plantago major,Polygonum cuspidatum,Polygonum hydropiper,Polygonum persicaria,Potentilla recta,Rhamnus cathartica,Rosa multiflora,Rubus phoenicolasius,Rumex crispus,Rumex obtusifolius,Salix alba,Salix pentandra,Saponaria officinalis,Securigera varia,Silene vulgaris,Solanum dulcamara,Sonchus oleraceus,Tanacetum vulgare,Trifolium aureum,Trifolium pratense,Trifolium repens,Tussilago farfara,Verbascum thapsus,Vinca minor
Dispersal syndrome,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dispersal unit dry mass,NA,12.13,0.13,NA,NA,NA,2,1.47,1.34,NA,NA,0.87,1.09,NA,0.97,NA,NA,NA,0.53,0.69,NA,NA,1.08,0.38,NA,NA,NA,NA,NA,NA,NA,NA,1.5,0.31,1,NA,NA,NA,NA,NA,0.26,15.09,NA,NA,2.433333333,1.25,NA,NA,NA,4.78,NA,NA,0.356666667,0.11,NA,NA,NA,0.22,NA,NA
Dispersal unit length,NA,19.58,1.46,NA,NA,NA,3,3.06,4.206666667,NA,NA,4.95,3.46,NA,2.656666667,NA,NA,NA,1.22,NA,NA,NA,2.39,2.45,NA,3.13,NA,NA,NA,NA,NA,NA,3.69,1.6,2.226,NA,NA,NA,NA,NA,1.31,6.085,NA,NA,3.59,2.29,NA,NA,NA,6,NA,10,4.073333333,1.9,5.666666667,3.75,4.38,12.06,NA,NA
Dispersal unit thickness,NA,1.53,0.35,NA,NA,NA,1,0.86,0.9,NA,NA,0.896666667,1.1,NA,0.61,NA,NA,NA,1,NA,NA,NA,0.84,NA,NA,2,NA,NA,NA,NA,NA,NA,1.5,0.5,0.88,NA,NA,NA,NA,NA,0.57,5.1,NA,NA,3.19,1.27,NA,NA,NA,2,NA,NA,0.25,NA,NA,NA,NA,0.29,NA,NA
Dispersal unit width,NA,17.55,0.44,NA,NA,NA,1.45,1.5,1.22,NA,NA,1.13,2.703333333,NA,0.98,NA,NA,NA,1.13,NA,NA,NA,1.2,0.83,NA,2,NA,NA,NA,NA,NA,NA,2.25,1.08,0.956,NA,NA,NA,NA,NA,0.95,5.165,NA,NA,3.293333333,1.4,NA,NA,NA,2,NA,10,0.91,0.78,NA,1.65,1.35,0.45,NA,NA
Germination efficiency,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Germination requirement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leaf area,5640.99,26087.22444,2355.522,4750.5,NA,7031.153333,8.793333333,NA,469.6322222,9226,NA,126.350597,11.17058824,232.6333333,294.0333333,1679.43,2089.146364,NA,3.367837838,356.11,NA,38.07,NA,403.42,26.77888889,957.5,NA,NA,7.665454545,273.288,260.4545833,NA,607,1420.933333,40.84573171,275.6309524,2250.62,NA,544.3375,538.3722222,1301.876818,568.902973,5598.666667,NA,6290,21959.21625,475.33,620.966,2165.5,NA,1179.5,1414.892542,7607.666667,1991.315455,410.8233333,74.21464286,35.30244898,14599.04143,13033.82,565
Leaf carbon (C) content per area,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.2,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.66666667,NA,NA,NA
Leaf carbon (C) content per dry mass,NA,NA,424.17,NA,NA,NA,459.93375,NA,NA,NA,NA,340.28,256.506,NA,NA,43.90666667,NA,NA,472.0525,42.81,NA,497,NA,459.2925,46.156,NA,NA,NA,482.7911111,NA,43.862,NA,NA,NA,210.6223077,402.8266667,35.12375,NA,45.322,44.298,NA,43,NA,NA,43.98,285.545,44.33,466.34,NA,NA,NA,45.07,NA,46.817,NA,360.4633333,396.84,38.686,46.28,NA
