"Dispersal syndrome","Dispersal unit dry mass","Dispersal unit length","Dispersal unit thickness","Dispersal unit width","Germination efficiency","Germination requirement","Leaf area","Leaf carbon (C) content per area","Leaf carbon (C) content per dry mass","Leaf carbon/nitrogen (C/N) ratio","Leaf density","Leaf dry mass","Leaf dry mass per plant","Leaf dry mass per plant dry mass (leaf weight ratio, LWR)","Leaf dry matter content (LDMC)","Leaf fresh mass","Leaf lamina thickness","Leaf lifespan","Leaf nitrogen (N) content","Leaf nitrogen (N) content per area","Leaf nitrogen (N) content per dry mass","Leaf nitrogen/phosphorus (N/P) ratio","Leaf phosphorus (P) content per area","Leaf phosphorus (P) content per dry mass","Leaf physical strength","Leaf porosity","Leaf potassium (K) content per area","Leaf potassium (K) content per dry mass","Leaf respiration per dry mass","Leaf specific area (SLA)","Leaf texture (sclerophylly)","Leaf thickness","Leaf type","Metamorphoses and morphological adaptations: seed or dispersal unit","Mycorrhizal type","Nitrogen fixation capacity","Phenology: reproductive","Phenology: vegetative","Photosynthesis leaf intercellular CO2 concentration","Photosynthesis net assimilytion rate (NAR)","Photosynthesis per leaf area","Photosynthesis per leaf dry mass","Plant age of maturity (first flowering)","Plant growth form","Plant height generative","Plant height vegetative","Plant lifespan","Plant relative growth rate (RGR)","Plant tolerance to drought","Plant tolerance to frost","Plant tolerance to human impact","Plant tolerance to planting density","Plant tolerance to precipitation","Plant tolerance to shade","Plant tolerance to soil pH","Plant tolerance to waterlogging","Reproductive dry mass per plant","Root nitrogen (N) content per dry mass","Rooting depth","Seed length","Seed mass","Seed number per ramet","Seed number per reproducton unit","Seed protein content per mass","Seed thickness","Seed width","Seedbank lifespan","Species distribution: number of floristic zones","Stem dry mass per plant","Stem length (height)","Stem nitrogen (N) content per dry mass","Stem specific density (SSD)","Stomata conductance per leaf area","Wood dry mass per plant dry mass","Woodiness"
"Alliaria.petiolata",NA,NA,NA,NA,NA,NA,NA,5640.99,NA,NA,11.48,NA,213.94,NA,NA,161.3333333,NA,0.15,NA,NA,NA,21.03,8.8,NA,2750.595,2.22,NA,NA,NA,NA,41.94666667,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,0.7,0.37,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,3.28,2.4675,NA,47031.91667,NA,1.08,1.1,NA,3,NA,NA,NA,0.38,NA,NA,NA
"Arctium.lappa",NA,12.13,19.58,1.53,17.55,NA,NA,26087.22444,NA,NA,NA,NA,1564.205333,NA,NA,194.3322222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.33111111,NA,NA,NA,NA,NA,NA,7.5,NA,NA,NA,NA,NA,NA,NA,1.0775,1.073333333,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.979,NA,14196.66714,16.8,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
"Artemisia.vulgaris",NA,0.13,1.46,0.35,0.44,NA,NA,2355.522,NA,424.17,NA,NA,132.955,NA,NA,250.6842857,NA,0.15,NA,0.49,0.81,23.48,NA,NA,NA,1.265,NA,NA,NA,NA,46.13692308,NA,NA,NA,NA,NA,NA,65.5,NA,306,NA,6.766666667,NA,NA,NA,365.13,328.6216667,NA,0.07,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.157857143,NA,271682.6667,NA,NA,NA,NA,4,NA,NA,NA,NA,416,NA,NA
"Barbarea.vulgaris",NA,NA,NA,NA,NA,NA,NA,4750.5,NA,NA,NA,NA,150.325,NA,NA,174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.65,NA,NA,NA,NA,NA,NA,64,NA,NA,NA,NA,NA,NA,NA,0.6,14.145,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1.56,0.599,NA,59202.2925,15.6,0.7,1.25,NA,4,NA,NA,NA,NA,NA,NA,NA
"Berberis.thunbergii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,4.666666667,NA,NA,3.5,76,2,525,45,1.5,6.35,1.5,NA,NA,18,NA,4520.9,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"Brassica.nigra",NA,NA,NA,NA,NA,NA,NA,7031.153333,NA,NA,NA,NA,261.0466667,NA,NA,128.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.26,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,NA,NA,11.01,54.02571429,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1.36,1.291904762,NA,3593.3,32.63333333,1.16,1.21,NA,3,NA,NA,NA,NA,NA,NA,NA
"Centaurea.jacea",NA,2,3,1,1.45,NA,NA,8.793333333,NA,459.93375,15.21,NA,0.426832298,NA,0.65,18.51823529,0.200566038,NA,NA,NA,NA,22.31,NA,NA,1.435,NA,NA,NA,NA,NA,23.07365079,NA,NA,NA,NA,NA,NA,175.1,NA,NA,0,NA,NA,NA,NA,15.97153846,56.03022599,NA,0.21,NA,NA,2,NA,NA,NA,NA,NA,NA,1.13,NA,NA,1.441333333,NA,3253.66087,NA,NA,NA,NA,3,NA,NA,0.5,0.27,NA,NA,NA
"Centaurea.nigrescens",NA,1.47,3.06,0.86,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,0.65,0.6,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.61,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"Centaurea.stoebe",NA,1.34,4.206666667,0.9,1.22,NA,NA,469.6322222,NA,NA,NA,NA,28.23888889,NA,NA,165.4733333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.26222222,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"Chelidonium.majus",NA,NA,NA,NA,NA,NA,NA,9226,NA,NA,NA,NA,240.15,NA,NA,186.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.41555556,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,0.566666667,0.466666667,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1.36,0.739375,NA,41752.92933,NA,0.88,0.81,NA,4,NA,NA,NA,NA,NA,NA,NA
