,Leaf C per dry mass,Leaf C to N ratio,Leaf weight ratio,Lamina thickness,Leaf N per dry mass,Leaf N to P ratio,Leaf P per dry mass,Leaf physical strength,Leaf K per dry mass,Leaf respiration per dry mass,SLA,Photosynthesis per leaf dry mass,RGR,Root N per dry mass,Rooting depth,Seed mass,Seed number per reproduction unit,Seed protein content per mass,SSD,Stomata conductance per leaf area,Wood dry mass per plant dry mass
alliaria_petiolata,NA,11.48,NA,0.15,21.03,8.8,2750.6,2.22,NA,NA,41.95,NA,NA,NA,NA,2.47,47031.92,NA,0.38,NA,NA
arctium_lappa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.33,NA,NA,NA,NA,11.98,14196.67,16.8,NA,NA,NA
artemisia_vulgaris,424.17,NA,NA,0.15,23.48,NA,NA,1.27,NA,NA,46.14,NA,0.07,NA,NA,0.16,271682.67,NA,NA,416,NA
barbarea_vulgaris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.65,NA,NA,NA,NA,0.6,59202.29,15.6,NA,NA,NA
brassica_nigra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.26,NA,NA,NA,NA,1.29,3593.3,32.63,NA,NA,NA
centaurea_jacea,459.93,15.21,0.65,NA,22.31,NA,1.44,NA,NA,NA,23.07,NA,0.21,1.13,NA,1.44,3253.66,NA,0.27,NA,NA
centaurea_nigrescens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.61,NA,NA,NA,NA,NA
centaurea_stoebe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.26,NA,NA,NA,NA,2.54,NA,NA,NA,NA,NA
chelidonium_majus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.42,NA,NA,NA,NA,0.74,41752.93,NA,NA,NA,NA
commelina_communis,NA,NA,NA,NA,11.88,12.63,855.86,NA,NA,NA,NA,NA,NA,NA,NA,8.48,NA,NA,NA,NA,NA
dactylis_glomerata,340.28,17.45,0.52,0.15,14.55,10.26,343.2,82.17,NA,NA,52.17,64.9,0.19,1.02,6.19,4800.86,92513.27,27.15,0.5,108.63,NA
daucus_carota,256.51,22.53,5.52,NA,13.24,NA,2.54,NA,10.78,NA,28.13,275.76,0.27,NA,NA,1.11,33886.57,24.09,0.13,NA,65.14
dianthus_armeria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.35,NA,NA,NA,NA,0.5,846.8,NA,NA,NA,NA
digitaria_sanguinalis,NA,NA,NA,NA,1.26,NA,NA,NA,NA,NA,46.91,NA,NA,NA,NA,0.52,90411.67,NA,NA,NA,NA
elymus_repens,43.91,14.04,0.44,NA,6.64,NA,0.97,NA,NA,NA,3085.38,NA,0.21,NA,14,11002.44,2118.05,NA,0.34,NA,NA
epipactis_helleborine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.58,NA,NA,NA,NA,0,6849473.18,NA,NA,NA,NA
galium_mollugo,472.05,14.59,NA,NA,25.23,NA,2.6,NA,NA,NA,34.49,NA,NA,NA,NA,0.67,53083.1,NA,0.34,NA,NA
glechoma_hederacea,42.81,15.63,0.53,NA,7.46,8.33,2619.71,NA,NA,NA,2495.27,NA,0.23,1.52,NA,0.64,46341,NA,0.15,113.86,NA
hemerocallis_fulva,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.9,NA,NA,NA,NA,NA
hypericum_perforatum,497,NA,21.86,0.19,22.3,NA,NA,2.62,NA,NA,77.09,NA,0.21,NA,NA,0.14,163298.86,19.4,NA,NA,50.67
leonurus_cardiaca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.96,69732,17,NA,NA,NA
leucanthemum_vulgare,459.29,NA,0.71,NA,15.54,NA,1.41,NA,NA,NA,38.02,NA,0.22,NA,8,8000.38,1773.19,NA,NA,NA,NA
linaria_vulgaris,46.16,27.15,25.62,NA,4.03,15.32,730.73,NA,NA,NA,57.92,NA,NA,NA,NA,0.16,74545.22,NA,NA,NA,49.19
lithospermum_officinale,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.85,NA,NA,NA,NA,12.32,1,NA,NA,NA,NA
lonicera_japonica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120.24,NA,NA,NA,10,14001.44,NA,21,NA,NA,NA
lotus_corniculatus,482.79,14.1,18.38,0.21,25.59,15.37,236.46,1.22,NA,NA,35.46,NA,0.11,2.12,14,5521.23,9324.73,36.18,0.31,92.38,57.15
lysimachia_nummularia,NA,NA,NA,NA,1.71,6.68,2560,NA,NA,NA,30.86,NA,NA,NA,NA,0.28,8156.67,NA,NA,NA,NA
lythrum_salicaria,43.86,21.78,27.34,0.37,7.37,NA,1.5,0.53,NA,NA,128.96,99.3,0.23,NA,NA,0.36,297033.6,16.3,0.29,150,56.32
melilotus_officinalis,NA,NA,NA,NA,19.14,22.31,780.78,NA,NA,NA,19.38,NA,NA,NA,16,8343.46,27705.67,37.93,NA,NA,NA
myosotis_scorpioides,NA,NA,NA,0.18,NA,NA,NA,0.88,NA,NA,44.14,NA,NA,NA,8,32143.12,20527.56,NA,NA,NA,NA
phleum_pratense,210.62,28.2,5.44,NA,9.63,7.21,1667.8,NA,NA,NA,71.2,139.01,0.2,0.99,10,36350.39,23258.15,20.65,0.42,NA,77.83
plantago_lanceolata,402.83,20.8,0.62,0.27,12.87,9.32,101.58,1.59,NA,24.14,51.06,320.44,0.17,4.42,NA,1.49,10922.76,17.47,0.18,231.75,NA
plantago_major,35.12,21.62,12.28,0.28,20.63,16.27,0.19,1.18,NA,25.5,73.35,260.78,0.18,2.34,4,84074.87,81747.72,19.1,NA,117.88,19.95
