,Dispersal unit dry mass,Dispersal unit length,Dispersal unit thickness,Dispersal unit width,Leaf area,Leaf carbon (C) content per area,Leaf carbon (C) content per dry mass,Leaf carbon/nitrogen (C/N) ratio,Leaf density,Leaf dry mass,Leaf dry mass per plant,"Leaf dry mass per plant dry mass (leaf weight ratio, LWR)",Leaf dry matter content (LDMC),Leaf fresh mass,Leaf lamina thickness,Leaf lifespan,Leaf nitrogen (N) content,Leaf nitrogen (N) content per area,Leaf nitrogen (N) content per dry mass,Leaf nitrogen/phosphorus (N/P) ratio,Leaf phosphorus (P) content per area,Leaf phosphorus (P) content per dry mass,Leaf physical strength,Leaf porosity,Leaf potassium (K) content per area,Leaf potassium (K) content per dry mass,Leaf respiration per dry mass,Leaf specific area (SLA),Leaf texture (sclerophylly),Leaf thickness,Phenology: reproductive,Photosynthesis leaf intercellular CO2 concentration,Photosynthesis net assimilytion rate (NAR),Photosynthesis per leaf area,Photosynthesis per leaf dry mass,Plant height generative,Plant height vegetative,Plant relative growth rate (RGR),Plant tolerance to drought,Plant tolerance to frost,Plant tolerance to human impact,Plant tolerance to planting density,Plant tolerance to precipitation,Plant tolerance to shade,Plant tolerance to soil pH,Plant tolerance to waterlogging,Reproductive dry mass per plant,Root nitrogen (N) content per dry mass,Rooting depth,Seed length,Seed mass,Seed number per reproducton unit,Seed protein content per mass,Seed thickness,Seed width,Species distribution: number of floristic zones,Stem dry mass per plant,Stem length (height),Stem nitrogen (N) content per dry mass,Stem specific density (SSD),Stomata conductance per leaf area,Wood dry mass per plant dry mass
alliaria_petiolata,NA,NA,NA,NA,5640.99,NA,NA,11.48,NA,213.94,NA,NA,161.33,NA,0.15,NA,NA,NA,21.03,8.8,NA,2750.6,2.22,NA,NA,NA,NA,41.95,NA,NA,5,NA,NA,NA,NA,0.7,0.37,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,3.28,2.47,47031.92,NA,1.08,1.1,3,NA,NA,NA,0.38,NA,NA
arctium_lappa,12.13,19.58,1.53,17.55,26087.22,NA,NA,NA,NA,1564.21,NA,NA,194.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.33,NA,NA,7.5,NA,NA,NA,NA,1.08,1.07,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.98,14196.67,16.8,NA,NA,3,NA,NA,NA,NA,NA,NA
artemisia_vulgaris,0.13,1.46,0.35,0.44,2355.52,NA,424.17,NA,NA,132.96,NA,NA,250.68,NA,0.15,NA,0.49,0.81,23.48,NA,NA,NA,1.27,NA,NA,NA,NA,46.14,NA,NA,65.5,306,NA,6.77,NA,365.13,328.62,0.07,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,271682.67,NA,NA,NA,4,NA,NA,NA,NA,416,NA
barbarea_vulgaris,NA,NA,NA,NA,4750.5,NA,NA,NA,NA,150.33,NA,NA,174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.65,NA,NA,64,NA,NA,NA,NA,0.6,14.15,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1.56,0.6,59202.29,15.6,0.7,1.25,4,NA,NA,NA,NA,NA,NA
brassica_nigra,NA,NA,NA,NA,7031.15,NA,NA,NA,NA,261.05,NA,NA,128.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.26,NA,NA,54,NA,NA,NA,NA,11.01,54.03,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1.36,1.29,3593.3,32.63,1.16,1.21,3,NA,NA,NA,NA,NA,NA
centaurea_jacea,2,3,1,1.45,8.79,NA,459.93,15.21,NA,0.43,NA,0.65,18.52,0.2,NA,NA,NA,NA,22.31,NA,NA,1.44,NA,NA,NA,NA,NA,23.07,NA,NA,175.1,NA,0,NA,NA,15.97,56.03,0.21,NA,NA,2,NA,NA,NA,NA,NA,NA,1.13,NA,NA,1.44,3253.66,NA,NA,NA,3,NA,NA,0.5,0.27,NA,NA
centaurea_nigrescens,1.47,3.06,0.86,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,0.65,0.6,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.61,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
centaurea_stoebe,1.34,4.21,0.9,1.22,469.63,NA,NA,NA,NA,28.24,NA,NA,165.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.26,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.54,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
chelidonium_majus,NA,NA,NA,NA,9226,NA,NA,NA,NA,240.15,NA,NA,186.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.42,NA,NA,7,NA,NA,NA,NA,0.57,0.47,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1.36,0.74,41752.93,NA,0.88,0.81,4,NA,NA,NA,NA,NA,NA
commelina_communis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.88,12.63,NA,855.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
