"Dispersal syndrome","Dispersal unit dry mass","Dispersal unit length","Dispersal unit thickness","Dispersal unit width","Germination efficiency","Germination requirement","Leaf area","Leaf carbon (C) content per area","Leaf carbon (C) content per dry mass","Leaf carbon/nitrogen (C/N) ratio","Leaf density","Leaf dry mass","Leaf dry mass per plant","Leaf dry mass per plant dry mass (leaf weight ratio, LWR)","Leaf dry matter content (LDMC)","Leaf fresh mass","Leaf lamina thickness","Leaf lifespan","Leaf nitrogen (N) content","Leaf nitrogen (N) content per area","Leaf nitrogen (N) content per dry mass","Leaf nitrogen/phosphorus (N/P) ratio","Leaf phosphorus (P) content per area","Leaf phosphorus (P) content per dry mass","Leaf physical strength","Leaf porosity","Leaf potassium (K) content per area","Leaf potassium (K) content per dry mass","Leaf respiration per dry mass","Leaf specific area (SLA)","Leaf texture (sclerophylly)","Leaf thickness","Leaf type","Metamorphoses and morphological adaptations: seed or dispersal unit","Mycorrhizal type","Nitrogen fixation capacity","Phenology: reproductive","Phenology: vegetative","Photosynthesis leaf intercellular CO2 concentration","Photosynthesis net assimilytion rate (NAR)","Photosynthesis per leaf area","Photosynthesis per leaf dry mass","Plant age of maturity (first flowering)","Plant growth form","Plant height generative","Plant height vegetative","Plant lifespan","Plant relative growth rate (RGR)","Plant tolerance to drought","Plant tolerance to frost","Plant tolerance to human impact","Plant tolerance to planting density","Plant tolerance to precipitation","Plant tolerance to shade","Plant tolerance to soil pH","Plant tolerance to waterlogging","Reproductive dry mass per plant","Root nitrogen (N) content per dry mass","Rooting depth","Seed length","Seed mass","Seed number per ramet","Seed number per reproducton unit","Seed protein content per mass","Seed thickness","Seed width","Seedbank lifespan","Species distribution: number of floristic zones","Stem dry mass per plant","Stem length (height)","Stem nitrogen (N) content per dry mass","Stem specific density (SSD)","Stomata conductance per leaf area","Wood dry mass per plant dry mass","Woodiness"
"Abies.balsamea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,4.10173516,9.888125,NA,1211.970938,NA,NA,NA,NA,4.204251497,67.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.33333333,200,NA,1,13,NA,750,36.5,5.01,5,2,NA,3.166571429,20,NA,9978.935,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.563428571,0.41,NA,NA,NA
"Acer.negundo",NA,41.21,30.13333333,2.3,12.2,NA,NA,24.86090909,44.4,44.71,14.17,0.805833333,0.167,NA,0.57,0.605,NA,NA,NA,NA,1.296666667,5.364,13.97833333,0.06,1274.88375,NA,10,0.39,1.06,NA,1290.076154,0.36,139.3975,NA,NA,NA,NA,4,NA,NA,0,NA,NA,NA,NA,11.5,21.20888889,100,0.14,3.03,28.5,2,750,38.5,3.47,6.1,2.75,NA,16.7,40,NA,696.5111765,NA,NA,48.8,NA,NA,NA,3,NA,NA,NA,108.362,NA,NA,NA
"Acer.pensylvanicum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.103333333,3.675714286,9.22875,0.05,1786.00125,NA,NA,0.22,1.1,NA,194.11,0.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.85,84.085,NA,NA,NA,20.3,100,NA,2,38.5,NA,900,46,3.56,5.45,1,NA,NA,28,NA,1926.043333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.44,NA,NA,NA
"Acer.rubrum",NA,NA,NA,NA,NA,NA,NA,36.110625,39.9,46.20545455,24.7,0.338333333,709.1566667,NA,NA,2.045,NA,174.375,5.51625,13.93333333,1.198888889,11.23835556,12.617,0.11,1416.5605,NA,NA,0.4,0.545,10.29758242,56.18,0.24,120.8535714,NA,NA,NA,NA,NA,NA,207.0290909,NA,7.672903226,80.39578947,NA,NA,NA,43.5,150,NA,1.84,31,NA,685,41,3.44,6.25,3.08,NA,4.894857143,30,NA,1536.306667,NA,NA,31.8,NA,NA,NA,NA,NA,NA,3.390555556,275.275,160.34,NA,NA
"Acer.saccharinum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.37,7.1,NA,0.33,NA,NA,NA,NA,NA,44.68571429,NA,113.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,44,128.3333333,NA,2.88,26,NA,435,41,3.6,4.6,3.37,NA,NA,32,NA,321.0944444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.51,NA,NA,NA
"Acer.saccharum",NA,NA,NA,NA,NA,NA,NA,50.94875,36.34444444,NA,27.85,0.404117647,51.57428571,NA,0.67,0.838333333,NA,190.745,5.5,13.32,1.118,5.409195402,13.14913043,0.1,1530.148696,NA,NA,0.42,0.755,6.478369565,125.9269811,0.23,126.605,NA,NA,NA,NA,NA,NA,239.76,0,7.504444444,60.085625,NA,NA,NA,45.6,400,0.07,2.25,18.5,NA,500,50,4.76,5.5,1.09,NA,9.58695122,40,NA,806.275,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.39,433.56,33.5,NA,NA
"Acer.spicatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.274,8.196,NA,2840.04,NA,NA,NA,NA,NA,27.2,NA,118.8666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.33333333,NA,NA,2,36,NA,900,45,3.31,6.4,2,NA,0.82,32,NA,3803.566667,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.44,NA,NA,NA,NA
"Ageratina.altissima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agrimonia.gryposepala",NA,NA,NA,NA,NA,NA,NA,17.34,NA,NA,NA,NA,42.125,NA,NA,0.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,206,NA,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.9,NA,NA,NA,38.5,NA,6850,35,NA,5.75,NA,NA,NA,6,NA,62510.975,NA,NA,16.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agrostis.perennans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,43.5,NA,NA,44,NA,6.5,NA,NA,NA,8,NA,2666666.727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alnus.incana",NA,0.55,2.7,0.35,2.45,NA,1,1697.789231,NA,54.4725,19.16,NA,124.02,NA,NA,207.178,556.01,NA,1.95,5.78,1.895,4.4,15.25625,NA,1770.058889,NA,NA,NA,NA,NA,56.66222222,NA,0.14,NA,1,2,2,3,NA,NA,NA,NA,NA,NA,NA,14,35.45714286,50,0.07,1.973333333,34.33333333,2,966.6666667,34.33333333,1.63,6.083333333,2.956666667,NA,NA,26.5,NA,157973.1172,NA,NA,16.2,NA,NA,NA,3,NA,NA,NA,255.22,NA,NA,1
"Ambrosia.trifida",NA,17.12,6.75,3.55,4.79,NA,NA,5504.723333,NA,NA,NA,NA,214.2666667,NA,NA,189.4116667,NA,NA,NA,NA,2.48,4.41,NA,NA,NA,NA,NA,NA,NA,NA,41.88222222,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,21.8,392,NA,NA,1.19,1.083333333,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.526,NA,409.055,18.4,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
"Amphicarpaea.bracteata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.72666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anemone.virginiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Apocynum.cannabinum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3,NA,NA,NA,28.5,NA,7050,37.5,NA,5.75,NA,NA,NA,12,NA,71429.47,NA,NA,30.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arisaema.triphyllum",NA,NA,NA,NA,NA,NA,NA,62.465,NA,NA,NA,NA,164.375,NA,NA,NA,NA,NA,NA,NA,1.67,20.23285714,7.0975,NA,3025,NA,NA,NA,NA,NA,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,78.5,NA,7900,42,NA,5.9,NA,NA,NA,8,NA,27523.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA
"Asclepias.syriaca",NA,NA,NA,NA,NA,NA,NA,89.25269841,NA,42.774,23.52,NA,2.60047619,7.106,28.574,0.219516129,2.823770492,NA,1.4,NA,1.76,18.89416667,5.18,NA,3400,NA,NA,NA,NA,22.37375,56.73527778,NA,0.32,NA,NA,NA,NA,9,NA,89.38,NA,20.84333333,284.17,NA,NA,1,96.37164179,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,3.474,18.04,NA,7.35,6.065,NA,NA,NA,0.64,4.19,NA,3,12.268,NA,NA,NA,455,54.052,NA
"Athyrium.filix.femina",NA,NA,NA,NA,NA,NA,NA,67730,NA,NA,NA,NA,5603.08,NA,NA,292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.66666667,NA,NA,NA,NA,NA,NA,85,NA,NA,NA,NA,NA,NA,NA,0.65,22.88333333,NA,NA,NA,21,2,2200,45,NA,5.75,NA,NA,NA,12,NA,NA,NA,1856092.5,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA
"Betula.alleghaniensis",NA,NA,NA,NA,NA,NA,NA,29.50153846,NA,NA,NA,0.623333333,0.093846154,NA,0.62,0.742,NA,NA,NA,NA,1.416666667,4.728376068,14.315,0.08,1463.47,NA,NA,0.3,0.65,26.04555556,290.7447619,0.28,138.5,NA,NA,NA,NA,NA,NA,NA,0,12.7,0.29,NA,NA,NA,46.375,300,0.1,3,26,NA,500,45,3.17,5.75,2,NA,18.91071429,30,NA,34339.31846,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.27777778,0.66,NA,NA,NA
"Betula.papyrifera",NA,NA,NA,NA,NA,NA,1,25.51,NA,NA,28.7,0.29,206.44,NA,0.6,2.08,NA,225.87,1.95,3.92,1.797272727,13.98393204,9.369583333,0.15,2323.722083,NA,NA,0.58,5.58,18.76090226,163.3479412,0.215,160.5,NA,1,2,0,NA,NA,NA,0,17.01428571,49,NA,NA,NA,217.125,140,0.1375,2.02,18.5,NA,500,36,1.54,5.75,1.25,NA,19.72489796,32,NA,98628.88929,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.1742,0.6,NA,NA,1
"Bidens.connata",NA,NA,NA,NA,NA,NA,NA,1020.833333,NA,NA,NA,NA,20.56,NA,NA,114.8666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.67333333,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,0.58,1.865,NA,NA,NA,81,3,NA,43.5,NA,6.15,NA,NA,NA,8,NA,21668.905,NA,1076.91,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"Bidens.frondosa",NA,3.3,9.356666667,1.08,2.41,NA,NA,4266.033333,NA,45.39,18.15,NA,115.7083333,NA,0.43,177.065,NA,NA,NA,NA,73.49,2.073333333,NA,NA,0.26,NA,22,NA,NA,NA,5972.148333,NA,NA,NA,NA,NA,NA,8.5,NA,348,0,5.46,89.2,NA,NA,0.716666667,1.4875,NA,0.24,NA,63.5,4,NA,42,NA,6.2,NA,NA,NA,8,NA,7645.549412,NA,22084.835,33.8,NA,NA,NA,2,NA,NA,NA,0.16,120,NA,NA
"Blephilia.hirsuta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boehmeria.cylindrica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9,NA,NA,NA,33.5,NA,NA,42.5,NA,6.05,NA,NA,NA,14,NA,65000.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bromus.ciliatus",NA,NA,NA,NA,NA,NA,NA,6.077,NA,43.73,NA,NA,0.035555556,NA,NA,0.27,NA,NA,NA,NA,0.81,1.305,8.45,0.1,550.1,NA,NA,NA,NA,NA,74.237,NA,NA,NA,NA,NA,NA,182.5,NA,NA,NA,9.48,160.25,NA,NA,NA,23.75,NA,NA,NA,86,NA,NA,26,NA,6.5,NA,NA,NA,16,NA,59003.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bromus.pubescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carex.crinita",NA,NA,NA,NA,NA,73,NA,NA,NA,NA,NA,NA,NA,NA,0.356,78.75,NA,NA,NA,NA,57.7,21.988,NA,NA,NA,NA,NA,NA,NA,NA,319.1571429,NA,123.5,NA,NA,NA,NA,NA,NA,320,0,7.35,151.04,NA,NA,NA,5.2,NA,0.182857143,NA,55.5,NA,6406,50.5,NA,5.75,NA,NA,NA,18,NA,11.05,NA,NA,14.8,NA,NA,NA,NA,NA,NA,NA,NA,120,NA,NA
"Carex.scoparia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,NA,NA,23.5,NA,3750,37.5,NA,5.75,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carpinus.caroliniana",NA,NA,NA,NA,NA,NA,NA,14.95,NA,NA,NA,0.415,65.86,NA,NA,NA,NA,NA,7.7,1.51,1.045,1.916666667,12.244,0.1,1179.81,NA,NA,0.24,0.45,NA,109.6,0.33,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.33333333,NA,NA,2.02,23.5,NA,950,45,4.58,5.7,2.3,NA,NA,20,NA,3023.377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.72,NA,NA,NA
"Carya.cordiformis",NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,0.406666667,NA,NA,NA,NA,NA,NA,NA,NA,1.15,2.216666667,9.98,0.14,1649.886667,NA,NA,0.38,0.86,NA,63.89428571,0.37,86.17333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,200,NA,4,53.5,NA,435,37.5,2.07,6.95,2.5,NA,NA,50,NA,2420.205714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.67,NA,NA,NA
"Carya.ovata",NA,NA,NA,NA,NA,NA,NA,80.835,22.4,NA,25.2,NA,721.75,NA,NA,NA,NA,NA,5.6,25.46,1.69,6.763636364,9.172857143,0.12,1753.81,NA,NA,0.48,0.93,NA,68.635,0.25,NA,NA,NA,NA,NA,NA,NA,120.225,NA,8.31,30.39333333,NA,NA,NA,42.325,300,NA,3,48.5,NA,500,55,3.4,5.35,1.38,NA,16.7,48,NA,3683.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.73,316,NA,NA
"Cephalanthus.occidentalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.33333333,NA,NA,3,58.5,NA,2223,46.5,2.75,6.9,4.92,NA,NA,14,NA,2.6225,NA,NA,9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chelone.glabra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cicuta.maculata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.21,7.12,NA,1700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0125,NA,NA,23.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cinna.arundinacea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,48.5,NA,15000,39,NA,6.25,NA,NA,NA,16,NA,0.503333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Circaea.lutetiana",NA,1.97,7.11,1.08,2.27,NA,NA,1770.616667,NA,42.805,16.392,NA,69.45,NA,NA,193.5,NA,NA,NA,NA,NA,5.365,10.51,NA,865.205,NA,14,NA,NA,NA,23706.81889,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,0.45,0.30625,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,0.87,NA,NA,2.190555556,NA,1491.4575,NA,NA,NA,NA,3,NA,NA,NA,0.176,NA,NA,NA
"Clematis.virginiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,23.5,NA,1950,43.5,NA,5.9,NA,NA,NA,14,NA,32002.44833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clinopodium.vulgare",NA,0.49,1.3,0.75,1,NA,NA,84.10076923,NA,458.25,NA,NA,3.454615385,NA,NA,50.21133333,0.045,0.12,NA,NA,NA,7.995,NA,NA,1.64,7.43,NA,NA,NA,NA,27.84,NA,NA,NA,NA,NA,NA,61.66666667,NA,NA,NA,NA,NA,NA,NA,11.8,25.61058824,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,0.93,NA,NA,0.409473684,NA,86757.31,NA,NA,NA,NA,4,NA,NA,0.56,NA,NA,NA,NA
"Collinsonia.canadensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.73,3.65,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cornus.amomum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,NA,NA,2,36,NA,3000,48,3,6,3,NA,NA,16,NA,1772.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cornus.canadensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8425,5.94,NA,2800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,NA,NA,NA,36,NA,3750,41,NA,6.2,NA,NA,NA,10,NA,9928.324286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cornus.rugosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.79,8.465,NA,2225.0275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.5,NA,NA,NA,31,NA,2200,31.5,NA,7.1,NA,NA,NA,18,NA,3205.318333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cornus.sericea",NA,NA,NA,NA,NA,NA,NA,21.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.88,2.21,NA,NA,NA,NA,NA,NA,NA,NA,250.42,NA,NA,NA,NA,NA,NA,6.5,NA,NA,NA,NA,NA,NA,NA,2,10.83333333,NA,NA,2.48,29.25,2,2465.5,39,2.86,6.15,2.12,NA,NA,18,NA,4121.177778,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,0.48,NA,NA,NA
"Corylus.cornuta",NA,NA,NA,NA,NA,NA,NA,33.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.72,1.97,7.64,NA,2575,NA,NA,NA,NA,NA,302.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.4,NA,NA,2.88,39.75,NA,1200,33.5,3,6.125,1.27,NA,NA,17,NA,665.4005556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.56,NA,NA,NA
"Cryptotaenia.canadensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.26,NA,NA,2.223333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus.strigosus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,NA,NA,NA,33.5,NA,4125,38,NA,6.7,NA,NA,NA,16,NA,0.3675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
