,Dispersal unit dry mass,Dispersal unit length,Dispersal unit thickness,Dispersal unit width,Germination efficiency,Germination requirement,Leaf area,Leaf carbon (C) content per area,Leaf carbon (C) content per dry mass,Leaf carbon/nitrogen (C/N) ratio,Leaf density,Leaf dry mass,Leaf dry mass per plant,"Leaf dry mass per plant dry mass (leaf weight ratio, LWR)",Leaf dry matter content (LDMC),Leaf fresh mass,Leaf lamina thickness,Leaf lifespan,Leaf nitrogen (N) content,Leaf nitrogen (N) content per area,Leaf nitrogen (N) content per dry mass,Leaf nitrogen/phosphorus (N/P) ratio,Leaf phosphorus (P) content per area,Leaf phosphorus (P) content per dry mass,Leaf physical strength,Leaf porosity,Leaf potassium (K) content per area,Leaf potassium (K) content per dry mass,Leaf respiration per dry mass,Leaf specific area (SLA),Leaf texture (sclerophylly),Leaf thickness,Phenology: reproductive,Photosynthesis leaf intercellular CO2 concentration,Photosynthesis net assimilytion rate (NAR),Photosynthesis per leaf area,Photosynthesis per leaf dry mass,Plant height generative,Plant height vegetative,Plant lifespan,Plant relative growth rate (RGR),Plant tolerance to drought,Plant tolerance to frost,Plant tolerance to human impact,Plant tolerance to planting density,Plant tolerance to precipitation,Plant tolerance to shade,Plant tolerance to soil pH,Plant tolerance to waterlogging,Reproductive dry mass per plant,Root nitrogen (N) content per dry mass,Rooting depth,Seed length,Seed mass,Seed number per reproducton unit,Seed protein content per mass,Seed thickness,Seed width,Species distribution: number of floristic zones,Stem dry mass per plant,Stem nitrogen (N) content per dry mass,Stem specific density (SSD),Stomata conductance per leaf area,Wood dry mass per plant dry mass,Woodiness
ageratina_altissima,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
agrimonia_gryposepala,NA,NA,NA,NA,NA,NA,17.34,NA,NA,NA,NA,42.13,NA,NA,0.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,206,NA,0.13,NA,NA,NA,NA,NA,NA,5.9,NA,NA,NA,38.5,NA,6850,35,NA,5.75,NA,NA,NA,6,NA,62510.98,NA,16.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
agrostis_perennans,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,43.5,NA,NA,44,NA,6.5,NA,NA,NA,8,NA,2666666.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ambrosia_trifida,17.12,6.75,3.55,4.79,NA,NA,5504.72,NA,NA,NA,NA,214.27,NA,NA,189.41,NA,NA,NA,NA,2.48,4.41,NA,NA,NA,NA,NA,NA,NA,NA,41.88,NA,NA,9,NA,NA,21.8,392,1.19,1.08,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.53,409.06,18.4,NA,NA,3,NA,NA,NA,NA,NA,NA
amphicarpaea_bracteata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
anemone_virginiana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
apocynum_cannabinum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.88,NA,NA,NA,NA,NA,NA,NA,NA,3.3,NA,NA,NA,28.5,NA,7050,37.5,NA,5.75,NA,NA,NA,12,NA,71429.47,NA,30.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
arisaema_triphyllum,NA,NA,NA,NA,NA,NA,62.47,NA,NA,NA,NA,164.38,NA,NA,NA,NA,NA,NA,NA,1.67,20.23,7.1,NA,3025,NA,NA,NA,NA,NA,152,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,78.5,NA,7900,42,NA,5.9,NA,NA,NA,8,NA,27523.35,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA
asclepias_syriaca,NA,NA,NA,NA,NA,NA,89.25,NA,42.77,23.52,NA,2.6,7.11,28.57,0.22,2.82,NA,1.4,NA,1.76,18.89,5.18,NA,3400,NA,NA,NA,NA,22.37,56.74,NA,0.32,9,89.38,NA,20.84,284.17,1,96.37,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,3.47,18.04,NA,7.35,6.07,NA,NA,0.64,4.19,3,12.27,NA,NA,455,54.05,NA
athyrium_filix_femina,NA,NA,NA,NA,NA,NA,67730,NA,NA,NA,NA,5603.08,NA,NA,292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.67,NA,NA,85,NA,NA,NA,NA,0.65,22.88,NA,NA,NA,21,2,2200,45,NA,5.75,NA,NA,NA,12,NA,1863.99,1856092.5,NA,NA,NA,5,NA,NA,NA,NA,NA,NA
