,Leaf C per dry mass,Leaf C to N ratio,Leaf weight ratio,Lamina thickness,Leaf N per dry mass,Leaf N to P ratio,Leaf P per dry mass,Leaf physical strength,Leaf K per dry mass,Leaf respiration per dry mass,SLA,Photosynthesis per leaf dry mass,RGR,Root N per dry mass,Rooting depth,Seed mass,Seed number per reproduction unit,Seed protein content per mass,SSD,Stomata conductance per leaf area,Wood dry mass per plant dry mass
ageratina_altissima,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,NA,NA,NA,NA,NA
agrimonia_gryposepala,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,206,NA,NA,NA,6,62510.98,NA,16.8,NA,NA,NA
agrostis_perennans,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2666666.73,NA,NA,NA,NA,NA
ambrosia_trifida,NA,NA,NA,NA,4.41,NA,NA,NA,NA,NA,41.88,392,NA,NA,NA,11.53,409.06,18.4,NA,NA,NA
amphicarpaea_bracteata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.73,NA,NA,NA,NA,NA
anemone_virginiana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.13,NA,NA,NA,NA,NA
apocynum_cannabinum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.88,NA,NA,NA,12,71429.47,NA,30.9,NA,NA,NA
arisaema_triphyllum,NA,NA,NA,NA,20.23,7.1,3025,NA,NA,NA,152,NA,NA,NA,8,27523.35,NA,NA,NA,90,NA
asclepias_syriaca,42.77,23.52,28.57,NA,18.89,5.18,3400,NA,NA,22.37,56.74,284.17,NA,18.04,NA,6.07,NA,NA,NA,455,54.05
athyrium_filix_femina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.67,NA,NA,NA,12,1863.99,1856092.5,NA,NA,NA,NA
bidens_connata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.67,NA,NA,NA,8,21668.91,1076.91,NA,NA,NA,NA
bidens_frondosa,45.39,18.15,0.43,NA,2.07,NA,0.26,NA,NA,NA,5972.15,89.2,0.24,NA,8,7645.55,22084.84,33.8,0.16,120,NA
blephilia_hirsuta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,NA,NA,NA,NA,NA
boehmeria_cylindrica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,65000.16,NA,NA,NA,NA,NA
bromus_ciliatus,43.73,NA,NA,NA,1.31,8.45,550.1,NA,NA,NA,74.24,160.25,NA,NA,16,59003.67,NA,NA,NA,NA,NA
bromus_pubescens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.62,NA,NA,NA,NA,NA
carex_crinita,NA,NA,0.36,NA,21.99,NA,NA,NA,NA,NA,319.16,151.04,0.18,NA,18,11.05,NA,14.8,NA,120,NA
carex_scoparia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1863.99,NA,NA,NA,NA,NA
chelone_glabra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA
cicuta_maculata,NA,NA,NA,NA,1.21,7.12,1700,NA,NA,NA,NA,NA,NA,NA,NA,2.01,NA,23.8,NA,NA,NA
cinna_arundinacea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,0.5,NA,NA,NA,NA,NA
circaea_lutetiana,42.81,16.39,NA,NA,5.37,10.51,865.21,NA,NA,NA,23706.82,NA,NA,0.87,NA,2.19,1491.46,NA,0.18,NA,NA
clematis_virginiana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,32002.45,NA,NA,NA,NA,NA
clinopodium_vulgare,458.25,NA,NA,0.12,8,NA,1.64,7.43,NA,NA,27.84,NA,NA,0.93,NA,0.41,86757.31,NA,NA,NA,NA
collinsonia_canadensis,NA,NA,NA,NA,0.73,3.65,0.2,NA,NA,NA,NA,NA,NA,NA,NA,1863.99,NA,NA,NA,NA,NA
cryptotaenia_canadensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.26,NA,2.22,NA,NA,NA,NA,NA
cyperus_strigosus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,0.37,NA,NA,NA,NA,NA
dichanthelium_clandestinum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,350000,NA,NA,NA,NA,NA
dioscorea_villosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.7,NA,NA,NA,NA,NA
dryopteris_carthusiana,NA,NA,NA,NA,2.4,NA,NA,NA,NA,NA,26.86,NA,NA,NA,NA,1863.99,NA,NA,NA,NA,NA
dryopteris_cristata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,1863.99,NA,NA,NA,NA,NA
echinocystis_lobata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,237.45,NA,NA,NA,NA,NA
elymus_hystrix,NA,NA,0.51,NA,NA,NA,NA,NA,NA,NA,408,NA,0.17,NA,NA,1863.99,NA,NA,NA,NA,NA
elymus_trachycaulus,41.74,NA,0.53,NA,1.39,NA,0.18,NA,NA,NA,316.67,NA,0.17,NA,16,45002.86,NA,NA,NA,NA,NA
elymus_virginicus,NA,NA,0.48,NA,NA,NA,NA,NA,NA,NA,404.5,NA,0.15,NA,16,12504.38,NA,NA,NA,NA,NA
epilobium_ciliatum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.48,NA,0.29,NA,NA,0.36,1929562.67,NA,NA,NA,NA
equisetum_fluviatile,45.9,30.94,NA,NA,1.48,NA,0.44,NA,NA,NA,12.08,NA,NA,NA,6,1863.99,NA,NA,NA,NA,NA
equisetum_hyemale,NA,NA,NA,NA,NA,NA,NA,NA,9.74,NA,2.91,NA,NA,NA,NA,1863.99,NA,NA,NA,NA,NA
equisetum_palustre,264.54,10.8,NA,NA,19.41,NA,0.61,NA,NA,NA,8.98,NA,NA,NA,NA,1863.99,NA,NA,NA,NA,NA
equisetum_pratense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1863.99,NA,NA,NA,NA,NA
erigeron_annuus,45.82,33.33,11.74,NA,1.39,NA,NA,NA,NA,NA,109.38,NA,NA,NA,NA,0.04,7071.2,NA,NA,NA,73.45
eupatorium_perfoliatum,46.71,20.14,29.51,NA,2.15,6.1,2100,NA,NA,NA,184.53,NA,0.25,NA,NA,1.09,NA,NA,NA,0.48,47.92
euphorbia_maculata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27,NA,NA,NA,NA,NA
euthamia_graminifolia,47.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.68,NA,0.26,NA,NA,1863.99,NA,NA,NA,NA,NA
fragaria_vesca,477,34.49,NA,NA,7.69,5.11,3600.11,NA,NA,NA,42.19,NA,NA,NA,NA,7.89,7744.31,NA,0.27,NA,NA
galium_aparine,NA,NA,0.62,0.18,2.99,11.16,1140.2,0.64,NA,NA,59.4,NA,0.13,NA,4,21747.78,2992.47,12.7,NA,113.33,NA
galium_asprellum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,500000,NA,NA,NA,NA,NA
galium_boreale,197.54,NA,NA,NA,16.09,9.06,1000.71,NA,NA,NA,30.23,NA,NA,NA,6,48384.67,91,NA,NA,NA,NA
galium_palustre,NA,NA,28.24,0.09,NA,NA,NA,3.48,NA,NA,129.14,NA,0.18,NA,NA,0.94,249.1,NA,NA,NA,59.52
galium_triflorum,NA,NA,NA,NA,1.94,9.53,2166.67,NA,NA,NA,NA,NA,NA,NA,NA,0.76,NA,NA,NA,NA,NA
geum_canadense,NA,NA,NA,NA,1.23,7.24,1700,NA,NA,NA,NA,NA,NA,NA,4,80004.24,NA,NA,NA,NA,NA
glyceria_striata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0.17,NA,22.5,NA,NA,NA
helianthus_strumosus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.27,NA,NA,NA,NA,NA
helianthus_tuberosus,41.77,13.13,NA,NA,3.39,NA,0.38,NA,NA,NA,18601.2,NA,NA,NA,6,18918.9,77.9,30.6,0.17,NA,NA
hypericum_mutilum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1863.99,NA,NA,NA,NA,NA
hypericum_punctatum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0.04,NA,NA,NA,NA,NA
impatiens_capensis,49.01,12.33,12.49,NA,3.71,8,2600,NA,NA,NA,426.43,NA,NA,NA,14,116671.37,4,NA,NA,NA,86.11
impatiens_pallida,NA,NA,NA,NA,1.3,4.81,2700,NA,NA,NA,807.95,NA,NA,2.31,14,700000,NA,NA,NA,NA,NA
juncus_articulatus,NA,24.05,NA,0.6,20.72,NA,1.49,8.54,NA,NA,22.9,NA,NA,NA,8,0.02,1212964.75,NA,0.3,NA,NA
juncus_filiformis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.92,NA,0.18,NA,NA,0.22,342.14,NA,NA,NA,NA
laportea_canadensis,NA,NA,NA,NA,1.77,7.08,2500,NA,NA,NA,NA,NA,NA,NA,NA,2.23,NA,NA,NA,NA,NA
