,Dispersal unit dry mass,Dispersal unit length,Dispersal unit thickness,Dispersal unit width,Germination efficiency,Germination requirement,Leaf area,Leaf carbon (C) content per area,Leaf carbon (C) content per dry mass,Leaf carbon/nitrogen (C/N) ratio,Leaf density,Leaf dry mass,Leaf dry mass per plant,"Leaf dry mass per plant dry mass (leaf weight ratio, LWR)",Leaf dry matter content (LDMC),Leaf fresh mass,Leaf lamina thickness,Leaf lifespan,Leaf nitrogen (N) content,Leaf nitrogen (N) content per area,Leaf nitrogen (N) content per dry mass,Leaf nitrogen/phosphorus (N/P) ratio,Leaf phosphorus (P) content per area,Leaf phosphorus (P) content per dry mass,Leaf physical strength,Leaf porosity,Leaf potassium (K) content per area,Leaf potassium (K) content per dry mass,Leaf respiration per dry mass,Leaf specific area (SLA),Leaf texture (sclerophylly),Leaf thickness,Phenology: reproductive,Photosynthesis leaf intercellular CO2 concentration,Photosynthesis net assimilytion rate (NAR),Photosynthesis per leaf area,Photosynthesis per leaf dry mass,Plant height generative,Plant height vegetative,Plant lifespan,Plant relative growth rate (RGR),Plant tolerance to drought,Plant tolerance to frost,Plant tolerance to human impact,Plant tolerance to planting density,Plant tolerance to precipitation,Plant tolerance to shade,Plant tolerance to soil pH,Plant tolerance to waterlogging,Reproductive dry mass per plant,Root nitrogen (N) content per dry mass,Rooting depth,Seed length,Seed mass,Seed number per reproducton unit,Seed protein content per mass,Seed thickness,Seed width,Species distribution: number of floristic zones,Stem dry mass per plant,Stem nitrogen (N) content per dry mass,Stem specific density (SSD),Stomata conductance per leaf area,Wood dry mass per plant dry mass,Woodiness
abies_balsamea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,4.1,9.89,NA,1211.97,NA,NA,NA,NA,4.2,67.29,NA,NA,NA,NA,NA,NA,NA,NA,34.33,200,NA,1,13,NA,750,36.5,5.01,5,2,NA,3.17,20,NA,9978.94,NA,NA,NA,NA,NA,NA,3.56,0.41,NA,NA,NA
acer_negundo,41.21,30.13,2.3,12.2,NA,NA,24.86,44.4,44.71,14.17,0.81,0.17,NA,0.57,0.61,NA,NA,NA,NA,1.3,5.36,13.98,0.06,1274.88,NA,10,0.39,1.06,NA,1290.08,0.36,139.4,4,NA,0,NA,NA,11.5,21.21,100,0.14,3.03,28.5,2,750,38.5,3.47,6.1,2.75,NA,16.7,40,NA,696.51,NA,48.8,NA,NA,3,NA,NA,108.36,NA,NA,NA
acer_pensylvanicum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,3.68,9.23,0.05,1786,NA,NA,0.22,1.1,NA,194.11,0.28,NA,NA,NA,NA,9.85,84.09,NA,20.3,100,NA,2,38.5,NA,900,46,3.56,5.45,1,NA,NA,28,NA,1926.04,NA,NA,NA,NA,NA,NA,NA,0.44,NA,NA,NA
acer_rubrum,NA,NA,NA,NA,NA,NA,36.11,39.9,46.21,24.7,0.34,709.16,NA,NA,2.05,NA,174.38,5.52,13.93,1.2,11.24,12.62,0.11,1416.56,NA,NA,0.4,0.55,10.3,56.18,0.24,120.85,NA,207.03,NA,7.67,80.4,NA,43.5,150,NA,1.84,31,NA,685,41,3.44,6.25,3.08,NA,4.89,30,NA,1536.31,NA,31.8,NA,NA,NA,NA,3.39,275.28,160.34,NA,NA
acer_saccharinum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.37,7.1,NA,0.33,NA,NA,NA,NA,NA,44.69,NA,113.7,NA,NA,NA,NA,NA,40,44,128.33,NA,2.88,26,NA,435,41,3.6,4.6,3.37,NA,NA,32,NA,321.09,NA,NA,NA,NA,NA,NA,NA,0.51,NA,NA,NA
acer_saccharum,NA,NA,NA,NA,NA,NA,50.95,36.34,NA,27.85,0.4,51.57,NA,0.67,0.84,NA,190.75,5.5,13.32,1.12,5.41,13.15,0.1,1530.15,NA,NA,0.42,0.76,6.48,125.93,0.23,126.61,NA,239.76,0,7.5,60.09,NA,45.6,400,0.07,2.25,18.5,NA,500,50,4.76,5.5,1.09,NA,9.59,40,NA,806.28,NA,NA,NA,NA,NA,NA,0.39,433.56,33.5,NA,NA
acer_spicatum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.27,8.2,NA,2840.04,NA,NA,NA,NA,NA,27.2,NA,118.87,NA,NA,NA,NA,NA,NA,23.33,NA,NA,2,36,NA,900,45,3.31,6.4,2,NA,0.82,32,NA,3803.57,NA,NA,NA,NA,NA,NA,0.44,NA,NA,NA,NA
alnus_incana,0.55,2.7,0.35,2.45,NA,1,1697.79,NA,54.47,19.16,NA,124.02,NA,NA,207.18,556.01,NA,1.95,5.78,1.9,4.4,15.26,NA,1770.06,NA,NA,NA,NA,NA,56.66,NA,0.14,3,NA,NA,NA,NA,14,35.46,50,0.07,1.97,34.33,2,966.67,34.33,1.63,6.08,2.96,NA,NA,26.5,NA,157973.12,NA,16.2,NA,NA,3,NA,NA,255.22,NA,NA,1
betula_alleghaniensis,NA,NA,NA,NA,NA,NA,29.5,NA,NA,NA,0.62,0.09,NA,0.62,0.74,NA,NA,NA,NA,1.42,4.73,14.32,0.08,1463.47,NA,NA,0.3,0.65,26.05,290.74,0.28,138.5,NA,NA,0,12.7,0.29,NA,46.38,300,0.1,3,26,NA,500,45,3.17,5.75,2,NA,18.91,30,NA,34339.32,NA,NA,NA,NA,NA,NA,19.28,0.66,NA,NA,NA
betula_papyrifera,NA,NA,NA,NA,NA,1,25.51,NA,NA,28.7,0.29,206.44,NA,0.6,2.08,NA,225.87,1.95,3.92,1.8,13.98,9.37,0.15,2323.72,NA,NA,0.58,5.58,18.76,163.35,0.22,160.5,NA,NA,0,17.01,49,NA,217.13,140,0.14,2.02,18.5,NA,500,36,1.54,5.75,1.25,NA,19.72,32,NA,98628.89,NA,NA,NA,NA,NA,NA,13.17,0.6,NA,NA,1
