,Leaf C per dry mass,Leaf C to N ratio,Leaf weight ratio,Lamina thickness,Leaf N per dry mass,Leaf N to P ratio,Leaf P per dry mass,Leaf physical strength,Leaf K per dry mass,Leaf respiration per dry mass,SLA,Photosynthesis per leaf dry mass,RGR,Root N per dry mass,Rooting depth,Seed mass,Seed number per reproduction unit,Seed protein content per mass,SSD,Stomata conductance per leaf area,Wood dry mass per plant dry mass
abies_balsamea,NA,NA,NA,NA,4.1,9.89,1211.97,NA,NA,4.2,67.29,NA,NA,3.17,20,9978.94,NA,NA,0.41,NA,NA
acer_negundo,44.71,14.17,0.57,NA,5.36,13.98,1274.88,NA,1.06,NA,1290.08,NA,0.14,16.7,40,696.51,NA,48.8,108.36,NA,NA
acer_pensylvanicum,NA,NA,NA,NA,3.68,9.23,1786,NA,1.1,NA,194.11,84.09,NA,NA,28,1926.04,NA,NA,0.44,NA,NA
acer_rubrum,46.21,24.7,NA,174.38,11.24,12.62,1416.56,NA,0.55,10.3,56.18,80.4,NA,4.89,30,1536.31,NA,31.8,275.28,160.34,NA
acer_saccharinum,NA,NA,NA,NA,2.37,7.1,0.33,NA,NA,NA,44.69,NA,NA,NA,32,321.09,NA,NA,0.51,NA,NA
acer_saccharum,NA,27.85,0.67,190.75,5.41,13.15,1530.15,NA,0.76,6.48,125.93,60.09,0.07,9.59,40,806.28,NA,NA,433.56,33.5,NA
acer_spicatum,NA,NA,NA,NA,2.27,8.2,2840.04,NA,NA,NA,27.2,NA,NA,0.82,32,3803.57,NA,NA,NA,NA,NA
alnus_incana,54.47,19.16,NA,NA,4.4,15.26,1770.06,NA,NA,NA,56.66,NA,0.07,NA,26.5,157973.12,NA,16.2,255.22,NA,NA
betula_alleghaniensis,NA,NA,0.62,NA,4.73,14.32,1463.47,NA,0.65,26.05,290.74,0.29,0.1,18.91,30,34339.32,NA,NA,0.66,NA,NA
betula_papyrifera,NA,28.7,0.6,225.87,13.98,9.37,2323.72,NA,5.58,18.76,163.35,49,0.14,19.72,32,98628.89,NA,NA,0.6,NA,NA
carpinus_caroliniana,NA,NA,NA,NA,1.92,12.24,1179.81,NA,0.45,NA,109.6,NA,NA,NA,20,3023.38,NA,NA,0.72,NA,NA
carya_cordiformis,NA,NA,NA,NA,2.22,9.98,1649.89,NA,0.86,NA,63.89,NA,NA,NA,50,2420.21,NA,NA,0.67,NA,NA
carya_ovata,NA,25.2,NA,NA,6.76,9.17,1753.81,NA,0.93,NA,68.64,30.39,NA,16.7,48,3683.6,NA,NA,0.73,316,NA
cephalanthus_occidentalis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,2.62,NA,9.8,NA,NA,NA
cornus_amomum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,1772.1,NA,NA,NA,NA,NA
cornus_canadensis,NA,NA,NA,NA,1.84,5.94,2800,NA,NA,NA,NA,NA,NA,NA,10,9928.32,NA,NA,NA,NA,NA
cornus_rugosa,NA,NA,NA,NA,1.79,8.47,2225.03,NA,NA,NA,NA,NA,NA,NA,18,3205.32,NA,NA,NA,NA,NA
cornus_sericea,NA,NA,NA,NA,2.21,NA,NA,NA,NA,NA,250.42,NA,NA,NA,18,4121.18,NA,NA,0.48,NA,NA
corylus_cornuta,NA,NA,NA,NA,1.97,7.64,2575,NA,NA,NA,302.32,NA,NA,NA,17,665.4,NA,NA,0.56,NA,NA
