Stream,Site,Bank,Fdiv,,,,,,,,
Ballston,B1,gl,0.7390181,,,,,,,,
Ballston,B1,gl,0.5998058,,,,,,,,
Ballston,B1,up,0.8910988,,,,,,,,
Ballston,B1,up,0.6541565,,,,,,,,
Ballston,B2,gl,0.6588375,,,,,,,,
Ballston,B2,gl,0.8202547,,,,,,,,
Ballston,B2,up,0.6512917,,,,,,,,
Ballston,B2,up,0.7672058,,,,,,,,
Indian,I1,gl,0.7450963,,,,,,,,
Indian,I1,gl,0.8868705,,,,,,,,
Indian,I1,up,0.7191992,,,,,,,,
Indian,I1,up,0.4883384,,,,,,,,
Indian,I2,gl,0.8687254,,,,,,,,
Indian,I2,gl,0.8211026,,,,,,,,
Indian,I2,up,0.6241398,,,,,,,,
Indian,I2,up,0.8016157,,,,,,,,
Kayaderosseras,K1,gl,0.7639681,,,,,,,,
Kayaderosseras,K1,gl,0.554398,,,,,,,,
Kayaderosseras,K1,up,0.9072671,,,,,,,,
Kayaderosseras,K1,up,0.8230697,,,,,,,,
Kayaderosseras,K2,gl,0.6454369,,,,,,,,
Kayaderosseras,K2,gl,0.8492464,,,,,,,,
Kayaderosseras,K2,up,0.7388319,,,,,,,,
Kayaderosseras,K2,up,0.6642377,,,,,,,,
