Trait,Species,Value
Plant tolerance to frost,Abies balsamea,-43
Plant tolerance to frost,Acer negundo,-43
Plant tolerance to frost,Acer platanoides,-43
Plant tolerance to frost,Acer saccharum,-43
Plant tolerance to frost,Agrimonia gryposepala,-43
Plant tolerance to frost,Apocynum cannabinum,-43
Plant tolerance to frost,Betula papyrifera,-43
Plant tolerance to frost,Carya ovata,-43
Plant tolerance to frost,Elymus repens,-43
Plant tolerance to frost,Elymus trachycaulus,-43
Plant tolerance to frost,Fraxinus pennsylvanica,-43
Plant tolerance to frost,Helianthus tuberosus,-43
Plant tolerance to frost,Panicum dichotomiflorum,-43
Plant tolerance to frost,Populus deltoides,-43
Plant tolerance to frost,Populus deltoides,-43
Plant tolerance to frost,Prunus virginiana,-43
Plant tolerance to frost,Pteridium aquilinum,-43
Plant tolerance to frost,Quercus alba,-43
Plant tolerance to frost,Solidago canadensis,-43
Plant tolerance to frost,Ulmus americana,-43
Plant tolerance to frost,Ulmus rubra,-43
Plant tolerance to frost,Fagus grandifolia,-42
Plant tolerance to frost,Trifolium repens,-39
Plant tolerance to frost,Acer rubrum,-38
Plant tolerance to frost,Acer saccharinum,-38
Plant tolerance to frost,Achillea millefolium,-38
Plant tolerance to frost,Achillea millefolium,-38
Plant tolerance to frost,Adiantum pedatum,-38
Plant tolerance to frost,Agrostis scabra,-38
Plant tolerance to frost,Alnus incana,-38
Plant tolerance to frost,Athyrium filix-femina,-38
Plant tolerance to frost,Betula alleghaniensis,-38
Plant tolerance to frost,Bromus inermis,-38
Plant tolerance to frost,Carex scoparia,-38
Plant tolerance to frost,Catalpa speciosa,-38
Plant tolerance to frost,Clematis virginiana,-38
Plant tolerance to frost,Cornus amomum,-38
Plant tolerance to frost,Cornus sericea,-38
Plant tolerance to frost,Corylus cornuta,-38
Plant tolerance to frost,Elymus trachycaulus,-38
Plant tolerance to frost,Fraxinus nigra,-38
Plant tolerance to frost,Lycopus americanus,-38
Plant tolerance to frost,Melilotus officinalis,-38
Plant tolerance to frost,Osmunda regalis,-38
Plant tolerance to frost,Ostrya virginiana,-38
