Species,Trait,Value
Acer negundo,Dispersal unit dry mass,41.211
Acer negundo,Dispersal unit dry mass,41.211
Acer platanoides,Dispersal unit dry mass,137.2
Acer platanoides,Dispersal unit dry mass,137.2
Achillea millefolium,Dispersal unit dry mass,0.131
Achillea millefolium,Dispersal unit dry mass,0.131
Alnus incana,Dispersal unit dry mass,0.55
Alnus incana,Dispersal unit dry mass,0.55
Ambrosia trifida,Dispersal unit dry mass,17.124
Ambrosia trifida,Dispersal unit dry mass,17.124
Arctium lappa,Dispersal unit dry mass,12.133
Artemisia vulgaris,Dispersal unit dry mass,0.127
Artemisia vulgaris,Dispersal unit dry mass,0.127
Bidens frondosa,Dispersal unit dry mass,3.303
Bidens frondosa,Dispersal unit dry mass,3.303
Bromus inermis,Dispersal unit dry mass,4.217
Bromus inermis,Dispersal unit dry mass,4.217
Centaurea jacea,Dispersal unit dry mass,2
Centaurea jacea,Dispersal unit dry mass,2
Centaurea nigrescens,Dispersal unit dry mass,1.47
Centaurea stoebe,Dispersal unit dry mass,1.336
Circaea lutetiana,Dispersal unit dry mass,1.97
Circaea lutetiana,Dispersal unit dry mass,1.97
Clinopodium vulgare,Dispersal unit dry mass,0.49
Clinopodium vulgare,Dispersal unit dry mass,0.49
Cynodon dactylon,Dispersal unit dry mass,0.26
Cynodon dactylon,Dispersal unit dry mass,0.26
Dactylis glomerata,Dispersal unit dry mass,0.633
Dactylis glomerata,Dispersal unit dry mass,0.991
Dactylis glomerata,Dispersal unit dry mass,0.991
Daucus carota,Dispersal unit dry mass,1.093
Daucus carota,Dispersal unit dry mass,1.093
Digitaria sanguinalis,Dispersal unit dry mass,0.97
Digitaria sanguinalis,Dispersal unit dry mass,0.97
Echinochloa muricata,Dispersal unit dry mass,1.444
Echinochloa muricata,Dispersal unit dry mass,1.444
Fragaria vesca,Dispersal unit dry mass,0.338
Galium aparine,Dispersal unit dry mass,8.336
Galium aparine,Dispersal unit dry mass,8.336
Galium boreale,Dispersal unit dry mass,0.608
Galium boreale,Dispersal unit dry mass,0.608
Galium mollugo,Dispersal unit dry mass,0.53
Galium mollugo,Dispersal unit dry mass,0.53
Galium palustre,Dispersal unit dry mass,0.91
Galium palustre,Dispersal unit dry mass,0.91
Glechoma hederacea,Dispersal unit dry mass,0.685
Glechoma hederacea,Dispersal unit dry mass,0.685
Glyceria striata,Dispersal unit dry mass,0.244
Glyceria striata,Dispersal unit dry mass,0.244
Glyceria striata,Dispersal unit dry mass,0.304
Leonurus cardiaca,Dispersal unit dry mass,1.083
Leonurus cardiaca,Dispersal unit dry mass,1.083
Leucanthemum vulgare,Dispersal unit dry mass,0.38
Leucanthemum vulgare,Dispersal unit dry mass,0.38
Leucanthemum vulgare,Dispersal unit dry mass,0.38
Leucanthemum vulgare,Dispersal unit dry mass,0.38
Marrubium vulgare,Dispersal unit dry mass,1.181
Marrubium vulgare,Dispersal unit dry mass,1.181
Melilotus officinalis,Dispersal unit dry mass,0.569
Melilotus officinalis,Dispersal unit dry mass,0.569
Melilotus officinalis,Dispersal unit dry mass,2.426
Melilotus officinalis,Dispersal unit dry mass,2.426
Myosotis laxa,Dispersal unit dry mass,0.24
Myosotis laxa,Dispersal unit dry mass,0.24
Myosotis scorpioides,Dispersal unit dry mass,0.307
Myosotis scorpioides,Dispersal unit dry mass,0.307
Myrica gale,Dispersal unit dry mass,1.56
