"Trait","Abies balsamea","Acalypha rhomboidea","Acer negundo","Acer pensylvanicum","Acer platanoides","Acer rubrum","Acer saccharinum","Acer saccharum","Acer spicatum","Achillea millefolium","Adiantum pedatum","Ageratina altissima","Agrimonia gryposepala","Agrostis perennans","Agrostis scabra","Alisma subcordatum","Alliaria petiolata","Alnus incana","Ambrosia artemisiifolia","Ambrosia trifida","Amelanchier arborea","Amphicarpaea bracteata","Anemone canadensis","Anemone virginiana","Apios americana","Apocynum cannabinum","Arctium lappa","Arisaema triphyllum","Artemisia vulgaris","Asarum canadense","Asclepias syriaca","Athyrium filix-femina","Barbarea vulgaris","Berberis thunbergii","Betula alleghaniensis","Betula lenta","Betula papyrifera","Betula populifolia","Bidens connata","Bidens frondosa","Blephilia hirsuta","Boehmeria cylindrica","Brassica nigra","Bromus ciliatus","Bromus inermis","Bromus pubescens","Calystegia sepium","Carex buekii","Carex crinita","Carex scoparia","Carpinus caroliniana","Carya cordiformis","Carya ovata","Catalpa speciosa","Caulophyllum thalictroides","Centaurea jacea","Centaurea nigrescens","Centaurea stoebe","Cephalanthus occidentalis","Chamaesyce maculata","Chelidonium majus","Chelone glabra","Cicuta maculata","Cinna arundinacea","Circaea lutetiana","Clematis virginiana","Clinopodium vulgare","Collinsonia canadensis","Commelina communis","Cornus amomum","Cornus canadensis","Cornus rugosa","Cornus sericea","Corylus cornuta","Cryptotaenia canadensis","Cynodon dactylon","Cyperus compressus","Cyperus strigosus","Dactylis glomerata","Daucus carota","Decodon verticillatus","Dianthus armeria","Dichanthelium clandestinum","Digitaria cognata","Digitaria sanguinalis","Dioscorea villosa","Dodonaea viscosacuneata","Dryopteris carthusiana","Dryopteris cristata","Dryopteris marginalis","Echinochloa muricata","Echinocystis lobata","Eleocharis intermedia","Elymus canadensis","Elymus hystrix","Elymus repens","Elymus trachycaulus","Elymus virginicus","Epilobium ciliatum","Epilobium hirsutum","Epipactis helleborine","Equisetum fluviatile","Equisetum hyemale","Equisetum palustre","Equisetum pratense","Erigeron annuus","Euonymus alatus","Eupatorium perfoliatum","Eupatorium purpureum","Euphorbia maculata","Euryale ferox","Euterpe sp","Euthamia graminifolia","Euthemis minor","Fagus grandifolia","Fallopia japonica","Fragaria vesca","Fraxinus americana","Fraxinus nigra","Fraxinus pennsylvanica","Galium aparine","Galium asprellum","Galium boreale","Galium mollugo","Galium palustre","Galium triflorum","Gentiana leucomelaena","Geranium maculatum","Geum canadense","Geum laciniatum","Glechoma hederacea","Glyceria borealis","Glyceria striata","Halenia corniculata","Hamamelis virginiana","Helianthus giganteus","Helianthus strumosus","Helianthus tuberosus","Heliopsis helianthoides","Hemerocallis fulva","Heuchera sanguinea","Hieracium paniculatum","Hypericum mutilum","Hypericum perforatum","Hypericum punctatum","Impatiens capensis","Impatiens pallida","Juglans cinerea","Juglans nigra","Juncus articulatus","Juncus filiformis","Laportea canadensis","Leersia oryzoides","Leonurus cardiaca","Leucanthemum vulgare","Linaria vulgaris","Lindera benzoin","Liparis loeselii","Lithospermum officinale","Lobelia cardinalis","Lobelia inflata","Lobelia siphilitica","Lonicera japonica","Lonicera morrowii","Lotus corniculatus","Ludwigia palustris","Lycopus americanus","Lycopus rubellus","Lycopus uniflorus","Lysimachia ciliata","Lysimachia nummularia","Lysimachia quadrifolia","Lysimachia terrestris","Lysimachia vulgaris","Lythrum salicaria","Maianthemum canadense","Maianthemum racemosum","Malus pumila","Marrubium vulgare","Matteuccia struthiopteris","Melilotus officinalis","Menispermum canadense","Mimulus ringens","Mitchella repens","Mollugo verticillata","Monotropa uniflora","Muhlenbergia mexicana","Muhlenbergia schreberi","Muhlenbergia sinuosa","Myosotis laxa","Myosotis scorpioides","Myosoton aquaticum","Myrica gale","Oenanthe silaifolia","Oenothera biennis","Onoclea sensibilis","Osmunda cinnamomea","Osmunda regalis","Ostrya virginiana","Oxalis gigantea","Oxalis stricta","Panicum capillare","Panicum dichotomiflorum","Parthenocissus quinquefolia","Paspalum scrobiculatum","Pastinaca sativa","Peltandra virginica","Penthorum sedoides","Petasites frigidus","Phalaris arundinacea","Phegopteris connectilis","Phegopteris hexagonoptera","Phleum pratense","Phytolacca americana","Pilea pumila","Pinus strobus","Plantago lanceolata","Plantago major","Platanus occidentalis","Polygonum amphibium","Polygonum argyrocoleon","Polygonum capitatum","Polygonum cuspidatum","Polygonum hydropiper","Polygonum hydropiperoides","Polygonum lapathifolium","Polygonum persicaria","Polygonum punctatum","Polygonum sagittatum","Polygonum virginianum","Polystichum acrostichoides","Populus deltoides","Populus tremuloides","Potentilla recta","Potentilla simplex","Prenanthes alba","Prenanthes purpurea","Prunella vulgaris","Prunus americana","Prunus serotina","Prunus virginiana","Pteridium aquilinum","Quercus alba","Quercus macrocarpa","Quercus rubra","Quercus velutina","Ranunculus pensylvanicus","Ranunculus recurvatus","Rhamnus alnifolia","Rhamnus cathartica","Rhus typhina","Ribes americanum","Ribes rubrum","Robinia pseudoacacia","Rosa multiflora","Rosa palustris","Rubus allegheniensis","Rubus hispidus","Rubus idaeus","Rubus occidentalis","Rubus odoratus","Rubus phoenicolasius","Rubus pubescens","Rudbeckia hirta","Rudbeckia laciniata","Rumex crispus","Rumex obtusifolius","Sagittaria latifolia","Salix alba","Salix nigra","Salix pentandra","Sambucus nigra","Saponaria officinalis","Schoenoplectus pungens","Scirpus atrocinctus","Scirpus microcarpus","Scutellaria lateriflora","Securigera varia","Silene vulgaris","Solanum dulcamara","Solidago altissima","Solidago canadensis","Solidago flexicaulis","Solidago gigantea","Solidago latifolia","Sonchus oleraceus","Spiraea alba","Symphyotrichum cordifolium","Symphyotrichum lanceolatum","Symphyotrichum prenanthoides","Symplocarpus foetidus","Tanacetum vulgare","Taraxacum officinale","Thalictrum dioicum","Thalictrum pubescens","Thelypteris noveboracensis","Thelypteris palustris","Thuja occidentalis","Tilia americana","Toxicodendron radicans","Trifolium aureum","Trifolium pratense","Trifolium repens","Trillium erectum","Tsuga canadensis","Tussilago farfara","Ulmus americana","Ulmus rubra","Urtica dioica","Veratrum viride","Verbascum thapsus","Verbena hastata","Verbena urticifolia","Veronica americana","Veronica anagallis-aquatica","Veronica scutellata","Viburnum acerifolium","Viburnum dentatum","Viburnum lantanoides","Vinca minor","Vitis riparia","Woodsia ilvensis","Xanthium strumarium"
"Dispersal syndrome",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dispersal unit dry mass",NA,NA,41.21,NA,137.2,NA,NA,NA,NA,0.13,NA,NA,NA,NA,NA,NA,NA,0.55,NA,17.12,NA,NA,NA,NA,NA,NA,12.13,NA,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3,NA,NA,NA,NA,4.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1.47,1.34,NA,NA,NA,NA,NA,NA,1.97,NA,0.49,NA,NA,NA,NA,NA,NA,NA,NA,0.26,NA,NA,0.87,1.09,NA,NA,NA,NA,0.97,NA,NA,NA,NA,NA,1.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.34,NA,NA,NA,8.34,NA,0.61,0.53,0.91,NA,NA,NA,NA,NA,0.69,NA,0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.08,0.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.18,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,0.24,0.31,NA,1.56,1.69,NA,NA,NA,NA,NA,NA,NA,0.43,NA,NA,NA,3.02,NA,NA,NA,0.71,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.26,NA,NA,1.36,0.67,NA,NA,NA,NA,NA,NA,3360.1,NA,NA,NA,NA,15.09,NA,NA,NA,NA,NA,NA,NA,NA,1.45,NA,0.99,NA,NA,NA,2.83,2.43333333333333,1.25,NA,NA,NA,NA,46.23,NA,NA,NA,NA,NA,4.78,NA,NA,NA,0.06,NA,0.06,NA,0.356666666666667,NA,NA,NA,NA,NA,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22,NA,NA,0.173333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dispersal unit length",NA,NA,30.1333333333333,NA,31.3333333333333,NA,NA,NA,NA,2,NA,NA,NA,NA,1.36666666666667,NA,NA,2.7,2.75,6.75,NA,NA,NA,NA,NA,NA,19.58,NA,1.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.35666666666667,NA,NA,NA,NA,9.77666666666667,NA,NA,2.25,NA,NA,NA,NA,NA,NA,NA,3,3.06,4.20666666666667,NA,NA,NA,NA,NA,NA,7.11,NA,1.3,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,4.95,3.46,NA,NA,NA,NA,2.65666666666667,NA,NA,NA,NA,NA,3.285,47.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,6.135,NA,NA,37.5,3.2,NA,1.95,1.22,1.7,NA,NA,NA,NA,NA,NA,NA,1.26666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2.39,2.45,NA,NA,NA,3.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.19,NA,3.69,NA,NA,NA,NA,NA,NA,NA,NA,1.53,1.6,NA,2.18666666666667,5.35,NA,NA,NA,NA,NA,NA,NA,1.83333333333333,2.52,NA,NA,6.09,NA,NA,NA,3.06,NA,NA,2.226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.31,NA,NA,4.58,1.77,NA,7.575,7.25,NA,NA,NA,26.5,NA,NA,NA,NA,6.085,NA,NA,8.6,NA,NA,NA,NA,NA,7.47,NA,1.66,NA,NA,1.9,4.77,3.59,2.29,3.75,NA,NA,NA,4.95,NA,2.75,NA,NA,NA,6,NA,10,NA,1.18,NA,1.98333333333333,NA,4.07333333333333,NA,NA,NA,NA,NA,1.9,NA,NA,NA,NA,NA,NA,NA,NA,5.66666666666667,3.75,4.38,NA,NA,12.06,NA,NA,1.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
"Dispersal unit thickness",NA,NA,2.3,NA,2.63,NA,NA,NA,NA,0.34,NA,NA,NA,NA,NA,NA,NA,0.35,1.9,3.55,NA,NA,NA,NA,NA,NA,1.53,NA,0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.08,NA,NA,NA,NA,0.836666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.86,0.9,NA,NA,NA,NA,NA,NA,1.08,NA,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.896666666666667,1.1,NA,NA,NA,NA,0.61,NA,NA,NA,NA,NA,1.105,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.61,NA,NA,NA,2.28,NA,0.88,1,NA,NA,NA,NA,NA,NA,NA,NA,0.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.84,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.73,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,1.36666666666667,0.98,NA,NA,NA,NA,NA,NA,NA,0.55,NA,NA,NA,0.53,NA,NA,NA,0.66,NA,NA,0.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.57,NA,NA,0.79,0.73,NA,7.425,6.125,NA,NA,NA,18.5,NA,NA,NA,NA,5.1,NA,NA,7.9,NA,NA,NA,NA,NA,1.07,NA,0.64,NA,NA,0.6,1,3.19,1.27,NA,NA,NA,NA,1.1,NA,NA,NA,NA,NA,2,NA,NA,NA,0.35,NA,0.25,NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29,NA,NA,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5
"Dispersal unit width",NA,NA,12.2,NA,10.3333333333333,NA,NA,NA,NA,0.86,NA,NA,NA,NA,NA,NA,NA,2.45,1.9,4.79,NA,NA,NA,NA,NA,NA,17.55,NA,0.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.41,NA,NA,NA,NA,2.10333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.45,1.5,1.22,NA,NA,NA,NA,NA,NA,2.27,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.13,2.70333333333333,NA,NA,NA,NA,0.98,NA,NA,NA,NA,NA,1.555,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4.89,NA,NA,5.75,2.63,NA,0.98,1.13,1.5,NA,NA,NA,NA,NA,NA,NA,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,1.2,0.83,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.14,NA,2.25,NA,NA,NA,NA,NA,NA,NA,NA,1.3,1.08,NA,1.98666666666667,1.9,NA,NA,NA,NA,NA,NA,NA,0.86,NA,NA,NA,4.32,NA,NA,NA,1.08,NA,NA,0.956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95,NA,NA,1.02,1.03,NA,7.425,6.625,NA,NA,NA,18.5,NA,NA,NA,NA,5.165,NA,NA,8.45,NA,NA,NA,NA,NA,6.685,NA,1.08,NA,NA,0.6,1.3,3.29333333333333,1.4,2.5,NA,NA,NA,4.065,NA,NA,NA,NA,NA,2,NA,10,NA,0.35,NA,0.33,NA,0.91,NA,NA,NA,NA,NA,0.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.65,1.35,NA,NA,0.45,NA,NA,1.15666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5
"Germination efficiency",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,NA,NA,NA,NA,NA,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Germination requirement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Leaf area",NA,NA,24.8609090909091,NA,6811.74475,36.110625,NA,50.94875,NA,96.5634782608696,NA,NA,17.34,NA,NA,NA,5640.99,1697.78923076923,3781.88333333333,5504.72333333333,NA,NA,NA,NA,NA,NA,26087.2244444444,62.465,2355.522,NA,89.2526984126984,67730,4750.5,NA,29.5015384615385,NA,25.51,11.798,1020.83333333333,4266.03333333333,NA,NA,7031.15333333333,6.077,20.6854518072289,NA,3208,NA,NA,NA,14.95,NA,80.835,NA,NA,8.79333333333333,NA,469.632222222222,NA,NA,9226,NA,NA,NA,1770.61666666667,NA,84.1007692307692,NA,NA,NA,NA,NA,21.91,33.21,NA,119.983333333333,NA,NA,126.350597014925,11.1705882352941,NA,232.633333333333,NA,NA,294.033333333333,NA,NA,18468,NA,NA,NA,NA,NA,12.01,NA,1679.43,4.9,NA,722.775,1893.97333333333,2089.14636363636,177.04,1376.03,65.3,NA,255.303636363636,NA,84.8522222222222,NA,NA,NA,NA,3.10545454545455,NA,NA,NA,1208.1475,39.3308333333333,NA,NA,97.412,NA,16.5845,3.36783783783784,9.73285714285714,NA,0.07,NA,NA,NA,356.11,NA,NA,NA,NA,NA,NA,19619.5,NA,NA,NA,NA,NA,38.07,NA,26.6385714285714,15.801,NA,42,409.865454545455,619.383333333333,NA,NA,NA,403.42,26.7788888888889,NA,924.845,957.5,NA,4.35833333333333,NA,NA,NA,7.66545454545455,254.915,2.95,NA,NA,NA,273.288,NA,NA,1732.37666666667,260.454583333333,14.5725,17.0633333333333,NA,429.815,48201.68,607,NA,6.19,NA,NA,NA,NA,NA,NA,264.425,1420.93333333333,1014.335,57.2266666666667,NA,2224.56307692308,71.6589189189189,NA,164402.65,28.157,NA,7.43285714285714,45.673,NA,57.0644,NA,14914.5,NA,5.3725,NA,401.204444444444,7254.54666666667,NA,40.8457317073171,NA,NA,2.7,275.630952380952,2250.62,169.35,2756.7,NA,NA,NA,544.3375,NA,4686.972,538.372222222222,NA,10.004,NA,NA,84,24.195,1301.87681818182,5.95,NA,2950.13333333333,218.224,NA,1291.27166666667,11.7641666666667,NA,NA,65.1986363636364,3340.73444444444,NA,NA,NA,NA,568.902972972973,12.013,NA,4117.53555555556,25.5933333333333,5598.66666666667,NA,NA,NA,55.5434615384615,NA,NA,NA,NA,3.33083333333333,NA,6290,21959.21625,NA,475.33,NA,620.966,1001.59625,2165.5,NA,53.968,NA,5.2825,NA,1179.5,1414.89254237288,NA,11.2918108974359,NA,509.186666666667,NA,7607.66666666667,NA,NA,NA,NA,NA,1991.31545454545,28.1682926829268,NA,NA,NA,10907.38,0.1,NA,NA,410.823333333333,74.2146428571429,35.3024489795918,NA,0.48,14599.0414285714,120,NA,864.891111111111,NA,13033.82,15.9922222222222,NA,NA,2285,77.3083333333333,NA,NA,NA,565,42.4885714285714,NA,3517.64428571429
"Leaf carbon (C) content per area",NA,NA,44.4,NA,NA,39.9,NA,36.3444444444444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,22.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.3,NA,NA,28.2666666666667,52.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.2,NA,NA,13.6666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.8,24.2,NA,NA,NA,NA,NA,NA,34.125,NA,NA,20.4,28.05,24.4666666666667,25,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,66.7,NA,NA,NA,68.6666666666667,NA,NA,NA,16.8,22.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Leaf carbon (C) content per dry mass",NA,NA,44.71,NA,482,46.2054545454545,NA,NA,NA,281.013846153846,NA,NA,NA,NA,NA,NA,NA,54.4725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,424.17,NA,42.774,NA,NA,NA,NA,NA,NA,NA,NA,45.39,NA,NA,NA,43.73,45.064,NA,46.01,NA,NA,NA,NA,NA,NA,NA,NA,459.93375,NA,NA,NA,NA,NA,NA,NA,NA,42.805,NA,458.25,NA,NA,NA,NA,NA,NA,NA,NA,463,NA,NA,340.28,256.506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.82,NA,43.9066666666667,41.74,NA,NA,NA,NA,45.9,NA,264.536666666667,NA,45.822,NA,46.71,NA,NA,NA,NA,47.385,NA,NA,45.6333333333333,477,NA,NA,NA,NA,NA,197.536315789474,472.0525,NA,NA,NA,NA,NA,NA,42.81,NA,NA,NA,NA,NA,NA,41.77,NA,NA,NA,NA,NA,497,NA,49.006,NA,NA,NA,NA,NA,NA,NA,NA,459.2925,46.156,NA,NA,NA,NA,NA,NA,NA,NA,482.791111111111,NA,NA,NA,NA,NA,NA,NA,NA,243.5925,43.862,44.1566666666667,NA,NA,NA,46.9966666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.89,43.188,NA,NA,NA,NA,NA,41.476,NA,43.745,NA,NA,NA,NA,NA,44.1018181818182,NA,NA,210.622307692308,NA,NA,NA,402.826666666667,35.12375,NA,NA,NA,NA,NA,45.322,NA,NA,44.298,NA,44.986,NA,NA,NA,50.86,NA,NA,NA,NA,460.238333333333,NA,46.8981818181818,44.9654545454545,496,NA,46.8342857142857,NA,NA,NA,NA,NA,43,NA,NA,NA,NA,NA,NA,NA,NA,246.132222222222,NA,NA,NA,NA,NA,NA,43.98,285.545,NA,44.33,NA,466.34,43.22,NA,NA,44.722,NA,NA,NA,NA,45.07,NA,46.318,NA,48.465,NA,NA,NA,NA,NA,NA,NA,46.817,236.224117647059,NA,NA,NA,NA,NA,NA,NA,NA,360.463333333333,396.84,NA,NA,38.686,NA,NA,113.664,NA,46.28,46.73,NA,NA,NA,NA,NA,NA,NA,NA,43.1325,NA,39.17
