Trait,Acalypha rhomboidea,Acer negundo,Acer platanoides,Acer rubrum,Acer saccharinum,Acer saccharum,Acer spicatum,Adiantum pedatum,Ageratina altissima,Agrimonia gryposepala,Agrostis perennans,Agrostis scabra,Alisma subcordatum,Alliaria petiolata,Ambrosia artemisiifolia,Ambrosia trifida,Amelanchier arborea,Amphicarpaea bracteata,Anemone canadensis,Apios americana,Arctium lappa,Arisaema triphyllum,Asarum canadense,Athyrium filix-femina,Berberis thunbergii,Betula alleghaniensis,Betula lenta,Betula populifolia,Bidens connata,Bidens frondosa,Boehmeria cylindrica,Brassica nigra,Bromus ciliatus,Calystegia sepium,Carpinus caroliniana,Carya cordiformis,Carya ovata,Catalpa speciosa,Caulophyllum thalictroides,Cephalanthus occidentalis,Chamaesyce maculata,Chelone glabra,Cicuta maculata,Cinna arundinacea,Circaea lutetiana,Clematis virginiana,Cornus amomum,Cornus rugosa,Cornus sericea,Cryptotaenia canadensis,Cynodon dactylon,Cyperus compressus,Cyperus strigosus,Dactylis glomerata,Daucus carota,Decodon verticillatus,Dichanthelium clandestinum,Digitaria cognata,Digitaria sanguinalis,Dryopteris carthusiana,Dryopteris marginalis,Echinochloa muricata,Echinocystis lobata,Eleocharis intermedia,Elymus canadensis,Elymus virginicus,Epilobium hirsutum,Euonymus alatus,Eupatorium purpureum,Fagus grandifolia,Fallopia japonica,Fragaria vesca,Fraxinus americana,Fraxinus nigra,Galium aparine,Galium asprellum,Galium boreale,Galium palustre,Galium triflorum,Geranium maculatum,Geum laciniatum,Glechoma hederacea,Glyceria borealis,Hamamelis virginiana,Helianthus giganteus,Helianthus strumosus,Heliopsis helianthoides,Hemerocallis fulva,Hieracium paniculatum,Hypericum mutilum,Impatiens capensis,Impatiens pallida,Juglans cinerea,Laportea canadensis,Leersia oryzoides,Lobelia cardinalis,Ludwigia palustris,Lycopus uniflorus,Lysimachia ciliata,Lysimachia nummularia,Lysimachia vulgaris,Lythrum salicaria,Maianthemum canadense,Maianthemum racemosum,Malus pumila,Marrubium vulgare,Matteuccia struthiopteris,Menispermum canadense,Mimulus ringens,Mitchella repens,Muhlenbergia mexicana,Muhlenbergia schreberi,Myosotis laxa,Myosoton aquaticum,Oenothera biennis,Onoclea sensibilis,Ostrya virginiana,Oxalis stricta,Panicum capillare,Panicum dichotomiflorum,Parthenocissus quinquefolia,Pastinaca sativa,Peltandra virginica,Penthorum sedoides,Petasites frigidus,Phytolacca americana,Pilea pumila,Pinus strobus,Plantago major,Polygonum hydropiper,Polygonum hydropiperoides,Polygonum lapathifolium,Polygonum persicaria,Polygonum sagittatum,Polygonum virginianum,Polystichum acrostichoides,Populus deltoides,Populus tremuloides,Potentilla simplex,Prunella vulgaris,Prunus serotina,Prunus virginiana,Quercus alba,Quercus macrocarpa,Quercus rubra,Ranunculus recurvatus,Rhamnus alnifolia,Rhamnus cathartica,Ribes americanum,Ribes rubrum,Robinia pseudoacacia,Rosa multiflora,Rubus allegheniensis,Rubus hispidus,Rubus occidentalis,Rubus odoratus,Rubus pubescens,Rumex obtusifolius,Salix alba,Salix nigra,Sambucus nigra,Scutellaria lateriflora,Solanum dulcamara,Solidago altissima,Solidago canadensis,Solidago flexicaulis,Solidago gigantea,Thalictrum pubescens,Thelypteris noveboracensis,Thelypteris palustris,Tilia americana,Toxicodendron radicans,Trifolium pratense,Trifolium repens,Tsuga canadensis,Ulmus rubra,Urtica dioica,Veronica americana,Viburnum acerifolium,Vitis riparia,Xanthium strumarium
Dispersal unit dry mass,NA,41.211,137.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.124,NA,NA,NA,NA,12.133,NA,NA,NA,NA,NA,NA,NA,NA,3.303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.97,NA,NA,NA,NA,NA,0.26,NA,NA,0.871666667,1.093,NA,NA,NA,0.97,NA,NA,1.444,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.338,NA,NA,8.336,NA,0.608,0.91,NA,NA,NA,0.685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.181,NA,NA,NA,NA,NA,NA,0.24,NA,NA,NA,NA,NA,0.427,NA,NA,3.024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.673,NA,NA,NA,NA,3360.1,NA,NA,15.088,NA,NA,NA,NA,NA,NA,NA,0.99,NA,1.254,NA,NA,46.232,NA,NA,NA,0.062666667,NA,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.174666667,NA,NA,NA,NA
Dispersal unit length,NA,30.13333333,31.33333333,NA,NA,NA,NA,NA,NA,NA,NA,1.366666667,NA,NA,2.75,6.75,NA,NA,NA,NA,19.58,NA,NA,NA,NA,NA,NA,NA,NA,9.356666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.11,NA,NA,NA,NA,NA,2,NA,NA,4.95,3.46,NA,NA,NA,2.656666667,NA,NA,3.285,47.5,NA,NA,NA,NA,NA,NA,NA,3.5,6.135,NA,NA,3.2,NA,1.95,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.19,NA,NA,NA,NA,NA,NA,1.53,NA,NA,NA,NA,NA,1.833333333,2.52,NA,6.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.77,7.575,7.25,NA,NA,26.5,NA,NA,6.085,NA,8.6,NA,NA,NA,NA,NA,1.66,NA,2.29,NA,NA,4.95,NA,10,NA,1.18,NA,1.983333333,NA,NA,NA,NA,NA,3.75,4.38,NA,NA,1.73,NA,NA,NA,13
Dispersal unit thickness,NA,2.3,2.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,3.55,NA,NA,NA,NA,1.53,NA,NA,NA,NA,NA,NA,NA,NA,1.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.08,NA,NA,NA,NA,NA,NA,NA,NA,0.896666667,1.1,NA,NA,NA,0.61,NA,NA,1.105,35,NA,NA,NA,NA,NA,NA,NA,NA,0.61,NA,NA,2.28,NA,0.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55,NA,NA,0.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.73,7.425,6.125,NA,NA,18.5,NA,NA,5.1,NA,7.9,NA,NA,NA,NA,NA,0.64,NA,1.27,NA,NA,1.1,NA,NA,NA,0.35,NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33,NA,NA,NA,7.5
Dispersal unit width,NA,12.2,10.33333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,4.79,NA,NA,NA,NA,17.55,NA,NA,NA,NA,NA,NA,NA,NA,2.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.27,NA,NA,NA,NA,NA,NA,NA,NA,1.13,2.703333333,NA,NA,NA,0.98,NA,NA,1.555,35,NA,NA,NA,NA,NA,NA,NA,2,4.89,NA,NA,2.63,NA,0.98,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.14,NA,NA,NA,NA,NA,NA,1.3,NA,NA,NA,NA,NA,0.86,NA,NA,4.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.03,7.425,6.625,NA,NA,18.5,NA,NA,5.165,NA,8.45,NA,NA,NA,NA,NA,1.08,NA,1.4,NA,NA,4.065,NA,10,NA,0.35,NA,0.33,NA,NA,NA,NA,NA,1.65,1.35,NA,NA,1.156666667,NA,NA,NA,7.5
Germination efficiency,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.4,NA,NA,NA,NA,56,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,95.33333333,NA,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,NA,NA,NA,NA,NA,94,NA,NA,89.91304348,95.69230769,NA,NA,60,100,NA,NA,NA,NA,NA,99,100,100,NA,NA,NA,NA,76.5,NA,NA,100,NA,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.25,79,100,NA,NA,NA,95,95.5,60,NA,NA,93,NA,NA,81,NA,NA,NA,NA,100,92.5,NA,NA,NA,87,NA,NA,93,NA,82,NA,NA,NA,NA,99.5,100,47,11,94,NA,NA,NA,NA,NA,NA,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,90,NA,NA,NA,NA,NA,98,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.44444444,92.66666667,NA,NA,100,100,NA,NA,95
Leaf area,NA,24.86081818,74.93881845,36.11050802,NA,50.9485875,NA,NA,NA,17.34,NA,NA,NA,61.84463636,37.81883333,55.04723333,NA,NA,NA,NA,260.8722444,62.4625,NA,677.3,NA,29.50235385,NA,11.79613,10.20833333,42.66033333,NA,70.31153333,6.077,32.08,14.95,NA,80.836,NA,NA,NA,NA,NA,NA,NA,26.23555556,NA,NA,NA,21.91,NA,1.199833333,NA,NA,14.60982098,11.1705098,NA,NA,NA,2.940333333,184.68,NA,NA,NA,NA,12.00843,NA,24.193,NA,NA,NA,NA,23.366,39.33125833,NA,1.58031272,NA,0.873245955,0.54,NA,NA,NA,6.837847553,NA,NA,NA,NA,NA,NA,NA,NA,26.63857143,15.80306,NA,NA,NA,NA,2.54915,NA,NA,2.73288,18.43116667,10.60323977,14.57188138,17.06333333,NA,4.298137,566.4174622,NA,6.19,NA,NA,NA,2.64425,10.14335,61.79384615,71.65891892,28.15878,7.432857143,45.673,NA,57.0643934,149.145,NA,5.3725,NA,NA,NA,2.7,56.483,21.7325845,NA,46.869716,21.92222222,10.00366,NA,NA,84,24.19534091,5.95,5.539326,23.43117806,11.76294306,NA,65.198415,63.916938,NA,NA,6.656363679,NA,49.90629012,25.59355556,55.98666667,NA,NA,NA,NA,NA,252.9898125,7.1293,NA,16.87632461,5.2825,14.38508751,NA,9.817908333,NA,8.579217167,NA,NA,109.0738,NA,NA,11.73813333,4.894915674,0.48,NA,20.7098947,NA,NA,42.48966738,35.17643857
Leaf carbon (C) content per area,NA,44.4,NA,39.9,NA,36.34444444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.4,NA,NA,NA,NA,NA,NA,NA,NA,50,22.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.3,NA,NA,28.26666667,52.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.66666667,NA,NA,NA,NA,NA,NA,NA,NA,21.8,24.2,NA,NA,34.125,NA,20.4,28.05,24.46666667,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.7,NA,NA,68.66666667,NA,22.2,NA,NA,NA,NA,NA
Leaf carbon (C) content per dry mass,NA,447.1073141,482,462.0496364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,453.8645731,NA,NA,437.3243306,460.0533841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,428.0285156,NA,NA,NA,NA,NA,463,NA,NA,449.1220444,442.4729175,NA,NA,NA,NA,NA,NA,NA,NA,NA,458.15,NA,NA,NA,NA,NA,456.3315393,477,NA,NA,NA,NA,434.1417368,NA,NA,NA,NA,428.0708219,NA,NA,NA,NA,NA,NA,NA,NA,490.0526581,NA,NA,NA,NA,NA,NA,NA,NA,NA,448.4417148,438.6207657,441.5589214,NA,NA,NA,469.9721407,NA,NA,NA,NA,NA,NA,NA,418.9014511,431.8702011,NA,NA,414.7604904,NA,437.4428333,NA,NA,NA,NA,NA,NA,NA,376.5353285,453.219696,NA,NA,442.9836883,449.8675843,NA,NA,NA,508.5576617,NA,460.2375,468.9835455,449.6530909,NA,468.339381,NA,NA,NA,430.019,NA,NA,NA,NA,NA,NA,NA,NA,NA,520.3501071,261.0118403,NA,432.2049016,NA,450.7023494,NA,463.1921311,NA,484.678,NA,NA,NA,NA,NA,485.73441,473.3445909,NA,NA,382.9949358,NA,NA,431.347,391.6946117
Leaf carbon/nitrogen (C/N) ratio,NA,14.17102479,NA,24.7,NA,27.85,NA,NA,NA,NA,NA,NA,NA,11.47935448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.15464282,NA,NA,NA,14.70708041,NA,NA,25.2,27,NA,NA,NA,NA,NA,NA,16.3907619,NA,NA,NA,NA,NA,NA,NA,NA,17.45170823,22.52657982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.9,22.40744555,34.48855282,23.5,NA,NA,NA,NA,NA,NA,NA,NA,15.62607621,NA,NA,NA,NA,NA,NA,NA,NA,12.32616958,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.14527682,21.77996513,30.26281815,NA,NA,NA,16.66918278,NA,NA,NA,NA,NA,NA,NA,22.07506294,24.95718536,NA,NA,25.69793587,NA,NA,NA,NA,NA,NA,NA,NA,26.1,21.612924,19.88931923,NA,NA,37.68849754,22.33800964,NA,NA,21.2,22.6,NA,NA,23.72883134,NA,27.2,21.3,24.53333333,NA,NA,21.6,NA,19.58167564,NA,NA,NA,NA,NA,NA,NA,NA,15.87085815,NA,10.47002784,NA,11.35723126,NA,24.77084846,NA,NA,NA,NA,NA,NA,NA,11.35576663,10.67107012,NA,NA,9.401800537,NA,NA,NA,13.86105618
Leaf density,NA,0.804727665,0.355578413,0.337748749,0.470010204,0.404071996,0.290288154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.623547341,0.34961919,0.749101945,NA,NA,NA,NA,NA,NA,0.411125704,0.404835303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.414285714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.478503612,0.328806942,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.39693079,NA,NA,NA,NA,NA,NA,NA,0.414654055,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.558988843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.443025189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.40703122,NA,NA,0.351767398,0.87185288,NA,NA,0.314523512,0.326865868,0.232807779,0.471420198,0.325162961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1364,NA,0.144,NA,0.567317556,NA,NA,NA,NA,NA,0.299826113,NA,0.468014911,NA,NA,0.343175766,NA,NA,NA,NA,NA
