"year","region","mtype","Agriades.glandon","Anthocharis.sara.stella","Boloria.freija","Boloria.frigga","Boloria.kriemhild","Boloria.montinus","Boloria.selene","Callophrys.sheridanii","Cercyonis.oetus","Cercyonis.sthenele","Chlosyne.palla","Coenonympha.haydenii","Coenonympha.tullia.inornata","Colias.alexandra","Colias.christina","Colias.eurytheme","Colias.gigantea","Colias.pelidne","Colias.philodice","Danaus.plexippus","Erebia.epipsodea","Euchloe.sp.","Euphilotes.enoptes.ancilla","Euphydryas.chalcedona","Euphydryas.editha","Euphydryas.gillettii","Glaucopsyche.lygdamus","Glaucopsyche.piasus","Limenitis.weidemeyerii","Lycaeides.idas","Lycaeides.melissa","Lycaena.cupreus","Lycaena.dione","Lycaena.editha","Lycaena.helloides","Lycaena.heteronea","Lycaena.hyllus","Lycaena.mariposa","Lycaena.nivalis","Nymphalis.antiopa","Nymphalis.californica","Nymphalis.milberti","Oeneis.chryxus.chryxus","Oeneis.uhleri","Papilio.eurymedon","Papilio.machaon","Papilio.rutulus","Papilio.zelicaon","Parnassius.clodius","Parnassius.phoebus.smintheus","Phyciodes.campestris","Phyciodes.mylitta","Phyciodes.selenis","Phyciodes.tharos","Pieris.napi.marginalis","Pieris.napi.oleracea","Pieris.rapae","Plebejus.icarioides","Plebejus.lupini","Plebejus.saepiolus","Plebejus.shasta","Polygonia.faunus","Polygonia.gracilis","Polygonia.satyrus","Pontia.beckerii","Pontia.occidentalis","Pontia.protodice","Satyrium.titus","Speyeria.atlantis.hesperis","Speyeria.callippe","Speyeria.cybele","Speyeria.egleis","Speyeria.hydaspe","Speyeria.mormonia","Speyeria.zerene","Vanessa.cardui","Callophrys.dumetorum","Cercyonis.pegala","Colias.interior","Euptoieta.claudia","Lycaena.phlaeas","Lycaena.rubidus","Oeneis.jutta","Papilio.canadensis","Satyrium.sylvinus","Speyeria.edwardsii","Vanessa.annabella","Vanessa.atalanta"
1997,"G",1,0,2,0,1,12,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,18,5,0,1,0,0,7,0,0,1,0,0,0,0,17,1,0,0,0,1,0,0,0,0,0,0,0,3,1,0,8,0,0,0,0,0,0,3,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1997,"G",2,0,1,1,1,0,0,10,0,0,0,0,17,0,0,0,0,0,0,2,0,15,9,0,0,0,0,25,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,1,0,0,0,4,0,0,4,0,32,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,"G",3,0,0,0,0,16,0,0,0,6,0,0,59,1,0,0,0,0,0,0,0,16,25,0,0,0,0,12,0,0,0,1,0,0,0,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,4,0,0,7,1,9,0,0,0,0,0,0,0,0,4,0,0,0,0,20,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1997,"G",4,0,0,0,0,0,0,0,0,4,0,0,35,0,0,1,0,0,0,1,0,5,7,0,0,0,0,14,0,0,0,1,0,0,0,34,4,0,0,0,0,0,0,0,0,0,0,0,2,3,0,8,0,0,0,1,0,0,57,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1997,"G",5,0,1,0,0,0,0,0,1,24,0,0,22,3,0,0,0,0,0,2,0,3,5,0,0,0,0,6,1,0,0,0,0,0,5,4,17,0,0,0,0,0,0,1,0,0,0,0,1,0,8,0,0,0,0,2,0,0,43,1,8,0,1,0,0,0,1,0,0,1,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,"G",6,0,0,0,0,1,0,0,0,39,0,0,17,5,0,0,0,0,0,0,0,4,2,0,0,0,0,5,0,0,0,4,0,0,0,0,18,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,23,0,16,0,1,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,"T",1,0,0,0,8,2,0,6,0,0,0,1,7,0,0,0,0,2,0,1,0,7,1,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,7,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,"T",2,0,0,0,0,6,0,5,0,0,0,0,9,4,0,0,0,0,0,0,0,43,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,4,0,1,0,0,5,0,1,0,0,1,0,94,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,"T",3,1,3,0,0,7,0,0,1,0,0,2,32,0,0,0,0,0,0,0,0,21,6,0,2,0,0,40,0,0,0,0,0,0,0,3,2,0,0,1,0,0,1,1,1,0,0,3,7,2,1,1,0,1,0,0,0,0,5,2,12,0,0,0,0,0,0,0,0,0,8,0,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1997,"T",5,1,0,0,0,1,0,0,1,6,0,0,23,16,0,0,0,0,0,1,0,4,1,0,7,1,0,0,2,3,1,3,0,0,3,3,7,0,0,6,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,1,0,1,69,9,4,0,0,0,0,0,0,0,0,0,1,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
