"","Dispersal syndrome","Dispersal unit dry mass","Dispersal unit length","Dispersal unit thickness","Dispersal unit width","Germination efficiency","Germination requirement","Leaf area","Leaf carbon (C) content per area","Leaf carbon (C) content per dry mass","Leaf carbon/nitrogen (C/N) ratio","Leaf density","Leaf dry mass","Leaf dry mass per plant","Leaf dry mass per plant dry mass (leaf weight ratio, LWR)","Leaf dry matter content (LDMC)","Leaf fresh mass","Leaf lamina thickness","Leaf lifespan","Leaf nitrogen (N) content","Leaf nitrogen (N) content per area","Leaf nitrogen (N) content per dry mass","Leaf nitrogen/phosphorus (N/P) ratio","Leaf phosphorus (P) content per area","Leaf phosphorus (P) content per dry mass","Leaf physical strength","Leaf porosity","Leaf potassium (K) content per area","Leaf potassium (K) content per dry mass","Leaf respiration per dry mass","Leaf specific area (SLA)","Leaf texture (sclerophylly)","Leaf thickness","Leaf type","Metamorphoses and morphological adaptations: seed or dispersal unit","Mycorrhizal type","Nitrogen fixation capacity","Phenology: reproductive","Phenology: vegetative","Photosynthesis leaf intercellular CO2 concentration","Photosynthesis net assimilytion rate (NAR)","Photosynthesis per leaf area","Photosynthesis per leaf dry mass","Plant age of maturity (first flowering)","Plant growth form","Plant height generative","Plant height vegetative","Plant lifespan","Plant relative growth rate (RGR)","Plant tolerance to drought","Plant tolerance to frost","Plant tolerance to human impact","Plant tolerance to planting density","Plant tolerance to precipitation","Plant tolerance to shade","Plant tolerance to soil pH","Plant tolerance to waterlogging","Reproductive dry mass per plant","Root nitrogen (N) content per dry mass","Rooting depth","Seed length","Seed mass","Seed number per ramet","Seed number per reproducton unit","Seed protein content per mass","Seed thickness","Seed width","Seedbank lifespan","Species distribution: number of floristic zones","Stem dry mass per plant","Stem length (height)","Stem nitrogen (N) content per dry mass","Stem specific density (SSD)","Stomata conductance per leaf area","Wood dry mass per plant dry mass","Woodiness"
"Dispersal syndrome",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dispersal unit dry mass",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dispersal unit length",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dispersal unit thickness",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dispersal unit width",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Germination efficiency",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Germination requirement",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Leaf area",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Leaf carbon (C) content per area",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Leaf carbon (C) content per dry mass",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
