Species,Family,Habitat,Measurement,Treatment,Count,Mean,SD
BiFr,Asteraceae,riparian,height,bury,3,13.43333333,7.928640068
BiFr,Asteraceae,riparian,height,nutrient,6,17.88333333,7.272528217
BiFr,Asteraceae,riparian,height,submerge,10,8.55,1.984103492
BiFr,Asteraceae,riparian,height,control,6,17.85,6.28673206
MaVu,Lamiaceae,upland,height,bury,2,3.05,3.606244584
MaVu,Lamiaceae,upland,height,nutrient,4,10.125,0.853912564
MaVu,Lamiaceae,upland,height,submerge,0,0,0
MaVu,Lamiaceae,upland,height,control,5,9.34,1.143678276
PoPe,Polygonaceae,riparian,height,bury,2,22.2,11.03086579
PoPe,Polygonaceae,riparian,height,nutrient,1,30,0
PoPe,Polygonaceae,riparian,height,submerge,4,13.55,3.731398308
PoPe,Polygonaceae,riparian,height,control,1,18.8,0
PoVi,Polygonaceae,upland,height,bury,3,5.666666667,1.563116545
PoVi,Polygonaceae,upland,height,nutrient,7,14.71428571,7.540872755
PoVi,Polygonaceae,upland,height,submerge,11,9.7,2.99633109
PoVi,Polygonaceae,upland,height,control,1,8.5,0
PrVu,Lamiaceae,riparian,height,bury,5,7.2,3.55879193
PrVu,Lamiaceae,riparian,height,nutrient,8,9.4375,4.090385067
PrVu,Lamiaceae,riparian,height,submerge,12,9.15,1.27600228
PrVu,Lamiaceae,riparian,height,control,4,7.775,3.47023054
SoFl,Asteraceae,upland,height,bury,2,3.2,0.282842712
SoFl,Asteraceae,upland,height,nutrient,3,27.26666667,6.763381797
SoFl,Asteraceae,upland,height,submerge,5,9.18,1.219426095
SoFl,Asteraceae,upland,height,control,1,9.6,0
BiFr,Asteraceae,riparian,leaves,bury,3,24,15.5241747
BiFr,Asteraceae,riparian,leaves,nutrient,6,20.8,18.38042437
BiFr,Asteraceae,riparian,leaves,submerge,10,16.8,7.927448798
BiFr,Asteraceae,riparian,leaves,control,6,19.83333333,7.467708261
MaVu,Lamiaceae,upland,leaves,bury,2,6,5.656854249
MaVu,Lamiaceae,upland,leaves,nutrient,4,26.75,14.38459824
MaVu,Lamiaceae,upland,leaves,submerge,0,0,0
MaVu,Lamiaceae,upland,leaves,control,5,17.8,11.0770032
PoPe,Polygonaceae,riparian,leaves,bury,2,19.5,7.778174593
PoPe,Polygonaceae,riparian,leaves,nutrient,1,25,0
PoPe,Polygonaceae,riparian,leaves,submerge,4,7.333333333,2.081665999
PoPe,Polygonaceae,riparian,leaves,control,1,4,0
PoVi,Polygonaceae,upland,leaves,bury,3,6.666666667,3.785938897
PoVi,Polygonaceae,upland,leaves,nutrient,7,11.14285714,1.463850109
PoVi,Polygonaceae,upland,leaves,submerge,11,5.454545455,2.067057637
PoVi,Polygonaceae,upland,leaves,control,1,5,0
PrVu,Lamiaceae,riparian,leaves,bury,5,13,8.031189202
PrVu,Lamiaceae,riparian,leaves,nutrient,8,53.625,24.77866306
PrVu,Lamiaceae,riparian,leaves,submerge,12,28.91666667,9.169696469
PrVu,Lamiaceae,riparian,leaves,control,4,35,18.54723699
SoFl,Asteraceae,upland,leaves,bury,2,6,0
SoFl,Asteraceae,upland,leaves,nutrient,3,18.33333333,5.507570547
SoFl,Asteraceae,upland,leaves,submerge,5,6.8,1.095445115
SoFl,Asteraceae,upland,leaves,control,1,12,0
