Source,Species,Family,Individual,Block,NewBlock,Treatment,Week,Height,Leaves,Flowering,StartWeek,EndWeek,Death
greenline,BiFr,Asteraceae,1,2,2,bury,1,5.8,6,N,1,2,1
greenline,BiFr,Asteraceae,1,2,2,bury,2,.,.,N,1,2,1
greenline,BiFr,Asteraceae,1,2,2,bury,3,.,.,N,1,2,1
greenline,BiFr,Asteraceae,1,2,2,bury,4,.,.,N,1,2,1
greenline,BiFr,Asteraceae,1,2,2,bury,5,.,.,N,1,2,1
greenline,BiFr,Asteraceae,1,2,2,bury,6,.,.,N,1,2,1
greenline,BiFr,Asteraceae,1,2,2,bury,7,.,.,N,1,2,1
greenline,BiFr,Asteraceae,1,2,2,bury,8,.,.,n,1,2,1
greenline,BiFr,Asteraceae,1,2,2,bury,9,.,.,n,1,2,1
greenline,BiFr,Asteraceae,2,2,2,control,1,7.5,4,N,1,6,1
greenline,BiFr,Asteraceae,2,2,2,control,2,7.9,4,Y,1,6,1
greenline,BiFr,Asteraceae,2,2,2,control,3,7.9,5,Y,1,6,1
greenline,BiFr,Asteraceae,2,2,2,control,4,7.9,4,Y,1,6,1
greenline,BiFr,Asteraceae,2,2,2,control,5,7.5,1,N,1,6,1
greenline,BiFr,Asteraceae,2,2,2,control,6,.,.,N,1,6,1
greenline,BiFr,Asteraceae,2,2,2,control,7,.,.,N,1,6,1
greenline,BiFr,Asteraceae,2,2,2,control,8,.,.,n,1,6,1
greenline,BiFr,Asteraceae,2,2,2,control,9,.,.,n,1,6,1
greenline,BiFr,Asteraceae,3,1,3,control,1,5.7,6,N,1,7,1
greenline,BiFr,Asteraceae,3,1,3,control,2,6.1,5,Y,1,7,1
greenline,BiFr,Asteraceae,3,1,3,control,3,6.2,5,Y,1,7,1
greenline,BiFr,Asteraceae,3,1,3,control,4,6.4,5,Y,1,7,1
greenline,BiFr,Asteraceae,3,1,3,control,5,6.2,5,N,1,7,1
greenline,BiFr,Asteraceae,3,1,3,control,6,7.1,1,N,1,7,1
greenline,BiFr,Asteraceae,3,1,3,control,7,.,.,N,1,7,1
greenline,BiFr,Asteraceae,3,1,3,control,8,.,.,n,1,7,1
greenline,BiFr,Asteraceae,3,1,3,control,9,.,.,n,1,7,1
greenline,BiFr,Asteraceae,4,1,3,bury,1,4.5,6,N,1,6,1
greenline,BiFr,Asteraceae,4,1,3,bury,2,3.3,6,Y,1,6,1
greenline,BiFr,Asteraceae,4,1,3,bury,3,3.1,6,Y,1,6,1
greenline,BiFr,Asteraceae,4,1,3,bury,4,3.1,4,Y,1,6,1
greenline,BiFr,Asteraceae,4,1,3,bury,5,2.6,3,N,1,6,1
greenline,BiFr,Asteraceae,4,1,3,bury,6,.,.,N,1,6,1
greenline,BiFr,Asteraceae,4,1,3,bury,7,.,.,N,1,6,1
greenline,BiFr,Asteraceae,4,1,3,bury,8,.,.,n,1,6,1
greenline,BiFr,Asteraceae,4,1,3,bury,9,.,.,n,1,6,1
greenline,BiFr,Asteraceae,5,1,3,flood,1,5.5,6,N,1,9,0
greenline,BiFr,Asteraceae,5,1,3,flood,2,6.7,8,Y,1,9,0
greenline,BiFr,Asteraceae,5,1,3,flood,3,6.7,8,Y,1,9,0
greenline,BiFr,Asteraceae,5,1,3,flood,4,6.7,8,Y,1,9,0
greenline,BiFr,Asteraceae,5,1,3,flood,5,6.7,8,Y,1,9,0
greenline,BiFr,Asteraceae,5,1,3,flood,6,6.7,6,Y,1,9,0
greenline,BiFr,Asteraceae,5,1,3,flood,7,7.5,8,N,1,9,0
greenline,BiFr,Asteraceae,5,1,3,flood,8,6.6,24,n,1,9,0
greenline,BiFr,Asteraceae,5,1,3,flood,9,6.6,24,n,1,9,0
greenline,BiFr,Asteraceae,6,2,2,fertilizer,1,8.4,6,N,1,9,0
greenline,BiFr,Asteraceae,6,2,2,fertilizer,2,10.1,6,Y,1,9,0
greenline,BiFr,Asteraceae,6,2,2,fertilizer,3,12.3,10,Y,1,9,0
greenline,BiFr,Asteraceae,6,2,2,fertilizer,4,12.6,13,Y,1,9,0
greenline,BiFr,Asteraceae,6,2,2,fertilizer,5,12.8,10,Y,1,9,0
greenline,BiFr,Asteraceae,6,2,2,fertilizer,6,12.8,9,Y,1,9,0
greenline,BiFr,Asteraceae,6,2,2,fertilizer,7,13.1,13,Y,1,9,0
greenline,BiFr,Asteraceae,6,2,2,fertilizer,8,12.7,6,n,1,9,0
greenline,BiFr,Asteraceae,6,2,2,fertilizer,9,12.7,6,n,1,9,0
greenline,BiFr,Asteraceae,7,2,2,fertilizer,1,7,7,N,1,8,1
greenline,BiFr,Asteraceae,7,2,2,fertilizer,2,6.5,6,N,1,8,1
greenline,BiFr,Asteraceae,7,2,2,fertilizer,3,7.3,8,N,1,8,1
greenline,BiFr,Asteraceae,7,2,2,fertilizer,4,10.5,14,N,1,8,1
greenline,BiFr,Asteraceae,7,2,2,fertilizer,5,13.5,23,N,1,8,1
greenline,BiFr,Asteraceae,7,2,2,fertilizer,6,14.7,23,N,1,8,1
greenline,BiFr,Asteraceae,7,2,2,fertilizer,7,21.5,34,N,1,8,1
greenline,BiFr,Asteraceae,7,2,2,fertilizer,8,.,.,n,1,8,1
greenline,BiFr,Asteraceae,7,2,2,fertilizer,9,.,.,n,1,8,1
greenline,BiFr,Asteraceae,8,3,2,flood,1,5.6,6,N,1,9,0
greenline,BiFr,Asteraceae,8,3,2,flood,2,7.9,6,N,1,9,0
greenline,BiFr,Asteraceae,8,3,2,flood,3,7.9,6,N,1,9,0
greenline,BiFr,Asteraceae,8,3,2,flood,4,7.9,10,N,1,9,0
greenline,BiFr,Asteraceae,8,3,2,flood,5,8.4,11,Y,1,9,0
greenline,BiFr,Asteraceae,8,3,2,flood,6,10.1,13,Y,1,9,0
greenline,BiFr,Asteraceae,8,3,2,flood,7,9.5,15,Y,1,9,0
greenline,BiFr,Asteraceae,8,3,2,flood,8,10,16,y,1,9,0
greenline,BiFr,Asteraceae,8,3,2,flood,9,10,16,y,1,9,0
greenline,BiFr,Asteraceae,9,3,2,fertilizer,1,7.5,4,N,1,4,1
greenline,BiFr,Asteraceae,9,3,2,fertilizer,2,8.1,8,Y,1,4,1
greenline,BiFr,Asteraceae,9,3,2,fertilizer,3,8.1,8,Y,1,4,1
greenline,BiFr,Asteraceae,9,3,2,fertilizer,4,.,.,N,1,4,1
greenline,BiFr,Asteraceae,9,3,2,fertilizer,5,.,.,N,1,4,1
greenline,BiFr,Asteraceae,9,3,2,fertilizer,6,.,.,N,1,4,1
greenline,BiFr,Asteraceae,9,3,2,fertilizer,7,.,.,N,1,4,1
greenline,BiFr,Asteraceae,9,3,2,fertilizer,8,.,.,n,1,4,1
greenline,BiFr,Asteraceae,9,3,2,fertilizer,9,.,.,n,1,4,1
greenline,BiFr,Asteraceae,10,2,2,flood,1,7.5,6,N,1,8,1
greenline,BiFr,Asteraceae,10,2,2,flood,2,10.5,8,Y,1,8,1
greenline,BiFr,Asteraceae,10,2,2,flood,3,9.5,4,Y,1,8,1
greenline,BiFr,Asteraceae,10,2,2,flood,4,9.5,4,Y,1,8,1
greenline,BiFr,Asteraceae,10,2,2,flood,5,8.4,4,Y,1,8,1
greenline,BiFr,Asteraceae,10,2,2,flood,6,9,4,Y,1,8,1
greenline,BiFr,Asteraceae,10,2,2,flood,7,9.3,4,Y,1,8,1
greenline,BiFr,Asteraceae,10,2,2,flood,8,.,.,n,1,8,1
greenline,BiFr,Asteraceae,10,2,2,flood,9,.,.,n,1,8,1
greenline,BiFr,Asteraceae,11,2,2,fertilizer,1,11.4,6,N,1,2,1
greenline,BiFr,Asteraceae,11,2,2,fertilizer,2,.,.,N,1,2,1
greenline,BiFr,Asteraceae,11,2,2,fertilizer,3,.,.,N,1,2,1
greenline,BiFr,Asteraceae,11,2,2,fertilizer,4,.,.,N,1,2,1
greenline,BiFr,Asteraceae,11,2,2,fertilizer,5,.,.,N,1,2,1
