Source,Species,Family,Individual,Treatment,StartWeek,EndWeek,Death
greenline,BiFr,Asteraceae,1,bury,0,2,1
greenline,BiFr,Asteraceae,2,control,0,6,1
greenline,BiFr,Asteraceae,3,control,0,7,1
greenline,BiFr,Asteraceae,4,bury,0,6,1
greenline,BiFr,Asteraceae,5,flood,0,9,0
greenline,BiFr,Asteraceae,6,fertilizer,0,9,0
greenline,BiFr,Asteraceae,7,fertilizer,0,8,1
greenline,BiFr,Asteraceae,8,flood,0,9,0
greenline,BiFr,Asteraceae,9,fertilizer,0,4,1
greenline,BiFr,Asteraceae,10,flood,0,8,1
greenline,BiFr,Asteraceae,11,fertilizer,0,2,1
greenline,BiFr,Asteraceae,12,fertilizer,0,9,0
greenline,BiFr,Asteraceae,13,control,0,9,0
greenline,BiFr,Asteraceae,14,control,0,9,0
greenline,BiFr,Asteraceae,15,flood,0,9,0
greenline,BiFr,Asteraceae,16,flood,0,9,0
greenline,BiFr,Asteraceae,17,control,0,9,0
greenline,BiFr,Asteraceae,18,bury,0,9,0
greenline,BiFr,Asteraceae,19,bury,0,9,0
greenline,BiFr,Asteraceae,20,fertilizer,0,9,0
greenline,BiFr,Asteraceae,21,bury,0,9,1
greenline,BiFr,Asteraceae,22,bury,0,9,1
greenline,BiFr,Asteraceae,23,control,0,5,1
greenline,BiFr,Asteraceae,24,bury,0,8,1
greenline,BiFr,Asteraceae,25,fertilizer,0,9,0
greenline,BiFr,Asteraceae,26,flood,0,9,0
greenline,BiFr,Asteraceae,27,bury,0,3,1
greenline,BiFr,Asteraceae,28,control,0,9,0
greenline,BiFr,Asteraceae,29,control,0,9,0
greenline,BiFr,Asteraceae,30,control,0,9,1
greenline,BiFr,Asteraceae,31,bury,0,9,0
greenline,BiFr,Asteraceae,32,flood,0,6,1
greenline,BiFr,Asteraceae,33,control,0,7,1
greenline,BiFr,Asteraceae,34,fertilizer,0,5,1
greenline,BiFr,Asteraceae,35,fertilizer,0,9,0
greenline,BiFr,Asteraceae,36,flood,0,9,0
greenline,BiFr,Asteraceae,37,bury,0,8,1
greenline,BiFr,Asteraceae,38,flood,0,9,0
greenline,BiFr,Asteraceae,39,bury,0,5,1
greenline,BiFr,Asteraceae,40,control,0,9,1
greenline,BiFr,Asteraceae,41,control,0,9,0
greenline,BiFr,Asteraceae,42,flood,0,9,0
greenline,BiFr,Asteraceae,43,fertilizer,0,9,0
greenline,BiFr,Asteraceae,44,flood,0,9,0
greenline,BiFr,Asteraceae,45,bury,0,8,1
greenline,BiFr,Asteraceae,46,bury,0,8,1
greenline,BiFr,Asteraceae,47,flood,0,9,0
greenline,BiFr,Asteraceae,48,fertilizer,0,6,1
upslope,MaVu,Lamiaceae,1,flood,0,3,1
upslope,MaVu,Lamiaceae,2,bury,0,2,1
upslope,MaVu,Lamiaceae,3,fertilizer,0,9,0
upslope,MaVu,Lamiaceae,4,flood,0,4,1
upslope,MaVu,Lamiaceae,5,flood,0,6,1
upslope,MaVu,Lamiaceae,6,flood,0,4,1
upslope,MaVu,Lamiaceae,7,fertilizer,0,9,0
upslope,MaVu,Lamiaceae,8,control,0,3,1
upslope,MaVu,Lamiaceae,9,bury,0,7,1
upslope,MaVu,Lamiaceae,10,flood,0,3,1
upslope,MaVu,Lamiaceae,11,bury,0,3,1
upslope,MaVu,Lamiaceae,12,fertilizer,0,6,1
upslope,MaVu,Lamiaceae,13,bury,0,2,1
upslope,MaVu,Lamiaceae,14,control,0,9,0
upslope,MaVu,Lamiaceae,15,fertilizer,0,3,1
upslope,MaVu,Lamiaceae,16,bury,0,3,1
upslope,MaVu,Lamiaceae,17,bury,0,9,0
upslope,MaVu,Lamiaceae,18,control,0,4,1
upslope,MaVu,Lamiaceae,19,control,0,3,1
upslope,MaVu,Lamiaceae,20,fertilizer,0,6,1
upslope,MaVu,Lamiaceae,21,flood,0,3,1
upslope,MaVu,Lamiaceae,22,flood,0,7,1
upslope,MaVu,Lamiaceae,23,control,0,9,0
upslope,MaVu,Lamiaceae,24,control,0,3,1
upslope,MaVu,Lamiaceae,25,fertilizer,0,4,1
upslope,MaVu,Lamiaceae,26,bury,0,2,1
upslope,MaVu,Lamiaceae,27,flood,0,3,1
upslope,MaVu,Lamiaceae,28,fertilizer,0,3,1
upslope,MaVu,Lamiaceae,29,control,0,9,0
upslope,MaVu,Lamiaceae,30,flood,0,4,1
upslope,MaVu,Lamiaceae,31,control,0,3,1
upslope,MaVu,Lamiaceae,32,flood,0,4,1
upslope,MaVu,Lamiaceae,33,bury,0,9,0
upslope,MaVu,Lamiaceae,34,flood,0,6,1
upslope,MaVu,Lamiaceae,35,fertilizer,0,4,1
upslope,MaVu,Lamiaceae,36,fertilizer,0,3,1
upslope,MaVu,Lamiaceae,37,fertilizer,0,9,0
upslope,MaVu,Lamiaceae,38,control,0,4,1
upslope,MaVu,Lamiaceae,39,control,0,9,0
upslope,MaVu,Lamiaceae,40,control,0,9,1
upslope,MaVu,Lamiaceae,41,flood,0,4,1
upslope,MaVu,Lamiaceae,42,fertilizer,0,3,1
upslope,MaVu,Lamiaceae,43,bury,0,3,1
upslope,MaVu,Lamiaceae,44,bury,0,2,1
upslope,MaVu,Lamiaceae,45,bury,0,2,1
upslope,MaVu,Lamiaceae,46,fertilizer,0,9,0
upslope,MaVu,Lamiaceae,47,bury,0,4,1
upslope,MaVu,Lamiaceae,48,control,0,9,0
greenline,PoPe,Polygonaceae,1,bury,0,2,1
greenline,PoPe,Polygonaceae,2,bury,0,2,1
greenline,PoPe,Polygonaceae,3,flood,0,9,0
greenline,PoPe,Polygonaceae,4,bury,0,9,0
greenline,PoPe,Polygonaceae,5,fertilizer,0,2,1
