"","Leaf.C.per.dry.mass","Leaf.C.to.N.ratio","Leaf.weight.ratio","Lamina.thickness","Leaf.N.per.dry.mass","Leaf.N.to.P.ratio","Leaf.P.per.dry.mass","Leaf.physical.strength","Leaf.K.per.dry.mass","Leaf.respiration.per.dry.mass","SLA","Photosynthesis.per.leaf.dry.mass","RGR","Root.N.per.dry.mass","Rooting.depth","Seed.mass","Seed.number.per.reproduction.unit","Seed.protein.content.per.mass","SSD","Stomata.conductance.per.leaf.area","Wood.dry.mass.per.plant.dry.mass"
"Alplaus Kill",41.35,18.2533333333333,13.3733333333333,0.26,15.6233333333333,13.705,194.353333333333,1.08333333333333,13.86,25.5,226.742,180.04,0.213333333333333,2.34,4,16823.702,99373.535,17.7,0.24,133.94,38.135
"Ballston Creek",43.6566666666667,25.0333333333333,22.9033333333333,0.29,4.44,7.505,1727.07,0.735,NA,NA,559.706,99.3,0.23,1.52,14,3197.824,1440771.69,16.3,0.22,131.93,46.285
"Battenkill",289.986666666667,23.8433333333333,3.86,0.27,9.3625,7.73666666666667,1082.98,1.59,10.78,24.14,45.3125,245.07,0.213333333333333,2.705,10,9088.3175,19056.0375,20.7366666666667,0.243333333333333,231.75,71.485
"Beaver Kill",38.69,15.07,87.28,0.37,2.54,10.36,2200,0.69,NA,NA,48.475,NA,NA,NA,NA,4.055,3480.05,NA,NA,NA,12.72
"Big Brook",197.386,16.574,2.946,0.226666666666667,13.2283333333333,10.982,540.821666666667,1.43666666666667,17.43,24.82,395.987777777778,290.61,0.21,2.0675,7,10415.8733333333,27007.4922222222,16.7783333333333,0.2475,174.815,19.95
"Boreas River",325.733333333333,17.86,10.4566666666667,0.245,20.5866666666667,15.82,79.3533333333333,1.2,NA,25.5,42.2725,260.78,0.17,2.23,8.66666666666667,19520.466,30948.5466666667,29.5033333333333,0.31,105.13,38.55
"Bullhead Pond Brook",NA,NA,0.8,0.22,19.2,10.09,1731.73,0.47,NA,NA,71.01,NA,0.21,NA,0.31,0.31,40193.6,18.8,NA,NA,NA
"Cadman Creek",38.69,15.07,87.28,0.37,2.54,10.36,2200,0.69,NA,NA,58.84,NA,NA,NA,NA,0.635,38342.55,17,NA,NA,12.72
"Cedar River",251.41,23.0766666666667,10.862,0.19,10.896,11.3433333333333,600.0725,2.62,NA,NA,562.704,139.01,0.2225,0.685,9,8870.55,56135.342,18.3833333333333,0.385,NA,59.23
"Cobleskill Creek",235.808888888889,21.1342857142857,13.275,0.251666666666667,14.93,15.57,405.481111111111,5.69333333333333,10.78,25.5,253.424166666667,211.946666666667,0.2,1.7625,10.6666666666667,11005.8857142857,49607.1433333333,26.52,0.244,137.5,46.962
"Daly Creek",267.845,15.07,54.57,0.28,12.42,10.36,2200,1.655,NA,NA,67.965,NA,0.21,NA,NA,0.225,85125.98,19.4,NA,NA,31.695
"Evas Kill",41.408,21.504,33.648,0.272,10.126,12.59,695.765,0.976,17.43,25.5,162.054285714286,180.04,0.213333333333333,2.34,9,14302.3942857143,60213.9871428571,17.4,0.24,133.94,31.31
"Fawn Lake",209.454,18.6788888888889,9.49,0.234,14.93,14.46,327.562,1.07,14.105,25.5,375.5475,193.7125,0.20625,1.81666666666667,10,16411,48543.8783333333,25.7083333333333,0.288571428571429,120.086666666667,58.7133333333333
"Fishkill Creek",NA,11.48,NA,0.15,11.37,7.74,2655.3,2.22,NA,NA,36.9733333333333,NA,NA,NA,NA,3.51666666666667,18398.53,NA,0.38,NA,NA
"Four Mile Brook",478.145,NA,11.285,0.19,18.92,NA,1.41,2.62,NA,NA,57.555,NA,0.215,NA,8,4000.26,82536.025,19.4,NA,NA,50.67
"Green River",38.69,15.07,87.28,0.37,2.54,10.36,2200,0.69,10.29,NA,80.4366666666667,NA,NA,NA,NA,3.33,3480.05,NA,NA,NA,12.72
"Hans Creek",42.81,15.63,0.53,NA,7.46,8.33,2619.71,NA,NA,NA,2495.27,NA,0.23,1.52,NA,0.64,46341,NA,0.15,113.86,NA
"Hudson River",497,NA,21.86,0.19,22.3,NA,NA,2.62,NA,NA,77.09,NA,0.21,NA,NA,0.14,163298.86,19.4,NA,NA,50.67
"Indian Brook",44.3,24.585,40.84,0.18,11.125,8.8,2750.6,1.58,NA,NA,49.64,NA,NA,NA,14,5332.70333333333,16630.9733333333,NA,0.38,NA,36.25
"Indian Kill",39.49,18.2933333333333,19.81,0.266666666666667,12.685,10.5833333333333,1328.0725,1.31,NA,25.5,68.78,180.04,0.205,2.34,4,21019.495,108492.4775,17.7,0.335,133.94,38.135
"Kayaderosseras Creek",105.544,21.266,18.726,0.25,9.73,13.9533333333333,33.2925,1.19,10.29,25.5,444.682857142857,180.04,0.2,1.61,10,15088.9985714286,81677.455,21.9125,0.29,111.043333333333,43.515
"Kennyetto Creek",217.363333333333,18.5033333333333,10.0966666666667,0.21,19.5966666666667,15.18,44.62,1.645,10.78,25.5,56.9925,268.27,0.193333333333333,2.225,8,17928.252,28963.31,28.3925,0.18,91.565,48.8766666666667
"Keyser Kill",303.684545454545,14.24,17.573,0.208571428571429,17.8716666666667,14.654,358.428181818182,5.99714285714286,12.8333333333333,NA,94.054375,365.965,0.185555555555556,1.8675,12.4,2402.75,77553.66,29.47,0.231666666666667,127.6275,49.1283333333333
"Kinderhook Creek",266.68,14.3825,12.6533333333333,0.198,20.1666666666667,12.9875,373.086,2.154,NA,25.5,422.97,358.475,0.183333333333333,1.75,7.0775,14717.2114285714,45815.8442857143,24.105,0.256666666666667,107.543333333333,44.9275
