,berberis_thunbergii,euonymus_alatus,lonicera_morrowii,malus_pumila,rhamnus_cathartica,rubus_phoenicolasius,salix_alba,salix_pentandra
Alplaus Kill,0,0,1,0,1,0,0,0
Ballston Creek,0,0,1,0,1,0,0,0
Battenkill,1,1,1,0,0,0,0,0
Beaver Kill,1,0,1,0,0,0,0,0
Big Brook,0,0,1,0,0,0,0,0
Boreas River,0,0,0,0,0,0,0,0
Bullhead Pond Brook,0,0,0,0,0,0,0,0
Cadman Creek,0,0,0,0,0,0,0,0
Cedar River,0,0,0,0,0,0,1,0
Chester Creek,0,0,0,0,0,0,1,0
Cobleskill Creek,0,0,0,0,0,0,1,0
Daly Creek,0,0,0,0,0,0,0,0
Evas Kill,0,0,0,0,0,0,0,0
Fawn Lake,0,0,1,0,0,0,1,0
Fishkill Creek,1,0,1,1,0,0,0,0
Four Mile Brook,0,0,0,0,0,0,1,0
Green River,0,0,1,0,0,0,0,0
Hans Creek,0,0,0,0,0,0,1,0
Hudson River,0,0,0,0,0,0,0,0
Indian Brook,1,0,1,0,0,0,0,0
Indian Kill,0,0,0,0,1,0,0,0
Jassup River,0,0,0,0,0,0,1,0
Kayaderosseras Creek,0,0,0,0,0,0,0,0
Kennyetto Creek,0,0,1,0,0,0,0,0
Keyser Kill,0,0,0,0,0,0,0,0
Kinderhook Creek,0,0,1,1,0,0,0,0
Landsman Kill,0,1,0,0,0,0,0,0
Lansing Kill,0,0,1,0,0,0,0,0
Mill Brook,1,0,0,0,0,0,0,0
Mill Creek,0,0,0,0,0,1,0,0
Minots Corner Road,0,0,1,0,0,0,0,0
Mohawk River,0,0,1,0,0,0,0,0
New Pond Brook,0,0,0,0,0,0,1,0
North Branch West Stony Creek,0,0,0,0,0,0,1,0
Paragon Brook,0,0,1,0,0,0,0,0
Plotter Kill,0,0,0,0,0,0,0,0
Potic Creek,0,0,0,0,0,0,0,0
Quacken Kill,0,0,1,0,1,0,0,0
Robbs Creek,0,0,0,0,0,1,1,0
Roeliff Jansen Kill,0,0,0,0,0,0,0,1
Saw Kill,0,0,0,0,0,0,0,0
Sherriff Lake Outlet,0,0,0,0,0,1,1,0
Snook Kill,0,0,1,0,0,0,0,0
Sprout Creek,0,0,0,0,0,0,0,0
Steele Creek,0,0,1,0,0,0,0,0
Sterling Creek,0,0,1,0,0,0,0,0
Stewart Creek,0,0,0,0,0,0,0,0
Stony Creek,0,0,1,0,0,0,0,0
Timmerman Creek,0,0,0,0,0,0,1,0
Trout Brook,0,0,0,0,0,0,0,0
Valatie Kill,1,0,1,0,0,0,0,0
Wappinger Creek,0,0,0,0,0,0,0,0
Wharton Hollow Creek,0,0,0,0,0,0,1,0
