"","Leaf.C.per.dry.mass","Leaf.C.to.N.ratio","Leaf.weight.ratio","Lamina.thickness","Leaf.N.per.dry.mass","Leaf.N.to.P.ratio","Leaf.P.per.dry.mass","Leaf.physical.strength","Leaf.K.per.dry.mass","Leaf.respiration.per.dry.mass","SLA","Photosynthesis.per.leaf.dry.mass","RGR","Root.N.per.dry.mass","Rooting.depth","Seed.mass","Seed.number.per.reproduction.unit","Seed.protein.content.per.mass","SSD","Stomata.conductance.per.leaf.area","Wood.dry.mass.per.plant.dry.mass"
"Alplaus Kill",41.7625,19.09,10.1375,0.245,15.64,14.44,273.715,1.335,11.62,25.5,196.746666666667,135.053333333333,0.18,2.34,4,12020.7771428571,99373.535,17.7,79.1766666666667,235.96,38.135
"Ballston Creek",43.4925,24.175,17.285,0.26,6.69,10.3066666666667,1423.2525,1.18666666666667,7.14,NA,474.216666666667,72.19,0.18,1.52,14,2288.00714285714,1440771.69,16.3,79.1633333333333,234.62,46.285
"Battenkill",306.725,24.5,3.03,0.27,8.07,7.73666666666667,1082.4325,1.59,8.5,24.14,53.78,229.725,0.185,2.705,14,6815.555,14112.5266666667,19.54,0.3,231.75,77.83
"Beaver Kill",38.69,15.07,87.28,0.37,2.54,10.36,2200,0.69,NA,NA,48.475,NA,NA,NA,18,1132.9975,3480.05,NA,NA,NA,12.72
"Big Brook",197.386,16.574,2.946,0.226666666666667,13.2283333333333,10.982,540.821666666667,1.43666666666667,17.43,24.82,502.844285714286,290.61,0.21,2.0675,7,11716.6575,24238.3528571429,17.0675,0.2475,174.815,19.95
"Boreas River",325.733333333333,17.86,10.4566666666667,0.245,20.5866666666667,15.82,79.3533333333333,1.2,NA,25.5,42.2725,260.78,0.17,2.23,8.66666666666667,19520.466,30948.5466666667,29.5033333333333,0.31,105.13,38.55
"Cadman Creek",38.69,15.07,87.28,0.37,2.54,10.36,2200,0.69,NA,NA,58.84,NA,NA,NA,NA,0.635,38342.55,17,NA,NA,12.72
"Cedar River",216.896666666667,21.275,10.862,0.19,9.50666666666667,11.3433333333333,480.108,2.62,NA,NA,646.965,139.01,0.2225,0.685,14,7392.145,55043.0066666667,18.3833333333333,40.06,NA,59.23
"Chester Creek",44.33,15.87,NA,NA,2.56,NA,0.25,NA,NA,NA,1068.27,NA,NA,NA,24,0.12,49581.33,NA,119.41,NA,NA
"Cobleskill Creek",212.233333333333,20.1828571428571,14.3828571428571,0.251666666666667,13.862,15.57,405.226666666667,5.69333333333333,NA,25.5,368.633636363636,180.04,0.188333333333333,1.7625,12.5714285714286,11852.3169230769,55217.0163636364,25.9066666666667,24.1,137.5,42.4175
"Daly Creek",267.845,15.07,54.57,0.28,12.42,10.36,2200,1.655,NA,NA,67.965,NA,0.21,NA,NA,0.225,85125.98,19.4,NA,NA,31.695
"Evas Kill",41.408,21.504,33.648,0.272,10.126,12.59,695.765,0.976,17.43,25.5,186.175,180.04,0.213333333333333,2.34,9,16684.13,67883.54,17.7,0.24,133.94,31.31
"Fawn Lake",204.115555555556,17.695,9.29857142857143,0.234,15.12,14.46,327.333,1.07,17.43,25.5,486.143636363636,166.363333333333,0.197142857142857,1.81666666666667,12.25,15456.135,53168.9927272727,26.032,17.3285714285714,120.086666666667,52.8125
"Fishkill Creek",NA,NA,NA,NA,9.54,6.68,2560,NA,NA,NA,34.485,NA,NA,NA,18,910.872,4081.835,NA,320.33,NA,NA
"Four Mile Brook",333.54,15.87,11.285,0.19,13.4666666666667,NA,0.83,2.62,NA,NA,394.46,NA,0.215,NA,16,2666.88,71551.1266666667,19.4,119.41,NA,50.67
"Green River",38.69,15.07,87.28,0.37,2.54,10.36,2200,0.69,10.29,NA,80.4366666666667,NA,NA,NA,NA,3.2425,3480.05,NA,NA,NA,12.72
"Hans Creek",43.57,15.75,0.53,NA,5.01,8.33,1309.98,NA,NA,NA,1781.77,NA,0.23,1.52,24,0.38,47961.165,NA,59.78,113.86,NA
"Hudson River",497,NA,21.86,0.19,22.3,NA,NA,2.62,NA,NA,77.09,NA,0.21,NA,NA,0.14,163298.86,19.4,NA,NA,50.67
"Indian Brook",44.3,37.69,40.84,0.21,1.22,NA,NA,0.94,NA,NA,53.485,NA,NA,NA,16,5129.88,1430.5,NA,NA,NA,36.25
"Indian Kill",40.66,21.6666666666667,13.35,0.283333333333333,11.35,12.9533333333333,768.3725,1.26666666666667,7.14,25.5,69.985,135.053333333333,0.163333333333333,2.34,4,21024.865,128979.33,17.7,118.67,235.96,38.135
