"","Leaf.C.per.dry.mass","Leaf.C.to.N.ratio","Leaf.weight.ratio","Lamina.thickness","Leaf.N.per.dry.mass","Leaf.N.to.P.ratio","Leaf.P.per.dry.mass","Leaf.physical.strength","Leaf.K.per.dry.mass","SLA","Photosynthesis.per.leaf.dry.mass","RGR","Rooting.depth","Seed.mass","Seed.number.per.reproduction.unit","Seed.protein.content.per.mass","SSD","Stomata.conductance.per.leaf.area"
"Alplaus Kill",43,21.6,0.43,0.2,15.69,15.91,511.8,2.09,7.14,46.77,45.08,0.08,NA,13.465,NA,NA,237.05,440
"Ballston Creek",43,21.6,0.43,0.2,15.69,15.91,511.8,2.09,7.14,46.77,45.08,0.08,NA,13.465,NA,NA,237.05,440
"Battenkill",NA,NA,NA,NA,NA,NA,0.35,NA,8.5,62,NA,NA,18,1513.72333333333,NA,20.5,NA,NA
"Beaver Kill",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,2261.94,NA,NA,NA,NA
"Big Brook",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.98,NA,NA,NA,NA
"Cedar River",44.33,15.87,NA,NA,2.56,NA,0.25,NA,NA,1068.27,NA,NA,24,0.12,49581.33,NA,119.41,NA
"Chester Creek",44.33,15.87,NA,NA,2.56,NA,0.25,NA,NA,1068.27,NA,NA,24,0.12,49581.33,NA,119.41,NA
"Cobleskill Creek",44.33,15.87,NA,NA,2.56,NA,0.25,NA,NA,1068.27,NA,NA,24,0.12,49581.33,NA,119.41,NA
"Fawn Lake",44.33,15.87,NA,NA,2.56,NA,0.25,NA,NA,1068.27,NA,NA,24,1.55,49581.33,NA,119.41,NA
"Fishkill Creek",NA,NA,NA,NA,17.37,NA,NA,NA,NA,NA,NA,NA,18,1515.42666666667,NA,NA,320.33,NA
"Four Mile Brook",44.33,15.87,NA,NA,2.56,NA,0.25,NA,NA,1068.27,NA,NA,24,0.12,49581.33,NA,119.41,NA
"Green River",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.98,NA,NA,NA,NA
"Hans Creek",44.33,15.87,NA,NA,2.56,NA,0.25,NA,NA,1068.27,NA,NA,24,0.12,49581.33,NA,119.41,NA
"Indian Brook",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,2261.94,NA,NA,NA,NA
"Indian Kill",43,21.6,0.43,0.2,15.69,15.91,511.8,2.09,7.14,46.77,45.08,0.08,NA,23.95,NA,NA,237.05,440
"Jassup River",44.33,15.87,NA,NA,2.56,NA,0.25,NA,NA,1068.27,NA,NA,24,0.12,49581.33,NA,119.41,NA
"Kennyetto Creek",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.98,NA,NA,NA,NA
"Kinderhook Creek",NA,NA,NA,NA,17.37,NA,NA,NA,NA,NA,NA,NA,NA,12.69,NA,NA,320.33,NA
"Landsman Kill",NA,NA,NA,NA,NA,NA,0.35,NA,8.5,62,NA,NA,NA,17.29,NA,20.5,NA,NA
"Lansing Kill",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.98,NA,NA,NA,NA
"Mill Brook",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,4520.9,NA,NA,NA,NA
"Mill Creek",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.54,NA,NA,NA,NA
"Minots Corner Road",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.98,NA,NA,NA,NA
"Mohawk River",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.98,NA,NA,NA,NA
"New Pond Brook",44.33,15.87,NA,NA,2.56,NA,0.25,NA,NA,1068.27,NA,NA,24,0.12,49581.33,NA,119.41,NA
"North Branch West Stony Creek",44.33,15.87,NA,NA,2.56,NA,0.25,NA,NA,1068.27,NA,NA,24,0.12,49581.33,NA,119.41,NA
"Paragon Brook",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.98,NA,NA,NA,NA
"Quacken Kill",43,21.6,0.43,0.2,15.69,15.91,511.8,2.09,7.14,46.77,45.08,0.08,NA,13.465,NA,NA,237.05,440
"Robbs Creek",44.33,15.87,NA,NA,2.56,NA,0.25,NA,NA,1068.27,NA,NA,24,1.33,49581.33,NA,119.41,NA
"Roeliff Jansen Kill",466.34,NA,NA,NA,29.06,NA,1.68,NA,NA,39.94,NA,NA,12,2250000.14,56840.4,NA,NA,NA
"Sherriff Lake Outlet",44.33,15.87,NA,NA,2.56,NA,0.25,NA,NA,1068.27,NA,NA,24,1.33,49581.33,NA,119.41,NA
"Snook Kill",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.98,NA,NA,NA,NA
"Steele Creek",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.98,NA,NA,NA,NA
"Sterling Creek",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.98,NA,NA,NA,NA
"Stony Creek",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.98,NA,NA,NA,NA
"Timmerman Creek",44.33,15.87,NA,NA,2.56,NA,0.25,NA,NA,1068.27,NA,NA,24,0.12,49581.33,NA,119.41,NA
"Valatie Kill",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,2261.94,NA,NA,NA,NA
"Wharton Hollow Creek",44.33,15.87,NA,NA,2.56,NA,0.25,NA,NA,1068.27,NA,NA,24,0.12,49581.33,NA,119.41,NA
