"","Leaf.C.per.dry.mass","Leaf.C.to.N.ratio","Leaf.weight.ratio","Lamina.thickness","Leaf.N.per.dry.mass","Leaf.N.to.P.ratio","Leaf.P.per.dry.mass","Leaf.physical.strength","SLA","Photosynthesis.per.leaf.dry.mass","RGR","Root.N.per.dry.mass","Rooting.depth","Seed.mass","Seed.number.per.reproduction.unit","Seed.protein.content.per.mass","SSD","Stomata.conductance.per.leaf.area","Wood.dry.mass.per.plant.dry.mass"
"Alplaus Kill",45.39,18.15,0.43,NA,2.07,NA,0.26,NA,5972.15,89.2,0.24,NA,8,3823.35,22084.84,33.8,0.16,120,NA
"Ballston Creek",47.2,15.24,6.46,NA,2.8725,6.405,1766.75333333333,NA,1812.1025,240.6,0.24,2.31,12,137427.841666667,7499.3,26.1,0.16,120,86.11
"Beaver Kill",49.01,12.33,12.49,NA,3.71,8,2600,NA,426.43,NA,NA,NA,10,97535.89,4,NA,NA,NA,86.11
"Big Brook",45.39,18.15,0.525,0.18,2.53,11.16,570.23,0.64,3015.775,89.2,0.185,NA,6,14696.665,12538.655,23.25,0.16,116.665,NA
"Bullhead Pond Brook",49.01,12.33,12.49,NA,3.71,8,2600,NA,426.43,NA,NA,NA,14,116671.37,4,NA,NA,NA,86.11
"Cobleskill Creek",42.28,16.005,0.43,NA,2.17,NA,0.245,NA,4554.505,72.35,0.2,NA,8,3913.365,11051.92,39.475,0.175,125,NA
"Daly Creek",49.01,12.33,12.49,NA,3.71,8,2600,NA,426.43,NA,NA,NA,14,116671.37,4,NA,NA,NA,86.11
"Evas Kill",45.39,18.15,0.43,NA,1.685,4.81,1350.13,NA,3390.05,89.2,0.24,2.31,11,235882.233333333,22084.84,33.8,0.16,120,NA
"Fawn Lake",49.01,12.33,6.555,0.18,3.35,9.58,1870.1,0.64,180.166666666667,NA,0.13,NA,8.66666666666667,53362.6866666667,1357.79333333333,12.7,NA,113.33,86.11
"Fishkill Creek",49.01,12.33,12.49,NA,3.71,8,2600,NA,426.43,NA,NA,NA,14,58336.26,4,NA,NA,NA,86.11
"Four Mile Brook",NA,NA,0.62,0.18,2.99,11.16,1140.2,0.64,59.4,NA,0.13,NA,4,21747.78,2992.47,12.7,NA,113.33,NA
"Indian Brook",49.01,12.33,12.49,NA,4.06,8,2600,NA,234.155,392,NA,NA,14,38894.6833333333,206.53,18.4,NA,NA,86.11
"Indian Kill",47.2,15.24,6.46,NA,3.39666666666667,8,1300.13,NA,2146.82,240.6,0.24,NA,11,31082.4,7499.3,26.1,0.16,120,86.11
"Kayaderosseras Creek",42.28,16.005,0.43,NA,2.91666666666667,NA,0.245,NA,3050.29666666667,178.9,0.2,NA,8,1615.196,7504.3,32.45,0.175,125,NA
"Keyser Kill",47.415,22.83,12.115,NA,3.17,8,2600,NA,192.563333333333,392,NA,NA,14,38894.3133333333,2494.75333333333,18.4,NA,NA,79.78
"Kinderhook Creek",45.82,33.33,11.74,NA,21.905,NA,NA,NA,241.21,NA,NA,NA,NA,0.4,7071.2,NA,NA,0.42,73.45
"Landsman Kill",46.74,21.27,8.22,NA,2.895,8,1300.13,NA,1637.46,240.6,0.24,NA,11,24865.928,7392.275,26.1,0.16,120,79.78
"Lansing Kill",49.01,12.33,12.49,NA,3.71,8,2600,NA,426.43,NA,NA,NA,14,58336.26,4,NA,NA,NA,86.11
"Minots Corner Road",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.15,NA,NA,NA,NA,NA
"Mohawk River",NA,NA,NA,NA,1.3,4.81,2700,NA,807.95,NA,NA,2.31,14,7e+05,NA,NA,NA,NA,NA
"Paragon Brook",45.82,33.33,11.74,NA,1.39,NA,NA,NA,109.38,NA,NA,NA,NA,0.04,7071.2,NA,NA,NA,73.45
"Plotter Kill",49.01,12.33,12.49,NA,2.505,6.405,2650,NA,617.19,NA,NA,2.31,14,408335.685,4,NA,NA,NA,86.11
"Potic Creek",46.74,21.27,8.22,NA,2.39,8,1300.13,NA,2169.32,89.2,0.24,NA,9.33333333333333,40543.704,9720.01333333333,33.8,0.16,120,79.78
"Quacken Kill",47.2,15.24,6.46,NA,2.89,8,1300.13,NA,3199.29,89.2,0.24,NA,11,41439.3566666667,11044.42,33.8,0.16,120,86.11
"Robbs Creek",NA,NA,0.62,0.18,2.99,11.16,1140.2,0.64,59.4,NA,0.13,NA,4,21747.78,2992.47,12.7,NA,113.33,NA
"Roeliff Jansen Kill",49.01,12.33,12.49,NA,3.71,8,2600,NA,426.43,NA,NA,NA,14,58336.26,4,NA,NA,NA,86.11
"Saw Kill",49.01,12.33,12.49,NA,3.71,8,2600,NA,426.43,NA,NA,NA,14,58336.26,4,NA,NA,NA,86.11
"Snook Kill",47.2,15.24,6.46,NA,2.89,8,1300.13,NA,3199.29,89.2,0.24,NA,11,41439.3566666667,11044.42,33.8,0.16,120,86.11
"Sprout Creek",49.01,12.33,12.49,NA,3.71,8,2600,NA,426.43,NA,NA,NA,10,65024.31,4,NA,NA,NA,86.11
"Sterling Creek",NA,NA,0.62,0.18,2.99,11.16,1140.2,0.64,59.4,NA,0.13,NA,4,10874.465,2992.47,12.7,NA,113.33,NA
"Stony Creek",47.2,15.24,6.46,NA,2.89,8,1300.13,NA,3199.29,89.2,0.24,NA,11,41439.3566666667,11044.42,33.8,0.16,120,86.11
"Wappinger Creek",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,39200.78,NA,NA,NA,NA,NA
