"","Leaf.C.per.dry.mass","Leaf.C.to.N.ratio","Leaf.weight.ratio","Lamina.thickness","Leaf.N.per.dry.mass","Leaf.N.to.P.ratio","Leaf.P.per.dry.mass","Leaf.physical.strength","Leaf.K.per.dry.mass","Leaf.respiration.per.dry.mass","SLA","Photosynthesis.per.leaf.dry.mass","RGR","Root.N.per.dry.mass","Rooting.depth","Seed.mass","Seed.number.per.reproduction.unit","Seed.protein.content.per.mass","SSD","Stomata.conductance.per.leaf.area","Wood.dry.mass.per.plant.dry.mass"
"Alplaus Kill",45.095,20.825,24.5885714285714,0.09,4.31857142857143,6.2625,2130.052,3.48,9.85,22.37,560.048461538462,186.685,0.216666666666667,18.04,11.1428571428571,145890.457,406204.752857143,24.275,0.16,287.5,55.034
"Ballston Creek",45.245,18.0275,15.84375,0.09,4.27,6.524,1757.25571428571,3.48,9.85,NA,695.06,210.746666666667,0.18,2.31,13.6,177346.840952381,3851.47166666667,19.9285714285714,0.16,120,62.375
"Battenkill",44.888,27.95,27.5733333333333,0.09,1.46,6.01333333333333,1725.11,3.48,NA,NA,101.785,NA,0.195,NA,14,38292.7933333333,241245.0125,13.1,NA,NA,60.3033333333333
"Beaver Kill",116.695,25.5225,14.78,0.105,6.35888888888889,7.3725,1540.47,5.455,NA,NA,180.055,151.04,0.196,0.93,11.8181818181818,46027.1423529412,164431.151666667,14.8,NA,120,68.384
"Big Brook",185.971666666667,25.8033333333333,7.89,0.16,4.87,6.87333333333333,1766.87571428571,1.97,10.14,NA,743.125555555556,85.885,0.1725,0.59,11.4285714285714,21837.1230769231,8016.61833333333,20.1042857142857,0.215,128.776666666667,50.64
"Boreas River",148.73,22.6,16.145,0.14,6.96,10.7933333333333,1232.23,3.3,NA,NA,661.843333333333,130.035,0.2,0.59,13.1666666666667,7313.76909090909,242133.7625,19.13,0.34,151.5,68.01
"Bullhead Pond Brook",49.01,12.33,12.49,NA,8.52666666666667,7.69666666666667,2575,NA,NA,NA,142.976,169.66,NA,NA,11,21402.5,4,NA,NA,90,86.11
"Cadman Creek",44.865,21.23,13.5966666666667,NA,8.78666666666667,8.03,1963.40333333333,NA,NA,NA,2769.62111111111,160.35,0.18,0.87,11.5714285714286,254286.118,919009.653333333,18.65,0.18,105,69.205
"Cedar River",197.202857142857,23.755,18.96,0.115,7.15142857142857,6.1175,1404.74333333333,3.39,NA,NA,128.485454545455,82.57,0.185,0.59,13,38305.1011764706,14787.9483333333,22.6766666666667,0.27,153,57.8875
"Chester Creek",45.29,24.96,17.74,0.09,1.8,NA,0.53,3.48,NA,NA,57.3366666666667,NA,0.23,NA,13,253927.833636364,349813.8375,NA,NA,NA,61.59
"Cobleskill Creek",44.4983333333333,17.8,10.3633333333333,0.15,4.13333333333333,8.64,1043.924,3.84,NA,NA,1293.121,107.4,0.215,NA,12,20943.3090909091,156726.746666667,30.1125,0.23,100.1275,72.105
"Daly Creek",113.998333333333,19.005,10.77,0.14,10.3014285714286,8.36,1766.9425,3.3,10.14,NA,2326.24545454545,116.805,0.16,0.73,11.6153846153846,202982.544117647,457432.436666667,20.586,0.18,121,74.84
"Evas Kill",113.671666666667,18.2266666666667,7.78,0.14,3.67222222222222,6.58875,1324.353,3.3,NA,NA,3446.35666666667,85.885,0.23,1.2575,12.8888888888889,36136.9814285714,326698.918333333,18.505,0.17,91.16,47.92
"Fawn Lake",45.6571428571429,20.002,15.43,0.18,2.82888888888889,8.96857142857143,1579.94,0.64,NA,NA,490.56,177.5,0.193333333333333,NA,10.8,29312.7521428571,183986.544,18.0666666666667,0.34,87.9366666666667,71.016
"Fishkill Creek",46.38,12.33,21.28,NA,3.71,8,2600,NA,NA,NA,244.645,NA,NA,NA,15,19793.9766666667,21763.3166666667,15.6,NA,NA,71.92
"Four Mile Brook",214.314,27.8333333333333,6.49,0.306666666666667,12.0116666666667,8.03333333333333,1329.84,4.16,NA,NA,97.9936363636364,116.805,0.178,0.59,10.8888888888889,34117.8470588235,205137.055,16.946,0.285,128.776666666667,63.66
"Green River",44.755,24.865,27.175,NA,1.74,4.41,2550,NA,NA,NA,44.56,NA,0.18,NA,10,87039.904,8499.43,25.1,NA,NA,57.15
"Hans Creek",256.8575,25.3733333333333,23.04,0.14,10.246,6.47,2088.835,3.3,9.85,NA,171.605,134.423333333333,0.16,0.59,13,233773.101538462,26545.6733333333,16.965,0.27,136.5,53.8666666666667
"Hudson River",460.24,NA,0.57,0.14,16.59,7.83,577.56,3.3,NA,NA,95.97,112.585,0.2,0.59,11.3333333333333,189819.336,6692.71,19.13,NA,101.53,NA
"Indian Brook",44.9083333333333,20.158,22.586,NA,2.95285714285714,7.1325,2203.8025,NA,NA,NA,2812.22111111111,392,0.18,0.87,11.75,55578.5021428571,15120.79,18.0333333333333,0.18,NA,66.578
"Indian Kill",96.815,17.7,16.3816666666667,0.14,7.75666666666667,7.9875,1140.59333333333,3.3,9.85,30.11,2374.23692307692,183.3575,0.186666666666667,7.70333333333333,11.1666666666667,154174.165416667,4428.41857142857,21.1014285714286,0.17,136.5,63.3266666666667
"Jassup River",45.29,24.96,13.445,0.09,16.67,NA,NA,3.48,10.14,NA,136.565,NA,0.1975,NA,11,403845.694285714,9519.26,NA,NA,0.3,61.59
"Kayaderosseras Creek",126.264,18.51,8.76,0.14,14.0071428571429,6.505,795.716,3.3,NA,22.37,1050.924,175.746666666667,0.205,9.315,14.5714285714286,29467.1233333333,13538.2057142857,24.48,0.175,163.05,55.89
"Kennyetto Creek",44.57,24.96,26.325,0.09,1.685,5.61,1400.15,3.48,NA,NA,54.8983333333333,169.66,0.22,NA,15.3333333333333,42496.1733333333,249.1,9.35,NA,NA,61.59
"Keyser Kill",114.7,24.21,9.33857142857143,0.145,7.305,8.8175,1279.426,3.57,10.14,NA,435.08,200.7775,0.1875,0.59,10.8888888888889,176868.801875,12302.99875,17.086,0.34,141,74.9825
"Kinderhook Creek",127.226,29.145,19.006,0.115,10.8783333333333,6.85333333333333,1692.52,3.39,10.14,NA,135.226666666667,126.115,0.16,0.59,12.8571428571429,26415.3047368421,322565.243333333,17.186,NA,76.71,63.59
"Landsman Kill",46.9025,21.27,16.594,0.09,2.43,7.44,1700.065,3.48,NA,NA,835.965555555556,240.6,0.2275,NA,10,20862.9538461538,15836.3666666667,26.1,0.16,60.05,69.2025
"Lansing Kill",189.92,23.41,12.49,NA,4.6,6.555,3100.055,NA,NA,NA,131.624,169.66,NA,NA,12,35584.19,2611.42,15.6,0.27,NA,86.11
"Mill Brook",45.4066666666667,23.29,22.87,NA,5.422,5.89,2443.75,NA,NA,NA,184.504285714286,NA,0.1775,NA,10.4444444444444,478339.944285714,36849.715,21.4666666666667,NA,45.24,54.9875
"Mill Creek",214.75,25.2225,23.026,0.14,5.355,6.1175,2106.9175,3.3,9.85,NA,79.465,82.57,0.13,0.59,10.75,367195.110588235,469757.2375,22.6325,0.27,153,51.5033333333333
"Minots Corner Road",131.882,25.3733333333333,38.09,NA,3.39,5.795,2800.055,NA,9.85,NA,112.307142857143,169.66,NA,NA,16,13228.7825,243118.815,15.6,0.27,NA,53.8666666666667
