"","Leaf.C.per.dry.mass","Leaf.C.to.N.ratio","Leaf.weight.ratio","Lamina.thickness","Leaf.N.per.dry.mass","Leaf.N.to.P.ratio","Leaf.P.per.dry.mass","Leaf.physical.strength","Leaf.K.per.dry.mass","Leaf.respiration.per.dry.mass","SLA","Photosynthesis.per.leaf.dry.mass","RGR","Root.N.per.dry.mass","Rooting.depth","Seed.mass","Seed.number.per.reproduction.unit","Seed.protein.content.per.mass","SSD","Stomata.conductance.per.leaf.area","Wood.dry.mass.per.plant.dry.mass"
"Alplaus Kill",45.036,24.1833333333333,24.6228571428571,95.42,6.79727272727273,8.79,2110.33666666667,3.48,2.34333333333333,11.3625,122.202352941176,119.76,0.16,12.875,21.9090909090909,127040.336521739,470224.738333333,21.1,87.198,268.166666666667,55.034
"Ballston Creek",84.64,23.1383333333333,19.4522222222222,95.42,5.951875,9.75583333333333,1724.77846153846,3.48,2.00625,7.61166666666667,140.555263157895,110.338333333333,0.156666666666667,9.59,22.3888888888889,116140.371153846,798.105,17.1285714285714,43.867,251.06,50.87
"Battenkill",44.9016666666667,26.4666666666667,27.5733333333333,0.09,4.65454545454545,9.99875,1734.68333333333,3.48,0.88,8.57,118.783571428571,45.32,0.195,NA,21.5454545454545,60775.9644444444,241245.0125,21.75,0.53,365.8,60.3033333333333
"Beaver Kill",139.526666666667,29.4025,13.0914285714286,63.6533333333333,6.54777777777778,8.66,1326.5,5.455,0.76,6.48,167.68,105.565,0.158,5.26,15,39088.7953333333,197316.582,14.8,433.56,76.75,63.9525
"Big Brook",185.901666666667,27.5866666666667,15.255,0.14,5.80222222222222,8.29777777777778,2149.2,3.3,2.854,8.01,103.120909090909,63.945,0.16,0.59,21.25,17608.7506666667,5755.6,22.1471428571429,0.4825,259.4,50.64
"Boreas River",129.878,21.4533333333333,16.145,0.14,4.316,14.55375,1276.6325,3.3,0.875,NA,414.05,135.773333333333,0.1675,0.59,16.625,110044.260588235,196738.31,17.665,64.1125,151.5,68.01
"Bullhead Pond Brook",46.21,25.7375,0.67,182.565,7.905,10.91,1847.24666666667,NA,0.7075,9.03,96.945,91.972,0.07,7.21666666666667,27.3333333333333,4378.94272727273,NA,28.5,177.5375,162.41,NA
"Cadman Creek",46.72,23.8209090909091,6.19285714285714,197,6.51315789473684,11.0233333333333,1762.45733333333,NA,1.74222222222222,10.0571428571429,1247.16380952381,91.5863636363636,0.116666666666667,8.60166666666667,19.2777777777778,196438.533030303,689257.49,21.325,110.2375,193.64625,69.205
"Cedar River",197.202857142857,23.755,18.96,0.115,6.49375,8.19,1302.32571428571,3.39,0.72,NA,123.420833333333,114.91,0.185,0.59,12.8571428571429,91732.5955555556,14787.9483333333,22.6766666666667,0.27,153,57.8875
"Chester Creek",48.35,22.06,17.74,0.09,2.57,20.08,739.6125,3.48,0.72,NA,74.851,147.25,0.19,NA,15.6538461538462,232711.081764706,282882.37,16.2,127.85,NA,61.59
"Cobleskill Creek",45.6075,20.13,15.33,0.15,4.88,9.25,1778.2325,3.84,1.19,10.1,433.972222222222,129.29,0.23,NA,14.6666666666667,27255.059,229564.16,20.75,0.385,248.503333333333,72.105
"Daly Creek",114.908333333333,22.14,8.406,95.445,8.26,10.3716666666667,1727.99666666667,3.3,5.45,6.48,1968.86769230769,97.9,0.115,3.68333333333333,14.59375,176718.1535,548918.124,19.855,172.36,99.125,69.205
"Evas Kill",113.808333333333,22.056,6.404,121.756666666667,4.42615384615385,9.58538461538462,1349.43571428571,3.3,0.945,7.265,2054.63833333333,66.684,0.198333333333333,3.44,20.9230769230769,10066.0508333333,387621.734,18.1716666666667,118.408333333333,180.553333333333,47.92
"Fawn Lake",45.2571428571429,23.39,13.46,182.565,4.03583333333333,10.102,1597.109,NA,0.7325,13.285,457.731818181818,72.72,0.155,11.13,18.8571428571429,19955.1161111111,457929.67,23.32,142.096,142.024,67.2425
"Fishkill Creek",43.75,22.35,30.07,NA,6.814,9.588,1603.74,NA,1.1925,10.0333333333333,126.33375,63.2,NA,NA,31.1666666666667,6923.72777777778,32642.975,20.4,0.51,480.4,57.73
"Four Mile Brook",187.673333333333,25.665,8.44666666666667,0.37,8.86888888888889,12.6333333333333,1226.52285714286,5.92,0.966666666666666,NA,104.740714285714,133.1525,0.166,0.59,14.7083333333333,117061.5845,245565.972,17.646,64.05,136.5,63.66
"Green River",44.755,24.865,27.175,NA,5.4,9.685,2041.615,NA,1.21333333333333,9.69,80.26,NA,0.18,NA,25.4,133661.9175,8499.43,25.1,0.46,NA,57.15
"Hans Creek",187.811666666667,25.8042857142857,14.64375,95.445,6.414,11.6791666666667,1648.12416666667,3.3,1.83888888888889,9.92333333333333,131.987368421053,84.9644444444444,0.128333333333333,9.69666666666667,26.7,178289.569166667,26545.6733333333,22.186,69.34,156.55,53.8666666666667
