,B1GH,B1GL,B1UH,B1UL,B2GH,B2GL,B2UH,B2UL,I1GH,I1GL,I1UH,I1UL,I2GH,I2GL,I2UH,I2UL,K1GH,K1GL,K1UH,K1UL,K2GH,K2GL,K2UH,K2UL
1,0.069507377,0.050518576,0.036856059,0.037767952,0.092778424,0.053390292,0.059354228,0.071619882,0.080365961,0.065939917,0.079891532,0.060828022,0.120919903,0.0813221,0.041773038,0.051569552,0.060180355,0.10588989,0.142444975,0.095656946,0.160528078,0.042934011,0.054871291,0.074750193
2,0.119748645,0.038145594,0.052498023,0.02852829,0.054329702,0.122805526,0.090691109,0.136140586,0.079577916,0.048763476,0.077941278,0.106406413,0.082493572,0.076313674,0.046619222,0.051732434,0.041628262,0.095464951,0.042413753,0.070297212,0.061701335,0.04425746,0.050303584,0.074872125
3,0.079798713,0.066568202,0.074490928,0.020620632,0.069913269,0.084128164,0.153087276,0.088464304,0.080890669,0.052242642,0.046821769,0.100159371,0.031563049,0.030693045,0.087128854,0.063992379,0.035737892,0.119413911,0.058766092,0.03169151,0.09035699,0.32895674,0.082502179,0.131652287
4,0.05347694,0.0671733,0.066360144,0.067072788,0.101405941,0.071527811,0.028969951,0.077742239,0.04187441,0.078206915,0.123047245,0.030811413,0.083398886,0.092745588,0.069063205,0.085207123,0.043157849,0.107419181,0.034133828,0.074196162,0.12755427,0.042412697,0.107051489,0.096565998
5,0.051905748,0.067238289,0.085366186,0.037904755,0.054169453,0.079645484,0.030489646,0.118368878,0.060225339,0.084865203,0.084679749,0.040538692,0.110781861,0.086618541,0.034695241,0.086921588,0.046495448,0.055199195,0.032671937,0.082758109,0.100817201,0.074686649,0.037247771,0.08408662
6,0.079969082,0.067435728,0.056196738,0.021314158,0.039979405,0.050182174,0.030773391,0.115025583,0.07913032,0.088745548,0.056797394,0.098614241,0.089948464,0.074728277,0.019612202,0.105706906,0.064709986,0.074384783,0.052075301,0.052546702,0.096944423,0.141492492,0.07940459,0.069147598
7,0.04610362,0.093718554,0.155779364,0.026633991,0.064481786,0.093784459,0.085069472,0.132070828,0.06801185,0.097403917,0.09334875,0.096156567,0.070314259,0.051233815,0.043246229,0.050048252,0.081370087,0.067262034,0.056992958,0.062605999,0.100584445,0.048801983,0.062410167,0.094849488
8,0.085655412,0.056985836,0.050846454,0.04777034,0.049431937,0.090943706,0.052778553,0.066530505,0.071101145,0.065038609,0.070796738,0.123211991,0.045849339,0.060712618,0.091257964,0.125126927,0.019136656,0.11782939,0.027627202,0.073058578,0.075415351,0.079129521,0.101887635,0.093093783
9,0.048798547,0.101434061,0.038780557,0.038579889,0.059787499,0.082365028,0.034724791,0.036755337,0.105738816,0.06750967,0.060608708,0.080533929,0.081874488,0.113224028,0.025646054,0.077728567,0.050245253,0.091254073,0.085927159,0.055046737,0.133404381,0.04183911,0.133000636,0.072572198
10,0.117164187,0.062126567,0.100361675,0.048637655,0.034797165,0.078845672,0.067831089,0.056282873,0.052093217,0.086064244,0.064313704,0.093783016,0.125023459,0.073312782,0.073983472,0.091476924,0.050768109,0.13986757,0.047274468,0.059023471,0.060805923,0.081276523,0.088897975,0.051222026
11,0.094316202,0.100760334,0.07138248,0.083764991,0.073479434,0.064993183,0.077525461,0.041745641,0.103241534,0.057984543,0.068254196,0.072896712,0.039853266,0.061813795,0.032256001,0.064341179,0.053115707,0.126076485,0.02683578,0.1099727,0.062867283,0.138522636,0.078274265,0.056940515
12,0.071185589,0.163991185,0.054236729,0.019618674,0.067169946,0.093101874,0.062115747,0.065933435,0.089152249,0.045062206,0.092011809,0.043845854,0.221515413,0.04069632,0.103787856,0.12649817,0.04178603,0.065306898,0.05445009,0.092479008,0.050797558,0.06018341,0.068329668,0.118825678
13,0.071955396,0.054850468,0.049770921,0.024027663,0.096561972,0.108154555,0.037185734,0.040305008,0.070965771,0.101833529,0.054014525,0.070912794,0.066349801,0.095190807,0.085159406,0.082434013,0.106639425,0.126787625,0.044298485,0.083455882,0.101753944,0.031437426,0.050070277,0.049096306
14,0.075921338,0.042220549,0.072074987,0.058697208,0.080957482,0.073325375,0.063573507,0.063343659,0.11733864,0.041407754,0.08996249,0.101345617,0.053781497,0.089017529,0.03505794,0.119055084,0.032773871,0.073121237,0.059686865,0.055157846,0.091720837,0.034934751,0.095826997,0.055412561
15,0.087279858,0.046649616,0.052741183,0.080797467,0.081672028,0.121609792,0.045251105,0.068152931,0.053431373,0.119570444,0.071142011,0.109289935,0.103343462,0.104861607,0.072382574,0.050652738,0.007269641,0.053783719,0.07095373,0.105688162,0.1443023,0.024220245,0.074104027,0.089252985
16,0.032547214,0.093903959,0.059169339,0.012303771,0.110357781,0.104284098,0.158187857,0.098895849,0.130936254,0.065619907,0.104986555,0.04729378,0.093781292,0.078917161,0.022631048,0.069533299,0.062369741,0.054419413,0.01509434,0.073639375,0.053312368,0.057222692,0.04265886,0.070462803
17,0.059808408,0.057318871,0.088201729,0.043972191,0.074855838,0.085189896,0.062875,0.121269149,0.092812591,0.083582439,0.133619656,0.081077992,0.061755522,0.057864344,0.071096632,0.135312708,0.047057634,0.158212461,0.014584385,0.06563552,0.091028023,0.082679169,0.083292567,0.071890491
18,0.068686204,0.170627082,0.059932897,0.087677535,0.084611867,0.103934029,0.053875835,0.11686502,0.075154951,0.117146273,0.052894589,0.036102196,0.055823392,0.052096824,0.090988056,0.083741895,0.050770679,0.055315258,0.151576334,0.079356271,0.064313109,0.046517893,0.096992849,0.074889881
19,0.053301157,0.143481587,0.121301068,0.047869365,0.042019752,0.076999151,0.006767707,0.077029841,0.105590641,0.086469017,0.07414962,0.095111722,0.069021175,0.049527991,0.041787588,0.048756924,0.069164499,0.115350791,0.100043262,0.08682985,0.062298299,0.104743191,0.090878838,0.133813177
20,0.033887282,0.090256279,0.037680777,0.063795226,0.10313566,0.089349722,0.060195228,0.128962065,0.073593598,0.097322712,0.143319262,0.067576074,0.042573779,0.092240027,0.053486921,0.055343532,0.027853571,0.05757427,0.028794707,0.056833356,0.10148104,0.034060662,0.069792179,0.092635782
21,0.05468614,0.090273614,0.040480817,0.099943082,0.041660677,0.080529939,0.077574628,0.105939165,0.120037069,0.18145156,0.082122214,0.05580815,0.082429441,0.074532029,0.057334019,0.047627408,0.042042496,0.059918442,0.05625754,0.09522828,0.070550971,0.041956141,0.062763932,0.106194772
22,0.109821646,0.090186104,0.071538407,0.055461789,0.06235449,0.057653672,0.043202162,0.094857114,0.102652173,0.103619185,0.053994407,0.136779257,0.082304137,0.045079055,0.059104652,0.098157087,0.074507367,0.085704809,0.057199157,0.057502712,0.074305888,0.083484593,0.046657234,0.090675485
23,0.111457242,0.083835079,0.082712248,0.022427263,0.044665164,0.083677887,0.031755192,0.063880558,0.144948326,0.086178093,0.086158752,0.054142126,0.150899234,0.06352083,0.035752557,0.074401399,0.096961746,0.039945349,0.052928148,0.058384868,0.086157425,0.046417536,0.075233809,0.062052895
24,0.066869288,0.119409883,0.057912013,0.06992065,0.097351073,0.059256754,0.051415858,0.109461819,0.051672662,0.080602731,0.106493414,0.073358258,0.059990385,0.071237206,0.05066124,0.129042729,0.073867527,0.046360735,0.064480075,0.075169132,0.074788824,0.052832033,0.076402102,0.066551237
25,0.03866365,0.059044379,0.082651247,0.093085407,0.076613875,0.073299149,0.023724327,0.079317836,0.063303816,0.084594794,0.128265758,0.04656934,0.090575697,0.078465685,0.086097814,0.094786926,0.018582051,0.092518763,0.065170256,0.073052085,0.085601526,0.086751209,0.064419375,0.100826302
26,0.071645548,0.062015932,0.103759619,0.063589423,0.084216114,0.046934718,0.071333459,0.099595633,0.075734458,0.126093099,0.075403113,0.138680095,0.087220811,0.083462214,0.0116538,0.053608488,0.039426803,0.048323994,0.05696404,0.039548272,0.095881915,0.063356772,0.075587896,0.089872857
27,0.179188497,0.039421141,0.087193738,0.079518393,0.071807787,0.063269039,0.039267382,0.064982111,0.102889395,0.052530196,0.07311777,0.055945204,0.097363983,0.117648909,0.065728661,0.098615237,0.039215326,0.087397449,0.024571951,0.027834066,0.14198896,0.061862795,0.056212793,0.104796922
28,0.049475689,0.077900322,0.151741799,0.06437767,0.03967392,0.044767972,0.117116051,0.140448802,0.070987543,0.068347159,0.066477702,0.058944421,0.062792029,0.083884812,0.064399754,0.065918616,0.076606503,0.102064142,0.05798911,0.157154117,0.130965666,0.04934111,0.070140756,0.097297414
29,0.049475689,0.077900322,0.151741799,0.06437767,0.03967392,0.044767972,0.117116051,0.140448802,0.070987543,0.068347159,0.066477702,0.058944421,0.062792029,0.083884812,0.064399754,0.065918616,0.076606503,0.102064142,0.05798911,0.157154117,0.130965666,0.04934111,0.070140756,0.097297414
30,0.070994676,0.08828923,0.054826401,0.058128813,0.063273513,0.098704139,0.111338851,0.108402153,0.047930897,0.076277915,0.092618264,0.121874838,0.12410742,0.097950737,0.103063316,0.04809138,0.071040401,0.074385065,0.072029423,0.068835349,0.06841578,0.066722972,0.05449087,0.116983026
