,B1GH,B1GL,B1UH,B1UL,B2GH,B2GL,B2UH,B2UL,I1GH,I1GL,I1UH,I1UL,I2GH,I2GL,I2UH,I2UL,K1GH,K1GL,K1UH,K1UL,K2GH,K2GL,K2UH,K2UL
1,0.578579309,0.725341607,0.617233179,0.669805837,0.590342278,0.697878918,0.950887224,0.69034673,0.828571785,0.608734995,0.630102088,0.547506292,0.798913026,0.640172329,0.862075178,0.681692009,0.851570821,0.836777947,0.82990946,0.736509928,0.762266163,0.819552803,0.69258468,0.7146316
2,0.852392169,0.570356456,0.823395902,0.804496339,0.711504864,0.707162517,0.97577294,0.683047328,0.613336826,0.561893086,0.617637052,0.87499777,0.832720771,0.723916499,0.921492194,0.562348349,0.904593124,0.865658794,0.85289888,0.456659264,0.818200079,0.665104165,0.657611429,0.672337227
3,0.72406314,0.733332581,0.578519248,0.863230852,0.499538051,0.754733995,0.896181464,0.722010403,0.853115751,0.624631327,0.626924936,0.712488935,0.451133844,0.6304253,0.819070063,0.596613816,0.987291005,0.875430055,0.702121768,0.645601982,0.83631373,0.762657224,0.73394243,0.590887315
4,0.800259376,0.742665036,0.676554914,0.822803026,0.540702473,0.560236783,0.602321468,0.73010449,0.531346503,0.719396391,0.798002446,0.645275182,0.664234488,0.71266332,0.858673523,0.609587582,0.674702001,0.635501518,0.579905437,0.927491456,0.719634903,0.950963035,0.732041575,0.810506622
5,0.842570661,0.855287192,0.770717855,0.454631288,0.683754198,0.657594794,0.568295911,0.760793395,0.54380731,0.507292161,0.637596695,0.748883646,0.837615443,0.694398553,0.731982426,0.797545399,0.93254545,0.664400658,0.828715551,0.644307549,0.750368149,0.669177197,0.798097106,0.766338564
6,0.626750413,0.83641958,0.697430044,0.671751126,0.688126643,0.597740089,0.467743145,0.774071899,0.678366446,0.67044128,0.75536628,0.749602308,0.586352855,0.675066696,0.595745036,0.723631492,0.924398482,0.758132552,0.619772904,0.656193613,0.708455691,0.975131782,0.709245955,0.855932515
7,0.627828791,0.646317029,0.885239708,0.780414464,0.583394102,0.554751748,0.565621197,0.890880509,0.80259094,0.633274332,0.699756712,0.900619071,0.556424319,0.594347991,0.553559488,0.688137351,0.939361249,0.650561071,0.764052909,0.812009146,0.813571954,0.579097412,0.667462638,0.675235075
8,0.511090555,0.855075865,0.844988861,0.973019968,0.751678569,0.704118257,0.544253169,0.667826928,0.655977864,0.627714157,0.782697908,0.657720761,0.769507815,0.71394332,0.569523366,0.677099544,0.506552268,0.843190316,0.724446754,0.649663422,0.684769052,0.672496713,0.771850385,0.679878201
9,0.675422018,0.82012132,0.44687986,0.827047072,0.706304073,0.780978126,0.724299529,0.528365703,0.739786696,0.642679771,0.784408309,0.690333627,0.743947474,0.559709945,0.841562002,0.702197977,0.96341735,0.774497874,0.62714415,0.628348133,0.737886144,0.723467731,0.745065504,0.878345741
10,0.736300908,0.503318477,0.818065632,0.621687122,0.557468924,0.593921117,0.664931216,0.622944801,0.688905647,0.561536622,0.692115635,0.879256197,0.841355687,0.82871807,0.913644891,0.633914334,0.775852419,0.721474195,0.960918341,0.70313255,0.678154377,0.943463441,0.56916915,0.717441125
