V1,B1GH,B1GL,B1UH,B1UL,B2GH,B2GL,B2UH,B2UL,I1GH,I1GL,I1UH,I1UL,I2GH,I2GL,I2UH,I2UL,K1GH,K1GL,K1UH,K1UL,K2GH,K2GL,K2UH,K2UL
1,0.507809593,0.521140804,0.755430815,0.598458342,0.515882958,0.443303712,0.763984399,0.522292914,0.402911903,0.503932033,0.561279649,0.387136782,0.456212527,0.322797883,0.433836028,0.628419949,0.485237801,0.46398379,0.687386364,0.518018935,0.559301604,0.512779899,0.525804447,0.675952777
2,0.303663048,0.406987073,0.375411964,0.494487502,0.492507701,0.655229035,0.557114705,0.407410764,0.612040188,0.544123413,0.624807587,0.592140614,0.547986606,0.613033722,0.25101437,0.621240629,0.472459127,0.49641594,0.657662273,0.468743915,0.563838221,0.687409459,0.549674769,0.524134977
3,0.671371472,0.397131792,0.481186169,0.800150542,0.6489444,0.500154417,0.430733852,0.618617023,0.455370164,0.546349787,0.739512584,0.623647048,0.448413966,0.410275452,0.297582191,0.691592704,0.553361431,0.760651485,0.832150697,0.466599398,0.282002634,0.360489615,0.479657535,0.500767789
4,0.566232447,0.505502678,0.554302417,0.576258318,0.580507401,0.538223378,0.593614137,0.692691126,0.549507067,0.593470263,0.461137409,0.437511111,0.617622131,0.481820394,0.590082126,0.459585327,0.568074291,0.534863171,0.53730558,0.550012435,0.641406122,0.773848253,0.594847692,0.535209262
5,0.358143047,0.530325497,0.29718172,0.468791223,0.586635397,0.600723392,0.735780236,0.415758743,0.578280761,0.402907055,0.486286526,0.558226334,0.481167987,0.361490034,0.621879035,0.523448554,0.606104588,0.754222033,0.589959058,0.553224773,0.576421024,0.29009374,0.61102486,0.457213708
6,0.567292753,0.547039038,0.346453781,0.677965653,0.644468555,0.565742755,0.431979165,0.498964924,0.626568419,0.419930539,0.507775328,0.441748257,0.502651984,0.50498107,0.51393204,0.563577894,0.571265158,0.486403238,0.592489609,0.524593903,0.530350268,0.530784034,0.543627726,0.543126629
7,0.636174514,0.488375696,0.411696033,0.731616496,0.518810568,0.561765626,0.447271103,0.52362272,0.47453524,0.536784092,0.481669112,0.526123026,0.635002013,0.600645391,0.23630093,0.619022052,0.417677103,0.644994609,0.477808478,0.612596432,0.476457787,0.674511088,0.4186165,0.42478252
8,0.683470773,0.639567451,0.577188559,0.584187202,0.537930767,0.60072696,0.572145543,0.531873896,0.433235741,0.695656657,0.506358773,0.442735634,0.60352224,0.496855593,0.172409091,0.401324469,0.481372886,0.645487971,0.757578844,0.327094772,0.457012322,0.394967923,0.415696132,0.504178824
9,0.357347705,0.698444314,0.455432958,0.717675599,0.389012162,0.433083171,0.421921511,0.573678711,0.55396747,0.593153203,0.706260986,0.626742577,0.639435362,0.43316557,0.58302278,0.649681429,0.644114606,0.446232946,0.916164398,0.694162401,0.536267658,0.618676309,0.434723162,0.533435412
10,0.4791863,0.635829202,0.318323905,0.767575644,0.265217526,0.508227272,0.740225023,0.735711178,0.597412152,0.442564147,0.627951913,0.441374142,0.540350934,0.376664588,0.485269851,0.545727404,0.45904472,0.524586886,0.470306926,0.442320631,0.451665229,0.549725531,0.75686665,0.44470498
