"","Leaf.C.per.dry.mass","Leaf.C.to.N.ratio","Leaf.weight.ratio","Lamina.thickness","Leaf.N.per.dry.mass","Leaf.N.to.P.ratio","Leaf.P.per.dry.mass","Leaf.physical.strength","Leaf.K.per.dry.mass","Leaf.respiration.per.dry.mass","SLA","Photosynthesis.per.leaf.dry.mass","RGR","Root.N.per.dry.mass","Rooting.depth","Seed.mass","Seed.number.per.reproduction.unit","Seed.protein.content.per.mass","SSD","Stomata.conductance.per.leaf.area","Wood.dry.mass.per.plant.dry.mass"
"Alplaus Kill",NA,26.65,0.67,190.75,9.322,10.812,1668.606,NA,0.842,7.69333333333333,153.792,64.9566666666667,0.07,11.1533333333333,34.2,2353.06,NA,NA,87.198,174.75,NA
"Ballston Creek",246.13,24.3,20.4133333333333,190.75,6.402,10.8066666666667,1713.51,NA,0.885714285714286,7.61166666666667,143.476363636364,102.198,0.14,9.59,27.5454545454545,10903.0036363636,2581.49,16.3,43.867,283.825,40.09
"Battenkill",44.97,23.5,NA,NA,7.31666666666667,12.39,1742.342,NA,0.88,8.57,141.448333333333,45.32,NA,NA,27.8333333333333,105742.306666667,NA,30.4,0.53,365.8,NA
"Beaver Kill",NA,27.85,0.67,190.75,5.41,13.15,1530.15,NA,0.76,6.48,125.93,60.09,0.07,9.59,40,806.28,NA,NA,433.56,33.5,NA
"Big Brook",44.97,23.5,NA,NA,5.7975,11.15,2028.7825,NA,1.0325,8.01,119.4375,45.32,NA,NA,34,2410.4975,NA,30.4,0.553333333333333,365.8,NA
"Boreas River",54.47,19.16,NA,NA,2.55333333333333,16.81,1303.274,NA,0.875,NA,116.698,147.25,0.07,NA,20.0833333333333,298383.495,15156.5,16.2,85.37,NA,NA
"Bullhead Pond Brook",46.21,25.7375,0.67,182.565,6.39,12.5925,1489.62,NA,0.7075,9.03,121.7775,72.55,0.07,7.21666666666667,31.2,3004.448,NA,28.5,177.5375,186.546666666667,NA
"Cadman Creek",49.1933333333333,24.7925,0.64,197,5.46384615384615,11.7716666666667,1712.22083333333,NA,1.74222222222222,10.0571428571429,105.320833333333,76.3055555555556,0.104,10.148,27.5769230769231,107442.248461538,1,24,120.242727272727,223.195,NA
"Cedar River",NA,NA,NA,NA,1.89,16.48,687.82,NA,0.72,NA,67.71,147.25,NA,NA,12,1e+06,NA,NA,NA,NA,NA
"Chester Creek",54.47,19.16,NA,NA,2.7625,20.08,985.973333333333,NA,0.72,NA,101.1225,147.25,0.07,NA,18.75,193813.703333333,15156.5,16.2,127.85,NA,NA
