"PD","SR"
"Alplaus Kill I",1341.36364,7
"Alplaus Kill N",4863.240069,31
"Ballston Creek I",1581.818185,7
"Ballston Creek N",6353.271183,37
"Battenkill I",1759.090921,7
"Battenkill N",4237.424296,20
"Beaver Kill I",1109.090904,4
"Beaver Kill N",3581.581465,20
"Big Brook I",1921.590884,10
"Big Brook N",2763.295486,18
"Boreas River I",1007.045452,5
"Boreas River N",3914.729506,21
"Bullhead Pond Brook I",399.999992,1
"Bullhead Pond Brook N",3402.8139,15
"Cadman Creek I",592.045448,2
"Cadman Creek N",6536.298849,41
"Cedar River I",1474.350657,6
"Cedar River N",4174.031454,23
"Chester Creek I",399.999994,1
"Chester Creek N",3541.20678,18
"Cobleskill Creek I",2459.545446,15
"Cobleskill Creek N",2376.022758,13
"Daly Creek I",651.13636,2
"Daly Creek N",5353.716287,28
"Evas Kill I",1366.13636,7
"Evas Kill N",4655.151559,29
"Fawn Lake I",2574.242435,14
"Fawn Lake N",4416.448901,23
"Fishkill Creek I",1412.954552,6
"Fishkill Creek N",2461.23379,13
"Four Mile Brook I",750.487008,3
"Four Mile Brook N",3921.213546,24
"Green River I",1064.772712,4
"Green River N",1973.636384,10
"Hans Creek I",651.136362,2
"Hans Creek N",5361.791245,31
"Hudson River I",399.999992,1
"Hudson River N",3486.108022,18
"Indian Brook I",1553.409096,6
"Indian Brook N",3814.242446,20
"Indian Kill I",1051.13636,5
"Indian Kill N",5861.958971,36
"Jassup River I",399.999994,1
"Jassup River N",2923.522781,15
"Kayaderosseras Creek I",1360.227277,7
"Kayaderosseras Creek N",3293.593114,21
"Kennyetto Creek I",1241.704544,6
"Kennyetto Creek N",3332.954587,16
"Keyser Kill I",2536.249972,17
"Keyser Kill N",3612.786836,22
"Kinderhook Creek I",1697.272714,9
"Kinderhook Creek N",5365.362608,33
"Landsman Kill I",1883.295461,11
"Landsman Kill N",3065.113682,19
"Lansing Kill I",1315.909097,5
"Lansing Kill N",3950.681897,25
"Mill Brook I",1024.545456,4
"Mill Brook N",4071.839899,22
"Mill Creek I",651.13636,2
"Mill Creek N",4814.123488,29
"Minots Corner Road I",798.863624,3
"Minots Corner Road N",3718.290112,21
"Mohawk River I",1523.86364,6
"Mohawk River N",3696.931876,20
"New Pond Brook I",824.999994,3
"New Pond Brook N",3297.31067,16
"North Branch West Stony Creek I",651.136362,2
"North Branch West Stony Creek N",4680.730624,26
"Paragon Brook I",1342.045465,5
"Paragon Brook N",3709.43188,21
"Plotter Kill I",1707.954536,9
"Plotter Kill N",2573.595776,15
"Potic Creek I",1080.681816,4
"Potic Creek N",5468.690574,30
"Quacken Kill I",2542.386365,13
"Quacken Kill N",5507.976259,34
"Robbs Creek I",573.863626,2
"Robbs Creek N",5244.718716,33
"Roeliff Jansen Kill I",1804.090914,9
"Roeliff Jansen Kill N",3795.596622,21
"Saw Kill I",1656.8182,6
"Saw Kill N",2759.469745,13
"Sherriff Lake Outlet I",979.54545,4
"Sherriff Lake Outlet N",4991.601827,27
"Snook Kill I",1327.727248,7
"Snook Kill N",5367.386434,33
"Sprout Creek I",887.499992,4
"Sprout Creek N",3685.378821,17
"Steele Creek I",1256.818168,5
"Steele Creek N",2100.000006,13
"Sterling Creek I",2383.409083,12
"Sterling Creek N",4550.79551,28
"Stewart Creek I",399.999992,1
"Stewart Creek N",5141.260943,29
"Stony Creek I",1722.727289,7
"Stony Creek N",3730.41939,22
"Timmerman Creek I",1315.227262,6
"Timmerman Creek N",3830.47083,17
"Trout Brook I",399.999992,1
"Trout Brook N",4677.494695,24
"Valatie Kill I",1271.590925,5
"Valatie Kill N",2585.454592,13
"Wappinger Creek I",844.318184,4
"Wappinger Creek N",2704.744338,11
"Wharton Hollow Creek I",1967.077908,10
"Wharton Hollow Creek N",2970.710256,16
