"Dispersal.unit.dry.mass","Dispersal.unit.length","Dispersal.unit.thickness","Dispersal.unit.width","Germination.efficiency","Leaf.area","Leaf.carbon..C..content.per.area","Leaf.carbon..C..content.per.dry.mass","Leaf.carbon.nitrogen..C.N..ratio","Leaf.density","Leaf.dry.mass","Leaf.dry.mass.per.plant","Leaf.dry.mass.per.plant.dry.mass..leaf.weight.ratio..LWR.","Leaf.dry.matter.content..LDMC.","Leaf.fresh.mass","Leaf.lamina.thickness","Leaf.lifespan","Leaf.nitrogen..N..content","Leaf.nitrogen..N..content.per.area","Leaf.nitrogen..N..content.per.dry.mass","Leaf.nitrogen.phosphorus..N.P..ratio","Leaf.phosphorus..P..content.per.area","Leaf.phosphorus..P..content.per.dry.mass","Leaf.porosity","Leaf.potassium..K..content.per.area","Leaf.potassium..K..content.per.dry.mass","Leaf.respiration.per.dry.mass","Leaf.specific.area..SLA.","Leaf.thickness","pH..Maximum","pH..Minimum","Photosynthesis.leaf.intercellular.CO2.concentration","Photosynthesis.net.assimilation.rate..NAR.","Photosynthesis.per.leaf.area","Photosynthesis.per.leaf.dry.mass","Plant.height.generative","Plant.height.vegetative","Plant.lifespan","Plant.relative.growth.rate..RGR.","Plant.tolerance.to.frost","Plant.tolerance.to.planting.density","Reproductive.dry.mass.per.plant","Root.nitrogen..N..content.per.dry.mass","Rooting.depth","Seed.length","Seed.mass","Seed.number.per.reproduction.unit","Seed.protein.content.per.mass","Seed.thickness","Seed.width","Species.distribution..number.of.floristic.zones","Stem.dry.mass.per.plant","Stem.nitrogen..N..content.per.dry.mass","Stem.specific.density..SSD.","Stomata.conductance.per.leaf.area","Wood.dry.mass.per.plant.dry.mass"
"B1GH",2423.07592462654,19.9862177181324,13.9655129351119,14.0633594500756,96.9873684210526,27.4854471887654,36.6482662359906,440.095429508403,23.1734259249388,0.39902064698904,0.132008929788671,31.1558434094342,0.660250402649865,52.4642348576594,0.68,0.203894679334363,6.87290188494047,5.23985507487221,1.22623325457071,21.0071964304725,11.265497833787,0.134211942147823,1.99279039140826,NA,0.42455017256192,7.35098451518253,10.4706125753251,234.1012438672,0.109913837993672,7.31211299293501,4.7429942071323,194.817216040273,0.000759717232762041,9.73446047555766,133.529021389475,1458.30641360237,1241.88923247775,263.666980999954,0.0983855559544958,31.3873205647103,2042.30854700449,0.114,12.9107925093369,68.0877280167232,3.28,314.580622230841,6930.30763260748,21.3635565169986,1.08,1.1,3,7.264,4.270499,0.654216213243796,13.1103070510171,86.11444554
"B1GL",2.57817910447761,7.57787878813636,1.08,2.15772727272727,94.6243718584422,25.6509677680923,28.26666667,469.356575702312,17.2076458572472,0.456626101462544,0.0891288956292216,1.89109133027523,0.496166153846154,30.9469970250269,0.72614037119272,0.367841379310345,7.03333333753086,5.362221343925,1.22846104453971,24.8266737010499,9.57589616863308,0.141621052387608,2.17482410785437,21.8461538461538,0.3748814595045,6.35371490428582,10.30827414,328.85074910996,0.104311739355161,7.69450124809782,5.14939215864194,258.779685043922,0.00204959538461538,8.55904967764426,111.715182303244,133.749821931874,422.546722612151,NA,0.209746923076923,34.0912567412268,3558.18092423432,0.259298001616628,15.17413,43.5628097196554,2.72227146814404,12.5216599379471,46722.5852362556,22.7308746474876,0.456466165413534,1.41891966759003,3.55448512775038,6.53785435779816,15.7645,0.529542439309058,0.738652474590499,77.9402957609174
"B1UH",3167.53516053019,25.190559646539,17.5924005891016,17.6077319587629,NA,48.1065577368267,36.1595858184277,436.846275266964,24.6875093356327,0.388298651306755,0.254402435745387,32.175,0.663761241157462,57.8609644602993,NA,0.208074418662833,5.72484220983614,12.7088385497517,1.40339882986769,21.8770633982742,11.6989918354946,0.171718987590801,2.13502202822091,NA,0.603934884145447,9.84687787356059,9.90054251421635,230.982292076266,0.131198142370585,7.19945562799537,4.74450949833476,193.205951241799,0.000505618005247304,9.99225803730482,131.410182146947,2086.67820069204,1955.97458531562,324.744714883726,0.10589556249974,32.5840657765099,1869.17777167607,NA,13.2361805491492,88.8294049091887,NA,437.739705906549,85.95,23.8691790040377,NA,NA,3,0.018272,4.2063578074393,0.604067925574472,0.240142642112586,NA
"B1UL",2100.08600000012,17.005,11.69375,11.69375,NA,55.5966822169323,28.5918347726081,463.1921311,27.0506399018901,0.375115102590546,0.292758732941998,21.991125,0.669620971812321,53.1991709994441,0.214152209,0.190974555273381,5.53378378378378,15.5508045077297,1.36070562484732,20.1735106835631,11.6837128155184,0.110033028704611,1.94708869598799,NA,0.562100079288184,9.63329971181556,7.62640448402454,206.462185139807,0.136155006297233,7.01274483498793,4.48921384491548,211.265121811758,0.0003100888252149,8.47348350057246,120.693651134856,1618.75,2372.04556539478,313.859910581222,0.0706289398280802,41.5846525355514,943.251945264288,2.1,10.7865764538558,99.1997102226992,NA,562.59100529198,8499.428571,25.195041322314,NA,NA,3.375,7.254,3.81550333333333,0.63892117117027,0.107799370676109,50.64249164
"B2GH",3360.1,20.0833333333333,14.375,14.5416666666667,NA,35.5902626560267,29.6876808003338,449.194641246647,24.7448496490126,0.398781089411469,0.243767534473801,32.175,0.675479919922822,58.6046467875967,NA,0.215439393250262,6.74819920080586,9.14572820101047,1.27912727469021,19.4844175594876,11.9809645537541,0.119935683215802,1.76397456494131,NA,0.415285172218439,6.89062639152286,9.56896038514965,224.819402572649,0.107685289281875,7.2846158552185,4.47520195042169,165.761314862113,0.000475507987818352,10.1236996251844,120.929481201009,2471.30153580915,1023.29275467262,347.391303802445,0.0854632588386213,32.5999022145137,2444.47728295992,NA,14.5349256446654,61.8273225576672,NA,607.833085310003,85.95,20.370915496919,NA,NA,3.33333333333333,NA,3.61776601963052,0.684074530115542,0.278329208556841,NA
"B2GL",1.4585,5.32830000002,5.3228125,5.17872340425532,97.3274111675127,64.190628848573,26.3743195231697,437.232101253013,24.8136334537238,0.354390487224013,0.505343178129891,1.50786714975845,0.503254054054054,25.6461310621804,0.992369051336867,0.291464285714286,5.59354801610566,25.0322671367566,1.54848848072907,20.3770258436237,9.36112345801418,0.123609671003637,2.21356653153778,14,0.5944270418466,10.7484983361505,10.3421584880488,210.922643228979,0.142019865207958,7.04937776971518,4.71236990711034,135.951647087737,0.00110356216216216,8.35762777238983,91.9184396203398,197.547938931115,1469.19808898,259.644970405035,0.174928388746803,38.5467691235381,1719.12094434855,0.547911266666667,16.6775750672105,92.5698188822733,1.88336363636364,1502.64864861486,79134.8679142635,15.3510638297872,0.586237623762376,1.09227272727273,3.8384,3.7365193236715,15.7645,0.616241783595566,1.10720611913134,63.0310780711957
"B2UH",NA,7.21187904967818,6.125,6.625,NA,28.9788789591901,32.3588260110537,449.6530909,26.6218752207863,0.329231456328184,0.21800912775836,NA,0.67,32.0668808644963,NA,0.190744773,5.82499987200797,13.2851832091395,1.11613477035813,18.889366475223,14.9997144555467,0.101649429908908,2.21267483884905,NA,0.519060330676406,6.26349656761851,6.13221291916141,223.912249835204,0.09011636272903,7.80420426166251,5.0349028780956,188.312792495248,3e-04,12.2949503116112,173.560588947836,37.5,409.848738371822,403.571414242292,0.07,33.7515139815704,3806.27472391221,NA,10.8934140416515,45.5592634362066,NA,58.4594627347727,NA,25.9901708720649,NA,NA,4.29228687195585,NA,3.73621642711702,0.666666656079027,0.218830128722497,NA
"B2UL",2986.79311111111,8.0013778769778,6.96191314802388,7.4814810426296,94.125,42.123476630925,41.903277156708,447.949692269382,22.5681989055161,0.328463852659212,0.426422646115641,32.175,0.608346809666667,29.177016641515,NA,0.2015076625,5.69187066949135,23.6226733743133,1.39443844017466,20.9564146596616,12.0867144972438,0.119136816367442,1.88941524361822,NA,0.645038637804154,10.1087859782077,7.74967437878473,216.869922262941,0.117339824935978,7.12712255951152,4.80426803586965,128.216894945563,0.000481166666666667,8.70990468838743,97.4324149889207,345.649345453273,1427.14551854328,243.176324918414,0.08886,36.3309927581537,2280.83747263549,NA,16.1701159249252,82.5432710742913,2.55933543136261,590.988822602714,3977.3521189579,32.1504373177843,1.24919446207921,1.75155066093931,2.85068771813811,NA,5.6602640975,0.538880902110414,0.306555128631814,NA
"I1GH",11.551873015873,6.1667648709899,3.98777777777778,3.96223905723906,89.6587133544625,41.7003402822777,43.9311475417402,449.386287782882,22.4870319833275,0.417797222273684,0.240000789022236,1.03070955414013,0.456974873008357,38.6108307614346,0.975245482508876,0.192966962647959,6.01447976883237,9.34153195675369,1.47784330694893,24.1435574006882,10.4973384298386,0.177508591591425,2.52709943714519,22,0.67231963637768,11.3587641873897,13.9781510077939,244.441686584721,0.124570894900923,7.60559020559021,5.11367521367521,173.327702091806,0.00117433409331476,9.87982205443628,142.530057525178,163.56036875424,1063.56841416884,200.346420323326,0.142778447651934,31.3804573804574,2870.55020972119,0.545275796178344,19.3383829684816,69.1061954261954,1.42548387096774,38.2795269155055,73623.0130465632,25.5946927373557,0.698387096774194,1.25,2.92375886524823,1.00736928433269,17.2291852742658,0.479111609756976,2.55896049859311,64.6612539731847
"I1GL",24.9889649295625,5.42517193561838,4.88242136838258,4.00535255458096,86.6773778919794,13.4244490514891,22.5744068657603,467.340957654729,22.2045273022187,0.46947046380683,0.0864054786756723,3.17411428571429,0.483409485363521,36.5484572539878,0.327100935630769,0.193832132403424,5.83605911345906,7.40235645152311,1.62285297858755,23.2988339512075,10.9404556726525,0.108453848325699,2.191385425751,22,0.716471075224881,11.1149409001984,29.6826048727933,221.411348414839,0.145102027399261,7.66881029007392,5.54554340859393,170.429525945073,0.000833033674254458,10.3382133864148,174.594676478239,65.8878248587167,1362.56279557711,200.237116661248,0.15039653158211,40.3120257222832,3072.87071141273,0.369284615384615,19.5292545386019,87.7629170432808,1.25,11.9545789332788,7453.85222064074,26.3549295768545,0.65,1.25,3.13119927851109,0.193163907901346,17.6003550228408,0.536860088044771,4.79078936113127,71.0806535784615
