Site,Dispersal.unit.dry.mass,Dispersal.unit.length,Dispersal.unit.thickness,Dispersal.unit.width,Germination.efficiency,Leaf.area,Leaf.carbon..C..content.per.area,Leaf.carbon..C..content.per.dry.mass,Leaf.carbon.nitrogen..C.N..ratio,Leaf.density,Leaf.dry.mass,Leaf.dry.mass.per.plant,Leaf.dry.mass.per.plant.dry.mass..leaf.weight.ratio..LWR.,Leaf.dry.matter.content..LDMC.,Leaf.fresh.mass,Leaf.lamina.thickness,Leaf.lifespan,Leaf.nitrogen..N..content,Leaf.nitrogen..N..content.per.area,Leaf.nitrogen..N..content.per.dry.mass,Leaf.nitrogen.phosphorus..N.P..ratio,Leaf.phosphorus..P..content.per.area,Leaf.phosphorus..P..content.per.dry.mass,Leaf.porosity,Leaf.potassium..K..content.per.area,Leaf.potassium..K..content.per.dry.mass,Leaf.respiration.per.dry.mass,Leaf.specific.area..SLA.,Leaf.thickness,pH..Maximum,pH..Minimum,Photosynthesis.leaf.intercellular.CO2.concentration,Photosynthesis.net.assimilation.rate..NAR.,Photosynthesis.per.leaf.area,Photosynthesis.per.leaf.dry.mass,Plant.height.generative,Plant.height.vegetative,Plant.lifespan,Plant.relative.growth.rate..RGR.,Plant.tolerance.to.frost,Plant.tolerance.to.planting.density,Reproductive.dry.mass.per.plant,Root.nitrogen..N..content.per.dry.mass,Rooting.depth,Seed.length,Seed.mass,Seed.number.per.reproduction.unit,Seed.protein.content.per.mass,Seed.thickness,Seed.width,Species.distribution..number.of.floristic.zones,Stem.dry.mass.per.plant,Stem.nitrogen..N..content.per.dry.mass,Stem.specific.density..SSD.,Stomata.conductance.per.leaf.area,Wood.dry.mass.per.plant.dry.mass
B1GH,2423.075925,19.98621772,13.96551294,14.06335945,96.98736842,27.48544719,36.64826624,440.0954295,23.17342592,0.399020647,0.13200893,31.15584341,0.660250403,52.46423486,0.68,0.203894679,6.872901885,5.239855075,1.226233255,21.00719643,11.26549783,0.134211942,1.992790391,20.90668348,0.424550173,7.350984515,10.47061258,234.1012439,0.109913838,7.312112993,4.742994207,194.817216,0.000759717,9.734460476,133.5290214,1458.306414,1241.889232,263.666981,0.098385556,31.38732056,2042.308547,0.114,12.91079251,68.08772802,3.28,314.5806222,6930.307633,21.36355652,1.08,1.1,3,7.264,4.270499,0.654216213,13.11030705,86.11444554
B1GL,2.578179104,7.577878788,1.08,2.157727273,94.62437186,25.65096777,28.26666667,469.3565757,17.20764586,0.456626101,0.089128896,1.89109133,0.496166154,30.94699703,0.726140371,0.367841379,7.033333338,5.362221344,1.228461045,24.8266737,9.575896169,0.141621052,2.174824108,21.84615385,0.37488146,6.353714904,10.30827414,328.8507491,0.104311739,7.694501248,5.149392159,258.779685,0.002049595,8.559049678,111.7151823,133.7498219,422.5467226,251.4106477,0.209746923,34.09125674,3558.180924,0.259298002,15.17413,43.56280972,2.722271468,12.52165994,46722.58524,22.73087465,0.456466165,1.418919668,3.554485128,6.537854358,15.7645,0.529542439,0.738652475,77.94029576
B1UH,3167.535161,25.19055965,17.59240059,17.60773196,5.3228125,48.10655774,36.15958582,436.8462753,24.68750934,0.388298651,0.254402436,32.175,0.663761241,57.86096446,0.660650831,0.208074419,5.72484221,12.70883855,1.40339883,21.8770634,11.69899184,0.171718988,2.135022028,20.90668348,0.603934884,9.846877874,9.900542514,230.9822921,0.131198142,7.199455628,4.744509498,193.2059512,0.000505618,9.992258037,131.4101821,2086.678201,1955.974585,324.7447149,0.105895562,32.58406578,1869.177772,0.547911267,13.23618055,88.82940491,2.722271468,437.7397059,85.95,23.869179,0.698387097,1.25,3,0.018272,4.206357807,0.604067926,0.240142642,64.38015151
B1UL,2100.086,17.005,11.69375,11.69375,5.3228125,55.59668222,28.59183477,463.1921311,27.0506399,0.375115103,0.292758733,21.991125,0.669620972,53.199171,0.214152209,0.190974555,5.533783784,15.55080451,1.360705625,20.17351068,11.68371282,0.110033029,1.947088696,20.90668348,0.562100079,9.633299712,7.626404484,206.4621851,0.136155006,7.012744835,4.489213845,211.2651218,0.000310089,8.473483501,120.6936511,1618.75,2372.045565,313.8599106,0.07062894,41.58465254,943.2519453,2.1,10.78657645,99.19971022,2.722271468,562.5910053,8499.428571,25.19504132,0.698387097,1.25,3.375,7.254,3.815503333,0.638921171,0.107799371,50.64249164
B2GH,3360.1,20.08333333,14.375,14.54166667,5.3228125,35.59026266,29.6876808,449.1946412,24.74484965,0.398781089,0.243767534,32.175,0.67547992,58.60464679,0.660650831,0.215439393,6.748199201,9.145728201,1.279127275,19.48441756,11.98096455,0.119935683,1.763974565,20.90668348,0.415285172,6.890626392,9.568960385,224.8194026,0.107685289,7.284615855,4.47520195,165.7613149,0.000475508,10.12369963,120.9294812,2471.301536,1023.292755,347.3913038,0.085463259,32.59990221,2444.477283,0.547911267,14.53492564,61.82732256,2.722271468,607.8330853,85.95,20.3709155,0.698387097,1.25,3.333333333,3.257914004,3.61776602,0.68407453,0.278329209,64.38015151
B2GL,1.4585,5.3283,5.3228125,5.178723404,97.32741117,64.19062885,26.37431952,437.2321013,24.81363345,0.354390487,0.505343178,1.50786715,0.503254054,25.64613106,0.992369051,0.291464286,5.593548016,25.03226714,1.548488481,20.37702584,9.361123458,0.123609671,2.213566532,14,0.594427042,10.74849834,10.34215849,210.9226432,0.142019865,7.04937777,4.712369907,135.9516471,0.001103562,8.357627772,91.91843962,197.5479389,1469.198089,259.6449704,0.174928389,38.54676912,1719.120944,0.547911267,16.67757507,92.56981888,1.883363636,1502.648649,79134.86791,15.35106383,0.586237624,1.092272727,3.8384,3.736519324,15.7645,0.616241784,1.107206119,63.03107807
B2UH,28.07417134,7.21187905,6.125,6.625,5.3228125,28.97887896,32.35882601,449.6530909,26.62187522,0.329231456,0.218009128,2.377087692,0.67,32.06688086,0.660650831,0.190744773,5.824999872,13.28518321,1.11613477,18.88936648,14.99971446,0.10164943,2.212674839,20.90668348,0.519060331,6.263496568,6.132212919,223.9122498,0.090116363,7.804204262,5.034902878,188.3127925,3.00E-04,12.29495031,173.5605889,37.5,409.8487384,403.5714142,0.07,33.75151398,3806.274724,0.547911267,10.89341404,45.55926344,2.722271468,58.45946273,30319.9343,25.99017087,0.698387097,1.25,4.292286872,3.257914004,3.736216427,0.666666656,0.218830129,64.38015151
B2UL,2986.793111,8.001377877,6.961913148,7.481481043,94.125,42.12347663,41.90327716,447.9496923,22.56819891,0.328463853,0.426422646,32.175,0.60834681,29.17701664,0.660650831,0.201507663,5.691870669,23.62267337,1.39443844,20.95641466,12.0867145,0.119136816,1.889415244,20.90668348,0.645038638,10.10878598,7.749674379,216.8699223,0.117339825,7.12712256,4.804268036,128.2168949,0.000481167,8.709904688,97.43241499,345.6493455,1427.145519,243.1763249,0.08886,36.33099276,2280.837473,0.547911267,16.17011592,82.54327107,2.559335431,590.9888226,3977.352119,32.15043732,1.249194462,1.751550661,2.850687718,3.257914004,5.660264098,0.538880902,0.306555129,64.38015151
I1GH,11.55187302,6.166764871,3.987777778,3.962239057,89.65871335,41.70034028,43.93114754,449.3862878,22.48703198,0.417797222,0.240000789,1.030709554,0.456974873,38.61083076,0.975245483,0.192966963,6.014479769,9.341531957,1.477843307,24.1435574,10.49733843,0.177508592,2.527099437,22,0.672319636,11.35876419,13.97815101,244.4416866,0.124570895,7.605590206,5.113675214,173.3277021,0.001174334,9.879822054,142.5300575,163.5603688,1063.568414,200.3464203,0.142778448,31.38045738,2870.55021,0.545275796,19.33838297,69.10619543,1.425483871,38.27952692,73623.01305,25.59469274,0.698387097,1.25,2.923758865,1.007369284,17.22918527,0.47911161,2.558960499,64.66125397
I1GL,24.98896493,5.425171936,4.882421368,4.005352555,86.67737789,13.42444905,22.57440687,467.3409577,22.2045273,0.469470464,0.086405479,3.174114286,0.483409485,36.54845725,0.327100936,0.193832132,5.836059113,7.402356452,1.622852979,23.29883395,10.94045567,0.108453848,2.191385426,22,0.716471075,11.1149409,29.68260487,221.4113484,0.145102027,7.66881029,5.545543409,170.4295259,0.000833034,10.33821339,174.5946765,65.88782486,1362.562796,200.2371167,0.150396532,40.31202572,3072.870711,0.369284615,19.52925454,87.76291704,1.25,11.95457893,7453.852221,26.35492958,0.65,1.25,3.131199279,0.193163908,17.60035502,0.536860088,4.790789361,71.08065358
