,Dispersal.unit.dry.mass,Dispersal.unit.length,Dispersal.unit.thickness,Dispersal.unit.width,Leaf.area,Leaf.carbon..C..content.per.area,Leaf.carbon..C..content.per.dry.mass,Leaf.carbon.nitrogen..C.N..ratio,Leaf.density,Leaf.dry.mass,Leaf.dry.mass.per.plant,Leaf.dry.mass.per.plant.dry.mass..leaf.weight.ratio..LWR.,Leaf.dry.matter.content..LDMC.,Leaf.fresh.mass,Leaf.lamina.thickness,Leaf.lifespan,Leaf.nitrogen..N..content,Leaf.nitrogen..N..content.per.area,Leaf.nitrogen..N..content.per.dry.mass,Leaf.nitrogen.phosphorus..N.P..ratio,Leaf.phosphorus..P..content.per.area,Leaf.phosphorus..P..content.per.dry.mass,Leaf.physical.strength,Leaf.porosity,Leaf.potassium..K..content.per.area,Leaf.potassium..K..content.per.dry.mass,Leaf.respiration.per.dry.mass,Leaf.specific.area..SLA.,Leaf.texture..sclerophylly.,Leaf.thickness,Phenology..reproductive,Photosynthesis.leaf.intercellular.CO2.concentration,Photosynthesis.net.assimilytion.rate..NAR.,Photosynthesis.per.leaf.area,Photosynthesis.per.leaf.dry.mass,Plant.height.generative,Plant.height.vegetative,Plant.relative.growth.rate..RGR.,Plant.tolerance.to.drought,Plant.tolerance.to.frost,Plant.tolerance.to.human.impact,Plant.tolerance.to.planting.density,Plant.tolerance.to.precipitation,Plant.tolerance.to.shade,Plant.tolerance.to.soil.pH,Plant.tolerance.to.waterlogging,Reproductive.dry.mass.per.plant,Root.nitrogen..N..content.per.dry.mass,Rooting.depth,Seed.length,Seed.mass,Seed.number.per.reproducton.unit,Seed.protein.content.per.mass,Seed.thickness,Seed.width,Species.distribution..number.of.floristic.zones,Stem.dry.mass.per.plant,Stem.length..height.,Stem.nitrogen..N..content.per.dry.mass,Stem.specific.density..SSD.,Stomata.conductance.per.leaf.area,Wood.dry.mass.per.plant.dry.mass
Alplaus Kill,15.09,8.045,5.1,7.585,2018.706,22,41.7625,19.09,0.35,95.36,3.085,10.1375,83.82,2.51,0.245,6.8,4.01,37.5075,15.64,14.44,0.09,273.715,1.335,14,0.58,11.62,25.5,196.7466667,0.11,110.44,27.826,248.1366667,0.5,10.30666667,135.0533333,0.92,18.06,0.18,3.46,23.5,2.6,14500,38,1.93,6.05,2.25,0.96,2.34,4,1.553333333,12020.77714,99373.535,17.7,0.366666667,1.096666667,3.8,20.77,85.28,2.3,79.17666667,235.96,38.135
Ballston Creek,7.89,6.09,5.1,5.17,681.045,22,43.4925,24.175,0.56,31.97166667,2.505,17.285,115.985,0.445,0.26,6.8,3.44,28.77666667,6.69,10.30666667,0.1,1423.2525,1.186666667,14,0.56,7.14,NA,474.2166667,NA,32.84,15.966,229.96,0,8.386666667,72.19,0.466,21.744,0.18,3.46,71,2.4,NA,37,1.93,6.25,2.25,0.46,1.52,14,1.083333333,2288.007143,1440771.69,16.3,0.47,0.64,3.8,8.286666667,51.5,1.58,79.16333333,234.62,46.285
Battenkill,1.045,2.845,0.99,1.83,150.235,54.2,289.9866667,23.84333333,0.4,11.17,0.3,3.86,114.045,0.22,0.27,1.98,0.59,1.37,9.3625,7.736666667,NA,866.454,1.59,NA,NA,9.64,24.14,48.65,NA,212.15,82.89,251.46,2.026666667,11.20333333,245.07,10.20333333,24.308,0.213333333,2.75,51,2.6,525,46.25,2.915,6.375,1.75,0.755,2.705,14,2.045,5842.062857,19056.0375,20.6775,0.7,1.32,3.2,2.185,NA,2.39,0.243333333,231.75,71.485
Beaver Kill,0.22,12.06,0.29,0.45,10098.855,NA,38.69,15.07,NA,557.43,37.62,87.28,171.025,37.6,0.37,NA,NA,NA,2.54,10.36,NA,2200,0.69,NA,NA,NA,NA,48.475,0.03,NA,5,NA,NA,NA,NA,0.83,16.34666667,NA,3.5,76,2.666666667,525,45,1.5,6.35,1.5,NA,NA,18,NA,1132.9975,3480.05,NA,NA,NA,2.666666667,5.7,NA,NA,NA,NA,12.72
Big Brook,5.52,9.0425,1.906666667,8.0725,4835.16,NA,197.386,16.574,0.14,248.3233333,1.68,2.946,124.3466667,1.673333333,0.226666667,1.17,1.48,22.05333333,13.22833333,10.982,0.08,540.8216667,1.436666667,12.5,0.6,17.43,24.82,395.9877778,0.1,219.1466667,56.26333333,262.495,0.982,12.08,290.61,6.766666667,15.03666667,0.21,NA,39.75,3,9125,38.25,NA,6.025,NA,1.31,2.0675,7,1.866666667,9374.584,27007.49222,16.77833333,0.593333333,1.393333333,3.333333333,29.355,119.06,1.4875,0.2475,174.815,19.95
Boreas River,2.166666667,4.22,1.45,1.35,782.835,NA,325.7333333,17.86,NA,28.6825,1.35,10.45666667,97.935,2.29,0.245,0.41,0.33,22.07666667,20.58666667,15.82,NA,79.35333333,1.2,NA,NA,NA,25.5,42.2725,NA,221.04,78.406,242.705,0.666666667,8.92,260.78,7.5,23.39,0.17,NA,34.33333333,2.4,14500,41.5,NA,6.166666667,NA,1.25,2.23,8.666666667,2.23,19520.466,30948.54667,29.50333333,0.853333333,1.15,3.2,1.86,NA,2.295,0.31,105.13,38.55
Bullhead Pond Brook,0.36,4.07,0.25,0.91,7607.67,NA,NA,NA,NA,341.14,NA,0.8,118.5,NA,0.22,NA,NA,NA,19.2,10.09,NA,1731.73,0.47,NA,NA,NA,NA,71.01,NA,NA,8,NA,0,NA,NA,0.78,20.83,0.21,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,0.31,NA,0.31,40193.6,18.8,NA,NA,4,NA,NA,NA,NA,NA,NA
Cadman Creek,0.65,7.225,0.565,0.825,14599.04,NA,38.69,15.07,NA,826.07,37.62,87.28,61.88,37.6,0.37,NA,NA,NA,2.54,10.36,NA,2200,0.69,NA,NA,NA,NA,58.84,NA,NA,5.5,NA,NA,NA,NA,0.405,21.76,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.635,38342.55,17,NA,NA,3.5,5.7,NA,NA,NA,NA,12.72
Cedar River,1.27,2.756666667,2.035,1.693333333,1212.408333,54.2,216.8966667,21.275,0.4,54.61666667,0.963333333,10.862,147.8516667,0.086666667,0.19,2.04,0.265,0.97,9.506666667,11.34333333,NA,480.108,2.62,9.5,NA,NA,NA,646.965,NA,38.815,72.47833333,NA,0,5.78,139.01,12.09,31.335,0.2225,2,36.83333333,3.166666667,300,47.5,1.99,6.216666667,4.1,0.913333333,0.685,14,1.23,7392.145,55043.00667,18.38333333,0.323333333,0.673333333,3.666666667,2.26,NA,0.76,40.06,NA,59.23
Chester Creek,NA,NA,NA,NA,475.33,NA,44.33,15.87,NA,60.4,NA,NA,297.64,NA,NA,NA,NA,NA,2.56,NA,NA,0.25,NA,8,NA,NA,NA,1068.27,NA,NA,4.5,NA,NA,NA,NA,18,24.66,NA,2,33.5,3,300,55,1.99,6.15,4.1,NA,NA,24,0.9,0.12,49581.33,NA,0.25,0.25,3,NA,NA,NA,119.41,NA,NA
