,Dispersal.unit.dry.mass,Dispersal.unit.length,Dispersal.unit.thickness,Dispersal.unit.width,Germination.efficiency,Germination.requirement,Leaf.area,Leaf.carbon..C..content.per.area,Leaf.carbon..C..content.per.dry.mass,Leaf.carbon.nitrogen..C.N..ratio,Leaf.density,Leaf.dry.mass,Leaf.dry.mass.per.plant,Leaf.dry.mass.per.plant.dry.mass..leaf.weight.ratio..LWR.,Leaf.dry.matter.content..LDMC.,Leaf.fresh.mass,Leaf.lamina.thickness,Leaf.lifespan,Leaf.nitrogen..N..content,Leaf.nitrogen..N..content.per.area,Leaf.nitrogen..N..content.per.dry.mass,Leaf.nitrogen.phosphorus..N.P..ratio,Leaf.phosphorus..P..content.per.area,Leaf.phosphorus..P..content.per.dry.mass,Leaf.physical.strength,Leaf.porosity,Leaf.potassium..K..content.per.area,Leaf.potassium..K..content.per.dry.mass,Leaf.respiration.per.dry.mass,Leaf.specific.area..SLA.,Leaf.texture..sclerophylly.,Leaf.thickness,Phenology..reproductive,Photosynthesis.leaf.intercellular.CO2.concentration,Photosynthesis.net.assimilytion.rate..NAR.,Photosynthesis.per.leaf.area,Photosynthesis.per.leaf.dry.mass,Plant.height.generative,Plant.height.vegetative,Plant.lifespan,Plant.relative.growth.rate..RGR.,Plant.tolerance.to.drought,Plant.tolerance.to.frost,Plant.tolerance.to.human.impact,Plant.tolerance.to.planting.density,Plant.tolerance.to.precipitation,Plant.tolerance.to.shade,Plant.tolerance.to.soil.pH,Plant.tolerance.to.waterlogging,Reproductive.dry.mass.per.plant,Root.nitrogen..N..content.per.dry.mass,Rooting.depth,Seed.length,Seed.mass,Seed.number.per.reproducton.unit,Seed.protein.content.per.mass,Seed.thickness,Seed.width,Species.distribution..number.of.floristic.zones,Stem.dry.mass.per.plant,Stem.nitrogen..N..content.per.dry.mass,Stem.specific.density..SSD.,Stomata.conductance.per.leaf.area,Wood.dry.mass.per.plant.dry.mass,Woodiness
Alplaus Kill,1.1275,3.6425,0.665,1.385,NA,1,8670.267857,38.685,45.095,23.32142857,0.38,697.4246154,2.836,21.59875,93.73,411.704,95.42,4.166666667,16.97333333,10.295,6.403333333,8.79,0.12,1899.329,3.48,22,0.446,2.343333333,11.3625,447.1994444,0.211666667,50.88,17.125,199.3425,0,9.716,113.648,2.006,30.985,300,0.18,2.576,38.4375,2.5,3305.555556,42.25,4.294,5.873333333,1.26,1.03,12.875,20.75,7.35,117182.9776,406204.7529,24.275,0.64,4.19,3.5,3.97,0.39,72.69166667,231.125,55.034,1
Ballston Creek,3.88,9.91625,8.246,6.8675,73,1,3264.197778,40.622,73.94285714,21.16375,0.397,237.2875,2.17,17.09,67.48214286,343.3333333,95.42,16.78,9.66,11.21153846,5.336,9.277142857,0.147142857,1732.64875,3.48,22,0.498571429,2.00625,7.611666667,431.2591304,0.25125,91.33,18.60636364,218.5616667,0,11.3,142.90375,5.24,30.28037037,450,0.168571429,2.442727273,41.96809524,2.727272727,2672.764706,40.70238095,3.412727273,6.221904762,1.928181818,0.24,5.95,20.9047619,17.3,120131.7719,3670.045714,19.12222222,2.89,8.15,3.272727273,3.264,0.23,39.89363636,229.2166667,57.918,1
Battenkill,0.485,3.643333333,3.19,2.82,NA,1,157.2833333,47.485,44.90166667,26.46666667,0.3825,32.69444444,0.413333333,27.57333333,94.12875,0.5,0.09,6.7,7.21,1.206666667,4.654545455,9.99875,0.14,1734.683333,3.48,NA,0.542,0.88,8.57,118.7835714,0.306,85.598,6.583333333,153.23,0,10.31,45.32,2.752857143,27.076,127.5,0.195,2.401666667,40.56818182,2.2,2422.555556,41.5,2.968333333,6.187272727,2.343333333,0.216666667,NA,21.54545455,0.35,60775.96444,241245.0125,21.75,NA,NA,3.5,1.186666667,NA,0.53,365.8,60.30333333,1
Beaver Kill,0.5175,1.89,0.626666667,0.9525,73,1,326.6027273,36.34,116.695,25.988,0.405,27.67727273,0.822,13.01625,92.7475,0.457142857,63.65333333,5.5,6.76,20.07333333,6.264,8.528,0.1,1538.75,5.455,NA,0.42,0.76,6.48,175.8915385,0.23,83.4,42.53666667,279.88,0,7.425,105.565,7.324,35.60058824,400,0.175,2.25,39.08333333,2.5,3026.5,41.16666667,4.76,5.995833333,1.09,0.406,5.26,14.16666667,NA,43514.87222,164431.1517,14.8,NA,NA,3.5,3.154,0.475,433.56,76.75,68.384,1
Big Brook,2.542,4.816666667,1.863333333,2.99,NA,1,542.7,25.235,165.8285714,25.2275,0.48,39.17888889,5.02,7.89,106.8177778,0.323333333,0.16,2.955,7.165,13.37,5.207272727,8.584,0.175,1862.114545,1.97,22,0.69,2.854,8.01,551.2215385,0.246666667,89.98,48.42166667,261.8075,0,5.8,72.36333333,3.564285714,29.43923077,200,0.1725,3.065,41.325,3.2,3319.642857,40.4,2.48,6.408,1.6075,2.1,0.59,18.2,NA,17266.15235,8016.618333,22.39222222,NA,NA,3.5,7.25,0.51,0.418,188.0325,50.64,1
Boreas River,0.8725,2.43,0.7775,1.6375,NA,1,18542.35556,NA,129.878,21.45333333,NA,1589.0475,0.64,16.145,129.78,92.97666667,0.14,3.985,5.78,15.726,4.316,14.55375,0.08,1276.6325,3.3,13,0.58,0.875,NA,414.05,0.41,55.68333333,24.31428571,288,0,8.676666667,135.7733333,3.43,26.629375,52.5,0.1675,1.6875,38.5275,2.285714286,3954.606364,40.69416667,1.7575,6.288333333,3.5075,0.223333333,0.59,16.625,2.12,110044.2606,196738.31,17.665,0.29,0.42,3.571428571,2.343333333,0.51,64.1125,151.5,68.01,1
Bullhead Pond Brook,NA,NA,NA,NA,NA,1,1069.587143,33.4525,47.61,23.056,0.406666667,173.8542857,1.39,6.58,38.514,0.68,182.565,5.573333333,13.38666667,1.344,7.305714286,10.49428571,0.1325,1954.782857,NA,NA,0.455,0.7075,9.03,133.5544444,0.265,98.26,8,200.0066667,0,7.924,91.972,0.23,38.155,283.3333333,0.07,1.9925,40.64285714,3,2064.166667,41.42857143,3.8525,6.007142857,2.065,0.11,7.216666667,25.42857143,NA,13736.645,4,28.5,NA,NA,3,7.26,1.39,177.5375,162.41,86.11,1
Cadman Creek,0.71,4.128,1.928,2.646,73,1,4586.3575,29.19,46.72,23.82090909,0.35,531.8586667,0.795,6.192857143,126.5754545,185.7933333,197,12.41333333,8.615,5.608571429,6.513157895,11.02333333,0.12875,1762.457333,NA,14,0.51,1.742222222,10.05714286,1247.16381,0.308571429,127.81625,16,212.2314286,0,9.535454545,91.58636364,9.45,30.54034483,294.2588889,0.116666667,2.193333333,38.2437037,2.125,3169.984286,41.62333333,2.968333333,5.922592593,1.803333333,0.44,8.601666667,19.27777778,4.56,196438.533,689257.49,21.325,0.29,0.42,3.5,2.775,3.94,110.2375,193.64625,69.205,1
Cedar River,0.495,2.6975,0.563333333,1.9425,NA,1,202.2836364,NA,197.2028571,23.755,0.57,20.601,1.565,18.96,109.6790909,0.268333333,0.115,6.02,1.42,1.163333333,6.49375,8.19,0.125,1302.325714,3.39,NA,0.58,0.72,NA,123.4208333,NA,41.785,98.51857143,254,0,8.495,114.91,5.764285714,27.27928571,NA,0.185,NA,37.60714286,2.166666667,4475,37.64285714,NA,6.221428571,NA,0.6875,0.59,12.85714286,1.31,91732.59556,14787.94833,22.67666667,0.29,0.42,3.833333333,2.7025,0.51,0.27,153,57.8875,1
Chester Creek,1.006666667,2.618,0.86,2.11,NA,1,18510.70111,NA,48.35,22.06,NA,1586.52375,0.57,17.74,170.80375,139.3125,0.09,3.985,5.78,1.49,2.57,20.08,0.09,739.6125,3.48,NA,0.58,0.72,NA,74.851,NA,0.14,6.5,NA,0,11.96,147.25,3.318571429,15.64,50,0.19,1.66,38.48692308,2,3604.060909,38.71769231,1.896666667,6.073846154,3.116666667,0.305,NA,15.65384615,3.7,232711.0818,282882.37,16.2,0.29,1.6,3.555555556,1.7,NA,127.85,NA,61.59,1
