Site,Quadrat,Species
B1GH,1,Asarum canadense
B1GH,2,Asarum canadense
B1GH,2,Dryopteris camyloptera
B1GH,2,Eurybia divaricata
B1GH,2,Heliopsis helianthoides
B1GH,3,Asarum canadense
B1GH,3,Heliopsis helianthoides
B1GH,4,Heliopsis helianthoides
B1GH,4,Laportea canadensis
B1GH,4,Ranunculus recurvatus
B1GH,5,Dryopteris camyloptera
B1GH,5,Eurybia divaricata
B1GH,5,Parthenocissus quinquefolia
B1GH,5,Rubus occidentalis
B1GH,6,Eurybia divaricata
B1GH,6,Parthenocissus quinquefolia
B1GH,6,Rubus occidentalis
B1GH,7,Asarum canadense
B1GH,7,Eurybia divaricata
B1GH,7,Symphyotrichum dumosum
B1GH,7,Thalictrum pubescens
B1GH,8,Parthenocissus quinquefolia
B1GH,8,Thalictrum pubescens
B1GH,9,Asarum canadense
B1GH,9,Eurybia divaricata
B1GH,9,Parthenocissus quinquefolia
B1GH,10,Eurybia divaricata
B1GH,10,Parthenocissus quinquefolia
B1GH,10,Ranunculus recurvatus
B1GH,10,Rubus occidentalis
B1GH,11,Eurybia divaricata
B1GH,11,Heliopsis helianthoides
B1GH,11,Parthenocissus quinquefolia
B1GH,12,Asarum canadense
B1GH,12,Parthenocissus quinquefolia
B1GH,13,Asarum canadense
B1GH,13,Eurybia divaricata
B1GH,13,Galium aparine
B1GH,13,Glyceria borealis
B1GH,13,Heliopsis helianthoides
B1GH,13,Ranunculus recurvatus
B1GH,13,Symphyotrichum dumosum
B1GH,14,Eurybia divaricata
B1GH,14,Heliopsis helianthoides
B1GH,14,Pilea pumila
B1GH,14,Symphyotrichum dumosum
B1GH,15,Ageratina altissima
B1GH,15,Asarum canadense
B1GH,15,Eurybia divaricata
B1GH,15,Glyceria borealis
B1GH,15,Ranunculus recurvatus
B1GH,16,Ageratina altissima
B1GH,16,Eurybia divaricata
B1GH,16,Galium aparine
B1GH,16,Glyceria borealis
B1GH,16,SP13
B1GH,16,Symphyotrichum dumosum
B1GH,16,Thalictrum pubescens
B1GH,17,Amphicarpaea bracteata
B1GH,17,Eurybia divaricata
B1GH,17,Galium aparine
B1GH,17,Glyceria borealis
B1GH,17,Heliopsis helianthoides
B1GH,17,Thalictrum pubescens
B1GH,18,Ageratina altissima
B1GH,18,Alliaria petiolata
B1GH,18,Amphicarpaea bracteata
B1GH,18,Eurybia divaricata
B1GH,18,Glyceria borealis
B1GH,18,Impatiens capensis
B1GH,18,Symphyotrichum dumosum
B1GH,18,Thalictrum pubescens
B1GH,19,Ageratina altissima
B1GH,19,Alliaria petiolata
B1GH,19,Amphicarpaea bracteata
B1GH,19,Parthenocissus quinquefolia
B1GH,19,Pilea pumila
B1GH,19,Toxicodendron radicans
B1GH,20,Glyceria borealis
B1GH,20,Pilea pumila
B1GH,20,Polygonum cespitosum
B1GH,W,Acer saccharum
B1GH,W,Acer saccharum
B1GH,W,Acer saccharum
B1GH,W,Acer spicatum
B1GH,W,Acer spicatum
B1GH,W,Acer spicatum
B1GH,W,Acer spicatum
B1GH,W,Acer spicatum
B1GH,W,Acer spicatum
B1GH,W,Acer spicatum
B1GH,W,Carpinus caroliniana
B1GH,W,Carpinus caroliniana
B1GH,W,Carpinus caroliniana
B1GH,W,Carpinus caroliniana
B1GH,W,Carpinus caroliniana
B1GH,W,Carpinus caroliniana
B1GH,W,Carya cordiformis
B1GH,W,Fraxinus americana
B1GH,W,Fraxinus americana
B1GH,W,Quercus rubra
B1GH,W,Tilia americana
B1GH,W,Ulmus rubra
B1GH,W,Zanthoxylum americanum
B1GH,W,Zanthoxylum americanum
