Code,NewQuad,Species,Present
B1GH,1,Asarum canadense,1
B1GH,2,Asarum canadense,1
B1GH,2,Dryopteris camyloptera,1
B1GH,2,Eurybia divaricata,1
B1GH,2,Heliopsis helianthoides,1
B1GH,3,Asarum canadense,1
B1GH,3,Heliopsis helianthoides,1
B1GH,4,Heliopsis helianthoides,1
B1GH,4,Laportea canadensis,1
B1GH,4,Ranunculus recurvatus,1
B1GH,5,Dryopteris camyloptera,1
B1GH,5,Eurybia divaricata,1
B1GH,5,Parthenocissus quinquefolia,1
B1GH,5,Rubus occidentalis,1
B1GH,6,Eurybia divaricata,1
B1GH,6,Parthenocissus quinquefolia,1
B1GH,6,Rubus occidentalis,1
B1GH,7,Asarum canadense,1
B1GH,7,Eurybia divaricata,1
B1GH,7,Symphyotrichum dumosum,1
B1GH,7,Thalictrum pubescens,1
B1GH,8,Parthenocissus quinquefolia,1
B1GH,8,Thalictrum pubescens,1
B1GH,9,Asarum canadense,1
B1GH,9,Eurybia divaricata,1
B1GH,9,Parthenocissus quinquefolia,1
B1GH,10,Eurybia divaricata,1
B1GH,10,Parthenocissus quinquefolia,1
B1GH,10,Ranunculus recurvatus,1
B1GH,10,Rubus occidentalis,1
B1GH,11,Eurybia divaricata,1
B1GH,11,Heliopsis helianthoides,1
B1GH,11,Parthenocissus quinquefolia,1
B1GH,12,Asarum canadense,1
B1GH,12,Parthenocissus quinquefolia,1
B1GH,13,Asarum canadense,1
B1GH,13,Eurybia divaricata,1
B1GH,13,Galium aparine,1
B1GH,13,Glyceria borealis,1
B1GH,13,Heliopsis helianthoides,1
B1GH,13,Ranunculus recurvatus,1
B1GH,13,Symphyotrichum dumosum,1
B1GH,14,Eurybia divaricata,1
B1GH,14,Heliopsis helianthoides,1
B1GH,14,Pilea pumila,1
B1GH,14,Symphyotrichum dumosum,1
B1GH,15,Ageratina altissima,1
B1GH,15,Asarum canadense,1
B1GH,15,Eurybia divaricata,1
B1GH,15,Glyceria borealis,1
B1GH,15,Ranunculus recurvatus,1
B1GH,16,Ageratina altissima,1
B1GH,16,Eurybia divaricata,1
B1GH,16,Galium aparine,1
B1GH,16,Glyceria borealis,1
B1GH,16,SP13,1
B1GH,16,Symphyotrichum dumosum,1
B1GH,16,Thalictrum pubescens,1
B1GH,17,Amphicarpaea bracteata,1
B1GH,17,Eurybia divaricata,1
B1GH,17,Galium aparine,1
B1GH,17,Glyceria borealis,1
B1GH,17,Heliopsis helianthoides,1
B1GH,17,Thalictrum pubescens,1
B1GH,18,Ageratina altissima,1
B1GH,18,Alliaria petiolata,1
B1GH,18,Amphicarpaea bracteata,1
B1GH,18,Eurybia divaricata,1
B1GH,18,Glyceria borealis,1
B1GH,18,Impatiens capensis,1
B1GH,18,Symphyotrichum dumosum,1
B1GH,18,Thalictrum pubescens,1
B1GH,19,Ageratina altissima,1
B1GH,19,Alliaria petiolata,1
B1GH,19,Amphicarpaea bracteata,1
B1GH,19,Parthenocissus quinquefolia,1
B1GH,19,Pilea pumila,1
B1GH,19,Toxicodendron radicans,1
B1GH,20,Glyceria borealis,1
B1GH,20,Pilea pumila,1
B1GH,20,Polygonum cespitosum,1
B1GH,21,Tilia americana,1
B1GH,21,Acer spicatum,1
B1GH,21,Acer saccharum,1
B1GH,21,Acer saccharum,1
B1GH,22,Acer spicatum,1
B1GH,23,Acer spicatum,1
B1GH,24,Acer saccharum,1
B1GH,25,Acer spicatum,1
B1GH,26,Acer spicatum,1
B1GH,26,Acer spicatum,1
B1GH,26,Acer spicatum,1
B1GH,28,Fraxinus americana,1
B1GH,29,Fraxinus americana,1
B1GH,31,Ulmus rubra,1
B1GH,31,Carpinus caroliniana,1
B1GH,32,Carpinus caroliniana,1
B1GH,32,Quercus rubra,1
B1GH,33,Zanthoxylum americanum,1
B1GH,34,Zanthoxylum americanum,1
B1GH,36,Carya cordiformis,1
B1GH,36,Zanthoxylum americanum,1
B1GH,36,Zanthoxylum americanum,1
