,Leaf carbon (C) content per dry mass,Leaf carbon/nitrogen (C/N) ratio,"Leaf dry mass per plant dry mass (leaf weight ratio, LWR)",Leaf nitrogen (N) content per dry mass,Leaf nitrogen/phosphorus (N/P) ratio,Leaf phosphorus (P) content per dry mass,Leaf potassium (K) content per dry mass,Leaf respiration per dry mass,Leaf specific area (SLA),Photosynthesis per leaf dry mass,Plant relative growth rate (RGR),Reproductive dry mass per plant,Root nitrogen (N) content per dry mass,Seed mass,Seed number per reproducton unit,Seed protein content per mass,Species distribution: number of floristic zones,Stem dry mass per plant,Stem length (height),Stem specific density (SSD),Stomata conductance per leaf area,Wood dry mass per plant dry mass
Dispersal syndrome,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dispersal unit dry mass,-0.301009834,-0.373818398,-0.202400327,-0.019375717,0.086175457,-0.04380019,-0.154981926,-1,-0.001255469,0.16117394,0.705573559,-0.137316301,0.678874433,-0.1063703,-0.129358619,0.144521311,-0.194515646,0.931650221,-1,0.218355015,0.476422727,0.409966111
Dispersal unit length,-0.366531551,-0.252619088,0.004534761,-0.251912922,0.013432276,0.206052825,-0.479568005,-0.3942101,0.060818978,-0.233240455,-0.026933789,0.14547424,0.427807599,-0.206834048,-0.168711737,0.399336219,-0.130340293,0.420253456,0.994327307,0.064084746,-0.12302728,-0.470590621
Dispersal unit thickness,-0.362804115,-0.08056774,-0.259551108,-0.175026372,0.135609254,-0.078251578,-0.728726029,-0.664939761,-0.014669256,-0.279319733,-0.04930437,0.055320185,0.054397989,-0.159475446,-0.186678737,0.41240555,-0.034648668,0.44853586,1,0.38405931,0.055870805,0.52708602
Dispersal unit width,-0.360248178,-0.098495789,-0.114158988,-0.187106699,0.051236343,0.177375332,-0.200375497,-0.760855913,-0.008267067,-0.164767712,0.094561033,0.046732415,0.357095808,-0.185385078,-0.182623193,0.118141428,-0.094969206,0.781641543,0.99783659,0.314072579,0.006391301,-0.031400785
Germination efficiency,NA,NA,-0.703260541,0.38460806,NA,NA,NA,NA,-0.313054144,-1,0.499364406,NA,NA,0.855376542,NA,NA,NA,NA,NA,NA,-0.057584915,NA
Germination requirement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leaf area,-0.124527492,-0.1877148,0.35539636,-0.14031516,-0.033207305,-0.155797884,0.287273198,0.326441824,0.026243009,0.2154883,-0.013716383,0.025651371,-0.204669908,-0.058122229,0.16063711,-0.127766684,0.025400193,-0.019365648,0.798415601,-0.136197895,0.093048289,-0.313872248
Leaf carbon (C) content per area,0.738288939,-0.641719222,0.707949638,0.390585184,-0.130431369,-0.049377754,-0.238522172,0.268452108,0.105794802,0.736015439,0.686841846,-0.700730026,-0.612352014,-0.164003119,-0.147780836,0.133478418,0.861543119,-0.945953429,NA,-0.123785369,-0.438654512,-1
Leaf carbon (C) content per dry mass,1,-0.114453875,-0.152612537,0.719965279,-0.153456599,-0.245717078,0.235772774,0.383955628,-0.202958554,0.343712091,-0.132864773,-0.102636851,-0.420418471,0.212302729,0.242456287,0.045572404,0.19265832,-0.241621286,0.978815019,-0.323792219,0.040772777,-0.077707015
Leaf carbon/nitrogen (C/N) ratio,-0.114453875,1,0.052848242,-0.320005834,-0.112586312,0.217410713,-0.597190022,-0.487144709,-0.263197213,-0.396682858,-0.227903262,-0.062236227,0.566739917,0.117279597,0.159660265,-0.270600587,0.020973481,-0.376882255,-0.335933417,0.21557261,0.158981889,0.004889997
Leaf density,0.055476114,0.022993401,0.055218887,-0.181357205,-0.089765146,-0.019213559,-0.53525281,0.514437616,-0.019401334,-0.386343271,-0.488818467,0.520215631,0.47632435,0.067443594,0.370586514,0.568050563,-0.000625754,-0.78402096,NA,0.110048309,-0.258413374,-0.164393052
Leaf dry mass,-0.158150479,-0.070386745,0.324445456,-0.162067369,-0.039394204,0.038804572,0.11804422,-0.312646329,-0.017510101,-0.229713455,0.132520422,-0.131585032,-0.003998033,-0.052060481,0.173526749,-0.172575682,0.012163069,0.018589145,-0.539363503,0.229925439,0.409198552,-0.323735505
Leaf dry mass per plant,-0.139049396,-0.238734201,0.635251462,-0.156149194,-0.168395832,0.355607241,-1,0.328804791,-0.103743501,-0.408267945,0.133627057,0.606770635,0.123912007,-0.080931708,-0.018983124,-0.142549321,-0.061576728,0.323016554,NA,0.498711169,0.181496099,-0.50155592
"Leaf dry mass per plant dry mass (leaf weight ratio, LWR)",-0.152612537,0.052848242,1,-0.231811568,-0.056964833,0.256685287,0.224963576,0.322784603,-0.201376274,0.602023721,-0.086225435,0.097227961,-0.104205631,-0.085558958,-0.05992429,-0.032998949,0.200053349,-0.307474345,0.380102605,-0.228479519,-0.00057991,-0.651673257
